figure,organ,pollutant,model_tier,model_type,n,adverse_events,hazard_ratio,conf_low,conf_high,hr_ci
all_specifications_model_tier_forest,Lung,NO2,Adjusted + SDOH,Multipollutant PM2.5 + NO2,46788,5582,1.0780674104526653,1.015606584031752,1.144369640521924,1.08 (1.02-1.14)
all_specifications_model_tier_forest,Lung,PM2.5,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,46788,5582,1.092045821522682,1.008470613327363,1.1825471764322266,1.09 (1.01-1.18)
all_specifications_model_tier_forest,Lung,NO2,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,46788,5582,1.078441070934491,1.0121741946482188,1.149046428596754,1.08 (1.01-1.15)
all_specifications_model_tier_forest,Lung,O3,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,46788,5582,1.001440538530566,0.9161298035424356,1.0946954769231412,1.00 (0.92-1.09)
all_specifications_model_tier_forest,Lung,PM2.5,Adjusted + SDOH + organ score,Single-pollutant PM2.5,46788,5582,1.4809208220241472,1.3848532046125352,1.5836526743773434,1.48 (1.38-1.58)
all_specifications_model_tier_forest,Lung,O3,Adjusted + SDOH + organ score,Single-pollutant O3,46788,5582,1.0118206589571963,0.9283545912485536,1.102790954602467,1.01 (0.93-1.10)
all_specifications_model_tier_forest,Lung,NO2,Adjusted + SDOH + organ score,Single-pollutant NO2,50401,5675,1.3377235933671394,1.2706337251808977,1.408355828109571,1.34 (1.27-1.41)
all_specifications_model_tier_forest,Lung,PM2.5,Adjusted + SDOH + organ score,Multipollutant PM2.5 + NO2,46788,5582,1.3355145718294918,1.2354672791792063,1.443663625599102,1.34 (1.24-1.44)
all_specifications_model_tier_forest,Lung,NO2,Adjusted + SDOH + organ score,Multipollutant PM2.5 + NO2,46788,5582,1.1750183595766,1.1063355503635055,1.2479650905988169,1.18 (1.11-1.25)
all_specifications_model_tier_forest,Lung,PM2.5,Adjusted + SDOH + organ score,Multipollutant PM2.5 + NO2 + O3,46788,5582,1.317058544486234,1.216639050497926,1.4257665072432706,1.32 (1.22-1.43)
all_specifications_model_tier_forest,Lung,NO2,Adjusted + SDOH + organ score,Multipollutant PM2.5 + NO2 + O3,46788,5582,1.19766285294867,1.123520451137024,1.2766979968023826,1.20 (1.12-1.28)
all_specifications_model_tier_forest,Lung,O3,Adjusted + SDOH + organ score,Multipollutant PM2.5 + NO2 + O3,46788,5582,1.0837800762182996,0.990340244761337,1.1860360717652207,1.08 (0.99-1.19)
