Section,Analysis,Model,Organ,Pollutant,N candidates,Adverse events,HR (95% CI),P value,Adjustment set
Cox model sensitivity analyses,Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,Kidney,NO2 per 10 ppb,564425,114764,0.91 (0.90-0.92),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,Kidney,NO2 per 10 ppb,600141,123941,0.92 (0.91-0.93),<.001,age + sex + race + zcta_svi_proxy + multi_organ_candidate + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Single-pollutant model without listing center,Kidney,NO2 per 10 ppb,600141,123941,0.88 (0.87-0.89),<.001,age + sex + race + zcta_svi_proxy
Cox model sensitivity analyses,Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2,Kidney,PM2.5 per 5 ug/m3,564179,123299,0.99 (0.97-1.01),0.233,age + sex + race + zcta_svi_proxy + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2,Kidney,NO2 per 10 ppb,564179,123299,0.91 (0.90-0.92),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,Kidney,PM2.5 per 5 ug/m3,564179,123299,0.99 (0.97-1.01),0.236,age + sex + race + zcta_svi_proxy + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,Kidney,NO2 per 10 ppb,564179,123299,0.91 (0.89-0.92),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,Kidney,O3 per 10 ppb,564179,123299,1.00 (0.98-1.02),0.874,age + sex + race + zcta_svi_proxy + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,Liver,PM2.5 per 5 ug/m3,182640,36336,1.04 (1.02-1.07),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,Liver,PM2.5 per 5 ug/m3,208592,42101,1.03 (1.00-1.05),0.023,age + sex + race + zcta_svi_proxy + multi_organ_candidate + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Single-pollutant model without listing center,Liver,PM2.5 per 5 ug/m3,208592,42101,1.04 (1.02-1.06),<.001,age + sex + race + zcta_svi_proxy
Cox model sensitivity analyses,Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,Liver,O3 per 10 ppb,182640,36336,1.03 (1.00-1.06),0.042,age + sex + race + zcta_svi_proxy + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,Liver,O3 per 10 ppb,208592,42101,1.04 (1.01-1.07),0.016,age + sex + race + zcta_svi_proxy + multi_organ_candidate + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Single-pollutant model without listing center,Liver,O3 per 10 ppb,208592,42101,0.98 (0.96-1.00),0.112,age + sex + race + zcta_svi_proxy
Cox model sensitivity analyses,Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,Liver,NO2 per 10 ppb,195254,36974,1.01 (0.99-1.03),0.341,age + sex + race + zcta_svi_proxy + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,Liver,NO2 per 10 ppb,222559,42847,1.00 (0.98-1.02),0.769,age + sex + race + zcta_svi_proxy + multi_organ_candidate + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Single-pollutant model without listing center,Liver,NO2 per 10 ppb,222559,42847,1.02 (1.01-1.04),0.001,age + sex + race + zcta_svi_proxy
Cox model sensitivity analyses,Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2,Liver,PM2.5 per 5 ug/m3,208592,42101,1.04 (1.02-1.07),0.002,age + sex + race + zcta_svi_proxy + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2,Liver,NO2 per 10 ppb,208592,42101,0.97 (0.95-0.99),0.014,age + sex + race + zcta_svi_proxy + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,Liver,PM2.5 per 5 ug/m3,208592,42101,1.04 (1.01-1.07),0.005,age + sex + race + zcta_svi_proxy + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,Liver,NO2 per 10 ppb,208592,42101,0.98 (0.96-1.00),0.091,age + sex + race + zcta_svi_proxy + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,Liver,O3 per 10 ppb,208592,42101,1.02 (0.99-1.06),0.114,age + sex + race + zcta_svi_proxy + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,Lung,PM2.5 per 5 ug/m3,44268,5238,1.18 (1.10-1.27),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,Lung,PM2.5 per 5 ug/m3,46788,5582,1.15 (1.08-1.23),<.001,age + sex + race + zcta_svi_proxy + multi_organ_candidate + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Single-pollutant model without listing center,Lung,PM2.5 per 5 ug/m3,46788,5582,1.10 (1.05-1.16),<.001,age + sex + race + zcta_svi_proxy
Cox model sensitivity analyses,Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,Lung,O3 per 10 ppb,44268,5238,0.96 (0.88-1.05),0.358,age + sex + race + zcta_svi_proxy + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,Lung,O3 per 10 ppb,46788,5582,0.97 (0.89-1.06),0.481,age + sex + race + zcta_svi_proxy + multi_organ_candidate + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Single-pollutant model without listing center,Lung,O3 per 10 ppb,46788,5582,0.98 (0.92-1.04),0.555,age + sex + race + zcta_svi_proxy
Cox model sensitivity analyses,Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,Lung,NO2 per 10 ppb,47740,5321,1.16 (1.10-1.22),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,Lung,NO2 per 10 ppb,50401,5675,1.13 (1.08-1.19),<.001,age + sex + race + zcta_svi_proxy + multi_organ_candidate + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Single-pollutant model without listing center,Lung,NO2 per 10 ppb,50401,5675,1.14 (1.09-1.19),<.001,age + sex + race + zcta_svi_proxy
Cox model sensitivity analyses,Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2,Lung,PM2.5 per 5 ug/m3,46788,5582,1.09 (1.01-1.18),0.026,age + sex + race + zcta_svi_proxy + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2,Lung,NO2 per 10 ppb,46788,5582,1.08 (1.02-1.14),0.014,age + sex + race + zcta_svi_proxy + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,Lung,PM2.5 per 5 ug/m3,46788,5582,1.09 (1.01-1.18),0.030,age + sex + race + zcta_svi_proxy + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,Lung,NO2 per 10 ppb,46788,5582,1.08 (1.01-1.15),0.020,age + sex + race + zcta_svi_proxy + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,Lung,O3 per 10 ppb,46788,5582,1.00 (0.92-1.09),0.975,age + sex + race + zcta_svi_proxy + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,Heart,PM2.5 per 5 ug/m3,67211,8817,1.17 (1.14-1.22),<.001,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,Heart,PM2.5 per 5 ug/m3,76760,10342,1.14 (1.11-1.18),<.001,multi_organ_candidate + age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Single-pollutant model without listing center,Heart,PM2.5 per 5 ug/m3,76760,10342,1.13 (1.10-1.16),<.001,age + sex + race + zcta_svi_proxy + organ_score_tv
Cox model sensitivity analyses,Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,Kidney,PM2.5 per 5 ug/m3,558474,115163,0.99 (0.98-1.00),0.248,age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,Kidney,PM2.5 per 5 ug/m3,592129,123989,0.99 (0.98-1.00),0.270,multi_organ_candidate + age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Single-pollutant model without listing center,Kidney,PM2.5 per 5 ug/m3,592129,123989,0.96 (0.95-0.97),<.001,age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes
Cox model sensitivity analyses,Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,Liver,PM2.5 per 5 ug/m3,191873,38028,1.04 (1.02-1.05),<.001,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,Liver,PM2.5 per 5 ug/m3,218837,43864,1.03 (1.02-1.05),<.001,multi_organ_candidate + age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Single-pollutant model without listing center,Liver,PM2.5 per 5 ug/m3,218837,43864,1.01 (1.00-1.02),0.094,age + sex + race + zcta_svi_proxy + organ_score_tv
Cox model sensitivity analyses,Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,Lung,PM2.5 per 5 ug/m3,45717,5437,1.14 (1.09-1.19),<.001,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,Lung,PM2.5 per 5 ug/m3,48311,5776,1.14 (1.09-1.19),<.001,multi_organ_candidate + age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Single-pollutant model without listing center,Lung,PM2.5 per 5 ug/m3,48311,5776,1.12 (1.08-1.17),<.001,age + sex + race + zcta_svi_proxy + organ_score_tv
Cox model sensitivity analyses,Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,Heart,O3 per 10 ppb,67211,8817,1.01 (0.98-1.03),0.551,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,Heart,O3 per 10 ppb,76760,10342,1.00 (0.98-1.03),0.682,multi_organ_candidate + age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Single-pollutant model without listing center,Heart,O3 per 10 ppb,76760,10342,1.01 (0.99-1.03),0.451,age + sex + race + zcta_svi_proxy + organ_score_tv
Cox model sensitivity analyses,Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,Kidney,O3 per 10 ppb,558474,115163,0.98 (0.98-0.99),<.001,age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,Kidney,O3 per 10 ppb,592129,123989,0.99 (0.98-0.99),<.001,multi_organ_candidate + age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Single-pollutant model without listing center,Kidney,O3 per 10 ppb,592129,123989,0.97 (0.97-0.98),<.001,age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes
Cox model sensitivity analyses,Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,Liver,O3 per 10 ppb,191873,38028,0.98 (0.97-0.99),<.001,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,Liver,O3 per 10 ppb,218837,43864,0.99 (0.98-1.00),0.008,multi_organ_candidate + age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Single-pollutant model without listing center,Liver,O3 per 10 ppb,218837,43864,0.98 (0.97-0.99),<.001,age + sex + race + zcta_svi_proxy + organ_score_tv
Cox model sensitivity analyses,Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,Lung,O3 per 10 ppb,45717,5437,0.96 (0.94-0.99),0.013,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,Lung,O3 per 10 ppb,48311,5776,0.96 (0.94-0.99),0.012,multi_organ_candidate + age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Single-pollutant model without listing center,Lung,O3 per 10 ppb,48311,5776,0.97 (0.94-0.99),0.018,age + sex + race + zcta_svi_proxy + organ_score_tv
Cox model sensitivity analyses,Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,Heart,NO2 per 10 ppb,71818,9137,1.34 (1.29-1.40),<.001,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,Heart,NO2 per 10 ppb,82122,10772,1.28 (1.23-1.34),<.001,multi_organ_candidate + age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Single-pollutant model without listing center,Heart,NO2 per 10 ppb,82122,10772,1.13 (1.09-1.17),<.001,age + sex + race + zcta_svi_proxy + organ_score_tv
Cox model sensitivity analyses,Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,Kidney,NO2 per 10 ppb,591554,122019,0.91 (0.90-0.92),<.001,age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,Kidney,NO2 per 10 ppb,628132,131452,0.92 (0.91-0.93),<.001,multi_organ_candidate + age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Single-pollutant model without listing center,Kidney,NO2 per 10 ppb,628132,131452,0.86 (0.85-0.87),<.001,age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes
Cox model sensitivity analyses,Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,Liver,NO2 per 10 ppb,204524,39371,1.02 (1.00-1.04),0.039,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,Liver,NO2 per 10 ppb,232844,45481,1.01 (0.99-1.02),0.556,multi_organ_candidate + age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Single-pollutant model without listing center,Liver,NO2 per 10 ppb,232844,45481,1.02 (1.01-1.04),0.002,age + sex + race + zcta_svi_proxy + organ_score_tv
Cox model sensitivity analyses,Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,Lung,NO2 per 10 ppb,49197,5578,1.38 (1.31-1.45),<.001,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,Lung,NO2 per 10 ppb,51932,5939,1.35 (1.28-1.42),<.001,multi_organ_candidate + age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Single-pollutant model without listing center,Lung,NO2 per 10 ppb,51932,5939,1.31 (1.25-1.38),<.001,age + sex + race + zcta_svi_proxy + organ_score_tv
Cox model sensitivity analyses,Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2,Heart,PM2.5 per 5 ug/m3,76760,10342,1.08 (1.04-1.12),<.001,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2,Heart,NO2 per 10 ppb,76760,10342,1.23 (1.18-1.28),<.001,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,Heart,PM2.5 per 5 ug/m3,76760,10342,1.08 (1.04-1.12),<.001,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,Heart,NO2 per 10 ppb,76760,10342,1.23 (1.18-1.29),<.001,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,Heart,O3 per 10 ppb,76760,10342,1.01 (0.99-1.03),0.494,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2,Kidney,PM2.5 per 5 ug/m3,592129,123989,1.01 (1.00-1.02),0.104,age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2,Kidney,NO2 per 10 ppb,592129,123989,0.90 (0.89-0.92),<.001,age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,Kidney,PM2.5 per 5 ug/m3,592129,123989,1.01 (1.00-1.02),0.013,age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,Kidney,NO2 per 10 ppb,592129,123989,0.90 (0.88-0.91),<.001,age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,Kidney,O3 per 10 ppb,592129,123989,0.98 (0.97-0.98),<.001,age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2,Liver,PM2.5 per 5 ug/m3,218837,43864,1.04 (1.02-1.06),<.001,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2,Liver,NO2 per 10 ppb,218837,43864,1.00 (0.98-1.01),0.630,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,Liver,PM2.5 per 5 ug/m3,218837,43864,1.04 (1.03-1.06),<.001,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,Liver,NO2 per 10 ppb,218837,43864,0.99 (0.97-1.01),0.317,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,Liver,O3 per 10 ppb,218837,43864,0.99 (0.98-1.00),0.003,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2,Lung,PM2.5 per 5 ug/m3,48311,5776,1.07 (1.02-1.12),0.004,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2,Lung,NO2 per 10 ppb,48311,5776,1.29 (1.22-1.36),<.001,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,Lung,PM2.5 per 5 ug/m3,48311,5776,1.08 (1.03-1.13),0.001,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,Lung,NO2 per 10 ppb,48311,5776,1.28 (1.21-1.35),<.001,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Cox model sensitivity analyses,Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,Lung,O3 per 10 ppb,48311,5776,0.97 (0.95-1.00),0.069,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Pollution-organ severity associations,Baseline organ severity association,Pollution exposure as predictor of baseline organ severity,Kidney,Prior-year PM2.5 per 5 ug/m3,565015,NA,Mean difference 0.07 (0.06-0.09),<.001,age + sex + race + zcta_svi_proxy + listing_center
Pollution-organ severity associations,Baseline organ severity association,Pollution exposure as predictor of baseline organ severity,Kidney,Prior-year O3 per 10 ppb,565015,NA,Mean difference 0.05 (0.03-0.07),<.001,age + sex + race + zcta_svi_proxy + listing_center
