analysis,model_tier,model_type,organ,organ_label,term,term_type,exposure_label,exposure_window,endpoint,n,people,centers,adverse_events,coefficient,std_error,conf_low,conf_high,hazard_ratio,hr_conf_low,hr_conf_high,p_value,concordance,adjustment_set,variance_estimator,center_adjustment
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,HR,Heart,age,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,0.006185986978668645,7.314476458647783e-4,0.00475234959277368,0.00761962436456361,1.006205159709819,1.0047636599158716,1.00764872757384,2.7391265860445478e-17,0.5283917128747013,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,HR,Heart,sexM,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,-0.02337007686436885,0.023210894249608052,-0.06886342959360063,0.02212327586486293,0.9769008884507754,0.9334541535865599,1.0223698102248768,0.3140029700562057,0.5283917128747013,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,HR,Heart,raceBLACK,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,-0.11548636756692965,0.06714414324072009,-0.247088888318741,0.016116153184881715,0.8909327177349363,0.7810712623342851,1.0162467188440016,0.08543666170047677,0.5283917128747013,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,HR,Heart,raceMULTI,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,-0.078013753499729,0.13615691032321636,-0.34488129773323306,0.18885379073377506,0.9249517051330316,0.7083044258188177,1.2078643386132764,0.5666653618633475,0.5283917128747013,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,HR,Heart,raceMissing,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,-0.04560642769983173,0.3094099104150928,-0.6520498521134136,0.5608369967137502,0.9554179142298328,0.5209767561636152,1.7521384208254538,0.8828178184304816,0.5283917128747013,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,HR,Heart,raceNATIVE,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,0.21388979649509438,0.15759306772159798,-0.09499261623923766,0.5227722092294265,1.2384861617567822,0.9093796490852128,1.686697051562585,0.17470863068531056,0.5283917128747013,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,HR,Heart,racePACIFIC,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,0.10484251130435868,0.20766604938681568,-0.30218294549380004,0.5118679681025173,1.1105356997640272,0.7392028186938837,1.6684048129436364,0.6136563937379508,0.5283917128747013,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,HR,Heart,raceWHITE,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,-0.06459093620592439,0.06411315034436744,-0.19025271088088458,0.06107083846903581,0.9374508621612117,0.8267501787759022,1.0629742109859397,0.31371750338086046,0.5283917128747013,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,HR,Heart,zcta_svi_proxy,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,0.07902808902164891,0.05944849247601556,-0.03749095623134158,0.1955471342746394,1.0822347205578757,0.9632031286676985,1.215976106723231,0.18373121891454744,0.5283917128747013,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,HR,Heart,pm25_prior_5ug,pollutant,Prior-year PM2.5 per 5 ug/m3,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,0.17239548575249408,0.032210194997135684,0.10926350355810814,0.23552746794688,1.1881476357694802,1.1154562383071929,1.265576143558067,8.689008922434517e-8,0.5283050815993484,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
