analysis,model_tier,model_type,organ,organ_label,exposure,exposure_label,exposure_window,endpoint,n,people,centers,adverse_events,hazard_ratio,conf_low,conf_high,p_value,concordance,adjustment_set,variance_estimator,center_adjustment
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,KI,Kidney,no2_prior_10ppb,Prior-year NO2 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,564179,564179,277,123299,0.9028330644208448,0.8912166144484033,0.9146009275377167,5.504829580576983e-54,0.671751321555448,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes,model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,KI,Kidney,pm25_prior_5ug,Prior-year PM2.5 per 5 ug/m3,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,564179,564179,277,123299,0.9615288282238382,0.9452099791467792,0.9781294187563147,7.05717059096721e-6,0.6716998577466177,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes,model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,KI,Kidney,no2_prior_10ppb,Prior-year NO2 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,564179,564179,277,123299,0.8997073450397568,0.8868861950967818,0.9127138421972548,3.256140985081328e-47,0.6716998577466177,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes,model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,KI,Kidney,o3_prior_10ppb,Prior-year O3 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,564179,564179,277,123299,0.9896559719443299,0.9714646363041207,1.0081879527094442,0.2719962602157245,0.6716998577466177,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes,model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Unadjusted,Single-pollutant PM2.5,LI,Liver,pm25_prior_5ug,Prior-year PM2.5 per 5 ug/m3,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,208792,208792,NA,42137,1.038749841760291,1.0209273149990632,1.056883499838595,1.6659531613945665e-5,0.5136740641538378,None,model_based,none
Initial-listing prior-year cause-specific Cox,Unadjusted,Single-pollutant O3,LI,Liver,o3_prior_10ppb,Prior-year O3 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,208792,208792,NA,42137,0.9703992717307134,0.9511188508792394,0.9900705318846219,0.00334025846818229,0.5064276891627377,None,model_based,none
Initial-listing prior-year cause-specific Cox,Unadjusted,Single-pollutant NO2,LI,Liver,no2_prior_10ppb,Prior-year NO2 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,222766,222766,NA,42883,1.025634813379617,1.0110394370163613,1.0404408887555776,5.375752623120102e-4,0.5137312400533063,None,model_based,none
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2,LI,Liver,pm25_prior_5ug,Prior-year PM2.5 per 5 ug/m3,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,208792,208792,NA,42137,1.0344677108241378,1.013523112327964,1.0558451324112015,0.001165982965128081,0.514565478501112,None,model_based,none
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2,LI,Liver,no2_prior_10ppb,Prior-year NO2 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,208792,208792,NA,42137,1.0064900112391968,0.9894714480614573,1.023801287757177,0.45718335807128607,0.514565478501112,None,model_based,none
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2 + O3,LI,Liver,pm25_prior_5ug,Prior-year PM2.5 per 5 ug/m3,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,208792,208792,NA,42137,1.049913324203478,1.0271963753286166,1.0731326694833283,1.2757468853075623e-5,0.5131905322815741,None,model_based,none
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2 + O3,LI,Liver,no2_prior_10ppb,Prior-year NO2 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,208792,208792,NA,42137,0.9937995441344359,0.9758071375123026,1.0121237035011552,0.50463089765203,0.5131905322815741,None,model_based,none
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2 + O3,LI,Liver,o3_prior_10ppb,Prior-year O3 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,208792,208792,NA,42137,0.9588806009412509,0.9381089437661321,0.9801121852332232,1.714525791523893e-4,0.5131905322815741,None,model_based,none
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,LI,Liver,pm25_prior_5ug,Prior-year PM2.5 per 5 ug/m3,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,208592,208592,158,42101,1.025240154797539,1.0023526709248645,1.0486502460650124,0.03046700597082882,0.5517715235335523,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
