zip,waitlist_candidates,waitlist_episodes,count_bin
01473,33,34,<50
01474,4,4,<50
01475,41,44,<50
01496,1,1,<50
01501,75,80,50-99
01503,14,14,<50
01504,29,30,<50
01505,10,10,<50
01506,16,16,<50
01507,44,45,<50
01508,4,4,<50
01509,1,1,<50
01510,64,66,50-99
01515,11,11,<50
01516,33,35,<50
01517,1,1,<50
01518,7,7,<50
01519,24,26,<50
01520,59,62,50-99
01521,9,9,<50
01522,14,14,<50
01523,17,17,<50
01524,23,24,<50
01525,2,2,<50
01526,1,1,<50
01527,56,58,50-99
01529,9,10,<50
01531,4,4,<50
01532,46,47,<50
01534,22,24,<50
01535,20,21,<50
01536,22,24,<50
01537,5,5,<50
01538,1,1,<50
01540,65,65,50-99
01541,11,11,<50
01542,8,8,<50
01543,30,33,<50
01545,188,195,100-249
01550,63,64,50-99
01551,1,1,<50
01556,1,1,<50
01560,14,14,<50
01561,4,4,<50
01562,58,60,50-99
01564,31,31,<50
01566,30,31,<50
01568,24,26,<50
01569,50,55,50-99
01570,79,83,50-99
01571,53,55,50-99
01574,1,1,<50
01576,1,1,<50
01581,62,66,50-99
01583,31,33,<50
01585,20,21,<50
01588,38,39,<50
01590,32,35,<50
01601,6,6,<50
01602,93,93,50-99
01603,105,110,100-249
01604,161,164,100-249
01605,170,177,100-249
01606,86,89,50-99
01607,48,51,<50
01608,27,27,<50
01609,89,91,50-99
01610,121,122,100-249
01611,10,10,<50
01612,13,15,<50
01613,5,5,<50
01644,1,1,<50
01655,3,3,<50
01690,1,1,<50
01701,97,100,50-99
01702,108,111,100-249
01705,1,1,<50
01712,1,1,<50
01718,1,2,<50
01719,12,12,<50
01720,35,36,<50
01721,46,48,<50
01730,34,35,<50
01731,4,4,<50
01740,11,11,<50
01741,8,8,<50
01742,28,29,<50
01745,1,1,<50
01746,35,37,<50
01747,18,18,<50
01748,42,42,<50
01749,68,69,50-99
01752,140,146,100-249
01754,23,24,<50
01756,21,21,<50
01757,98,102,50-99
01760,89,90,50-99
01766,1,1,<50
01770,12,13,<50
01772,25,25,<50
01773,13,13,<50
01775,22,25,<50
01776,29,29,<50
01778,29,31,<50
01801,123,124,100-249
01802,2,2,<50
01803,99,103,50-99
01805,60,60,50-99
01809,1,1,<50
01810,83,85,50-99
01819,1,1,<50
01820,2,2,<50
01821,105,106,100-249
01822,1,1,<50
01823,1,1,<50
01824,63,66,50-99
01826,114,121,100-249
01827,5,5,<50
01830,107,111,100-249
01831,2,2,<50
01832,73,74,50-99
01833,20,20,<50
01834,22,23,<50
01835,42,43,<50
01836,1,1,<50
01840,30,30,<50
01841,231,235,100-249
01842,6,6,<50
01843,128,134,100-249
01844,192,201,100-249
01845,67,68,50-99
01850,55,57,50-99
01851,157,165,100-249
01852,142,148,100-249
01853,6,6,<50
01854,101,102,100-249
01860,15,16,<50
01862,34,34,<50
01863,29,30,<50
01864,39,40,<50
01865,1,1,<50
01866,1,1,<50
01867,72,75,50-99
01874,1,1,<50
01875,1,1,<50
01876,98,100,50-99
01879,35,37,<50
01880,89,92,50-99
01881,1,1,<50
01885,1,1,<50
01886,51,54,50-99
01887,74,80,50-99
01888,4,4,<50
01890,49,50,<50
01901,14,14,<50
01902,193,200,100-249
01903,2,2,<50
01904,77,80,50-99
01905,106,108,100-249
01906,127,133,100-249
01907,56,58,50-99
01908,13,15,<50
01913,53,56,50-99
01915,111,115,100-249
01920,2,2,<50
01921,20,20,<50
01922,10,10,<50
01923,85,89,50-99
01929,17,18,<50
01930,92,94,50-99
01931,1,1,<50
01936,2,2,<50
01938,45,47,<50
01940,33,34,<50
01944,16,16,<50
01945,45,50,<50
01949,30,31,<50
01950,52,53,50-99
01951,7,7,<50
01952,34,36,<50
01954,1,1,<50
01960,175,181,100-249
01965,2,2,<50
01966,19,20,<50
01969,14,17,<50
01970,151,157,100-249
01982,20,22,<50
01983,14,15,<50
01984,8,8,<50
01985,12,12,<50
02005,1,1,<50
02019,63,66,50-99
02020,5,5,<50
02021,74,78,50-99
02025,17,18,<50
02026,87,91,50-99
02030,11,11,<50
02032,9,10,<50
02035,50,53,50-99
02038,93,97,50-99
02041,1,1,<50
02043,41,42,<50
02045,48,52,<50
02047,1,1,<50
02048,54,57,50-99
02050,78,80,50-99
02051,3,3,<50
02052,22,23,<50
02053,28,29,<50
02054,29,30,<50
02056,27,27,<50
02059,1,1,<50
02061,19,23,<50
02062,103,110,100-249
02066,56,59,50-99
02067,39,40,<50
02071,2,2,<50
02072,112,118,100-249
02073,1,1,<50
02081,52,55,50-99
02090,27,28,<50
02093,30,31,<50
02101,1,1,<50
02102,1,1,<50
02105,1,1,<50
02108,7,8,<50
02109,12,12,<50
02110,10,11,<50
02111,27,28,<50
02112,4,4,<50
02113,13,14,<50
02114,39,40,<50
02115,46,48,<50
02116,63,65,50-99
02117,2,2,<50
02118,93,94,50-99
02119,188,191,100-249
02120,54,57,50-99
02121,160,166,100-249
02122,97,99,50-99
02123,1,1,<50
02124,294,302,250-499
02125,138,143,100-249
02126,151,154,100-249
02127,67,71,50-99
02128,123,127,100-249
02129,45,47,<50
02130,107,113,100-249
02131,139,142,100-249
02132,94,97,50-99
02134,33,33,<50
02135,80,84,50-99
02136,174,180,100-249
02137,1,1,<50
02138,59,61,50-99
02139,89,91,50-99
02140,57,59,50-99
02141,34,36,<50
02142,4,5,<50
02143,59,60,50-99
02144,46,47,<50
02145,83,85,50-99
02146,1,1,<50
02147,1,1,<50
02148,200,208,100-249
02149,165,172,100-249
02150,189,197,100-249
02151,231,242,100-249
02152,60,62,50-99
02153,1,1,<50
02155,155,163,100-249
02156,1,1,<50
02159,1,1,<50
02164,1,1,<50
02169,178,184,100-249
02170,50,52,50-99
02171,68,72,50-99
02172,1,1,<50
02173,1,1,<50
02174,3,3,<50
02175,1,1,<50
02176,82,86,50-99
02178,1,1,<50
02180,67,70,50-99
02181,2,2,<50
02184,128,130,100-249
02186,82,84,50-99
02187,1,1,<50
02188,51,53,50-99
02189,42,45,<50
02190,47,50,<50
02191,21,22,<50
02193,1,1,<50
02195,1,1,<50
02196,1,1,<50
02199,3,3,<50
02205,1,1,<50
02210,9,11,<50
02212,1,1,<50
02213,1,1,<50
02215,23,23,<50
02222,1,1,<50
02227,2,2,<50
02230,1,1,<50
02233,1,1,<50
02238,2,2,<50
02255,1,1,<50
02272,1,1,<50
02301,278,284,250-499
02302,163,166,100-249
02303,5,5,<50
02304,2,2,<50
02305,1,1,<50
02306,1,1,<50
02310,2,2,<50
02316,1,1,<50
02322,20,22,<50
02324,61,62,50-99
02327,1,1,<50
02330,45,48,<50
02331,2,2,<50
02332,37,40,<50
02333,45,48,<50
02334,2,2,<50
02338,21,21,<50
02339,44,46,<50
02341,36,37,<50
02343,45,50,<50
02344,1,1,<50
02345,6,6,<50
02346,66,71,50-99
02347,34,37,<50
02350,1,1,<50
02351,47,50,<50
02352,1,1,<50
02355,4,4,<50
02356,44,44,<50
02358,3,3,<50
02359,63,66,50-99
02360,184,197,100-249
02361,1,1,<50
02362,3,3,<50
02364,44,45,<50
02367,5,5,<50
02368,182,190,100-249
02370,57,63,50-99
02375,30,30,<50
02379,23,23,<50
02382,45,49,<50
02401,1,1,<50
02408,1,1,<50
02410,1,1,<50
02420,35,36,<50
02421,26,29,<50
02440,1,1,<50
02445,40,42,<50
02446,46,46,<50
02448,1,1,<50
02451,60,64,50-99
02452,47,47,<50
02453,66,66,50-99
02454,3,3,<50
02455,2,2,<50
02458,34,36,<50
02459,31,32,<50
02460,24,24,<50
02461,19,19,<50
02462,3,3,<50
02464,7,8,<50
02465,36,36,<50
02466,18,18,<50
02467,38,39,<50
02468,10,10,<50
02470,1,1,<50
02471,3,3,<50
02472,100,109,100-249
02473,1,1,<50
02474,63,67,50-99
02476,43,44,<50
02478,48,50,<50
02481,24,25,<50
02482,20,21,<50
02492,40,40,<50
02493,21,21,<50
02494,21,21,<50
02511,1,1,<50
02532,35,38,<50
02534,2,2,<50
02535,4,4,<50
02536,61,64,50-99
02537,16,16,<50
02538,19,19,<50
02539,9,9,<50
02540,19,19,<50
02541,3,3,<50
02542,2,2,<50
02543,1,1,<50
02549,1,1,<50
02553,4,4,<50
02554,28,31,<50
02556,5,5,<50
02557,12,14,<50
02558,8,8,<50
02559,10,10,<50
02561,1,1,<50
02562,14,15,<50
02563,31,34,<50
02564,1,2,<50
02567,1,1,<50
02568,24,26,<50
02571,24,25,<50
02574,1,1,<50
02575,2,3,<50
02576,15,15,<50
02577,1,1,<50
02584,2,2,<50
02588,1,1,<50
02601,41,43,<50
02605,1,1,<50
02630,7,8,<50
02631,31,32,<50
02632,29,30,<50
02633,15,15,<50
02635,8,8,<50
02637,2,2,<50
02638,13,14,<50
02639,17,19,<50
02641,2,3,<50
02642,6,7,<50
02643,3,3,<50
02644,15,15,<50
02645,23,24,<50
02646,10,12,<50
02648,25,28,<50
02649,52,53,50-99
02650,5,5,<50
02651,5,5,<50
02652,3,3,<50
02653,9,10,<50
02655,15,18,<50
02657,18,18,<50
02659,4,4,<50
02660,26,26,<50
02661,1,1,<50
02662,2,2,<50
02663,3,3,<50
02664,30,30,<50
02666,6,6,<50
02667,8,8,<50
02668,8,9,<50
02669,2,3,<50
02670,11,12,<50
02671,3,3,<50
02672,2,2,<50
02673,24,26,<50
02675,23,26,<50
02676,2,2,<50
02702,11,11,<50
02703,127,135,100-249
02705,1,1,<50
02712,1,1,<50
02714,1,1,<50
02715,11,11,<50
02717,16,17,<50
02718,17,19,<50
02719,47,51,<50
02720,113,121,100-249
02721,93,100,50-99
02722,3,3,<50
02723,49,50,<50
02724,42,45,<50
02725,4,4,<50
02726,42,46,<50
02738,15,15,<50
02739,18,18,<50
02740,173,182,100-249
02741,1,1,<50
02742,1,1,<50
02743,33,35,<50
02744,46,52,<50
02745,78,81,50-99
02746,53,57,50-99
02747,57,58,50-99
02748,29,31,<50
02760,72,74,50-99
02762,34,35,<50
02763,7,7,<50
02764,10,10,<50
02766,48,51,<50
02767,46,49,<50
02768,2,2,<50
02769,37,40,<50
02770,11,13,<50
02771,32,35,<50
02777,43,44,<50
02779,15,15,<50
02780,174,182,100-249
02781,1,1,<50
02790,43,49,<50
02802,1,1,<50
02804,11,11,<50
02806,29,30,<50
02807,1,1,<50
02808,8,8,<50
02809,63,65,50-99
02812,1,3,<50
02813,22,23,<50
02814,16,16,<50
02816,93,95,50-99
02817,19,20,<50
02818,58,61,50-99
02820,1,1,<50
02822,23,25,<50
02823,1,1,<50
02824,3,3,<50
02825,21,21,<50
02826,2,2,<50
02827,6,6,<50
02828,13,14,<50
02829,1,2,<50
02830,23,24,<50
02831,12,13,<50
02832,10,10,<50
02833,3,3,<50
02835,19,19,<50
02837,5,5,<50
02838,11,13,<50
02839,6,6,<50
02840,52,54,50-99
02842,46,48,<50
02852,62,64,50-99
02854,1,1,<50
02857,22,22,<50
02858,1,1,<50
02859,13,13,<50
02860,139,143,100-249
02861,80,81,50-99
02862,1,1,<50
02863,47,50,<50
02864,69,72,50-99
02865,50,53,50-99
02871,46,48,<50
02874,12,12,<50
02876,2,2,<50
02878,38,39,<50
02879,60,63,50-99
02880,1,1,<50
02881,8,8,<50
02882,42,43,<50
02883,2,2,<50
02885,25,27,<50
02886,82,86,50-99
02887,1,1,<50
02888,66,67,50-99
02889,85,86,50-99
02891,48,48,<50
02892,10,10,<50
02893,89,91,50-99
02894,2,3,<50
02895,124,128,100-249
02896,27,29,<50
02898,5,5,<50
02901,2,2,<50
02902,1,1,<50
02903,36,37,<50
02904,111,114,100-249
02905,87,89,50-99
02906,42,43,<50
02907,123,125,100-249
02908,97,97,50-99
02909,121,126,100-249
02910,65,70,50-99
02911,42,43,<50
02914,66,68,50-99
02915,36,36,<50
02916,27,27,<50
02917,28,28,<50
02918,1,1,<50
02919,87,93,50-99
02920,97,102,50-99
02921,33,33,<50
02929,1,1,<50
02935,1,1,<50
02940,1,1,<50
02954,1,1,<50
02965,1,1,<50
03031,28,28,<50
03032,23,23,<50
03033,9,10,<50
03034,7,7,<50
03036,11,12,<50
03037,12,13,<50
03038,89,92,50-99
03041,1,1,<50
03042,15,15,<50
03044,11,11,<50
03045,34,35,<50
03046,5,6,<50
03047,2,3,<50
03048,12,13,<50
03049,19,20,<50
03050,1,1,<50
03051,67,73,50-99
03052,18,20,<50
03053,70,74,50-99
03054,77,81,50-99
03055,36,36,<50
03056,1,1,<50
03057,10,10,<50
03060,73,75,50-99
03061,1,1,<50
03062,72,74,50-99
03063,48,50,<50
03064,37,40,<50
03070,14,14,<50
03071,12,13,<50
03075,1,1,<50
03076,34,37,<50
03077,29,33,<50
03079,75,78,50-99
03082,5,5,<50
03084,4,4,<50
03086,6,6,<50
03087,32,33,<50
03101,10,10,<50
03102,81,82,50-99
03103,92,94,50-99
03104,91,98,50-99
03105,1,1,<50
03106,33,33,<50
03108,2,2,<50
03109,19,19,<50
03110,36,36,<50
03120,1,1,<50
03216,4,4,<50
03217,9,9,<50
03218,4,5,<50
03220,11,12,<50
03221,7,7,<50
03222,16,17,<50
03223,7,7,<50
03224,6,6,<50
03225,6,6,<50
03226,5,5,<50
03227,1,1,<50
03229,13,15,<50
03233,2,2,<50
03234,15,18,<50
03235,27,28,<50
03237,6,6,<50
03240,6,6,<50
03241,2,2,<50
03242,5,7,<50
03243,3,3,<50
03244,28,29,<50
03245,3,3,<50
03246,28,29,<50
03249,19,20,<50
03251,4,4,<50
03253,10,10,<50
03254,10,10,<50
03255,5,5,<50
03256,6,6,<50
03257,16,16,<50
03258,7,7,<50
03259,1,1,<50
03260,1,1,<50
03261,11,11,<50
03262,3,3,<50
03263,9,9,<50
03264,13,14,<50
03266,8,8,<50
03268,2,2,<50
03269,9,10,<50
03273,1,1,<50
03275,25,26,<50
03276,26,28,<50
03278,6,7,<50
03279,3,3,<50
03280,4,4,<50
03281,19,20,<50
03282,2,2,<50
03284,2,2,<50
03285,4,4,<50
03287,6,6,<50
03289,1,1,<50
03290,8,9,<50
03292,1,1,<50
03293,3,3,<50
03301,80,83,50-99
03302,5,6,<50
03303,39,42,<50
03304,22,23,<50
03307,11,11,<50
03390,1,1,<50
03394,1,1,<50
03431,52,53,50-99
03440,9,9,<50
03442,5,7,<50
03444,5,5,<50
03445,1,1,<50
03446,20,20,<50
03447,11,11,<50
03448,2,3,<50
03449,8,9,<50
03450,5,5,<50
03451,8,8,<50
03452,9,9,<50
03455,6,6,<50
03456,2,2,<50
03457,2,3,<50
03458,13,14,<50
03461,11,11,<50
03462,5,5,<50
03465,8,8,<50
03466,1,1,<50
03467,4,4,<50
03468,1,1,<50
03469,2,2,<50
03470,13,13,<50
03535,1,1,<50
03557,1,1,<50
03561,11,11,<50
03570,19,20,<50
03574,4,4,<50
03576,7,7,<50
03579,1,1,<50
03580,1,1,<50
03581,9,9,<50
03582,9,10,<50
03583,3,3,<50
03584,13,14,<50
03585,6,6,<50
03588,2,2,<50
03590,1,1,<50
03592,5,5,<50
03593,1,1,<50
03595,1,1,<50
03598,2,2,<50
03601,2,2,<50
03602,8,9,<50
03603,13,13,<50
03608,5,6,<50
03609,1,1,<50
03629,1,1,<50
03662,1,1,<50
03740,1,1,<50
03741,8,9,<50
03743,27,29,<50
03745,3,3,<50
03746,1,1,<50
03748,9,9,<50
03750,3,3,<50
03752,1,1,<50
03753,11,11,<50
03754,1,1,<50
03755,8,8,<50
03756,4,4,<50
03765,1,1,<50
03766,14,14,<50
03768,3,3,<50
03770,2,2,<50
03771,1,1,<50
03773,20,21,<50
03774,1,1,<50
03777,4,4,<50
03779,1,1,<50
03780,1,1,<50
03781,3,3,<50
03782,9,9,<50
03784,9,9,<50
03785,7,7,<50
03801,54,55,50-99
03802,1,1,<50
03809,13,13,<50
03810,6,6,<50
03811,15,16,<50
03812,2,3,<50
03813,11,11,<50
03814,12,12,<50
03815,2,2,<50
03816,5,5,<50
03817,1,1,<50
03818,12,13,<50
03819,13,13,<50
03820,68,71,50-99
03821,4,4,<50
03823,1,2,<50
03824,7,7,<50
03825,18,20,<50
03826,10,10,<50
03827,16,16,<50
03830,2,3,<50
03833,54,56,50-99
03835,23,23,<50
03836,4,4,<50
03837,4,5,<50
03838,2,2,<50
03839,8,9,<50
03840,6,7,<50
03841,12,13,<50
03842,48,50,<50
03843,4,4,<50
03844,4,5,<50
03845,1,1,<50
03846,2,2,<50
03848,14,16,<50
03849,8,8,<50
03850,2,2,<50
03851,13,13,<50
03852,1,1,<50
03853,1,1,<50
03854,3,4,<50
03855,7,8,<50
03856,3,3,<50
03857,21,21,<50
03858,16,16,<50
03860,16,16,<50
03861,11,12,<50
03862,10,11,<50
03864,2,2,<50
03865,28,30,<50
03866,1,1,<50
03867,60,63,50-99
03868,16,18,<50
03869,6,6,<50
03870,13,13,<50
03871,3,3,<50
03872,11,11,<50
03873,20,20,<50
03874,27,28,<50
03878,29,30,<50
03882,4,4,<50
03883,1,1,<50
03884,5,5,<50
03885,13,13,<50
03886,2,2,<50
03887,5,5,<50
03894,22,23,<50
03896,3,3,<50
03899,1,1,<50
03901,11,11,<50
03902,2,2,<50
03903,13,13,<50
03904,19,21,<50
03905,2,2,<50
03906,9,9,<50
03907,1,1,<50
03908,17,17,<50
03909,21,21,<50
03910,1,1,<50
03911,1,1,<50
03948,1,1,<50
04001,2,2,<50
04002,22,23,<50
04003,1,1,<50
04004,2,3,<50
04005,62,65,50-99
04008,7,8,<50
04009,16,17,<50
04010,3,3,<50
04011,45,46,<50
04012,1,1,<50
04015,9,9,<50
04016,2,2,<50
04020,1,1,<50
04021,12,13,<50
04027,18,18,<50
04029,5,5,<50
04030,4,4,<50
04032,20,21,<50
04034,1,1,<50
04036,1,1,<50
04037,3,3,<50
04038,40,40,<50
04039,25,26,<50
04040,6,6,<50
04041,5,5,<50
04042,11,11,<50
04043,19,22,<50
04046,17,17,<50
04047,12,12,<50
04048,5,5,<50
04049,11,11,<50
04051,1,1,<50
04054,2,2,<50
04055,6,6,<50
04056,2,2,<50
04057,1,1,<50
04061,9,9,<50
04062,39,40,<50
04063,1,1,<50
04064,27,27,<50
04068,3,4,<50
04069,5,6,<50
04070,3,3,<50
04071,11,13,<50
04072,46,48,<50
04073,44,46,<50
04074,41,43,<50
04076,7,7,<50
04077,3,3,<50
04078,1,1,<50
04079,12,12,<50
04083,7,7,<50
04084,12,13,<50
04085,6,6,<50
04086,38,38,<50
04087,6,6,<50
04088,3,3,<50
04090,25,27,<50
04091,4,4,<50
04092,53,58,50-99
04093,16,17,<50
04095,4,4,<50
04096,16,17,<50
04097,9,9,<50
04101,45,47,<50
04102,49,50,<50
04103,70,73,50-99
04105,21,22,<50
04106,59,61,50-99
04107,18,19,<50
04110,3,3,<50
04112,2,2,<50
04113,1,1,<50
04116,1,1,<50
04119,1,1,<50
04136,2,2,<50
04153,1,1,<50
04172,1,1,<50
04210,54,57,50-99
04211,1,1,<50
04212,2,2,<50
04217,5,5,<50
04219,3,3,<50
04220,4,4,<50
04221,2,2,<50
04222,10,10,<50
04223,1,1,<50
04224,8,9,<50
04226,1,1,<50
04230,1,1,<50
04231,1,1,<50
04236,10,11,<50
04238,1,1,<50
04239,7,7,<50
04240,79,86,50-99
04250,12,12,<50
04252,10,10,<50
04253,1,1,<50
04254,8,8,<50
04255,4,4,<50
04256,10,10,<50
04257,5,5,<50
04258,7,7,<50
04259,12,12,<50
04260,12,12,<50
04261,2,2,<50
04263,9,9,<50
04265,3,3,<50
04268,10,10,<50
04270,20,20,<50
04274,18,19,<50
04276,12,13,<50
04280,17,17,<50
04281,11,11,<50
04282,8,8,<50
