time,survival,std_error,n_risk,n_event,n_censor,strata,quartile,pollutant,pollutant_label,unit_label,organ,adverse_probability,survival_percent,adverse_probability_percent
3,0.6928655207440128,0.007105979484911786,1407,449,2387,quartile=Q1 lowest,Q1 lowest,o3,O[3],ppb,Heart,0.30713447925598725,69.28655207440127,30.713447925598725
5,0.596424898222306,0.009724303695217719,621,147,639,quartile=Q1 lowest,Q1 lowest,o3,O[3],ppb,Heart,0.40357510177769396,59.6424898222306,40.3575101777694
10,0.4689694723335491,0.016821014036009097,115,73,433,quartile=Q1 lowest,Q1 lowest,o3,O[3],ppb,Heart,0.5310305276664509,46.89694723335491,53.103052766645085
1,0.8422110278613993,0.0036254212161555416,5400,1793,11328,quartile=Q2,Q2,o3,O[3],ppb,Heart,0.15778897213860066,84.22110278613994,15.778897213860066
3,0.7116236763532674,0.006092557615577326,1962,562,2876,quartile=Q2,Q2,o3,O[3],ppb,Heart,0.2883763236467326,71.16236763532675,28.83763236467326
5,0.6040674811751966,0.008617732349380465,840,218,904,quartile=Q2,Q2,o3,O[3],ppb,Heart,0.3959325188248034,60.40674811751966,39.59325188248034
10,0.46392166766032256,0.01532155688700299,138,101,601,quartile=Q2,Q2,o3,O[3],ppb,Heart,0.5360783323396774,46.392166766032254,53.60783323396774
1,0.8333783001762087,0.0039034309533589303,4581,1747,11650,quartile=Q3,Q3,o3,O[3],ppb,Heart,0.16662169982379127,83.33783001762087,16.662169982379126
3,0.7045724390175684,0.006629105168699689,1511,466,2604,quartile=Q3,Q3,o3,O[3],ppb,Heart,0.2954275609824316,70.45724390175684,29.54275609824316
5,0.5971594133209939,0.009512285122149806,710,174,627,quartile=Q3,Q3,o3,O[3],ppb,Heart,0.40284058667900613,59.71594133209939,40.28405866790061
10,0.4842042308285963,0.013955110568763045,200,86,424,quartile=Q3,Q3,o3,O[3],ppb,Heart,0.5157957691714037,48.42042308285963,51.57957691714037
1,0.8102251502283332,0.004461944338069473,3394,1812,12564,quartile=Q4 highest,Q4 highest,o3,O[3],ppb,Heart,0.1897748497716668,81.02251502283332,18.977484977166682
3,0.6619717977661228,0.008136105649893652,996,384,2014,quartile=Q4 highest,Q4 highest,o3,O[3],ppb,Heart,0.3380282022338772,66.19717977661227,33.80282022338772
5,0.5690920424081519,0.011192084394167506,440,103,453,quartile=Q4 highest,Q4 highest,o3,O[3],ppb,Heart,0.4309079575918481,56.90920424081519,43.09079575918481
10,0.45574984142100256,0.01826070882918607,104,49,287,quartile=Q4 highest,Q4 highest,o3,O[3],ppb,Heart,0.5442501585789974,45.574984142100256,54.42501585789974
1,0.8471957821306321,0.003630856412724229,5064,1715,12674,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],µg/m³,Heart,0.15280421786936793,84.7195782130632,15.280421786936794
3,0.7147172169217049,0.006443850683539456,1676,507,2881,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],µg/m³,Heart,0.28528278307829513,71.47172169217049,28.528278307829513
5,0.6085657724443184,0.009259029520574637,705,183,788,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],µg/m³,Heart,0.3914342275556816,60.85657724443184,39.14342275556816
10,0.4700562144224131,0.017074346901172547,115,80,510,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],µg/m³,Heart,0.5299437855775869,47.005621442241306,52.994378557758694
1,0.848594708188988,0.0037071512366578623,4854,1612,11627,quartile=Q2,Q2,pm25,PM[2.5],µg/m³,Heart,0.15140529181101203,84.8594708188988,15.140529181101204
3,0.7197253235765617,0.0064259170891080965,1682,490,2682,quartile=Q2,Q2,pm25,PM[2.5],µg/m³,Heart,0.2802746764234383,71.97253235765618,28.02746764234383
5,0.6331845120302555,0.008818731454109925,771,151,760,quartile=Q2,Q2,pm25,PM[2.5],µg/m³,Heart,0.3668154879697445,63.318451203025546,36.681548796974454
10,0.5171269657044861,0.015075584234828096,170,76,525,quartile=Q2,Q2,pm25,PM[2.5],µg/m³,Heart,0.48287303429551387,51.712696570448614,48.287303429551386
1,0.8328213930309909,0.004017132368047381,4463,1647,10665,quartile=Q3,Q3,pm25,PM[2.5],µg/m³,Heart,0.1671786069690091,83.28213930309909,16.71786069690091
3,0.6997810568045049,0.006765990584920118,1558,471,2434,quartile=Q3,Q3,pm25,PM[2.5],µg/m³,Heart,0.30021894319549514,69.97810568045048,30.021894319549514
5,0.5942986785861516,0.009499655043170551,713,173,672,quartile=Q3,Q3,pm25,PM[2.5],µg/m³,Heart,0.4057013214138484,59.42986785861516,40.57013214138484
10,0.4838370812181408,0.014035613308744555,189,84,440,quartile=Q3,Q3,pm25,PM[2.5],µg/m³,Heart,0.5161629187818593,48.38370812181408,51.616291878185926
1,0.7827604597127814,0.004759570213966944,3237,2034,11722,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],µg/m³,Heart,0.2172395402872186,78.27604597127814,21.72395402872186
3,0.6309182076106541,0.008258845745186637,960,393,1884,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],µg/m³,Heart,0.3690817923893459,63.09182076106541,36.90817923893459
5,0.5146747588104574,0.011459287180027991,422,135,403,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],µg/m³,Heart,0.48532524118954257,51.46747588104574,48.53252411895426
10,0.37277056763660876,0.018056922706798293,83,69,270,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],µg/m³,Heart,0.6272294323633912,37.27705676366087,62.72294323633913
1,0.9558143738786636,6.20211090356078e-4,83755,5007,66786,quartile=Q1 lowest,Q1 lowest,no2,NO[2],ppb,Kidney,0.04418562612133636,95.58143738786636,4.418562612133636
3,0.8153651988676172,0.0015560354330323252,34179,8334,41242,quartile=Q1 lowest,Q1 lowest,no2,NO[2],ppb,Kidney,0.18463480113238284,81.53651988676171,18.463480113238283
5,0.6563760949746236,0.002454688928087535,13905,4866,15408,quartile=Q1 lowest,Q1 lowest,no2,NO[2],ppb,Kidney,0.34362390502537643,65.63760949746236,34.36239050253764
10,0.39278735239755935,0.004322412430509828,2230,3215,8460,quartile=Q1 lowest,Q1 lowest,no2,NO[2],ppb,Kidney,0.6072126476024406,39.27873523975593,60.72126476024407
1,0.9539878267746196,5.898693381185665e-4,106123,5868,41417,quartile=Q2,Q2,no2,NO[2],ppb,Kidney,0.046012173225380426,95.39878267746195,4.601217322538043
3,0.8174800057098762,0.0012954381064040619,53207,11654,41262,quartile=Q2,Q2,no2,NO[2],ppb,Kidney,0.18251999429012378,81.74800057098763,18.25199942901238
5,0.6666784092812538,0.0019249076172872066,24495,7497,21215,quartile=Q2,Q2,no2,NO[2],ppb,Kidney,0.33332159071874623,66.66784092812537,33.33215907187462
10,0.40866177486036753,0.0031968559987921295,4431,5740,14324,quartile=Q2,Q2,no2,NO[2],ppb,Kidney,0.5913382251396324,40.866177486036754,59.13382251396324
1,0.9538978760674862,5.804983585511994e-4,110274,6078,40636,quartile=Q3,Q3,no2,NO[2],ppb,Kidney,0.04610212393251378,95.38978760674863,4.610212393251379
3,0.8291581760722562,0.0012024588984841235,62224,11643,36407,quartile=Q3,Q3,no2,NO[2],ppb,Kidney,0.17084182392774383,82.91581760722562,17.084182392774384
5,0.6825070369254057,0.0017628628473670132,31003,8633,22588,quartile=Q3,Q3,no2,NO[2],ppb,Kidney,0.3174929630745943,68.25070369254057,31.749296307459428
10,0.4233680554290322,0.002911185210719157,5684,7084,18235,quartile=Q3,Q3,no2,NO[2],ppb,Kidney,0.5766319445709678,42.33680554290322,57.66319445709678
1,0.9486384443662673,5.934414444301684e-4,117635,7165,37011,quartile=Q4 highest,Q4 highest,no2,NO[2],ppb,Kidney,0.05136155563373268,94.86384443662674,5.1361555633732685
3,0.8194686072780001,0.0011649984694070952,71375,13415,32845,quartile=Q4 highest,Q4 highest,no2,NO[2],ppb,Kidney,0.18053139272199992,81.94686072780001,18.053139272199992
5,0.6758589378097805,0.0016229909704664745,38625,10227,22523,quartile=Q4 highest,Q4 highest,no2,NO[2],ppb,Kidney,0.32414106219021954,67.58589378097804,32.41410621902195
10,0.39803796365700334,0.002572633869333184,7168,9815,21642,quartile=Q4 highest,Q4 highest,no2,NO[2],ppb,Kidney,0.6019620363429967,39.803796365700336,60.19620363429967
1,0.9520231713122649,6.199852070097107e-4,100026,5758,36322,quartile=Q1 lowest,Q1 lowest,o3,O[3],ppb,Kidney,0.04797682868773512,95.2023171312265,4.797682868773512
3,0.826323755640493,0.0012632118195221944,57842,10735,31449,quartile=Q1 lowest,Q1 lowest,o3,O[3],ppb,Kidney,0.17367624435950701,82.6323755640493,17.367624435950702
5,0.6825996976644735,0.0018081888023099074,29961,8085,19796,quartile=Q1 lowest,Q1 lowest,o3,O[3],ppb,Kidney,0.3174003023355265,68.25996976644734,31.740030233552652
10,0.4062415954442977,0.003001505413933096,5237,7245,17479,quartile=Q1 lowest,Q1 lowest,o3,O[3],ppb,Kidney,0.5937584045557023,40.62415954442977,59.37584045557023
1,0.9563492727261689,6.049979629491426e-4,96237,5032,36588,quartile=Q2,Q2,o3,O[3],ppb,Kidney,0.043650727273831125,95.63492727261689,4.3650727273831125
3,0.8309226317000848,0.0012952835264463196,52588,10033,33616,quartile=Q2,Q2,o3,O[3],ppb,Kidney,0.16907736829991515,83.09226317000848,16.907736829991514
5,0.6846157077187259,0.0019294823699560013,24587,7147,20854,quartile=Q2,Q2,o3,O[3],ppb,Kidney,0.31538429228127407,68.46157077187259,31.538429228127406
10,0.43818405545297034,0.0033199021270623975,4321,5139,15127,quartile=Q2,Q2,o3,O[3],ppb,Kidney,0.5618159445470297,43.81840554529703,56.18159445470297
1,0.9574574129774613,5.982488605549264e-4,94783,4903,39779,quartile=Q3,Q3,o3,O[3],ppb,Kidney,0.04254258702253866,95.74574129774614,4.254258702253866
3,0.8314445865955914,0.0013255699005149885,48959,9591,36233,quartile=Q3,Q3,o3,O[3],ppb,Kidney,0.1685554134044086,83.14445865955913,16.855541340440862
5,0.6897727960032213,0.0019575627050055825,24848,6573,17538,quartile=Q3,Q3,o3,O[3],ppb,Kidney,0.3102272039967787,68.97727960032213,31.022720399677873
10,0.448302935906167,0.0031034650789154416,5435,5569,13844,quartile=Q3,Q3,o3,O[3],ppb,Kidney,0.551697064093833,44.8302935906167,55.1697064093833
1,0.9476350585639807,6.81601586498238e-4,85451,5695,44201,quartile=Q4 highest,Q4 highest,o3,O[3],ppb,Kidney,0.05236494143601933,94.76350585639807,5.2364941436019325
3,0.8076731233184844,0.0014627899218090218,42903,9603,32945,quartile=Q4 highest,Q4 highest,o3,O[3],ppb,Kidney,0.1923268766815156,80.76731233184844,19.23268766815156
5,0.6564941568096356,0.0021252497457819337,20645,6232,16026,quartile=Q4 highest,Q4 highest,o3,O[3],ppb,Kidney,0.34350584319036437,65.64941568096356,34.350584319036436
10,0.3918368598965453,0.0035150995125432117,3373,4976,12296,quartile=Q4 highest,Q4 highest,o3,O[3],ppb,Kidney,0.6081631401034546,39.183685989654535,60.816314010345465
1,0.9532432988811474,6.513074325949091e-4,86806,4982,39272,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],µg/m³,Kidney,0.04675670111885255,95.32432988811475,4.675670111885255
3,0.8158383667023603,0.0014333319660243785,43559,9607,33640,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],µg/m³,Kidney,0.18416163329763968,81.58383667023602,18.416163329763968
5,0.6580859651861607,0.0021677936579050736,18691,6314,18554,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],µg/m³,Kidney,0.3419140348138393,65.80859651861607,34.19140348138393
10,0.400573554914248,0.0038308802275895865,2689,4128,11874,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],µg/m³,Kidney,0.599426445085752,40.0573554914248,59.942644508575206
1,0.959164906474809,5.838123437178796e-4,96864,4745,38685,quartile=Q2,Q2,pm25,PM[2.5],µg/m³,Kidney,0.04083509352519099,95.9164906474809,4.0835093525190995
3,0.8419798985412595,0.0012668966144517794,52161,9252,35451,quartile=Q2,Q2,pm25,PM[2.5],µg/m³,Kidney,0.15802010145874046,84.19798985412595,15.802010145874046
5,0.7017895927799627,0.0019016218314452666,25762,6803,19596,quartile=Q2,Q2,pm25,PM[2.5],µg/m³,Kidney,0.29821040722003733,70.17895927799627,29.821040722003733
10,0.4553869508422224,0.003234093036802875,4862,5415,15485,quartile=Q2,Q2,pm25,PM[2.5],µg/m³,Kidney,0.5446130491577776,45.53869508422224,54.46130491577777
1,0.9597200750752444,5.655864388046156e-4,102133,4918,37774,quartile=Q3,Q3,pm25,PM[2.5],µg/m³,Kidney,0.04027992492475563,95.97200750752444,4.027992492475563
3,0.8460689660697884,0.001202679835006056,58892,9730,33511,quartile=Q3,Q3,pm25,PM[2.5],µg/m³,Kidney,0.15393103393021157,84.60689660697884,15.393103393021157
5,0.711726906899164,0.0017592537674029007,31944,7542,19406,quartile=Q3,Q3,pm25,PM[2.5],µg/m³,Kidney,0.28827309310083604,71.1726906899164,28.827309310083603
10,0.46117729802349466,0.0028365837959000656,7032,7140,17772,quartile=Q3,Q3,pm25,PM[2.5],µg/m³,Kidney,0.5388227019765053,46.117729802349466,53.88227019765053
1,0.9410107795509989,7.022057012730259e-4,90694,6743,41159,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],µg/m³,Kidney,0.05898922044900112,94.10107795509988,5.898922044900113
3,0.7904832370977344,0.0014399193105331086,47680,11373,31641,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],µg/m³,Kidney,0.20951676290226562,79.04832370977344,20.951676290226562
5,0.6365427597300587,0.002006866319098209,23644,7378,16658,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],µg/m³,Kidney,0.3634572402699413,63.654275973005866,36.345724026994134
10,0.3566174314725076,0.0031982737623981,3783,6246,13615,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],µg/m³,Kidney,0.6433825685274924,35.66174314725076,64.33825685274924
1,0.8171180012236601,0.0024130690518506573,12746,5574,40230,quartile=Q1 lowest,Q1 lowest,no2,NO[2],ppb,Liver,0.18288199877633993,81.71180012236601,18.288199877633993
3,0.6410597949345193,0.004410188569192912,3724,1724,7298,quartile=Q1 lowest,Q1 lowest,no2,NO[2],ppb,Liver,0.35894020506548074,64.10597949345193,35.894020506548074
5,0.5303969950105328,0.0059765503479303865,1598,479,1647,quartile=Q1 lowest,Q1 lowest,no2,NO[2],ppb,Liver,0.46960300498946717,53.039699501053285,46.960300498946715
10,0.37495960981440235,0.009807707646485543,285,274,1039,quartile=Q1 lowest,Q1 lowest,no2,NO[2],ppb,Liver,0.6250403901855976,37.495960981440234,62.504039018559766
1,0.8034417343552027,0.002195591712644818,18037,7132,34077,quartile=Q2,Q2,no2,NO[2],ppb,Liver,0.19655826564479728,80.34417343552028,19.655826564479728
3,0.6335306297901132,0.003490004517606512,6680,2677,8680,quartile=Q2,Q2,no2,NO[2],ppb,Liver,0.3664693702098868,63.35306297901132,36.64693702098868
5,0.5240213774293587,0.004471656048703563,3179,889,2612,quartile=Q2,Q2,no2,NO[2],ppb,Liver,0.4759786225706413,52.40213774293587,47.59786225706413
10,0.35161695361395157,0.006917766122217527,598,625,1956,quartile=Q2,Q2,no2,NO[2],ppb,Liver,0.6483830463860485,35.161695361395154,64.83830463860485
1,0.7964301885014529,0.0022310860292583373,17650,7334,32333,quartile=Q3,Q3,no2,NO[2],ppb,Liver,0.20356981149854714,79.64301885014528,20.356981149854715
3,0.6234876660075872,0.003510120841086405,6685,2713,8252,quartile=Q3,Q3,no2,NO[2],ppb,Liver,0.3765123339924128,62.34876660075872,37.65123339924128
5,0.5198902052018616,0.0043970397873167345,3277,865,2543,quartile=Q3,Q3,no2,NO[2],ppb,Liver,0.4801097947981384,51.98902052018616,48.01097947981384
10,0.3603004309203576,0.006646289606646354,655,608,2014,quartile=Q3,Q3,no2,NO[2],ppb,Liver,0.6396995690796424,36.030043092035754,63.969956907964246
1,0.7725025651881107,0.0022376144312129483,19053,8731,29887,quartile=Q4 highest,Q4 highest,no2,NO[2],ppb,Liver,0.22749743481188933,77.25025651881107,22.749743481188933
3,0.5876973983070674,0.0033583314396417154,7357,3322,8374,quartile=Q4 highest,Q4 highest,no2,NO[2],ppb,Liver,0.41230260169293265,58.76973983070673,41.23026016929327
5,0.4746755786753181,0.004099505563361822,3727,1132,2498,quartile=Q4 highest,Q4 highest,no2,NO[2],ppb,Liver,0.5253244213246819,47.46755786753181,52.53244213246819
10,0.3101189080851004,0.005729645393410169,762,827,2138,quartile=Q4 highest,Q4 highest,no2,NO[2],ppb,Liver,0.6898810919148997,31.01189080851004,68.98810919148997
1,0.7810086630416363,0.002423742915461566,15544,7029,27384,quartile=Q1 lowest,Q1 lowest,o3,O[3],ppb,Liver,0.2189913369583637,78.10086630416363,21.89913369583637
3,0.5988713901100141,0.0037893421398276362,5523,2527,7494,quartile=Q1 lowest,Q1 lowest,o3,O[3],ppb,Liver,0.4011286098899859,59.88713901100141,40.11286098899859
5,0.4996011403768214,0.004677843991820651,2704,721,2098,quartile=Q1 lowest,Q1 lowest,o3,O[3],ppb,Liver,0.5003988596231785,49.96011403768214,50.039885962317854
10,0.3440130434392441,0.007001604128467302,548,519,1637,quartile=Q1 lowest,Q1 lowest,o3,O[3],ppb,Liver,0.6559869565607559,34.40130434392441,65.59869565607559
1,0.8058346231050009,0.002330595098388132,15799,6176,28463,quartile=Q2,Q2,o3,O[3],ppb,Liver,0.19416537689499913,80.58346231050008,19.41653768949991
3,0.6323973534474508,0.003741190737920153,5787,2394,7618,quartile=Q2,Q2,o3,O[3],ppb,Liver,0.36760264655254915,63.239735344745085,36.760264655254915
5,0.5199430069433216,0.004837017507815093,2643,784,2360,quartile=Q2,Q2,o3,O[3],ppb,Liver,0.48005699305667837,51.99430069433216,48.00569930566784
10,0.3590639570633209,0.0075224175017683265,477,489,1677,quartile=Q2,Q2,o3,O[3],ppb,Liver,0.640936042936679,35.90639570633209,64.09360429366791
1,0.7987296444823061,0.0024184665218105706,14941,6171,28887,quartile=Q3,Q3,o3,O[3],ppb,Liver,0.2012703555176939,79.8729644482306,20.12703555176939
3,0.6334380784651006,0.0037975663118807383,5634,2177,7130,quartile=Q3,Q3,o3,O[3],ppb,Liver,0.3665619215348994,63.34380784651006,36.65619215348994
5,0.5284095333801084,0.004770465362584476,2906,748,1980,quartile=Q3,Q3,o3,O[3],ppb,Liver,0.47159046661989157,52.84095333801084,47.15904666198916
10,0.36822303729808237,0.00704050873639001,609,553,1744,quartile=Q3,Q3,o3,O[3],ppb,Liver,0.6317769627019176,36.82230372980824,63.17769627019176
1,0.7918404006868482,0.0023116457419567957,16601,7116,30774,quartile=Q4 highest,Q4 highest,o3,O[3],ppb,Liver,0.20815959931315176,79.18404006868482,20.815959931315177
3,0.6156738433243114,0.0036186720249446265,6299,2627,7675,quartile=Q4 highest,Q4 highest,o3,O[3],ppb,Liver,0.3843261566756886,61.56738433243114,38.43261566756886
5,0.49980660062531235,0.004605933531168033,2983,904,2412,quartile=Q4 highest,Q4 highest,o3,O[3],ppb,Liver,0.5001933993746877,49.980660062531236,50.019339937468764
10,0.32800795995453147,0.006878445518826798,543,621,1819,quartile=Q4 highest,Q4 highest,o3,O[3],ppb,Liver,0.6719920400454685,32.80079599545315,67.19920400454686
1,0.7976055586748845,0.002260126784252002,17269,7034,31102,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],µg/m³,Liver,0.20239444132511553,79.76055586748845,20.23944413251155
3,0.6242891715052272,0.003607966078133594,6066,2587,8616,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],µg/m³,Liver,0.3757108284947728,62.42891715052272,37.57108284947728
5,0.5167423466605497,0.004637840372688844,2778,798,2490,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],µg/m³,Liver,0.48325765333945025,51.67423466605497,48.32576533394503
10,0.3634469193724431,0.00735111660224564,483,478,1817,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],µg/m³,Liver,0.6365530806275569,36.34469193724431,63.65530806275569
1,0.8091450514106512,0.002352812867708384,15384,5874,27946,quartile=Q2,Q2,pm25,PM[2.5],µg/m³,Liver,0.19085494858934882,80.91450514106512,19.085494858934883
3,0.6482342215301021,0.0037707084221872585,5620,2110,7654,quartile=Q2,Q2,pm25,PM[2.5],µg/m³,Liver,0.35176577846989787,64.82342215301021,35.17657784698979
5,0.551346546516982,0.004799921065712187,2782,651,2187,quartile=Q2,Q2,pm25,PM[2.5],µg/m³,Liver,0.448653453483018,55.1346546516982,44.8653453483018
10,0.3970832700403064,0.00747000845196901,550,471,1761,quartile=Q2,Q2,pm25,PM[2.5],µg/m³,Liver,0.6029167299596936,39.70832700403064,60.29167299596936
1,0.8031383326307441,0.0024014434930018595,15175,5939,26133,quartile=Q3,Q3,pm25,PM[2.5],µg/m³,Liver,0.19686166736925592,80.31383326307441,19.686166736925593
3,0.632047936983573,0.0037535406761836634,6019,2334,6822,quartile=Q3,Q3,pm25,PM[2.5],µg/m³,Liver,0.367952063016427,63.2047936983573,36.7952063016427
5,0.5274935080497573,0.0046734162556520565,3062,788,2169,quartile=Q3,Q3,pm25,PM[2.5],µg/m³,Liver,0.47250649195024275,52.74935080497573,47.25064919502427
10,0.36641722617074063,0.006790166409330699,699,595,1768,quartile=Q3,Q3,pm25,PM[2.5],µg/m³,Liver,0.6335827738292594,36.641722617074066,63.35827738292594
1,0.768207475149327,0.0024679560660050485,15057,7645,30327,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],µg/m³,Liver,0.23179252485067303,76.82074751493269,23.179252485067302
3,0.5768497628095403,0.0038001389853059894,5538,2694,6825,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],µg/m³,Liver,0.42315023719045974,57.684976280954025,42.315023719045975
5,0.4540356521047511,0.0047333661781757755,2614,920,2004,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],µg/m³,Liver,0.545964347895249,45.40356521047511,54.59643478952489
10,0.27601926432287954,0.006752716122245277,445,638,1531,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],µg/m³,Liver,0.7239807356771204,27.601926432287954,72.39807356771205
1,0.8396448464325704,0.00634476869061284,1432,798,11411,quartile=Q1 lowest,Q1 lowest,no2,NO[2],ppb,Lung,0.16035515356742958,83.96448464325704,16.03551535674296
3,0.6957536461279127,0.012672538077599814,369,149,914,quartile=Q1 lowest,Q1 lowest,no2,NO[2],ppb,Lung,0.3042463538720873,69.57536461279126,30.42463538720873
5,0.5904517409190055,0.018980253411460053,148,41,180,quartile=Q1 lowest,Q1 lowest,no2,NO[2],ppb,Lung,0.40954825908099446,59.045174091900556,40.954825908099444
10,0.4313285545172777,0.037287616061246615,18,21,109,quartile=Q1 lowest,Q1 lowest,no2,NO[2],ppb,Lung,0.5686714454827223,43.13285545172777,56.86714454827223
1,0.8247114967678125,0.005317639718527465,2324,1178,10689,quartile=Q2,Q2,no2,NO[2],ppb,Lung,0.17528850323218748,82.47114967678125,17.528850323218748
3,0.6790108517100252,0.009846726841528111,697,252,1375,quartile=Q2,Q2,no2,NO[2],ppb,Lung,0.3209891482899748,67.90108517100252,32.09891482899748
5,0.5852949045752283,0.013273009637594755,321,76,300,quartile=Q2,Q2,no2,NO[2],ppb,Lung,0.41470509542477174,58.529490457522826,41.470509542477174
10,0.4367033956626037,0.02439321906152717,52,44,225,quartile=Q2,Q2,no2,NO[2],ppb,Lung,0.5632966043373964,43.67033956626037,56.32966043373963
1,0.8141338998262144,0.005436116406750143,2425,1225,9886,quartile=Q3,Q3,no2,NO[2],ppb,Lung,0.18586610017378558,81.41338998262144,18.586610017378558
3,0.6600144976603886,0.009584977352143562,740,298,1387,quartile=Q3,Q3,no2,NO[2],ppb,Lung,0.33998550233961145,66.00144976603886,33.99855023396115
5,0.5603857273501083,0.013327070626604721,312,81,347,quartile=Q3,Q3,no2,NO[2],ppb,Lung,0.4396142726498917,56.03857273501083,43.96142726498917
10,0.4265008922296953,0.02243153049944307,46,43,223,quartile=Q3,Q3,no2,NO[2],ppb,Lung,0.5734991077703047,42.65008922296953,57.349910777030466
1,0.778962526757674,0.0060873839323526205,2134,1274,7182,quartile=Q4 highest,Q4 highest,no2,NO[2],ppb,Lung,0.22103747324232603,77.8962526757674,22.103747324232604
3,0.6040968558130934,0.010375108980442289,664,312,1158,quartile=Q4 highest,Q4 highest,no2,NO[2],ppb,Lung,0.39590314418690664,60.40968558130933,39.59031441869067
5,0.4996552328189501,0.013893555397894513,251,82,331,quartile=Q4 highest,Q4 highest,no2,NO[2],ppb,Lung,0.5003447671810499,49.96552328189501,50.03447671810499
10,0.31670930575627065,0.02558968108952688,33,51,167,quartile=Q4 highest,Q4 highest,no2,NO[2],ppb,Lung,0.6832906942437293,31.670930575627064,68.32906942437293
