pollutant,pollutant_label,organ,quartile,time,at_risk,censored,label
no2,NO[2],Heart,Q2,8,94,19187,"94
19187"
no2,NO[2],Heart,Q2,9,54,19217,"54
19217"
no2,NO[2],Heart,Q2,10,36,19234,"36
19234"
no2,NO[2],Heart,Q3,0,20974,0,"20974
0"
no2,NO[2],Heart,Q3,0.25,10386,9279,"10386
9279"
no2,NO[2],Heart,Q3,0.5,7588,11715,"7588
11715"
no2,NO[2],Heart,Q3,0.75,5967,13120,"5967
13120"
no2,NO[2],Heart,Q3,1,4806,14113,"4806
14113"
no2,NO[2],Heart,Q3,1.5,3349,15335,"3349
15335"
no2,NO[2],Heart,Q3,2,2451,16100,"2451
16100"
no2,NO[2],Heart,Q3,2.5,1757,16677,"1757
16677"
no2,NO[2],Heart,Q3,3,1332,17031,"1332
17031"
no2,NO[2],Heart,Q3,4,751,17485,"751
17485"
no2,NO[2],Heart,Q3,5,431,17743,"431
17743"
no2,NO[2],Heart,Q3,6,252,17886,"252
17886"
no2,NO[2],Heart,Q3,7,141,17977,"141
17977"
no2,NO[2],Heart,Q3,8,80,18034,"80
18034"
no2,NO[2],Heart,Q3,9,52,18058,"52
18058"
no2,NO[2],Heart,Q3,10,31,18078,"31
18078"
no2,NO[2],Heart,Q4 highest,0,18802,0,"18802
0"
no2,NO[2],Heart,Q4 highest,0.25,9229,8272,"9229
8272"
no2,NO[2],Heart,Q4 highest,0.5,6582,10542,"6582
10542"
no2,NO[2],Heart,Q4 highest,0.75,5100,11807,"5100
11807"
no2,NO[2],Heart,Q4 highest,1,4108,12652,"4108
12652"
no2,NO[2],Heart,Q4 highest,1.5,2848,13731,"2848
13731"
no2,NO[2],Heart,Q4 highest,2,2033,14405,"2033
14405"
no2,NO[2],Heart,Q4 highest,2.5,1496,14837,"1496
14837"
no2,NO[2],Heart,Q4 highest,3,1112,15143,"1112
15143"
no2,NO[2],Heart,Q4 highest,4,643,15510,"643
15510"
no2,NO[2],Heart,Q4 highest,5,376,15724,"376
15724"
no2,NO[2],Heart,Q4 highest,6,221,15854,"221
15854"
no2,NO[2],Heart,Q4 highest,7,137,15929,"137
15929"
no2,NO[2],Heart,Q4 highest,8,74,15986,"74
15986"
no2,NO[2],Heart,Q4 highest,9,42,16009,"42
16009"
no2,NO[2],Heart,Q4 highest,10,21,16029,"21
16029"
no2,NO[2],Kidney,Q1 lowest,0,178052,0,"178052
0"
no2,NO[2],Kidney,Q1 lowest,0.25,163343,13716,"163343
13716"
no2,NO[2],Kidney,Q1 lowest,0.5,151307,25102,"151307
25102"
no2,NO[2],Kidney,Q1 lowest,0.75,139209,36513,"139209
36513"
no2,NO[2],Kidney,Q1 lowest,1,127965,46984,"127965
46984"
no2,NO[2],Kidney,Q1 lowest,1.5,108313,64989,"108313
64989"
no2,NO[2],Kidney,Q1 lowest,2,92360,78996,"92360
78996"
no2,NO[2],Kidney,Q1 lowest,2.5,78353,90925,"78353
90925"
no2,NO[2],Kidney,Q1 lowest,3,65925,101274,"65925
101274"
no2,NO[2],Kidney,Q1 lowest,4,45132,118290,"45132
118290"
no2,NO[2],Kidney,Q1 lowest,5,29234,131107,"29234
131107"
no2,NO[2],Kidney,Q1 lowest,6,18306,139864,"18306
139864"
no2,NO[2],Kidney,Q1 lowest,7,10929,145747,"10929
145747"
no2,NO[2],Kidney,Q1 lowest,8,6595,149177,"6595
149177"
no2,NO[2],Kidney,Q1 lowest,9,4026,151140,"4026
151140"
no2,NO[2],Kidney,Q1 lowest,10,2435,152388,"2435
152388"
no2,NO[2],Kidney,Q2,0,183818,0,"183818
0"
no2,NO[2],Kidney,Q2,0.25,171520,11123,"171520
11123"
no2,NO[2],Kidney,Q2,0.5,162455,19332,"162455
19332"
no2,NO[2],Kidney,Q2,0.75,154103,26779,"154103
26779"
no2,NO[2],Kidney,Q2,1,146376,33554,"146376
33554"
no2,NO[2],Kidney,Q2,1.5,130255,47404,"130255
47404"
no2,NO[2],Kidney,Q2,2,114531,60587,"114531
60587"
no2,NO[2],Kidney,Q2,2.5,99534,72962,"99534
72962"
no2,NO[2],Kidney,Q2,3,85825,83969,"85825
83969"
no2,NO[2],Kidney,Q2,4,61593,103227,"61593
103227"
no2,NO[2],Kidney,Q2,5,41856,118818,"41856
118818"
no2,NO[2],Kidney,Q2,6,27327,130130,"27327
130130"
no2,NO[2],Kidney,Q2,7,17010,138080,"17010
138080"
no2,NO[2],Kidney,Q2,8,10621,143048,"10621
143048"
no2,NO[2],Kidney,Q2,9,6518,146224,"6518
146224"
no2,NO[2],Kidney,Q2,10,4047,148104,"4047
148104"
no2,NO[2],Kidney,Q3,0,187671,0,"187671
0"
no2,NO[2],Kidney,Q3,0.25,174211,12159,"174211
12159"
no2,NO[2],Kidney,Q3,0.5,165080,20373,"165080
20373"
no2,NO[2],Kidney,Q3,0.75,156897,27600,"156897
27600"
no2,NO[2],Kidney,Q3,1,149374,34087,"149374
34087"
no2,NO[2],Kidney,Q3,1.5,135108,46196,"135108
46196"
no2,NO[2],Kidney,Q3,2,121653,57233,"121653
57233"
no2,NO[2],Kidney,Q3,2.5,107728,68495,"107728
68495"
no2,NO[2],Kidney,Q3,3,95118,78458,"95118
78458"
no2,NO[2],Kidney,Q3,4,71377,97059,"71377
97059"
no2,NO[2],Kidney,Q3,5,51015,112816,"51015
112816"
no2,NO[2],Kidney,Q3,6,34678,125496,"34678
125496"
no2,NO[2],Kidney,Q3,7,22508,134936,"22508
134936"
no2,NO[2],Kidney,Q3,8,14242,141381,"14242
141381"
no2,NO[2],Kidney,Q3,9,8824,145584,"8824
145584"
no2,NO[2],Kidney,Q3,10,5436,148225,"5436
148225"
no2,NO[2],Kidney,Q4 highest,0,191928,0,"191928
0"
no2,NO[2],Kidney,Q4 highest,0.25,173864,16307,"173864
16307"
no2,NO[2],Kidney,Q4 highest,0.5,163470,25484,"163470
25484"
no2,NO[2],Kidney,Q4 highest,0.75,154769,32939,"154769
32939"
no2,NO[2],Kidney,Q4 highest,1,147057,39375,"147057
39375"
no2,NO[2],Kidney,Q4 highest,1.5,132694,51016,"132694
51016"
no2,NO[2],Kidney,Q4 highest,2,120099,60726,"120099
60726"
no2,NO[2],Kidney,Q4 highest,2.5,107572,70388,"107572
70388"
no2,NO[2],Kidney,Q4 highest,3,96335,78689,"96335
78689"
no2,NO[2],Kidney,Q4 highest,4,75301,94342,"75301
94342"
no2,NO[2],Kidney,Q4 highest,5,56843,107935,"56843
107935"
no2,NO[2],Kidney,Q4 highest,6,41018,119572,"41018
119572"
no2,NO[2],Kidney,Q4 highest,7,28030,129283,"28030
129283"
no2,NO[2],Kidney,Q4 highest,8,18581,136289,"18581
136289"
no2,NO[2],Kidney,Q4 highest,9,11709,141268,"11709
141268"
no2,NO[2],Kidney,Q4 highest,10,7153,144613,"7153
144613"
no2,NO[2],Liver,Q1 lowest,0,65941,0,"65941
0"
no2,NO[2],Liver,Q1 lowest,0.25,32400,30054,"32400
30054"
no2,NO[2],Liver,Q1 lowest,0.5,23828,37321,"23828
37321"
no2,NO[2],Liver,Q1 lowest,0.75,17342,42962,"17342
42962"
no2,NO[2],Liver,Q1 lowest,1,13380,46251,"13380
46251"
no2,NO[2],Liver,Q1 lowest,1.5,8764,50074,"8764
50074"
no2,NO[2],Liver,Q1 lowest,2,6203,52156,"6203
52156"
no2,NO[2],Liver,Q1 lowest,2.5,4567,53456,"4567
53456"
no2,NO[2],Liver,Q1 lowest,3,3477,54312,"3477
54312"
no2,NO[2],Liver,Q1 lowest,4,2076,55384,"2076
55384"
no2,NO[2],Liver,Q1 lowest,5,1298,56007,"1298
56007"
no2,NO[2],Liver,Q1 lowest,6,834,56381,"834
56381"
no2,NO[2],Liver,Q1 lowest,7,539,56606,"539
56606"
no2,NO[2],Liver,Q1 lowest,8,355,56760,"355
56760"
no2,NO[2],Liver,Q1 lowest,9,229,56856,"229
56856"
no2,NO[2],Liver,Q1 lowest,10,147,56923,"147
56923"
no2,NO[2],Liver,Q2,0,61610,0,"61610
0"
no2,NO[2],Liver,Q2,0.25,34525,23241,"34525
23241"
no2,NO[2],Liver,Q2,0.5,26815,29374,"26815
29374"
no2,NO[2],Liver,Q2,0.75,20824,34281,"20824
34281"
no2,NO[2],Liver,Q2,1,16924,37347,"16924
37347"
no2,NO[2],Liver,Q2,1.5,12045,41171,"12045
41171"
no2,NO[2],Liver,Q2,2,9033,43527,"9033
43527"
no2,NO[2],Liver,Q2,2.5,6997,45044,"6997
45044"
no2,NO[2],Liver,Q2,3,5524,46152,"5524
46152"
no2,NO[2],Liver,Q2,4,3506,47699,"3506
47699"
no2,NO[2],Liver,Q2,5,2288,48595,"2288
48595"
no2,NO[2],Liver,Q2,6,1520,49196,"1520
49196"
no2,NO[2],Liver,Q2,7,992,49600,"992
49600"
no2,NO[2],Liver,Q2,8,622,49880,"622
49880"
no2,NO[2],Liver,Q2,9,393,50066,"393
50066"
no2,NO[2],Liver,Q2,10,246,50177,"246
50177"
no2,NO[2],Liver,Q3,0,59454,0,"59454
0"
no2,NO[2],Liver,Q3,0.25,33161,22188,"33161
22188"
no2,NO[2],Liver,Q3,0.5,25761,28025,"25761
28025"
no2,NO[2],Liver,Q3,0.75,20121,32603,"20121
32603"
no2,NO[2],Liver,Q3,1,16260,35670,"16260
35670"
no2,NO[2],Liver,Q3,1.5,11462,39413,"11462
39413"
no2,NO[2],Liver,Q3,2,8577,41638,"8577
41638"
no2,NO[2],Liver,Q3,2.5,6673,43051,"6673
43051"
no2,NO[2],Liver,Q3,3,5269,44095,"5269
44095"
no2,NO[2],Liver,Q3,4,3404,45506,"3404
45506"
no2,NO[2],Liver,Q3,5,2251,46370,"2251
46370"
no2,NO[2],Liver,Q3,6,1480,46983,"1480
46983"
no2,NO[2],Liver,Q3,7,985,47363,"985
47363"
no2,NO[2],Liver,Q3,8,664,47614,"664
47614"
no2,NO[2],Liver,Q3,9,449,47779,"449
47779"
no2,NO[2],Liver,Q3,10,296,47901,"296
47901"
no2,NO[2],Liver,Q4 highest,0,60142,0,"60142
0"
no2,NO[2],Liver,Q4 highest,0.25,34306,20938,"34306
20938"
no2,NO[2],Liver,Q4 highest,0.5,26765,26631,"26765
26631"
no2,NO[2],Liver,Q4 highest,0.75,21273,30867,"21273
30867"
no2,NO[2],Liver,Q4 highest,1,17510,33739,"17510
33739"
no2,NO[2],Liver,Q4 highest,1.5,12308,37607,"12308
37607"
no2,NO[2],Liver,Q4 highest,2,9297,39824,"9297
39824"
no2,NO[2],Liver,Q4 highest,2.5,7383,41213,"7383
41213"
no2,NO[2],Liver,Q4 highest,3,5921,42264,"5921
42264"
no2,NO[2],Liver,Q4 highest,4,3900,43700,"3900
43700"
no2,NO[2],Liver,Q4 highest,5,2572,44640,"2572
44640"
no2,NO[2],Liver,Q4 highest,6,1682,45303,"1682
45303"
no2,NO[2],Liver,Q4 highest,7,1113,45725,"1113
45725"
no2,NO[2],Liver,Q4 highest,8,750,45996,"750
45996"
no2,NO[2],Liver,Q4 highest,9,505,46190,"505
46190"
no2,NO[2],Liver,Q4 highest,10,329,46343,"329
46343"
no2,NO[2],Lung,Q1 lowest,0,14892,0,"14892
0"
no2,NO[2],Lung,Q1 lowest,0.25,4590,9696,"4590
9696"
no2,NO[2],Lung,Q1 lowest,0.5,2742,11397,"2742
11397"
no2,NO[2],Lung,Q1 lowest,0.75,1871,12167,"1871
12167"
no2,NO[2],Lung,Q1 lowest,1,1311,12667,"1311
12667"
no2,NO[2],Lung,Q1 lowest,1.5,756,13148,"756
13148"
no2,NO[2],Lung,Q1 lowest,2,471,13392,"471
13392"
no2,NO[2],Lung,Q1 lowest,2.5,307,13532,"307
13532"
no2,NO[2],Lung,Q1 lowest,3,222,13606,"222
13606"
no2,NO[2],Lung,Q1 lowest,4,110,13696,"110
13696"
no2,NO[2],Lung,Q1 lowest,5,61,13735,"61
13735"
no2,NO[2],Lung,Q1 lowest,6,30,13764,"30
13764"
no2,NO[2],Lung,Q1 lowest,7,17,13775,"17
13775"
no2,NO[2],Lung,Q1 lowest,8,9,13783,"9
13783"
no2,NO[2],Lung,Q1 lowest,9,5,13787,"5
13787"
no2,NO[2],Lung,Q1 lowest,10,3,13789,"3
13789"
no2,NO[2],Lung,Q2,0,14376,0,"14376
0"
no2,NO[2],Lung,Q2,0.25,5504,8058,"5504
8058"
no2,NO[2],Lung,Q2,0.5,3594,9774,"3594
9774"
no2,NO[2],Lung,Q2,0.75,2513,10711,"2513
10711"
no2,NO[2],Lung,Q2,1,1883,11249,"1883
11249"
no2,NO[2],Lung,Q2,1.5,1173,11864,"1173
11864"
no2,NO[2],Lung,Q2,2,747,12215,"747
12215"
no2,NO[2],Lung,Q2,2.5,489,12433,"489
12433"
no2,NO[2],Lung,Q2,3,347,12547,"347
12547"
no2,NO[2],Lung,Q2,4,186,12673,"186
12673"
no2,NO[2],Lung,Q2,5,100,12746,"100
12746"
no2,NO[2],Lung,Q2,6,58,12780,"58
12780"
no2,NO[2],Lung,Q2,7,35,12797,"35
12797"
no2,NO[2],Lung,Q2,8,19,12809,"19
12809"
no2,NO[2],Lung,Q2,9,10,12817,"10
12817"
no2,NO[2],Lung,Q2,10,6,12820,"6
12820"
no2,NO[2],Lung,Q3,0,13803,0,"13803
0"
no2,NO[2],Lung,Q3,0.25,5449,7482,"5449
7482"
no2,NO[2],Lung,Q3,0.5,3501,9209,"3501
9209"
no2,NO[2],Lung,Q3,0.75,2493,10081,"2493
10081"
no2,NO[2],Lung,Q3,1,1897,10580,"1897
10580"
no2,NO[2],Lung,Q3,1.5,1203,11165,"1203
11165"
no2,NO[2],Lung,Q3,2,785,11510,"785
11510"
no2,NO[2],Lung,Q3,2.5,514,11736,"514
11736"
no2,NO[2],Lung,Q3,3,341,11873,"341
11873"
no2,NO[2],Lung,Q3,4,159,12025,"159
12025"
no2,NO[2],Lung,Q3,5,76,12091,"76
12091"
no2,NO[2],Lung,Q3,6,39,12117,"39
12117"
no2,NO[2],Lung,Q3,7,19,12136,"19
12136"
no2,NO[2],Lung,Q3,8,9,12143,"9
12143"
no2,NO[2],Lung,Q3,9,4,12147,"4
12147"
no2,NO[2],Lung,Q3,10,2,12148,"2
12148"
no2,NO[2],Lung,Q4 highest,0,11032,0,"11032
0"
no2,NO[2],Lung,Q4 highest,0.25,4807,5401,"4807
5401"
no2,NO[2],Lung,Q4 highest,0.5,3144,6815,"3144
6815"
no2,NO[2],Lung,Q4 highest,0.75,2294,7514,"2294
7514"
no2,NO[2],Lung,Q4 highest,1,1726,7983,"1726
7983"
no2,NO[2],Lung,Q4 highest,1.5,1069,8515,"1069
8515"
no2,NO[2],Lung,Q4 highest,2,709,8806,"709
8806"
no2,NO[2],Lung,Q4 highest,2.5,484,8986,"484
8986"
no2,NO[2],Lung,Q4 highest,3,327,9109,"327
9109"
no2,NO[2],Lung,Q4 highest,4,169,9238,"169
9238"
no2,NO[2],Lung,Q4 highest,5,91,9305,"91
9305"
no2,NO[2],Lung,Q4 highest,6,54,9327,"54
9327"
no2,NO[2],Lung,Q4 highest,7,27,9349,"27
9349"
no2,NO[2],Lung,Q4 highest,8,16,9357,"16
9357"
no2,NO[2],Lung,Q4 highest,9,7,9362,"7
9362"
no2,NO[2],Lung,Q4 highest,10,3,9366,"3
9366"
o3,O[3],Heart,Q1 lowest,0,18312,0,"18312
0"
o3,O[3],Heart,Q1 lowest,0.25,9207,7994,"9207
7994"
o3,O[3],Heart,Q1 lowest,0.5,6597,10266,"6597
10266"
o3,O[3],Heart,Q1 lowest,0.75,5165,11502,"5165
11502"
o3,O[3],Heart,Q1 lowest,1,4184,12346,"4184
12346"
o3,O[3],Heart,Q1 lowest,1.5,2907,13445,"2907
13445"
o3,O[3],Heart,Q1 lowest,2,2053,14176,"2053
14176"
o3,O[3],Heart,Q1 lowest,2.5,1510,14630,"1510
14630"
o3,O[3],Heart,Q1 lowest,3,1127,14940,"1127
14940"
o3,O[3],Heart,Q1 lowest,4,667,15315,"667
15315"
o3,O[3],Heart,Q1 lowest,5,376,15559,"376
15559"
o3,O[3],Heart,Q1 lowest,6,215,15694,"215
15694"
o3,O[3],Heart,Q1 lowest,7,130,15770,"130
15770"
o3,O[3],Heart,Q1 lowest,8,72,15823,"72
15823"
o3,O[3],Heart,Q1 lowest,9,40,15849,"40
15849"
o3,O[3],Heart,Q1 lowest,10,23,15865,"23
15865"
o3,O[3],Heart,Q2,0,18705,0,"18705
0"
o3,O[3],Heart,Q2,0.25,10231,7361,"10231
7361"
o3,O[3],Heart,Q2,0.5,7703,9536,"7703
9536"
o3,O[3],Heart,Q2,0.75,6184,10857,"6184
10857"
o3,O[3],Heart,Q2,1,5056,11823,"5056
11823"
o3,O[3],Heart,Q2,1.5,3652,13025,"3652
13025"
o3,O[3],Heart,Q2,2,2662,13855,"2662
13855"
o3,O[3],Heart,Q2,2.5,1976,14426,"1976
14426"
o3,O[3],Heart,Q2,3,1505,14820,"1505
14820"
o3,O[3],Heart,Q2,4,843,15350,"843
15350"
o3,O[3],Heart,Q2,5,485,15642,"485
15642"
o3,O[3],Heart,Q2,6,269,15823,"269
15823"
o3,O[3],Heart,Q2,7,159,15918,"159
15918"
o3,O[3],Heart,Q2,8,90,15981,"90
15981"
o3,O[3],Heart,Q2,9,51,16012,"51
16012"
o3,O[3],Heart,Q2,10,25,16036,"25
16036"
o3,O[3],Heart,Q3,0,17866,0,"17866
0"
o3,O[3],Heart,Q3,0.25,9125,7628,"9125
7628"
o3,O[3],Heart,Q3,0.5,6670,9751,"6670
9751"
o3,O[3],Heart,Q3,0.75,5191,11039,"5191
11039"
o3,O[3],Heart,Q3,1,4171,11931,"4171
11931"
o3,O[3],Heart,Q3,1.5,2825,13095,"2825
13095"
o3,O[3],Heart,Q3,2,2011,13788,"2011
13788"
o3,O[3],Heart,Q3,2.5,1424,14287,"1424
14287"
o3,O[3],Heart,Q3,3,1029,14624,"1029
14624"
o3,O[3],Heart,Q3,4,571,14985,"571
14985"
o3,O[3],Heart,Q3,5,306,15195,"306
15195"
o3,O[3],Heart,Q3,6,173,15310,"173
15310"
o3,O[3],Heart,Q3,7,110,15360,"110
15360"
o3,O[3],Heart,Q3,8,65,15398,"65
15398"
o3,O[3],Heart,Q3,9,40,15416,"40
15416"
o3,O[3],Heart,Q3,10,28,15428,"28
15428"
o3,O[3],Heart,Q4 highest,0,18427,0,"18427
0"
o3,O[3],Heart,Q4 highest,0.25,8007,9192,"8007
9192"
o3,O[3],Heart,Q4 highest,0.5,5483,11416,"5483
11416"
o3,O[3],Heart,Q4 highest,0.75,4074,12663,"4074
12663"
o3,O[3],Heart,Q4 highest,1,3127,13496,"3127
13496"
o3,O[3],Heart,Q4 highest,1.5,2024,14440,"2024
14440"
o3,O[3],Heart,Q4 highest,2,1403,14966,"1403
14966"
o3,O[3],Heart,Q4 highest,2.5,957,15341,"957
15341"
o3,O[3],Heart,Q4 highest,3,658,15591,"658
15591"
o3,O[3],Heart,Q4 highest,4,340,15847,"340
15847"
o3,O[3],Heart,Q4 highest,5,185,15975,"185
15975"
o3,O[3],Heart,Q4 highest,6,94,16056,"94
16056"
o3,O[3],Heart,Q4 highest,7,49,16094,"49
16094"
o3,O[3],Heart,Q4 highest,8,25,16117,"25
16117"
o3,O[3],Heart,Q4 highest,9,17,16123,"17
16123"
o3,O[3],Heart,Q4 highest,10,6,16133,"6
16133"
o3,O[3],Kidney,Q1 lowest,0,172853,0,"172853
0"
o3,O[3],Kidney,Q1 lowest,0.25,158340,13129,"158340
13129"
o3,O[3],Kidney,Q1 lowest,0.5,149133,21405,"149133
21405"
o3,O[3],Kidney,Q1 lowest,0.75,140914,28644,"140914
28644"
o3,O[3],Kidney,Q1 lowest,1,133146,35379,"133146
35379"
o3,O[3],Kidney,Q1 lowest,1.5,119200,47253,"119200
47253"
o3,O[3],Kidney,Q1 lowest,2,106680,57467,"106680
57467"
o3,O[3],Kidney,Q1 lowest,2.5,94454,67277,"94454
67277"
o3,O[3],Kidney,Q1 lowest,3,83270,75968,"83270
75968"
o3,O[3],Kidney,Q1 lowest,4,62551,91910,"62551
91910"
o3,O[3],Kidney,Q1 lowest,5,44680,105705,"44680
105705"
o3,O[3],Kidney,Q1 lowest,6,30251,116793,"30251
116793"
o3,O[3],Kidney,Q1 lowest,7,19454,125068,"19454
125068"
o3,O[3],Kidney,Q1 lowest,8,12276,130571,"12276
130571"
o3,O[3],Kidney,Q1 lowest,9,7492,134108,"7492
134108"
o3,O[3],Kidney,Q1 lowest,10,4554,136291,"4554
136291"
o3,O[3],Kidney,Q2,0,173711,0,"173711
0"
o3,O[3],Kidney,Q2,0.25,161667,10988,"161667
10988"
o3,O[3],Kidney,Q2,0.5,153398,18549,"153398
18549"
o3,O[3],Kidney,Q2,0.75,145596,25591,"145596
25591"
o3,O[3],Kidney,Q2,1,138481,31886,"138481
31886"
o3,O[3],Kidney,Q2,1.5,124570,43913,"124570
43913"
o3,O[3],Kidney,Q2,2,111448,54913,"111448
54913"
o3,O[3],Kidney,Q2,2.5,98148,65838,"98148
65838"
o3,O[3],Kidney,Q2,3,85095,76473,"85095
76473"
o3,O[3],Kidney,Q2,4,61236,95747,"61236
95747"
o3,O[3],Kidney,Q2,5,41070,112049,"41070
112049"
o3,O[3],Kidney,Q2,6,26377,123844,"26377
123844"
o3,O[3],Kidney,Q2,7,16209,132017,"16209
132017"
o3,O[3],Kidney,Q2,8,9927,137053,"9927
137053"
o3,O[3],Kidney,Q2,9,5995,140166,"5995
140166"
o3,O[3],Kidney,Q2,10,3702,141956,"3702
141956"
o3,O[3],Kidney,Q3,0,175535,0,"175535
0"
o3,O[3],Kidney,Q3,0.25,162057,12386,"162057
12386"
o3,O[3],Kidney,Q3,0.5,152276,21440,"152276
21440"
o3,O[3],Kidney,Q3,0.75,143406,29522,"143406
29522"
o3,O[3],Kidney,Q3,1,134947,37148,"134947
37148"
o3,O[3],Kidney,Q3,1.5,118853,51273,"118853
51273"
o3,O[3],Kidney,Q3,2,103430,64452,"103430
64452"
o3,O[3],Kidney,Q3,2.5,89115,76539,"89115
76539"
o3,O[3],Kidney,Q3,3,76295,87096,"76295
87096"
o3,O[3],Kidney,Q3,4,55826,103559,"55826
103559"
o3,O[3],Kidney,Q3,5,39631,116213,"39631
116213"
o3,O[3],Kidney,Q3,6,27214,125890,"27214
125890"
o3,O[3],Kidney,Q3,7,18099,132885,"18099
132885"
o3,O[3],Kidney,Q3,8,11770,137790,"11770
137790"
o3,O[3],Kidney,Q3,9,7440,141192,"7440
141192"
o3,O[3],Kidney,Q3,10,4604,143415,"4604
143415"
o3,O[3],Kidney,Q4 highest,0,166304,0,"166304
0"
o3,O[3],Kidney,Q4 highest,0.25,149212,15786,"149212
15786"
o3,O[3],Kidney,Q4 highest,0.5,136961,27022,"136961
27022"
o3,O[3],Kidney,Q4 highest,0.75,126030,36969,"126030
36969"
o3,O[3],Kidney,Q4 highest,1,116446,45532,"116446
45532"
o3,O[3],Kidney,Q4 highest,1.5,99850,59988,"99850
59988"
o3,O[3],Kidney,Q4 highest,2,86082,71587,"86082
71587"
o3,O[3],Kidney,Q4 highest,2.5,73572,81942,"73572
81942"
o3,O[3],Kidney,Q4 highest,3,63251,90195,"63251
90195"
o3,O[3],Kidney,Q4 highest,4,45956,103883,"45956
103883"
o3,O[3],Kidney,Q4 highest,5,32772,114018,"32772
114018"
o3,O[3],Kidney,Q4 highest,6,22667,121695,"22667
121695"
o3,O[3],Kidney,Q4 highest,7,15237,127351,"15237
127351"
o3,O[3],Kidney,Q4 highest,8,10038,131342,"10038
131342"
o3,O[3],Kidney,Q4 highest,9,6171,134298,"6171
134298"
o3,O[3],Kidney,Q4 highest,10,3608,136300,"3608
136300"
o3,O[3],Liver,Q1 lowest,0,54326,0,"54326
0"
o3,O[3],Liver,Q1 lowest,0.25,30663,19610,"30663
19610"
o3,O[3],Liver,Q1 lowest,0.5,23762,24913,"23762
24913"
o3,O[3],Liver,Q1 lowest,0.75,18475,29089,"18475
29089"
o3,O[3],Liver,Q1 lowest,1,14814,31962,"14814
31962"
o3,O[3],Liver,Q1 lowest,1.5,10013,35705,"10013
35705"
o3,O[3],Liver,Q1 lowest,2,7368,37711,"7368
37711"
o3,O[3],Liver,Q1 lowest,2.5,5670,38961,"5670
38961"
o3,O[3],Liver,Q1 lowest,3,4455,39878,"4455
39878"
o3,O[3],Liver,Q1 lowest,4,2839,41096,"2839
41096"
o3,O[3],Liver,Q1 lowest,5,1866,41844,"1866
41844"
o3,O[3],Liver,Q1 lowest,6,1198,42354,"1198
42354"
o3,O[3],Liver,Q1 lowest,7,785,42681,"785
42681"
o3,O[3],Liver,Q1 lowest,8,532,42881,"532
42881"
o3,O[3],Liver,Q1 lowest,9,364,43012,"364
43012"
o3,O[3],Liver,Q1 lowest,10,243,43116,"243
43116"
o3,O[3],Liver,Q2,0,51622,0,"51622
0"
o3,O[3],Liver,Q2,0.25,29465,18801,"29465
18801"
o3,O[3],Liver,Q2,0.5,22954,23996,"22954
23996"
o3,O[3],Liver,Q2,0.75,17867,28189,"17867
28189"
o3,O[3],Liver,Q2,1,14491,30882,"14491
30882"
o3,O[3],Liver,Q2,1.5,10035,34369,"10035
34369"
o3,O[3],Liver,Q2,2,7479,36350,"7479
36350"
o3,O[3],Liver,Q2,2.5,5811,37618,"5811
37618"
o3,O[3],Liver,Q2,3,4535,38582,"4535
38582"
o3,O[3],Liver,Q2,4,2758,39931,"2758
39931"
o3,O[3],Liver,Q2,5,1747,40700,"1747
40700"
o3,O[3],Liver,Q2,6,1121,41201,"1121
41201"
o3,O[3],Liver,Q2,7,696,41526,"696
41526"
o3,O[3],Liver,Q2,8,431,41735,"431
41735"
