geography_type,source_year,source_quarter,hud_file_stem,preferred_file,hud_direct_url,local_path
COUNTY,2019,4,ZIP_COUNTY_122019,ZIP_COUNTY_122019.xlsx,https://www.huduser.gov/portal/datasets/usps/ZIP_COUNTY_122019.xlsx,data/raw/hud_usps_crosswalk/ZIP_COUNTY_122019.xlsx
COUNTY,2020,4,ZIP_COUNTY_122020,ZIP_COUNTY_122020.xlsx,https://www.huduser.gov/portal/datasets/usps/ZIP_COUNTY_122020.xlsx,data/raw/hud_usps_crosswalk/ZIP_COUNTY_122020.xlsx
COUNTY,2021,4,ZIP_COUNTY_122021,ZIP_COUNTY_122021.xlsx,https://www.huduser.gov/portal/datasets/usps/ZIP_COUNTY_122021.xlsx,data/raw/hud_usps_crosswalk/ZIP_COUNTY_122021.xlsx
COUNTY,2022,4,ZIP_COUNTY_122022,ZIP_COUNTY_122022.xlsx,https://www.huduser.gov/portal/datasets/usps/ZIP_COUNTY_122022.xlsx,data/raw/hud_usps_crosswalk/ZIP_COUNTY_122022.xlsx
COUNTY,2023,4,ZIP_COUNTY_122023,ZIP_COUNTY_122023.xlsx,https://www.huduser.gov/portal/datasets/usps/ZIP_COUNTY_122023.xlsx,data/raw/hud_usps_crosswalk/ZIP_COUNTY_122023.xlsx
COUNTY,2024,4,ZIP_COUNTY_122024,ZIP_COUNTY_122024.xlsx,https://www.huduser.gov/portal/datasets/usps/ZIP_COUNTY_122024.xlsx,data/raw/hud_usps_crosswalk/ZIP_COUNTY_122024.xlsx
TRACT,2010,1,ZIP_TRACT_032010,ZIP_TRACT_032010.xlsx,https://www.huduser.gov/portal/datasets/usps/ZIP_TRACT_032010.xlsx,data/raw/hud_usps_crosswalk/ZIP_TRACT_032010.xlsx
TRACT,2010,4,ZIP_TRACT_122010,ZIP_TRACT_122010.xlsx,https://www.huduser.gov/portal/datasets/usps/ZIP_TRACT_122010.xlsx,data/raw/hud_usps_crosswalk/ZIP_TRACT_122010.xlsx
TRACT,2011,4,ZIP_TRACT_122011,ZIP_TRACT_122011.xlsx,https://www.huduser.gov/portal/datasets/usps/ZIP_TRACT_122011.xlsx,data/raw/hud_usps_crosswalk/ZIP_TRACT_122011.xlsx
TRACT,2012,4,ZIP_TRACT_122012,ZIP_TRACT_122012.xlsx,https://www.huduser.gov/portal/datasets/usps/ZIP_TRACT_122012.xlsx,data/raw/hud_usps_crosswalk/ZIP_TRACT_122012.xlsx
TRACT,2013,4,ZIP_TRACT_122013,ZIP_TRACT_122013.xlsx,https://www.huduser.gov/portal/datasets/usps/ZIP_TRACT_122013.xlsx,data/raw/hud_usps_crosswalk/ZIP_TRACT_122013.xlsx
TRACT,2014,4,ZIP_TRACT_122014,ZIP_TRACT_122014.xlsx,https://www.huduser.gov/portal/datasets/usps/ZIP_TRACT_122014.xlsx,data/raw/hud_usps_crosswalk/ZIP_TRACT_122014.xlsx
TRACT,2015,4,ZIP_TRACT_122015,ZIP_TRACT_122015.xlsx,https://www.huduser.gov/portal/datasets/usps/ZIP_TRACT_122015.xlsx,data/raw/hud_usps_crosswalk/ZIP_TRACT_122015.xlsx
TRACT,2016,4,ZIP_TRACT_122016,ZIP_TRACT_122016.xlsx,https://www.huduser.gov/portal/datasets/usps/ZIP_TRACT_122016.xlsx,data/raw/hud_usps_crosswalk/ZIP_TRACT_122016.xlsx
TRACT,2017,4,ZIP_TRACT_122017,ZIP_TRACT_122017.xlsx,https://www.huduser.gov/portal/datasets/usps/ZIP_TRACT_122017.xlsx,data/raw/hud_usps_crosswalk/ZIP_TRACT_122017.xlsx
TRACT,2018,4,ZIP_TRACT_122018,ZIP_TRACT_122018.xlsx,https://www.huduser.gov/portal/datasets/usps/ZIP_TRACT_122018.xlsx,data/raw/hud_usps_crosswalk/ZIP_TRACT_122018.xlsx
TRACT,2019,4,ZIP_TRACT_122019,ZIP_TRACT_122019.xlsx,https://www.huduser.gov/portal/datasets/usps/ZIP_TRACT_122019.xlsx,data/raw/hud_usps_crosswalk/ZIP_TRACT_122019.xlsx
TRACT,2020,4,ZIP_TRACT_122020,ZIP_TRACT_122020.xlsx,https://www.huduser.gov/portal/datasets/usps/ZIP_TRACT_122020.xlsx,data/raw/hud_usps_crosswalk/ZIP_TRACT_122020.xlsx
TRACT,2021,4,ZIP_TRACT_122021,ZIP_TRACT_122021.xlsx,https://www.huduser.gov/portal/datasets/usps/ZIP_TRACT_122021.xlsx,data/raw/hud_usps_crosswalk/ZIP_TRACT_122021.xlsx
TRACT,2022,4,ZIP_TRACT_122022,ZIP_TRACT_122022.xlsx,https://www.huduser.gov/portal/datasets/usps/ZIP_TRACT_122022.xlsx,data/raw/hud_usps_crosswalk/ZIP_TRACT_122022.xlsx
TRACT,2023,4,ZIP_TRACT_122023,ZIP_TRACT_122023.xlsx,https://www.huduser.gov/portal/datasets/usps/ZIP_TRACT_122023.xlsx,data/raw/hud_usps_crosswalk/ZIP_TRACT_122023.xlsx
TRACT,2024,4,ZIP_TRACT_122024,ZIP_TRACT_122024.xlsx,https://www.huduser.gov/portal/datasets/usps/ZIP_TRACT_122024.xlsx,data/raw/hud_usps_crosswalk/ZIP_TRACT_122024.xlsx
