term,estimate,std.error,statistic,p.value,conf.low,conf.high,organ,pollutant,band,n,events
o3_interval_10ppb,0.9854785232916163,0.0062082822399557635,-2.3561985045160845,0.018463048498008623,0.9735598713553406,0.9975430874292447,LI,o3,0-1 years,218837,27764
o3_interval_10ppb,0.9842148550500884,0.01034193758747831,-1.5384986615662686,0.12392673553289053,0.9644658228711603,1.0043682813119952,LI,o3,1-3 years,65383,10130
o3_interval_10ppb,1.003161473085151,0.018613454174343003,0.1695808906569454,0.865339751908242,0.9672239539805669,1.0404342623451914,LI,o3,3-5 years,23939,3274
o3_interval_10ppb,1.0141082682689733,0.021671059084912996,0.6464692313846644,0.5179755172918276,0.9719364839343735,1.0581098629084242,LI,o3,5+ years,11571,2696
o3_interval_10ppb,0.9688865093679508,0.016471114338033648,-1.9189834213544799,0.054986432005053834,0.9381076358053373,1.0006752234026228,LU,o3,0-1 years,48311,4344
o3_interval_10ppb,0.9735818771681526,0.03342853065403916,-0.8009132081558096,0.42318189308635035,0.9118387918377633,1.0395057547835822,LU,o3,1-3 years,8106,996
o3_interval_10ppb,0.9109420971148969,0.068086344158231,-1.3699655135493543,0.17069766716768173,0.797141778475806,1.0409886004002384,LU,o3,3-5 years,2440,274
o3_interval_10ppb,0.8745480042327872,0.09750467839013273,-1.374786265595997,0.16919771734829345,0.722416273130704,1.058716753974855,LU,o3,5+ years,1016,162
no2_interval_10ppb,1.374749242383792,0.022655816279990443,14.048107619628203,7.912009320611743e-45,1.3150395764843876,1.4371700390092765,HR,no2,0-1 years,82122,7610
no2_interval_10ppb,1.100151748041566,0.05177916437530092,1.8433693205815183,0.06527510625862429,0.9939810128481863,1.2176629664693315,HR,no2,1-3 years,19428,1997
no2_interval_10ppb,1.0378008621632215,0.09447704972961685,0.39272943871363636,0.69451932516203,0.8623727336744482,1.2489154485643938,HR,no2,3-5 years,6414,716
no2_interval_10ppb,0.9484933198045881,0.13742196634910261,-0.3848040742085868,0.7003825803567464,0.7245368634656254,1.2416753695743608,HR,no2,5+ years,2840,449
no2_interval_10ppb,0.9689012263115655,0.012702542433069753,-2.4871088669386126,0.01287859819067095,0.9450767559126209,0.9933262885526428,KI,no2,0-1 years,628132,24108
no2_interval_10ppb,0.9021053057111068,0.010577551563538795,-9.73987394029164,2.0380702347317797e-22,0.8835957308979919,0.9210026193370996,KI,no2,1-3 years,417741,45028
no2_interval_10ppb,0.8479738347693115,0.01387248847323777,-11.887232720305628,1.379001961848761e-32,0.8252284047891718,0.8713461876498011,KI,no2,3-5 years,220958,31196
no2_interval_10ppb,0.8175252987193322,0.0155282518424436,-12.974636957729091,1.7040181183698503e-38,0.7930188837350612,0.8427890277949812,KI,no2,5+ years,108081,31120
no2_interval_10ppb,1.0373525209167151,0.010910646910717175,3.3611035903497006,7.763170370328143e-4,1.0154047886178441,1.0597746482139778,LI,no2,0-1 years,232844,28863
no2_interval_10ppb,0.9539787020385493,0.019681838763371706,-2.3937769868288914,0.016675884740421927,0.9178790711466576,0.9914981096651941,LI,no2,1-3 years,67545,10441
no2_interval_10ppb,0.9138454013149081,0.038144332690985265,-2.361920124129511,0.018180558924028343,0.8480163308541248,0.9847845933147026,LI,no2,3-5 years,24445,3367
no2_interval_10ppb,0.8816396947095729,0.04719726760422352,-2.669048913889793,0.007606637171902252,0.8037421577849773,0.9670869491650265,LI,no2,5+ years,11782,2810
no2_interval_10ppb,1.4478166225840399,0.02922021081022565,12.664407060075494,9.312130845998857e-37,1.367229026584779,1.5331542352247425,LU,no2,0-1 years,51932,4477
no2_interval_10ppb,1.027561590155724,0.06800808409125741,0.39978493310779867,0.6893149290210098,0.8993304039893909,1.1740766428884306,LU,no2,1-3 years,8318,1013
no2_interval_10ppb,0.9961995623158835,0.139503402340915,-0.027294514920904303,0.9782248316993203,0.7578806784637794,1.3094588583125981,LU,no2,3-5 years,2472,280
no2_interval_10ppb,1.2304477033353913,0.2161317523203626,0.9594984882252648,0.33730768089346225,0.8055481022799449,1.8794675902758093,LU,no2,5+ years,1032,169
