file,variable,label
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,InoSingle,InoSingle
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,InoMultiple,InoMultiple
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,InoSinDobutamine,InoSinDobutamine
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,InoSinMilrinone,InoSinMilrinone
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,InoSinEpinephrine,InoSinEpinephrine
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,InoMulDobutamine,InoMulDobutamine
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,InoMulMilrinone,InoMulMilrinone
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,InoMulEpinephrine,InoMulEpinephrine
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,InoMulDopamine,InoMulDopamine
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,InoInotropeSupport,InoInotropeSupport
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,InoCardiacIndex,InoCardiacIndex
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,InoCardiacIndexDt,InoCardiacIndexDt
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,InoCapWedgePressure,InoCapWedgePressure
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,InoCapWedgePressureDt,InoCapWedgePressureDt
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,InoSysBloodPressure,InoSysBloodPressure
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,InoSysBloodPressureDt,InoSysBloodPressureDt
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,CriteriaMcsdWithHemo,CriteriaMcsdWithHemo
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,McsdLactateDehydrogenase,McsdLactateDehydrogenase
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,McsdPlasmaFreeHemoglobin,McsdPlasmaFreeHemoglobin
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,McsdHemoglobinuria,McsdHemoglobinuria
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,CriteriaMcsdWithPump,CriteriaMcsdWithPump
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,McsdWithPumpThrombosis,McsdWithPumpThrombosis
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,McsdWithPumpTransIscAttack,McsdWithPumpTransIscAttack
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,CriteriaMcsdWithRhf,CriteriaMcsdWithRhf
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,McsdWithRhfDobutamine,McsdWithRhfDobutamine
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,McsdWithRhfDobutamineDt,McsdWithRhfDobutamineDt
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,McsdWithRhfDopamine,McsdWithRhfDopamine
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,McsdWithRhfDopamineDt,McsdWithRhfDopamineDt
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,McsdWithRhfEpinephrine,McsdWithRhfEpinephrine
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,McsdWithRhfEpinephrineDt,McsdWithRhfEpinephrineDt
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,McsdWithRhfMilrinone,McsdWithRhfMilrinone
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,McsdWithRhfMilrinoneDt,McsdWithRhfMilrinoneDt
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,McsdWithRhfNitricOxide,McsdWithRhfNitricOxide
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,McsdWithRhfNitricOxideDt,McsdWithRhfNitricOxideDt
