broad_reason,zip_prefix3,n
not_in_2020_zcta,992,15
not_in_2020_zcta,027,14
not_in_2020_zcta,080,14
not_in_2020_zcta,101,14
not_in_2020_zcta,117,14
not_in_2020_zcta,190,14
not_in_2020_zcta,203,14
not_in_2020_zcta,211,14
not_in_2020_zcta,235,14
not_in_2020_zcta,265,14
not_in_2020_zcta,417,14
not_in_2020_zcta,591,14
not_in_2020_zcta,648,14
not_in_2020_zcta,729,14
not_in_2020_zcta,757,14
not_in_2020_zcta,948,14
not_in_2020_zcta,998,14
not_in_2020_zcta,011,13
not_in_2020_zcta,015,13
not_in_2020_zcta,022,13
not_in_2020_zcta,026,13
not_in_2020_zcta,106,13
not_in_2020_zcta,181,13
not_in_2020_zcta,231,13
not_in_2020_zcta,241,13
not_in_2020_zcta,271,13
not_in_2020_zcta,356,13
not_in_2020_zcta,483,13
not_in_2020_zcta,597,13
not_in_2020_zcta,730,13
not_in_2020_zcta,820,13
not_in_2020_zcta,960,13
not_in_2020_zcta,020,12
not_in_2020_zcta,057,12
not_in_2020_zcta,078,12
not_in_2020_zcta,084,12
not_in_2020_zcta,085,12
not_in_2020_zcta,100,12
not_in_2020_zcta,122,12
not_in_2020_zcta,196,12
not_in_2020_zcta,217,12
not_in_2020_zcta,477,12
not_in_2020_zcta,495,12
not_in_2020_zcta,604,12
not_in_2020_zcta,611,12
not_in_2020_zcta,767,12
not_in_2020_zcta,795,12
not_in_2020_zcta,838,12
not_in_2020_zcta,025,11
not_in_2020_zcta,054,11
not_in_2020_zcta,073,11
not_in_2020_zcta,077,11
not_in_2020_zcta,104,11
not_in_2020_zcta,107,11
not_in_2020_zcta,199,11
not_in_2020_zcta,210,11
not_in_2020_zcta,245,11
not_in_2020_zcta,270,11
not_in_2020_zcta,290,11
not_in_2020_zcta,311,11
not_in_2020_zcta,316,11
not_in_2020_zcta,367,11
not_in_2020_zcta,376,11
not_in_2020_zcta,380,11
not_in_2020_zcta,403,11
not_in_2020_zcta,404,11
not_in_2020_zcta,468,11
not_in_2020_zcta,585,11
not_in_2020_zcta,598,11
not_in_2020_zcta,618,11
not_in_2020_zcta,631,11
not_in_2020_zcta,661,11
not_in_2020_zcta,713,11
not_in_2020_zcta,745,11
not_in_2020_zcta,768,11
not_in_2020_zcta,770,11
not_in_2020_zcta,802,11
not_in_2020_zcta,827,11
not_in_2020_zcta,840,11
not_in_2020_zcta,894,11
not_in_2020_zcta,905,11
not_in_2020_zcta,912,11
not_in_2020_zcta,931,11
not_in_2020_zcta,936,11
not_in_2020_zcta,943,11
not_in_2020_zcta,012,10
not_in_2020_zcta,081,10
not_in_2020_zcta,238,10
not_in_2020_zcta,246,10
not_in_2020_zcta,359,10
not_in_2020_zcta,389,10
not_in_2020_zcta,393,10
not_in_2020_zcta,400,10
not_in_2020_zcta,415,10
not_in_2020_zcta,422,10
not_in_2020_zcta,440,10
not_in_2020_zcta,441,10
not_in_2020_zcta,485,10
not_in_2020_zcta,566,10
not_in_2020_zcta,577,10
not_in_2020_zcta,581,10
not_in_2020_zcta,596,10
not_in_2020_zcta,627,10
not_in_2020_zcta,641,10
not_in_2020_zcta,711,10
not_in_2020_zcta,718,10
not_in_2020_zcta,725,10
not_in_2020_zcta,728,10
not_in_2020_zcta,748,10
not_in_2020_zcta,780,10
not_in_2020_zcta,798,10
not_in_2020_zcta,881,10
not_in_2020_zcta,977,10
not_in_2020_zcta,989,10
not_in_2020_zcta,002,9
not_in_2020_zcta,029,9
not_in_2020_zcta,041,9
not_in_2020_zcta,058,9
not_in_2020_zcta,061,9
not_in_2020_zcta,064,9
not_in_2020_zcta,076,9
not_in_2020_zcta,079,9
not_in_2020_zcta,146,9
not_in_2020_zcta,151,9
not_in_2020_zcta,171,9
not_in_2020_zcta,202,9
not_in_2020_zcta,232,9
not_in_2020_zcta,233,9
not_in_2020_zcta,240,9
not_in_2020_zcta,254,9
not_in_2020_zcta,304,9
not_in_2020_zcta,313,9
not_in_2020_zcta,377,9
not_in_2020_zcta,385,9
not_in_2020_zcta,445,9
not_in_2020_zcta,472,9
not_in_2020_zcta,494,9
not_in_2020_zcta,532,9
not_in_2020_zcta,602,9
not_in_2020_zcta,622,9
not_in_2020_zcta,633,9
not_in_2020_zcta,640,9
not_in_2020_zcta,721,9
not_in_2020_zcta,724,9
not_in_2020_zcta,743,9
not_in_2020_zcta,755,9
not_in_2020_zcta,781,9
not_in_2020_zcta,806,9
not_in_2020_zcta,829,9
not_in_2020_zcta,847,9
not_in_2020_zcta,963,9
not_in_2020_zcta,028,8
not_in_2020_zcta,033,8
not_in_2020_zcta,062,8
not_in_2020_zcta,108,8
not_in_2020_zcta,111,8
not_in_2020_zcta,118,8
not_in_2020_zcta,140,8
not_in_2020_zcta,142,8
not_in_2020_zcta,152,8
not_in_2020_zcta,176,8
not_in_2020_zcta,204,8
not_in_2020_zcta,228,8
not_in_2020_zcta,319,8
not_in_2020_zcta,421,8
not_in_2020_zcta,443,8
not_in_2020_zcta,452,8
not_in_2020_zcta,482,8
not_in_2020_zcta,490,8
not_in_2020_zcta,527,8
not_in_2020_zcta,656,8
not_in_2020_zcta,679,8
not_in_2020_zcta,714,8
not_in_2020_zcta,830,8
not_in_2020_zcta,833,8
not_in_2020_zcta,904,8
not_in_2020_zcta,988,8
not_in_2020_zcta,993,8
not_in_2020_zcta,050,7
not_in_2020_zcta,067,7
not_in_2020_zcta,072,7
not_in_2020_zcta,089,7
not_in_2020_zcta,090,7
not_in_2020_zcta,102,7
not_in_2020_zcta,137,7
not_in_2020_zcta,161,7
not_in_2020_zcta,162,7
not_in_2020_zcta,174,7
not_in_2020_zcta,175,7
not_in_2020_zcta,186,7
not_in_2020_zcta,191,7
not_in_2020_zcta,222,7
not_in_2020_zcta,236,7
not_in_2020_zcta,355,7
not_in_2020_zcta,383,7
not_in_2020_zcta,384,7
not_in_2020_zcta,387,7
not_in_2020_zcta,410,7
not_in_2020_zcta,424,7
not_in_2020_zcta,427,7
not_in_2020_zcta,442,7
not_in_2020_zcta,447,7
not_in_2020_zcta,474,7
not_in_2020_zcta,488,7
not_in_2020_zcta,535,7
not_in_2020_zcta,537,7
not_in_2020_zcta,630,7
not_in_2020_zcta,653,7
not_in_2020_zcta,691,7
not_in_2020_zcta,747,7
not_in_2020_zcta,758,7
not_in_2020_zcta,762,7
not_in_2020_zcta,816,7
not_in_2020_zcta,826,7
not_in_2020_zcta,837,7
not_in_2020_zcta,862,7
not_in_2020_zcta,898,7
not_in_2020_zcta,915,7
not_in_2020_zcta,916,7
not_in_2020_zcta,965,7
not_in_2020_zcta,975,7
not_in_2020_zcta,987,7
not_in_2020_zcta,014,6
not_in_2020_zcta,019,6
not_in_2020_zcta,030,6
not_in_2020_zcta,037,6
not_in_2020_zcta,043,6
not_in_2020_zcta,069,6
not_in_2020_zcta,103,6
not_in_2020_zcta,121,6
not_in_2020_zcta,124,6
not_in_2020_zcta,126,6
not_in_2020_zcta,132,6
not_in_2020_zcta,135,6
not_in_2020_zcta,144,6
not_in_2020_zcta,172,6
not_in_2020_zcta,184,6
not_in_2020_zcta,187,6
not_in_2020_zcta,188,6
not_in_2020_zcta,197,6
not_in_2020_zcta,227,6
not_in_2020_zcta,244,6
not_in_2020_zcta,258,6
not_in_2020_zcta,261,6
not_in_2020_zcta,279,6
not_in_2020_zcta,358,6
not_in_2020_zcta,369,6
not_in_2020_zcta,372,6
not_in_2020_zcta,420,6
not_in_2020_zcta,432,6
not_in_2020_zcta,465,6
not_in_2020_zcta,486,6
not_in_2020_zcta,522,6
not_in_2020_zcta,528,6
not_in_2020_zcta,534,6
not_in_2020_zcta,554,6
not_in_2020_zcta,571,6
not_in_2020_zcta,637,6
not_in_2020_zcta,638,6
not_in_2020_zcta,639,6
not_in_2020_zcta,681,6
not_in_2020_zcta,685,6
not_in_2020_zcta,710,6
not_in_2020_zcta,719,6
not_in_2020_zcta,734,6
not_in_2020_zcta,736,6
not_in_2020_zcta,738,6
not_in_2020_zcta,763,6
not_in_2020_zcta,764,6
not_in_2020_zcta,766,6
not_in_2020_zcta,789,6
not_in_2020_zcta,790,6
not_in_2020_zcta,796,6
not_in_2020_zcta,814,6
not_in_2020_zcta,815,6
not_in_2020_zcta,836,6
not_in_2020_zcta,897,6
not_in_2020_zcta,929,6
not_in_2020_zcta,970,6
not_in_2020_zcta,042,5
not_in_2020_zcta,045,5
not_in_2020_zcta,066,5
not_in_2020_zcta,091,5
not_in_2020_zcta,093,5
not_in_2020_zcta,116,5
not_in_2020_zcta,134,5
not_in_2020_zcta,139,5
not_in_2020_zcta,145,5
not_in_2020_zcta,148,5
not_in_2020_zcta,155,5
not_in_2020_zcta,166,5
not_in_2020_zcta,168,5
not_in_2020_zcta,178,5
not_in_2020_zcta,205,5
not_in_2020_zcta,219,5
not_in_2020_zcta,243,5
not_in_2020_zcta,247,5
not_in_2020_zcta,248,5
not_in_2020_zcta,256,5
not_in_2020_zcta,257,5
not_in_2020_zcta,266,5
not_in_2020_zcta,343,5
not_in_2020_zcta,345,5
not_in_2020_zcta,382,5
not_in_2020_zcta,406,5
not_in_2020_zcta,411,5
not_in_2020_zcta,430,5
not_in_2020_zcta,503,5
not_in_2020_zcta,525,5
not_in_2020_zcta,526,5
not_in_2020_zcta,542,5
not_in_2020_zcta,549,5
not_in_2020_zcta,551,5
not_in_2020_zcta,553,5
not_in_2020_zcta,594,5
not_in_2020_zcta,603,5
not_in_2020_zcta,625,5
not_in_2020_zcta,645,5
not_in_2020_zcta,688,5
not_in_2020_zcta,810,5
not_in_2020_zcta,812,5
not_in_2020_zcta,825,5
not_in_2020_zcta,844,5
not_in_2020_zcta,874,5
not_in_2020_zcta,918,5
not_in_2020_zcta,017,4
not_in_2020_zcta,031,4
not_in_2020_zcta,034,4
not_in_2020_zcta,035,4
not_in_2020_zcta,051,4
not_in_2020_zcta,097,4
not_in_2020_zcta,141,4
not_in_2020_zcta,143,4
not_in_2020_zcta,159,4
not_in_2020_zcta,165,4
not_in_2020_zcta,173,4
not_in_2020_zcta,185,4
not_in_2020_zcta,192,4
not_in_2020_zcta,195,4
not_in_2020_zcta,216,4
not_in_2020_zcta,237,4
not_in_2020_zcta,253,4
not_in_2020_zcta,255,4
not_in_2020_zcta,259,4
not_in_2020_zcta,262,4
not_in_2020_zcta,263,4
not_in_2020_zcta,264,4
not_in_2020_zcta,409,4
not_in_2020_zcta,413,4
not_in_2020_zcta,423,4
not_in_2020_zcta,433,4
not_in_2020_zcta,450,4
not_in_2020_zcta,466,4
not_in_2020_zcta,469,4
not_in_2020_zcta,471,4
not_in_2020_zcta,473,4
not_in_2020_zcta,479,4
not_in_2020_zcta,524,4
not_in_2020_zcta,530,4
