WL_ORG,exposure_year,n_registrations,n_people,n_missing_candidate_zip,n_link_all_three,n_partial_pollutant_linkage,n_zip_not_in_pollution_zcta,pct_link_all_three
IN,2010,238,232,6,229,0,3,0.9621848739495799
IN,2011,185,180,8,174,0,3,0.9405405405405406
IN,2012,158,153,4,150,0,4,0.9493670886075949
IN,2013,181,175,8,172,0,1,0.9502762430939227
IN,2014,211,205,10,198,0,3,0.9383886255924171
IN,2015,200,194,10,187,0,3,0.935
IN,2016,204,199,11,192,0,1,0.9411764705882353
IN,2017,160,153,10,149,0,1,0.93125
IN,2018,139,136,4,132,0,3,0.9496402877697842
IN,2019,106,103,6,100,0,0,0.9433962264150944
IN,2020,144,136,10,128,0,6,0.8888888888888888
IN,2021,143,142,0,142,0,1,0.993006993006993
IN,2022,147,145,1,144,0,2,0.9795918367346939
IN,2023,135,128,5,130,0,0,0.9629629629629629
IN,2024,126,125,2,0,123,1,0
KI,2005,31819,30052,91,30717,0,1011,0.9653666048587322
KI,2006,33482,31396,87,32389,0,1006,0.9673555940505346
KI,2007,35338,33022,79,34191,0,1068,0.9675420227517121
KI,2008,37223,34567,93,36076,0,1054,0.9691857185073744
KI,2009,40225,37144,91,39015,0,1119,0.969919204474829
KI,2010,41924,38198,52,40733,0,1139,0.9715914511974049
KI,2011,41990,37673,83,40844,0,1063,0.9727077875684687
KI,2012,42780,37843,81,41589,0,1110,0.9721598877980364
KI,2013,42904,37485,71,41908,0,925,0.9767853813164273
KI,2014,40864,35470,110,39822,0,932,0.9745007830853563
KI,2015,38860,33565,96,37955,0,809,0.9767112712300566
KI,2016,38627,33563,62,37799,0,766,0.9785642167395863
KI,2017,38773,33781,72,37943,0,758,0.9785933510432517
KI,2018,39990,35206,75,39114,0,801,0.9780945236309078
KI,2019,40635,35764,53,39878,0,704,0.9813707395102744
KI,2020,37427,33377,36,36767,0,624,0.9823656718411842
KI,2021,38013,33981,63,37342,0,608,0.9823481440559808
KI,2022,35147,32075,66,34535,0,546,0.982587418556349
KI,2023,31057,28694,93,30494,0,470,0.9818720417297228
KI,2024,24880,23621,114,0,24454,312,0
KP,2005,1817,1748,1,1766,0,50,0.9719317556411667
KP,2006,1614,1541,4,1560,0,50,0.966542750929368
KP,2007,1584,1510,2,1527,0,55,0.9640151515151515
KP,2008,1620,1543,1,1571,0,48,0.9697530864197531
KP,2009,1640,1546,3,1599,0,38,0.975
KP,2010,1671,1587,3,1625,0,43,0.9724715739078397
KP,2011,1556,1480,2,1508,0,46,0.9691516709511568
KP,2012,1649,1562,2,1612,0,35,0.9775621588841722
KP,2013,1534,1431,0,1488,0,46,0.970013037809648
KP,2014,1527,1399,5,1479,0,43,0.9685658153241651
KP,2015,1254,1158,1,1228,0,25,0.9792663476874003
KP,2016,1324,1218,1,1294,0,29,0.9773413897280967
KP,2017,1359,1282,2,1320,0,37,0.9713024282560706
KP,2018,1493,1405,0,1450,0,43,0.971198928332217
KP,2019,1451,1349,0,1427,0,24,0.983459682977257
KP,2020,1437,1327,2,1406,0,29,0.9784272790535838
KP,2021,1442,1343,3,1408,0,31,0.9764216366158114
KP,2022,1283,1192,2,1255,0,26,0.9781761496492596
KP,2023,1160,1105,5,1130,0,25,0.9741379310344828
KP,2024,839,800,4,0,820,15,0
LI,2005,10940,10358,66,10572,0,302,0.9663619744058501
LI,2006,11025,10476,71,10684,0,270,0.9690702947845805
LI,2007,11084,10529,78,10692,0,314,0.9646337062432335
LI,2008,11187,10583,62,10793,0,332,0.9647805488513453
LI,2009,11259,10684,59,10924,0,276,0.9702460254019007
LI,2010,12000,11328,59,11645,0,296,0.9704166666666667
LI,2011,11933,11279,67,11557,0,309,0.9684907399648035
LI,2012,11609,11066,62,11236,0,311,0.9678697562236196
LI,2013,12008,11499,75,11672,0,261,0.972018654230513
LI,2014,11952,11541,88,11588,0,276,0.9695448460508701
LI,2015,12004,11588,76,11656,0,272,0.9710096634455182
LI,2016,12726,12284,78,12351,0,297,0.9705327675624705
LI,2017,12956,12462,53,12653,0,250,0.9766131522074715
LI,2018,13153,12706,40,12892,0,221,0.9801566182619934
LI,2019,13457,12932,52,13170,0,235,0.978672809690124
LI,2020,13020,12597,22,12764,0,234,0.9803379416282642
LI,2021,13841,13423,50,13581,0,210,0.9812152301134311
LI,2022,13607,13165,29,13374,0,204,0.9828764606452561
LI,2023,14661,14168,36,14434,0,191,0.9845167451060637
LI,2024,15387,15008,27,0,15151,209,0
LU,2005,1569,1533,2,1542,0,25,0.982791586998088
LU,2006,1770,1749,3,1733,0,34,0.9790960451977401
LU,2007,1956,1918,9,1904,0,43,0.9734151329243353
LU,2008,2013,1967,6,1970,0,37,0.9786388474913065
LU,2009,2277,2229,11,2219,0,47,0.9745278875713659
LU,2010,2463,2414,8,2413,0,42,0.9796995533901746
LU,2011,2466,2402,10,2414,0,42,0.9789132197891321
LU,2012,2344,2302,13,2295,0,36,0.9790955631399317
LU,2013,2529,2462,21,2477,0,31,0.9794385132463425
LU,2014,2641,2581,18,2593,0,30,0.9818250662627792
LU,2015,2590,2532,20,2536,0,34,0.9791505791505791
LU,2016,2785,2741,11,2742,0,32,0.984560143626571
LU,2017,3001,2951,7,2960,0,34,0.9863378873708764
LU,2018,3204,3162,22,3150,0,32,0.9831460674157303
LU,2019,3248,3217,22,3197,0,29,0.9842980295566502
LU,2020,2675,2655,13,2642,0,20,0.9876635514018691
LU,2021,3092,3063,14,3055,0,23,0.9880336351875808
LU,2022,3133,3103,25,3083,0,25,0.98404085541015
LU,2023,3353,3327,21,3313,0,19,0.9880703847300925
LU,2024,3725,3709,20,0,3678,27,0
PA,2005,916,877,10,891,0,15,0.972707423580786
PA,2006,821,790,7,798,0,16,0.9719853836784409
PA,2007,726,689,6,707,0,13,0.9738292011019284
PA,2008,709,685,5,692,0,12,0.9760225669957687
PA,2009,643,614,6,628,0,9,0.9766718506998445
PA,2010,563,536,6,550,0,7,0.9769094138543517
PA,2011,515,494,3,506,0,6,0.9825242718446602
PA,2012,477,458,2,471,0,4,0.9874213836477987
PA,2013,482,462,7,472,0,3,0.979253112033195
PA,2014,463,444,5,452,0,6,0.9762419006479481
PA,2015,392,381,9,373,0,10,0.951530612244898
PA,2016,395,382,7,385,0,3,0.9746835443037974
PA,2017,391,380,7,381,0,3,0.9744245524296675
PA,2018,361,348,4,350,0,7,0.9695290858725761
PA,2019,302,291,4,296,0,2,0.9801324503311258
PA,2020,320,313,5,310,0,5,0.96875
PA,2021,286,281,0,283,0,3,0.9895104895104895
PA,2022,286,273,1,282,0,3,0.986013986013986
PA,2023,250,241,5,245,0,0,0.98
PA,2024,211,209,2,0,209,0,0
