candidate_zip,broad_reason,n
95067,not_in_2020_zcta,9
95424,not_in_2020_zcta,9
95696,not_in_2020_zcta,9
96731,valid_2020_zcta_outside_conus_crop,9
96733,not_in_2020_zcta,9
96765,valid_2020_zcta_outside_conus_crop,9
96820,valid_2020_zcta_outside_conus_crop,9
97708,not_in_2020_zcta,9
98205,not_in_2020_zcta,9
99623,valid_2020_zcta_outside_conus_crop,9
99672,valid_2020_zcta_outside_conus_crop,9
00821,not_in_2020_zcta,8
00902,not_in_2020_zcta,8
00911,valid_2020_zcta_outside_conus_crop,8
01853,not_in_2020_zcta,8
19899,not_in_2020_zcta,8
22555,not_in_2020_zcta,8
22906,not_in_2020_zcta,8
27331,not_in_2020_zcta,8
28353,not_in_2020_zcta,8
28680,not_in_2020_zcta,8
29202,not_in_2020_zcta,8
30919,not_in_2020_zcta,8
31040,not_in_2020_zcta,8
31598,not_in_2020_zcta,8
33975,not_in_2020_zcta,8
34143,not_in_2020_zcta,8
36461,not_in_2020_zcta,8
36504,not_in_2020_zcta,8
59604,not_in_2020_zcta,8
67905,not_in_2020_zcta,8
72303,not_in_2020_zcta,8
75091,not_in_2020_zcta,8
75403,not_in_2020_zcta,8
75606,not_in_2020_zcta,8
75608,not_in_2020_zcta,8
77805,not_in_2020_zcta,8
78523,not_in_2020_zcta,8
78667,not_in_2020_zcta,8
80044,not_in_2020_zcta,8
83002,not_in_2020_zcta,8
83877,not_in_2020_zcta,8
85066,not_in_2020_zcta,8
85221,not_in_2020_zcta,8
85252,not_in_2020_zcta,8
85312,not_in_2020_zcta,8
85359,not_in_2020_zcta,8
85732,not_in_2020_zcta,8
90801,not_in_2020_zcta,8
92150,not_in_2020_zcta,8
92235,not_in_2020_zcta,8
93447,not_in_2020_zcta,8
93613,not_in_2020_zcta,8
94581,not_in_2020_zcta,8
95024,not_in_2020_zcta,8
95077,not_in_2020_zcta,8
95402,not_in_2020_zcta,8
96716,valid_2020_zcta_outside_conus_crop,8
96741,valid_2020_zcta_outside_conus_crop,8
96781,valid_2020_zcta_outside_conus_crop,8
97309,not_in_2020_zcta,8
99610,valid_2020_zcta_outside_conus_crop,8
99686,valid_2020_zcta_outside_conus_crop,8
99710,not_in_2020_zcta,8
00614,not_in_2020_zcta,7
00647,valid_2020_zcta_outside_conus_crop,7
00908,not_in_2020_zcta,7
00912,valid_2020_zcta_outside_conus_crop,7
00922,not_in_2020_zcta,7
00965,valid_2020_zcta_outside_conus_crop,7
00988,not_in_2020_zcta,7
02358,not_in_2020_zcta,7
12551,not_in_2020_zcta,7
20118,not_in_2020_zcta,7
21203,not_in_2020_zcta,7
22404,not_in_2020_zcta,7
24115,not_in_2020_zcta,7
27402,not_in_2020_zcta,7
27710,not_in_2020_zcta,7
28145,not_in_2020_zcta,7
28561,not_in_2020_zcta,7
29465,not_in_2020_zcta,7
29504,not_in_2020_zcta,7
30237,not_in_2020_zcta,7
30916,not_in_2020_zcta,7
31208,not_in_2020_zcta,7
32704,not_in_2020_zcta,7
33082,not_in_2020_zcta,7
33482,not_in_2020_zcta,7
33733,not_in_2020_zcta,7
33862,not_in_2020_zcta,7
33970,not_in_2020_zcta,7
34421,not_in_2020_zcta,7
35161,not_in_2020_zcta,7
36331,not_in_2020_zcta,7
36702,not_in_2020_zcta,7
37422,not_in_2020_zcta,7
39649,not_in_2020_zcta,7
42241,not_in_2020_zcta,7
43602,not_in_2020_zcta,7
52733,not_in_2020_zcta,7
59903,not_in_2020_zcta,7
59904,not_in_2020_zcta,7
60680,not_in_2020_zcta,7
60690,not_in_2020_zcta,7
61826,not_in_2020_zcta,7
70571,not_in_2020_zcta,7
70664,not_in_2020_zcta,7
72203,not_in_2020_zcta,7
72336,not_in_2020_zcta,7
72525,not_in_2020_zcta,7
73154,not_in_2020_zcta,7
74502,not_in_2020_zcta,7
75106,not_in_2020_zcta,7
75915,not_in_2020_zcta,7
75963,not_in_2020_zcta,7
76503,not_in_2020_zcta,7
77353,not_in_2020_zcta,7
77387,not_in_2020_zcta,7
77402,not_in_2020_zcta,7
77806,not_in_2020_zcta,7
77902,not_in_2020_zcta,7
78403,not_in_2020_zcta,7
79760,not_in_2020_zcta,7
83303,not_in_2020_zcta,7
85230,not_in_2020_zcta,7
85273,not_in_2020_zcta,7
85728,not_in_2020_zcta,7
85752,not_in_2020_zcta,7
88102,not_in_2020_zcta,7
89024,not_in_2020_zcta,7
89133,not_in_2020_zcta,7
89432,not_in_2020_zcta,7
91109,not_in_2020_zcta,7
91729,not_in_2020_zcta,7
91912,not_in_2020_zcta,7
92013,not_in_2020_zcta,7
92023,not_in_2020_zcta,7
92138,not_in_2020_zcta,7
92143,not_in_2020_zcta,7
92248,not_in_2020_zcta,7
92393,not_in_2020_zcta,7
92564,not_in_2020_zcta,7
93062,not_in_2020_zcta,7
93232,not_in_2020_zcta,7
93590,not_in_2020_zcta,7
94142,not_in_2020_zcta,7
94522,not_in_2020_zcta,7
94604,not_in_2020_zcta,7
95173,not_in_2020_zcta,7
95353,not_in_2020_zcta,7
95416,not_in_2020_zcta,7
96713,valid_2020_zcta_outside_conus_crop,7
96722,valid_2020_zcta_outside_conus_crop,7
96725,valid_2020_zcta_outside_conus_crop,7
96760,valid_2020_zcta_outside_conus_crop,7
96785,valid_2020_zcta_outside_conus_crop,7
98063,not_in_2020_zcta,7
98213,not_in_2020_zcta,7
98507,not_in_2020_zcta,7
99302,not_in_2020_zcta,7
99556,valid_2020_zcta_outside_conus_crop,7
99574,valid_2020_zcta_outside_conus_crop,7
99803,not_in_2020_zcta,7
00925,valid_2020_zcta_outside_conus_crop,6
00931,not_in_2020_zcta,6
01842,not_in_2020_zcta,6
02345,not_in_2020_zcta,6
03302,not_in_2020_zcta,6
03821,not_in_2020_zcta,6
07019,not_in_2020_zcta,6
07303,not_in_2020_zcta,6
07510,not_in_2020_zcta,6
08404,not_in_2020_zcta,6
08601,not_in_2020_zcta,6
14692,not_in_2020_zcta,6
15127,not_in_2020_zcta,6
18813,not_in_2020_zcta,6
18916,not_in_2020_zcta,6
20604,not_in_2020_zcta,6
20916,not_in_2020_zcta,6
24627,not_in_2020_zcta,6
25802,not_in_2020_zcta,6
27598,not_in_2020_zcta,6
27802,not_in_2020_zcta,6
28002,not_in_2020_zcta,6
28329,not_in_2020_zcta,6
28603,not_in_2020_zcta,6
28816,not_in_2020_zcta,6
29423,not_in_2020_zcta,6
29457,not_in_2020_zcta,6
29622,not_in_2020_zcta,6
29641,not_in_2020_zcta,6
29925,not_in_2020_zcta,6
30123,not_in_2020_zcta,6
31310,not_in_2020_zcta,6
31515,not_in_2020_zcta,6
31534,not_in_2020_zcta,6
32035,not_in_2020_zcta,6
32183,not_in_2020_zcta,6
32549,not_in_2020_zcta,6
32644,not_in_2020_zcta,6
32795,not_in_2020_zcta,6
32861,not_in_2020_zcta,6
33475,not_in_2020_zcta,6
33826,not_in_2020_zcta,6
34712,not_in_2020_zcta,6
34742,not_in_2020_zcta,6
35000,not_in_2020_zcta,6
35261,not_in_2020_zcta,6
36302,not_in_2020_zcta,6
37320,not_in_2020_zcta,6
37802,not_in_2020_zcta,6
38187,not_in_2020_zcta,6
38402,not_in_2020_zcta,6
38902,not_in_2020_zcta,6
39404,not_in_2020_zcta,6
42002,not_in_2020_zcta,6
42419,not_in_2020_zcta,6
45407,not_in_2020_zcta,6
48037,not_in_2020_zcta,6
49501,not_in_2020_zcta,6
52244,not_in_2020_zcta,6
59107,not_in_2020_zcta,6
60121,not_in_2020_zcta,6
70004,not_in_2020_zcta,6
70044,not_in_2020_zcta,6
70182,not_in_2020_zcta,6
70302,not_in_2020_zcta,6
70459,not_in_2020_zcta,6
70612,not_in_2020_zcta,6
70821,not_in_2020_zcta,6
70884,not_in_2020_zcta,6
70896,not_in_2020_zcta,6
71284,not_in_2020_zcta,6
71613,not_in_2020_zcta,6
72766,not_in_2020_zcta,6
72957,not_in_2020_zcta,6
73083,not_in_2020_zcta,6
73136,not_in_2020_zcta,6
73156,not_in_2020_zcta,6
75011,not_in_2020_zcta,6
75015,not_in_2020_zcta,6
75049,not_in_2020_zcta,6
75083,not_in_2020_zcta,6
75222,not_in_2020_zcta,6
75713,not_in_2020_zcta,6
76096,not_in_2020_zcta,6
76098,not_in_2020_zcta,6
76136,not_in_2020_zcta,6
77267,not_in_2020_zcta,6
77271,not_in_2020_zcta,6
77491,not_in_2020_zcta,6
77574,not_in_2020_zcta,6
77641,not_in_2020_zcta,6
77726,not_in_2020_zcta,6
79105,not_in_2020_zcta,6
79493,not_in_2020_zcta,6
79712,not_in_2020_zcta,6
80040,not_in_2020_zcta,6
80046,not_in_2020_zcta,6
80306,not_in_2020_zcta,6
80308,not_in_2020_zcta,6
81502,not_in_2020_zcta,6
82931,not_in_2020_zcta,6
85046,not_in_2020_zcta,6
85231,not_in_2020_zcta,6
85274,not_in_2020_zcta,6
85285,not_in_2020_zcta,6
85299,not_in_2020_zcta,6
85327,not_in_2020_zcta,6
85547,not_in_2020_zcta,6
85628,not_in_2020_zcta,6
85652,not_in_2020_zcta,6
85754,not_in_2020_zcta,6
86312,not_in_2020_zcta,6
87125,not_in_2020_zcta,6
87193,not_in_2020_zcta,6
87197,not_in_2020_zcta,6
88062,not_in_2020_zcta,6
89702,not_in_2020_zcta,6
91041,not_in_2020_zcta,6
91785,not_in_2020_zcta,6
92088,not_in_2020_zcta,6
92174,not_in_2020_zcta,6
92312,not_in_2020_zcta,6
92423,not_in_2020_zcta,6
92589,not_in_2020_zcta,6
92863,not_in_2020_zcta,6
93061,not_in_2020_zcta,6
93386,not_in_2020_zcta,6
93448,not_in_2020_zcta,6
93515,not_in_2020_zcta,6
93539,not_in_2020_zcta,6
93729,not_in_2020_zcta,6
95156,not_in_2020_zcta,6
95159,not_in_2020_zcta,6
95381,not_in_2020_zcta,6
95418,not_in_2020_zcta,6
95518,not_in_2020_zcta,6
95617,not_in_2020_zcta,6
96160,not_in_2020_zcta,6
96788,not_in_2020_zcta,6
96931,not_in_2020_zcta,6
98206,not_in_2020_zcta,6
98291,not_in_2020_zcta,6
98807,not_in_2020_zcta,6
99521,not_in_2020_zcta,6
99523,not_in_2020_zcta,6
99688,valid_2020_zcta_outside_conus_crop,6
99706,valid_2020_zcta_outside_conus_crop,6
99833,valid_2020_zcta_outside_conus_crop,6
00001,not_in_2020_zcta,5
00604,not_in_2020_zcta,5
00740,valid_2020_zcta_outside_conus_crop,5
00744,not_in_2020_zcta,5
00958,not_in_2020_zcta,5
00963,not_in_2020_zcta,5
02303,not_in_2020_zcta,5
02541,not_in_2020_zcta,5
02651,not_in_2020_zcta,5
02722,not_in_2020_zcta,5
04332,not_in_2020_zcta,5
05740,not_in_2020_zcta,5
05849,not_in_2020_zcta,5
06430,not_in_2020_zcta,5
07051,not_in_2020_zcta,5
07509,not_in_2020_zcta,5
08101,not_in_2020_zcta,5
08213,not_in_2020_zcta,5
08252,not_in_2020_zcta,5
08754,not_in_2020_zcta,5
10587,not_in_2020_zcta,5
10949,not_in_2020_zcta,5
11202,not_in_2020_zcta,5
11227,not_in_2020_zcta,5
11431,not_in_2020_zcta,5
12402,not_in_2020_zcta,5
12568,not_in_2020_zcta,5
14205,not_in_2020_zcta,5
17105,not_in_2020_zcta,5
19404,not_in_2020_zcta,5
19421,not_in_2020_zcta,5
19969,not_in_2020_zcta,5
21802,not_in_2020_zcta,5
22313,not_in_2020_zcta,5
22320,not_in_2020_zcta,5
23466,not_in_2020_zcta,5
26531,not_in_2020_zcta,5
27261,not_in_2020_zcta,5
27620,not_in_2020_zcta,5
27629,not_in_2020_zcta,5
27715,not_in_2020_zcta,5
28106,not_in_2020_zcta,5
28111,not_in_2020_zcta,5
28302,not_in_2020_zcta,5
28459,not_in_2020_zcta,5
28744,not_in_2020_zcta,5
29071,not_in_2020_zcta,5
29230,not_in_2020_zcta,5
29304,not_in_2020_zcta,5
29502,not_in_2020_zcta,5
29602,not_in_2020_zcta,5
29822,not_in_2020_zcta,5
29901,not_in_2020_zcta,5
29938,not_in_2020_zcta,5
30006,not_in_2020_zcta,5
30112,not_in_2020_zcta,5
30302,not_in_2020_zcta,5
30321,not_in_2020_zcta,5
30459,not_in_2020_zcta,5
30503,not_in_2020_zcta,5
30608,not_in_2020_zcta,5
31059,not_in_2020_zcta,5
31139,not_in_2020_zcta,5
31209,not_in_2020_zcta,5
31414,not_in_2020_zcta,5
31702,not_in_2020_zcta,5
31706,not_in_2020_zcta,5
31799,not_in_2020_zcta,5
32004,not_in_2020_zcta,5
32041,not_in_2020_zcta,5
32085,not_in_2020_zcta,5
32158,not_in_2020_zcta,5
32457,not_in_2020_zcta,5
32513,not_in_2020_zcta,5
33539,not_in_2020_zcta,5
33564,not_in_2020_zcta,5
33568,not_in_2020_zcta,5
33684,not_in_2020_zcta,5
33687,not_in_2020_zcta,5
33906,not_in_2020_zcta,5
34133,not_in_2020_zcta,5
34146,not_in_2020_zcta,5
34290,not_in_2020_zcta,5
34973,not_in_2020_zcta,5
34988,not_in_2020_zcta,5
35056,not_in_2020_zcta,5
35502,not_in_2020_zcta,5
35612,not_in_2020_zcta,5
36427,not_in_2020_zcta,5
36458,not_in_2020_zcta,5
36616,not_in_2020_zcta,5
