window,pollutant,tract_geoid,value,days,missing_values,nearest_fill_days
2010-2014,pm25,17031480200,11.1270536692223,1826,0,1826
2010-2014,pm25,17031301701,11.1330777656079,1826,0,1826
2010-2014,pm25,17031301600,11.1330777656079,1826,0,1826
2010-2014,pm25,17031430400,11.0038335158817,1826,0,1826
2010-2014,pm25,17031411100,10.9167579408543,1826,0,1826
2010-2014,pm25,17031410200,11.631982475356,1826,0,1826
2010-2014,pm25,17031390400,11.1046002190581,1826,0,0
2010-2014,pm25,17031381800,11.6128148959474,1826,0,0
2010-2014,pm25,17031280900,11.6522453450164,1826,0,1826
2010-2014,pm25,17031260700,11.5060240963855,1826,0,1826
2010-2014,pm25,17031251800,11.8452902519168,1826,0,0
2010-2014,pm25,17031301200,11.5355969331873,1826,0,1826
2010-2014,pm25,17031292500,11.4219605695509,1826,0,0
2010-2014,pm25,17031824113,12.3128547246839,1826,0,0
2010-2014,pm25,17031823500,12.0547645125958,1826,0,0
2010-2014,pm25,17031825505,12.1433461117196,1826,0,0
2010-2014,pm25,17031820502,12.4542716319825,1826,0,0
2010-2014,pm25,17031823703,12.0436290617014,1826,0,0
2010-2014,pm25,17031823805,12.7467141292443,1826,0,0
2010-2014,pm25,17031829800,11.9080868930267,1826,0,0
2010-2014,pm25,17031828401,12.3261226725082,1826,0,0
2010-2014,pm25,17031829000,12.0158817086528,1826,0,0
2010-2014,pm25,17031828802,12.0282037239869,1826,0,0
2010-2014,pm25,17031691000,11.3055859802848,1826,0,1826
2010-2014,pm25,17031681300,11.210295728368,1826,0,0
2010-2014,pm25,17031672000,11.4315443592552,1826,0,1826
2010-2014,pm25,17031590600,12.1297918948521,1826,0,0
2010-2014,pm25,17031580300,12.6248630887185,1826,0,0
2010-2014,pm25,17031570100,12.6243154435926,1826,0,0
2010-2014,pm25,17031560200,12.4151150054765,1826,0,0
2010-2014,pm25,17031630400,10.8214676889376,1826,0,0
2010-2014,pm25,17031620300,11.2316538882804,1826,0,1826
2010-2014,pm25,17031843800,11.8263964950712,1826,0,0
2010-2014,pm25,17031839800,11.2935377875137,1826,0,0
2010-2014,pm25,17031440900,11.2267250821468,1826,0,0
2010-2014,pm25,17031431301,11.5476451259584,1826,0,0
2010-2014,pm25,17031843000,11.4956188389923,1826,0,1826
2010-2014,pm25,17031809200,11.6664841182913,1826,0,0
2010-2014,pm25,17031808200,11.8696604600219,1826,0,0
2010-2014,pm25,17031807500,11.6955093099671,1826,0,0
2010-2014,pm25,17031806802,11.5553121577218,1826,0,0
2010-2014,pm25,17031806400,12.3537787513691,1826,0,0
2010-2014,pm25,17031811402,12.1560788608981,1826,0,0
2010-2014,pm25,17031810200,11.0427163198248,1826,0,0
2010-2014,pm25,17031805106,12.3981380065717,1826,0,0
2010-2014,pm25,17031805302,11.6393756845564,1826,0,0
2010-2014,pm25,17031805110,12.4494341000365,1826,0,0
2010-2014,pm25,17031827000,11.8216502373129,1826,0,0
2010-2014,pm25,17031826304,11.3110624315444,1826,0,0
2010-2014,pm25,17031827500,11.4231106243154,1826,0,0
2010-2014,pm25,17031821700,11.7468054034319,1826,0,0
2010-2014,pm25,17031823602,12.020125958379,1826,0,0
2010-2014,pm25,17031820300,12.3915662650602,1826,0,0
2010-2014,pm25,17031819200,11.6829134720701,1826,0,0
2010-2014,pm25,17031530200,11.0835158817087,1826,0,0
2010-2014,pm25,17031720400,11.4490690032859,1826,0,1826
2010-2014,pm25,17031491300,11.0728368017525,1826,0,1826
2010-2014,pm25,17031814500,12.0616100766703,1826,0,0
2010-2014,pm25,17031010100,11.7650602409639,1826,0,0
2010-2014,pm25,17031010501,11.8181818181818,1826,0,1826
2010-2014,pm25,17031081401,12.2683461117196,1826,0,1826
2010-2014,pm25,17031252201,11.7354874041621,1826,0,1826
2010-2014,pm25,17031980100,13.0186199342826,1826,0,0
2010-2014,pm25,17031430101,12.3307776560789,1826,0,1826
2010-2014,pm25,17031530502,11.6024096385542,1826,0,0
2010-2014,pm25,17031063301,11.9633077765608,1826,0,1826
2010-2014,pm25,17031080201,12.0372398685652,1826,0,1826
2010-2014,pm25,17031803014,12.5202628696605,1826,0,0
2010-2014,pm25,17031803012,12.1861993428259,1826,0,0
2010-2014,pm25,17031830007,12.2621851040526,1826,0,0
2010-2014,pm25,17031803612,11.5021905805038,1826,0,0
2010-2014,pm25,17031240600,11.0690032858708,1826,0,1826
2010-2014,pm25,17031240700,10.986308871851,1826,0,1826
2010-2014,pm25,17031260400,12.578860898138,1826,0,1826
2010-2014,pm25,17031260200,12.0805038335159,1826,0,1826
