term,estimate,std.error,statistic,p.value,conf.low,conf.high,model,subgroup,candidates,events,HR,HR_low,HR_high
o3_interval_10ppb,-0.0343076449365547,0.0132824628437206,-2.58292798106895,0.00979657707064234,-0.0603407937362386,-0.00827449613687074,No center strata,All,48311,5776,0.966274189544373,0.941443640812421,0.99175964327924
o3_interval_10ppb,-0.0289647314194592,0.0143419201616402,-2.0195853200278,0.0434264191274008,-0.0570743784054228,-0.000855084433495683,Exclude multi-organ,All,45717,5437,0.971450725550587,0.944523814578624,0.999145281047019
o3_interval_10ppb,-0.0302045019022683,0.0139574460719663,-2.16404217122031,0.0304611130314975,-0.0575605935194823,-0.00284841028505435,Adjust multi-organ,All,48311,5776,0.970247095881981,0.944064684451435,0.997155642586528
o3_interval_10ppb,0.0373524808735147,0.0616921444035725,0.60546575637192,0.544869571025086,-0.0835619002865315,0.158266862033561,Age subgroup,<18,1215,283,1.03805885225108,0.919834146911706,1.17147877620624
o3_interval_10ppb,-0.0655451336175019,0.038164622550876,-1.71743172699077,0.0859003188657064,-0.140346419300784,0.00925615206578012,Age subgroup,18-39,5477,799,0.936556775610431,0.869057125084992,1.00929912271995
o3_interval_10ppb,-0.0265581786300906,0.0223789902438202,-1.18674606587419,0.235327798620862,-0.0704201935183514,0.0173038362581703,Age subgroup,40-59,16946,2193,0.973791388338514,0.93200211636768,1.01745441490838
o3_interval_10ppb,-0.0284775545910052,0.0219650725480471,-1.29649262613235,0.194805818867265,-0.0715283057029869,0.0145731965209765,Age subgroup,60+,24673,2501,0.971924109135454,0.930969925463706,1.0146799032721
o3_interval_10ppb,-0.0234259629309152,0.0191525177986561,-1.22312706753151,0.221281706656496,-0.0609642080295434,0.014112282167713,Sex subgroup,Female,20774,3042,0.97684629482824,0.940856914296248,1.01421233050449
o3_interval_10ppb,-0.0341425148191486,0.0206345738733899,-1.65462660041545,0.0980002642565353,-0.0745855364473239,0.0063005068090267,Sex subgroup,Male,27537,2734,0.966433763689625,0.928128081884784,1.00632039675235
o3_interval_10ppb,-0.0397422759714611,0.0153522789650369,-2.58868901887269,0.00963420561873795,-0.0698321898235453,-0.00965236211937697,Race subgroup,White,41708,4838,0.961037089588522,0.93255029820635,0.990394072406816
o3_interval_10ppb,0.0456687904578405,0.0411626560746594,1.10947141931289,0.267226867354653,-0.0350085329565008,0.126346113872182,Race subgroup,Black,4796,675,1.04672766734624,0.965597176823706,1.13467482702484
o3_interval_10ppb,-0.125787604189507,0.0795731745847379,-1.58077901058924,0.113928575335855,-0.281748160511111,0.0301729521320974,Race subgroup,Asian,1251,210,0.881802117970445,0.75446366435349,1.03063276867479
pm25_interval_5ug,-0.0103262319313156,0.0247967883908234,-0.416434248200347,0.677092271757636,-0.0589270441095903,0.0382745802469591,PM2.5 + NO2,All,48311,5776,0.989726900558229,0.942775547677707,1.03901648711774
no2_interval_10ppb,-0.0233114735954811,0.0288466251187734,-0.808117882057196,0.419022724390236,-0.0798498199038055,0.0332268727128433,PM2.5 + NO2,All,48311,5776,0.976958139713757,0.923254990498867,1.03378505025707
pm25_interval_5ug,0.000381592832817044,0.0251738815611408,0.0151582834729024,0.987905902801095,-0.0489583083780959,0.04972149404373,PM2.5 + NO2 + O3,All,48311,5776,1.00038166564862,0.952220828501696,1.05097835188146
no2_interval_10ppb,-0.0343555975475176,0.0292727255287332,-1.17363849545869,0.240539855162423,-0.0917290853131608,0.0230178902181257,PM2.5 + NO2 + O3,All,48311,5776,0.966227855285012,0.912352285700939,1.02328484617257
o3_interval_10ppb,-0.0322058596413806,0.0143228291557423,-2.24856830247596,0.0245399749800152,-0.0602780889433557,-0.00413363033940556,PM2.5 + NO2 + O3,All,48311,5776,0.968307226181907,0.941502675691794,0.99587490135082
