model,organ,organ_label,pollutant,exposure_label,subgroup,subgroup_label,subgroup_level,n,people,centers,adverse_events,hazard_ratio,conf_low,conf_high,p_value,adjustment_set,error
time_varying,LU,Lung,pm25,Monthly PM2.5 per 5 ug/m3,age_group,Age group,18-39,80266,5477,78,799,1.279299068132748,1.1460748093684008,1.4280098404983244,1.13362569669249e-5,sex + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LU,Lung,pm25,Monthly PM2.5 per 5 ug/m3,age_group,Age group,40-59,176083,16946,75,2193,1.1511989469988084,1.0738729992785518,1.2340928736093555,7.218663799151097e-5,sex + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LU,Lung,pm25,Monthly PM2.5 per 5 ug/m3,age_group,Age group,60+,147239,24673,74,2501,1.114939459969402,1.0443694403255435,1.1902780294005677,0.0011091288580518549,sex + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LU,Lung,pm25,Monthly PM2.5 per 5 ug/m3,sex,Sex,Female,235090,20774,82,3042,1.1154768383216622,1.0514392007507305,1.1834146719502814,2.9140707905221127e-4,age_interval + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LU,Lung,pm25,Monthly PM2.5 per 5 ug/m3,sex,Sex,Male,189752,27537,85,2734,1.1777026727441375,1.1090932313682245,1.250556351946755,9.243028873851316e-8,age_interval + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LU,Lung,pm25,Monthly PM2.5 per 5 ug/m3,race_group,Race,White,365846,41708,85,4838,1.161318570290778,1.1094435948060306,1.2156190977316064,1.4132040145291742e-10,age_interval + sex + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LU,Lung,pm25,Monthly PM2.5 per 5 ug/m3,race_group,Race,Black,44593,4796,80,675,1.069432606239525,0.9231357541615304,1.2389143136667424,0.37112161384266984,age_interval + sex + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LU,Lung,pm25,Monthly PM2.5 per 5 ug/m3,race_group,Race,Asian,9988,1251,70,210,1.0132554761635415,0.8286260737311232,1.2390228747599725,0.897905948965187,age_interval + sex + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,HR,Heart,o3,Monthly O3 per 10 ppb,age_group,Age group,<18,131405,11081,118,1766,0.9678755909079051,0.9201157244953935,1.0181144985747022,0.20599884787345582,sex + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,HR,Heart,o3,Monthly O3 per 10 ppb,age_group,Age group,18-39,166766,10648,160,1137,0.9845963023053683,0.9221406545228217,1.051282007531761,0.6424522659386114,sex + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,HR,Heart,o3,Monthly O3 per 10 ppb,age_group,Age group,40-59,402614,31139,137,3953,1.0230015042901002,0.9881483014091533,1.0590840223956224,0.1985008155949529,sex + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,HR,Heart,o3,Monthly O3 per 10 ppb,age_group,Age group,60+,222824,23892,128,3486,1.0092876557463537,0.9718549065686102,1.048162194950091,0.6316309606214775,sex + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,HR,Heart,o3,Monthly O3 per 10 ppb,sex,Sex,Female,252188,22002,166,2843,1.016263218713561,0.9757168568254111,1.058494503282778,0.4374027092050154,age_interval + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,HR,Heart,o3,Monthly O3 per 10 ppb,sex,Sex,Male,671421,54758,167,7499,0.9987812334962796,0.9739763934917874,1.0242177932136516,0.9242810778653638,age_interval + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,HR,Heart,o3,Monthly O3 per 10 ppb,race_group,Race,White,660575,54998,167,7388,1.0076854630133683,0.9825370385883094,1.0334775713162092,0.5526896816740141,age_interval + sex + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,HR,Heart,o3,Monthly O3 per 10 ppb,race_group,Race,Black,228125,17983,165,2526,1.0015907235550254,0.9588183215521289,1.0462711808505407,0.9430946461830139,age_interval + sex + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,HR,Heart,o3,Monthly O3 per 10 ppb,race_group,Race,Asian,22036,2503,146,267,0.9709209135822424,0.8440710175287418,1.1168342483685343,0.6795250338911414,age_interval + sex + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
