model,organ,organ_label,pollutant,exposure_label,subgroup,subgroup_label,subgroup_level,n,people,centers,adverse_events,hazard_ratio,conf_low,conf_high,p_value,adjustment_set,error
baseline_prior_year,KI,Kidney,o3,O3 per 10 ppb,age_group,Age group,<18,16636,16636,181,549,1.0459854508256539,0.8171501483444765,1.3389039524199233,0.721156954225105,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,KI,Kidney,o3,O3 per 10 ppb,age_group,Age group,18-39,95454,95454,271,9834,1.0267523917363142,0.9689649226857124,1.0879862100830475,0.3717165429319348,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,KI,Kidney,o3,O3 per 10 ppb,age_group,Age group,40-59,260777,260777,237,55839,1.0483762448708551,1.0234684807615673,1.07389017978519,1.1772472875116388e-4,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,KI,Kidney,o3,O3 per 10 ppb,age_group,Age group,60+,191312,191312,237,57077,1.0424341151946996,1.0164226834006362,1.0691112096063204,0.001266711079774111,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,KI,Kidney,o3,O3 per 10 ppb,sex,Sex,Female,217410,217410,275,45639,1.0619379962471267,1.0331969182884833,1.0914785825546653,1.7642324789160788e-5,age + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,KI,Kidney,o3,O3 per 10 ppb,sex,Sex,Male,346769,346769,277,77660,1.0448326894075464,1.0232493400263436,1.0668712953447899,3.821508661724734e-5,age + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,KI,Kidney,o3,O3 per 10 ppb,race_group,Race,White,352387,352387,276,75174,1.0959910260565107,1.0731641430419634,1.1193034513728,1.397352709061109e-17,age + sex + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,KI,Kidney,o3,O3 per 10 ppb,race_group,Race,Black,161674,161674,273,37751,0.9462210059260394,0.9128562137535743,0.9808052775082293,0.002543187097499258,age + sex + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,KI,Kidney,o3,O3 per 10 ppb,race_group,Race,Asian,38375,38375,265,7852,1.1248342176310857,1.0688204336910212,1.1837835217880022,6.369588714521094e-6,age + sex + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,KI,Kidney,no2,NO2 per 10 ppb,age_group,Age group,<18,17608,17608,181,556,0.7287474567555005,0.6162187578888805,0.8618252023794699,2.176129046166597e-4,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,KI,Kidney,no2,NO2 per 10 ppb,age_group,Age group,18-39,100917,100917,272,9889,0.7793071029945037,0.7501634213803262,0.8095830101395738,1.2272528420836501e-37,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
