model,organ,organ_label,pollutant,exposure_label,subgroup,subgroup_label,subgroup_level,n,people,centers,adverse_events,hazard_ratio,conf_low,conf_high,p_value,adjustment_set,error,hazard_ratio_ci,p_value_display
baseline_prior_year,KI,Kidney,pm25,PM2.5 per 5 ug/m3,sex,Sex,Male,346769,346769,277,77660,0.9313568103020237,0.9150597787024419,0.9479440887741479,2.8931103853016128e-15,age + race_group + zcta_svi_proxy + strata(listing_center),NA,0.93 (0.92-0.95),<.001
baseline_prior_year,KI,Kidney,pm25,PM2.5 per 5 ug/m3,race_group,Race,White,352387,352387,276,75174,0.9481940511496214,0.9316766411032873,0.9650042933037948,2.9748820955904708e-9,age + sex + zcta_svi_proxy + strata(listing_center),NA,0.95 (0.93-0.97),<.001
baseline_prior_year,KI,Kidney,pm25,PM2.5 per 5 ug/m3,race_group,Race,Black,161674,161674,273,37751,0.8759252002647905,0.8520552752679653,0.9004638299054252,5.589253792535495e-21,age + sex + zcta_svi_proxy + strata(listing_center),NA,0.88 (0.85-0.90),<.001
baseline_prior_year,KI,Kidney,pm25,PM2.5 per 5 ug/m3,race_group,Race,Asian,38375,38375,265,7852,0.9388190036606094,0.8923738911672435,0.9876814307973922,0.014736964285299137,age + sex + zcta_svi_proxy + strata(listing_center),NA,0.94 (0.89-0.99),0.015
baseline_prior_year,KI,Kidney,o3,O3 per 10 ppb,age_group,Age group,<18,16636,16636,181,549,1.0459854508256539,0.8171501483444765,1.3389039524199233,0.721156954225105,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,1.05 (0.82-1.34),0.721
baseline_prior_year,KI,Kidney,o3,O3 per 10 ppb,age_group,Age group,18-39,95454,95454,271,9834,1.0267523917363142,0.9689649226857124,1.0879862100830475,0.3717165429319348,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,1.03 (0.97-1.09),0.372
baseline_prior_year,KI,Kidney,o3,O3 per 10 ppb,age_group,Age group,40-59,260777,260777,237,55839,1.0483762448708551,1.0234684807615673,1.07389017978519,1.1772472875116388e-4,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,1.05 (1.02-1.07),<.001
baseline_prior_year,KI,Kidney,o3,O3 per 10 ppb,age_group,Age group,60+,191312,191312,237,57077,1.0424341151946996,1.0164226834006362,1.0691112096063204,0.001266711079774111,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,1.04 (1.02-1.07),0.001
baseline_prior_year,KI,Kidney,o3,O3 per 10 ppb,sex,Sex,Female,217410,217410,275,45639,1.0619379962471267,1.0331969182884833,1.0914785825546653,1.7642324789160788e-5,age + race_group + zcta_svi_proxy + strata(listing_center),NA,1.06 (1.03-1.09),<.001
baseline_prior_year,KI,Kidney,o3,O3 per 10 ppb,sex,Sex,Male,346769,346769,277,77660,1.0448326894075464,1.0232493400263436,1.0668712953447899,3.821508661724734e-5,age + race_group + zcta_svi_proxy + strata(listing_center),NA,1.04 (1.02-1.07),<.001
baseline_prior_year,KI,Kidney,o3,O3 per 10 ppb,race_group,Race,White,352387,352387,276,75174,1.0959910260565107,1.0731641430419634,1.1193034513728,1.397352709061109e-17,age + sex + zcta_svi_proxy + strata(listing_center),NA,1.10 (1.07-1.12),<.001
