organ_label,outcome_label,pollutant,exposure,n,term,term_type,coefficient_ci,transformed_measure,transformed_ci,p_value_display,adjustment_set
Kidney,Diabetes at listing,no2,Prior-year NO2 per 10 ppb,601017,(Intercept),intercept,-4.2073 (-4.6841 to -3.7305),odds_ratio,OR 0.01 (0.01 to 0.02),<.001,age + sex + race + zcta_svi_proxy + listing_center
Kidney,Diabetes at listing,no2,Prior-year NO2 per 10 ppb,601017,no2_prior_10ppb,pollutant,-0.1007 (-0.1114 to -0.0899),odds_ratio,OR 0.90 (0.89 to 0.91),<.001,age + sex + race + zcta_svi_proxy + listing_center
Kidney,Diabetes at listing,no2,Prior-year NO2 per 10 ppb,601017,age,covariate,0.0496 (0.0491 to 0.0500),odds_ratio,OR 1.05 (1.05 to 1.05),<.001,age + sex + race + zcta_svi_proxy + listing_center
Kidney,Diabetes at listing,no2,Prior-year NO2 per 10 ppb,601017,sexM,covariate,0.2450 (0.2337 to 0.2562),odds_ratio,OR 1.28 (1.26 to 1.29),<.001,age + sex + race + zcta_svi_proxy + listing_center
Kidney,Diabetes at listing,no2,Prior-year NO2 per 10 ppb,601017,raceBLACK,covariate,-0.0405 (-0.0651 to -0.0160),odds_ratio,OR 0.96 (0.94 to 0.98),0.001,age + sex + race + zcta_svi_proxy + listing_center
Kidney,Diabetes at listing,no2,Prior-year NO2 per 10 ppb,601017,raceMULTI,covariate,0.0474 (-0.0255 to 0.1202),odds_ratio,OR 1.05 (0.97 to 1.13),0.202,age + sex + race + zcta_svi_proxy + listing_center
Kidney,Diabetes at listing,no2,Prior-year NO2 per 10 ppb,601017,raceMissing,covariate,-0.0461 (-0.1860 to 0.0939),odds_ratio,OR 0.95 (0.83 to 1.10),0.519,age + sex + race + zcta_svi_proxy + listing_center
Kidney,Diabetes at listing,no2,Prior-year NO2 per 10 ppb,601017,raceNATIVE,covariate,0.6737 (0.6106 to 0.7369),odds_ratio,OR 1.96 (1.84 to 2.09),<.001,age + sex + race + zcta_svi_proxy + listing_center
Kidney,Diabetes at listing,no2,Prior-year NO2 per 10 ppb,601017,racePACIFIC,covariate,0.8016 (0.7105 to 0.8928),odds_ratio,OR 2.23 (2.04 to 2.44),<.001,age + sex + race + zcta_svi_proxy + listing_center
Kidney,Diabetes at listing,no2,Prior-year NO2 per 10 ppb,601017,raceWHITE,covariate,-0.2336 (-0.2561 to -0.2111),odds_ratio,OR 0.79 (0.77 to 0.81),<.001,age + sex + race + zcta_svi_proxy + listing_center
Kidney,Diabetes at listing,no2,Prior-year NO2 per 10 ppb,601017,zcta_svi_proxy,covariate,1.0219 (0.9891 to 1.0547),odds_ratio,OR 2.78 (2.69 to 2.87),<.001,age + sex + race + zcta_svi_proxy + listing_center
Liver,MELD/PELD at listing,pm25,Prior-year PM2.5 per 5 ug/m3,208809,(Intercept),intercept,13.8228 (11.7508 to 15.8948),mean_difference,13.82 (11.75 to 15.89),<.001,age + sex + race + zcta_svi_proxy + listing_center
Liver,MELD/PELD at listing,pm25,Prior-year PM2.5 per 5 ug/m3,208809,pm25_prior_5ug,pollutant,-0.9412 (-1.0389 to -0.8434),mean_difference,-0.94 (-1.04 to -0.84),<.001,age + sex + race + zcta_svi_proxy + listing_center
Liver,MELD/PELD at listing,pm25,Prior-year PM2.5 per 5 ug/m3,208809,age,covariate,-0.0926 (-0.0957 to -0.0895),mean_difference,-0.09 (-0.10 to -0.09),<.001,age + sex + race + zcta_svi_proxy + listing_center
Liver,MELD/PELD at listing,pm25,Prior-year PM2.5 per 5 ug/m3,208809,sexM,covariate,-0.8088 (-0.8928 to -0.7248),mean_difference,-0.81 (-0.89 to -0.72),<.001,age + sex + race + zcta_svi_proxy + listing_center
Liver,MELD/PELD at listing,pm25,Prior-year PM2.5 per 5 ug/m3,208809,raceBLACK,covariate,2.6504 (2.4049 to 2.8960),mean_difference,2.65 (2.40 to 2.90),<.001,age + sex + race + zcta_svi_proxy + listing_center
Liver,MELD/PELD at listing,pm25,Prior-year PM2.5 per 5 ug/m3,208809,raceMULTI,covariate,0.7934 (0.2212 to 1.3656),mean_difference,0.79 (0.22 to 1.37),0.007,age + sex + race + zcta_svi_proxy + listing_center
Liver,MELD/PELD at listing,pm25,Prior-year PM2.5 per 5 ug/m3,208809,raceMissing,covariate,4.0320 (3.1790 to 4.8850),mean_difference,4.03 (3.18 to 4.88),<.001,age + sex + race + zcta_svi_proxy + listing_center
Liver,MELD/PELD at listing,pm25,Prior-year PM2.5 per 5 ug/m3,208809,raceNATIVE,covariate,3.1218 (2.6482 to 3.5954),mean_difference,3.12 (2.65 to 3.60),<.001,age + sex + race + zcta_svi_proxy + listing_center
Liver,MELD/PELD at listing,pm25,Prior-year PM2.5 per 5 ug/m3,208809,racePACIFIC,covariate,2.5354 (1.5172 to 3.5537),mean_difference,2.54 (1.52 to 3.55),<.001,age + sex + race + zcta_svi_proxy + listing_center
Liver,MELD/PELD at listing,pm25,Prior-year PM2.5 per 5 ug/m3,208809,raceWHITE,covariate,1.2169 (1.0141 to 1.4197),mean_difference,1.22 (1.01 to 1.42),<.001,age + sex + race + zcta_svi_proxy + listing_center
Liver,MELD/PELD at listing,pm25,Prior-year PM2.5 per 5 ug/m3,208809,zcta_svi_proxy,covariate,0.1160 (-0.1207 to 0.3528),mean_difference,0.12 (-0.12 to 0.35),0.337,age + sex + race + zcta_svi_proxy + listing_center
Liver,MELD/PELD at listing,o3,Prior-year O3 per 10 ppb,208809,(Intercept),intercept,12.5783 (10.4583 to 14.6984),mean_difference,12.58 (10.46 to 14.70),<.001,age + sex + race + zcta_svi_proxy + listing_center
Liver,MELD/PELD at listing,o3,Prior-year O3 per 10 ppb,208809,o3_prior_10ppb,pollutant,-0.1019 (-0.2284 to 0.0246),mean_difference,-0.10 (-0.23 to 0.02),0.114,age + sex + race + zcta_svi_proxy + listing_center
