time,cif_adverse,cif_transplant_or_improvement,n_risk,strata,quartile,pollutant,unit_label,organ,cif_adverse_percent,cif_transplant_or_improvement_percent
1,0.13006968202435246,0.5394891763187402,16443,quartile=Q3,Q3,NO2,ppb,Liver,13.006968202435246,53.94891763187402
3,0.18464793926572204,0.6698873068447486,6048,quartile=Q3,Q3,NO2,ppb,Liver,18.464793926572202,66.98873068447486
5,0.20587154544749153,0.7132574527098144,2826,quartile=Q3,Q3,NO2,ppb,Liver,20.587154544749154,71.32574527098144
10,0.22415218578822974,0.755071889531016,469,quartile=Q3,Q3,NO2,ppb,Liver,22.415218578822973,75.5071889531016
1,0.15016148614549996,0.4593711317250753,19085,quartile=Q4 highest,Q4 highest,NO2,ppb,Liver,15.016148614549996,45.93711317250753
3,0.21779887983689186,0.59330770557360335,7965,quartile=Q4 highest,Q4 highest,NO2,ppb,Liver,21.779887983689186,59.33077055736034
5,0.24644651095423015,0.6382366041472715,4256,quartile=Q4 highest,Q4 highest,NO2,ppb,Liver,24.644651095423015,63.823660414727144
10,0.2728902340491168,0.691972005202327,916,quartile=Q4 highest,Q4 highest,NO2,ppb,Liver,27.289023404911678,69.1972005202327
1,0.1386039583748576,0.5177585101169209,15931,quartile=Q1 lowest,Q1 lowest,O3,ppb,Liver,13.86039583748576,51.77585101169208
3,0.19854493527379632,0.6548187340594851,5615,quartile=Q1 lowest,Q1 lowest,O3,ppb,Liver,19.85449352737963,65.4818734059485
5,0.22053627710895288,0.6973677005670823,2638,quartile=Q1 lowest,Q1 lowest,O3,ppb,Liver,22.053627710895288,69.73677005670822
10,0.23901536270160198,0.7383731090284879,493,quartile=Q1 lowest,Q1 lowest,O3,ppb,Liver,23.901536270160197,73.83731090284878
1,0.1284195393771602,0.5681339185859408,14755,quartile=Q2,Q2,O3,ppb,Liver,12.841953937716019,56.81339185859407
3,0.17916936838436034,0.698176782659558,4790,quartile=Q2,Q2,O3,ppb,Liver,17.916936838436033,69.81767826595579
5,0.19720312879365223,0.7369087286331698,2093,quartile=Q2,Q2,O3,ppb,Liver,19.720312879365224,73.69087286331698
10,0.21236132273044656,0.7717067264367603,324,quartile=Q2,Q2,O3,ppb,Liver,21.236132273044657,77.17067264367603
1,0.12176818516914245,0.5772436258883772,15200,quartile=Q3,Q3,O3,ppb,Liver,12.176818516914246,57.72436258883772
3,0.1713889431364443,0.7003682633070256,5117,quartile=Q3,Q3,O3,ppb,Liver,17.13889431364443,70.03682633070257
5,0.1912105672518147,0.7361143302459024,2408,quartile=Q3,Q3,O3,ppb,Liver,19.12105672518147,73.61143302459024
10,0.20919119221312166,0.772150168135928,404,quartile=Q3,Q3,O3,ppb,Liver,20.919119221312165,77.2150168135928
1,0.13069424179731837,0.5147119890867741,17932,quartile=Q4 highest,Q4 highest,O3,ppb,Liver,13.069424179731836,51.47119890867741
3,0.19052418135374297,0.6420211800780511,6946,quartile=Q4 highest,Q4 highest,O3,ppb,Liver,19.052418135374296,64.20211800780511
5,0.21617969785576585,0.6860334521338166,3412,quartile=Q4 highest,Q4 highest,O3,ppb,Liver,21.617969785576584,68.60334521338166
10,0.23734313255400896,0.7339023506067462,675,quartile=Q4 highest,Q4 highest,O3,ppb,Liver,23.734313255400895,73.39023506067463
1,0.12253936842423761,0.5612964481477215,15884,quartile=Q1 lowest,Q1 lowest,PM2.5,ug/m3,Liver,12.25393684242376,56.12964481477215
3,0.17397492023600852,0.703025293116469,4796,quartile=Q1 lowest,Q1 lowest,PM2.5,ug/m3,Liver,17.39749202360085,70.3025293116469
5,0.19229960968506477,0.7463392634073027,1876,quartile=Q1 lowest,Q1 lowest,PM2.5,ug/m3,Liver,19.229960968506475,74.63392634073027
10,0.20492922436891076,0.7841829149848216,174,quartile=Q1 lowest,Q1 lowest,PM2.5,ug/m3,Liver,20.492922436891075,78.41829149848216
1,0.12324895981916568,0.5727706559721438,15237,quartile=Q2,Q2,PM2.5,ug/m3,Liver,12.324895981916569,57.27706559721438
3,0.17441245717618153,0.7052362536870337,4724,quartile=Q2,Q2,PM2.5,ug/m3,Liver,17.441245717618152,70.52362536870336
5,0.19256068355098666,0.7415327339949754,2123,quartile=Q2,Q2,PM2.5,ug/m3,Liver,19.256068355098666,74.15327339949755
10,0.20772454231252713,0.7757752601927961,321,quartile=Q2,Q2,PM2.5,ug/m3,Liver,20.772454231252713,77.5775260192796
1,0.13033598664595014,0.5447620396313452,15719,quartile=Q3,Q3,PM2.5,ug/m3,Liver,13.033598664595015,54.476203963134516
3,0.18523652864871393,0.6695314387869377,5725,quartile=Q3,Q3,PM2.5,ug/m3,Liver,18.523652864871394,66.95314387869377
5,0.2076344498135355,0.708491797470487,2771,quartile=Q3,Q3,PM2.5,ug/m3,Liver,20.763444981353548,70.8491797470487
10,0.22659592491669653,0.750190733029092,540,quartile=Q3,Q3,PM2.5,ug/m3,Liver,22.659592491669653,75.0190733029092
1,0.14362931939190632,0.4973844308943337,16978,quartile=Q4 highest,Q4 highest,PM2.5,ug/m3,Liver,14.362931939190632,49.73844308943337
3,0.20650809385361416,0.6153928791927832,7223,quartile=Q4 highest,Q4 highest,PM2.5,ug/m3,Liver,20.650809385361416,61.539287919278316
5,0.23345250454729716,0.6587241323093705,3781,quartile=Q4 highest,Q4 highest,PM2.5,ug/m3,Liver,23.345250454729715,65.87241323093706
10,0.25924531075399687,0.7066265222246222,861,quartile=Q4 highest,Q4 highest,PM2.5,ug/m3,Liver,25.92453107539969,70.66265222246221
1,0.06709178656370567,0.8132654371384742,1444,quartile=Q1 lowest,Q1 lowest,NO2,ppb,Lung,6.709178656370566,81.32654371384743
3,0.08125751168122193,0.8841155792774008,329,quartile=Q1 lowest,Q1 lowest,NO2,ppb,Lung,8.125751168122193,88.41155792774008
5,0.08541643629646462,0.8998686605291873,117,quartile=Q1 lowest,Q1 lowest,NO2,ppb,Lung,8.541643629646462,89.98686605291873
10,0.08771304668209791,0.9106143795401834,7,quartile=Q1 lowest,Q1 lowest,NO2,ppb,Lung,8.77130466820979,91.06143795401834
1,0.07914277383078507,0.7646572285865386,1922,quartile=Q2,Q2,NO2,ppb,Lung,7.914277383078507,76.46572285865386
3,0.09784209978478924,0.8514971402882286,519,quartile=Q2,Q2,NO2,ppb,Lung,9.784209978478923,85.14971402882287
5,0.10418975530670047,0.8717724823577764,214,quartile=Q2,Q2,NO2,ppb,Lung,10.418975530670046,87.17724823577764
10,0.10737293949373734,0.8878066287989301,35,quartile=Q2,Q2,NO2,ppb,Lung,10.737293949373734,88.78066287989301
1,0.09550834331394964,0.7108110043971988,2341,quartile=Q3,Q3,NO2,ppb,Lung,9.550834331394963,71.08110043971988
3,0.12056687830374957,0.8139226599282979,688,quartile=Q3,Q3,NO2,ppb,Lung,12.056687830374957,81.39226599282979
5,0.12766527381152157,0.8404732721883991,291,quartile=Q3,Q3,NO2,ppb,Lung,12.766527381152157,84.04732721883991
10,0.13259594791976073,0.8628512414956623,35,quartile=Q3,Q3,NO2,ppb,Lung,13.259594791976074,86.28512414956623
1,0.12195781325319136,0.6391019416362622,2129,quartile=Q4 highest,Q4 highest,NO2,ppb,Lung,12.195781325319135,63.91019416362622
3,0.1575919350796454,0.7544312120703114,699,quartile=Q4 highest,Q4 highest,NO2,ppb,Lung,15.75919350796454,75.44312120703114
5,0.16757657818949995,0.7883245910541893,314,quartile=Q4 highest,Q4 highest,NO2,ppb,Lung,16.757657818949994,78.83245910541893
10,0.17638736295932594,0.8147467409360214,48,quartile=Q4 highest,Q4 highest,NO2,ppb,Lung,17.638736295932596,81.47467409360215
1,0.10089395451444612,0.6991978202634235,1805,quartile=Q1 lowest,Q1 lowest,O3,ppb,Lung,10.089395451444611,69.91978202634235
3,0.12548672498894095,0.8088815701665741,507,quartile=Q1 lowest,Q1 lowest,O3,ppb,Lung,12.548672498894096,80.88815701665742
5,0.13267928751252253,0.8355395560605712,220,quartile=Q1 lowest,Q1 lowest,O3,ppb,Lung,13.267928751252253,83.55395560605712
10,0.137183516454113,0.8587169363401054,20,quartile=Q1 lowest,Q1 lowest,O3,ppb,Lung,13.7183516454113,85.87169363401054
1,0.08774956664799878,0.7375046739628343,2100,quartile=Q2,Q2,O3,ppb,Lung,8.774956664799879,73.75046739628343
3,0.11036901228162437,0.8328200883377983,568,quartile=Q2,Q2,O3,ppb,Lung,11.036901228162437,83.28200883377983
5,0.11749420675328862,0.8567505650298689,224,quartile=Q2,Q2,O3,ppb,Lung,11.749420675328862,85.67505650298689
10,0.12195401912557725,0.874784456005539,22,quartile=Q2,Q2,O3,ppb,Lung,12.195401912557726,87.4784456005539
1,0.0915805863992956,0.7436926594492107,2017,quartile=Q3,Q3,O3,ppb,Lung,9.15805863992956,74.36926594492107
3,0.11281163493560437,0.8328202196121125,563,quartile=Q3,Q3,O3,ppb,Lung,11.281163493560436,83.28202196121126
5,0.1184083729930648,0.8549190647904974,242,quartile=Q3,Q3,O3,ppb,Lung,11.840837299306479,85.49190647904975
10,0.12280166845079422,0.8710921827863205,45,quartile=Q3,Q3,O3,ppb,Lung,12.280166845079423,87.10921827863206
1,0.08844490422315122,0.7319258833310013,1914,quartile=Q4 highest,Q4 highest,O3,ppb,Lung,8.844490422315122,73.19258833310013
3,0.11366335830750512,0.8227351575682698,597,quartile=Q4 highest,Q4 highest,O3,ppb,Lung,11.366335830750513,82.27351575682698
5,0.12150216266409629,0.8473525582651874,250,quartile=Q4 highest,Q4 highest,O3,ppb,Lung,12.150216266409629,84.73525582651874
10,0.12704988544632273,0.866890034479628,38,quartile=Q4 highest,Q4 highest,O3,ppb,Lung,12.704988544632274,86.6890034479628
1,0.0806696105241733,0.7632635437590869,1895,quartile=Q1 lowest,Q1 lowest,PM2.5,ug/m3,Lung,8.06696105241733,76.32635437590869
3,0.09802499771317734,0.8535443908173737,479,quartile=Q1 lowest,Q1 lowest,PM2.5,ug/m3,Lung,9.802499771317734,85.35443908173737
5,0.10310008249750233,0.8751793138162756,192,quartile=Q1 lowest,Q1 lowest,PM2.5,ug/m3,Lung,10.310008249750233,87.51793138162756
10,0.106222235731809,0.8917278787458935,13,quartile=Q1 lowest,Q1 lowest,PM2.5,ug/m3,Lung,10.6222235731809,89.17278787458936
1,0.08551810349394204,0.7599190001390199,1806,quartile=Q2,Q2,PM2.5,ug/m3,Lung,8.551810349394204,75.991900013902
3,0.10563582341793439,0.8475752977411467,460,quartile=Q2,Q2,PM2.5,ug/m3,Lung,10.563582341793438,84.75752977411467
5,0.11143291786747989,0.8665602947958607,186,quartile=Q2,Q2,PM2.5,ug/m3,Lung,11.143291786747989,86.65602947958607
10,0.11435040806872486,0.8824705067697847,18,quartile=Q2,Q2,PM2.5,ug/m3,Lung,11.435040806872486,88.24705067697846
1,0.09661069513039815,0.7145264991321617,2016,quartile=Q3,Q3,PM2.5,ug/m3,Lung,9.661069513039815,71.45264991321618
3,0.12165175314200134,0.8140070627225526,594,quartile=Q3,Q3,PM2.5,ug/m3,Lung,12.165175314200134,81.40070627225526
5,0.12900821908785598,0.8410034918601487,241,quartile=Q3,Q3,PM2.5,ug/m3,Lung,12.900821908785598,84.10034918601487
10,0.13396768652539218,0.8606494117817414,36,quartile=Q3,Q3,PM2.5,ug/m3,Lung,13.396768652539217,86.06494117817414
1,0.10853820564336115,0.6655849281311549,2119,quartile=Q4 highest,Q4 highest,PM2.5,ug/m3,Lung,10.853820564336116,66.55849281311549
3,0.14142073362310478,0.7737897838038257,702,quartile=Q4 highest,Q4 highest,PM2.5,ug/m3,Lung,14.142073362310478,77.37897838038256
5,0.15147736359464445,0.8046527839119907,317,quartile=Q4 highest,Q4 highest,PM2.5,ug/m3,Lung,15.147736359464444,80.46527839119906
10,0.15997835326220416,0.8300294435977972,58,quartile=Q4 highest,Q4 highest,PM2.5,ug/m3,Lung,15.997835326220416,83.00294435977972
