analysis,model,organ,organ_label,exposure,exposure_label,n,people,intervals,centers,adverse_events,adjustment_set,term,hazard_ratio,conf_low,conf_high,p_value
Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,LU,Lung,o3_prior_10ppb,O3 per 10 ppb,46788,46788,NA,84,5582,age + sex + race + zcta_svi_proxy + multi_organ_candidate + strata(listing_center),o3_prior_10ppb,0.9701817667577157,0.8917865717961856,1.055468528364702,0.48132148606699965
Baseline cause-specific Cox,Single-pollutant model without listing center,LU,Lung,o3_prior_10ppb,O3 per 10 ppb,46788,46788,NA,84,5582,age + sex + race + zcta_svi_proxy,o3_prior_10ppb,0.9816663139680945,0.9230984649814985,1.0439501185813587,0.5554885069098766
Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,LU,Lung,no2_prior_10ppb,NO2 per 10 ppb,47740,47740,NA,84,5321,age + sex + race + zcta_svi_proxy + strata(listing_center),no2_prior_10ppb,1.1617861427655707,1.103267494239938,1.223408691517708,1.2935200386284625e-8
Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,LU,Lung,no2_prior_10ppb,NO2 per 10 ppb,50401,50401,NA,84,5675,age + sex + race + zcta_svi_proxy + multi_organ_candidate + strata(listing_center),no2_prior_10ppb,1.1316879288692898,1.0761566365140869,1.1900847189838413,1.442314216452046e-6
Baseline cause-specific Cox,Single-pollutant model without listing center,LU,Lung,no2_prior_10ppb,NO2 per 10 ppb,50401,50401,NA,84,5675,age + sex + race + zcta_svi_proxy,no2_prior_10ppb,1.1400189626778794,1.0900922907029824,1.1922322966131884,9.731406310158696e-9
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2,LU,Lung,pm25_prior_5ug,PM2.5 per 5 ug/m3,46788,46788,NA,84,5582,age + sex + race + zcta_svi_proxy + strata(listing_center),pm25_prior_5ug,1.0923281895114079,1.0103670903479436,1.1809379828378719,0.026477724288355528
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2,LU,Lung,no2_prior_10ppb,NO2 per 10 ppb,46788,46788,NA,84,5582,age + sex + race + zcta_svi_proxy + strata(listing_center),no2_prior_10ppb,1.0780674104526653,1.015606584031752,1.1443696405219241,0.013567639895150654
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,LU,Lung,pm25_prior_5ug,PM2.5 per 5 ug/m3,46788,46788,NA,84,5582,age + sex + race + zcta_svi_proxy + strata(listing_center),pm25_prior_5ug,1.092045821522682,1.0084706133273633,1.1825471764322266,0.03018852791724197
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,LU,Lung,no2_prior_10ppb,NO2 per 10 ppb,46788,46788,NA,84,5582,age + sex + race + zcta_svi_proxy + strata(listing_center),no2_prior_10ppb,1.078441070934491,1.0121741946482188,1.149046428596754,0.019598123703860798
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,LU,Lung,o3_prior_10ppb,O3 per 10 ppb,46788,46788,NA,84,5582,age + sex + race + zcta_svi_proxy + strata(listing_center),o3_prior_10ppb,1.001440538530566,0.9161298035424357,1.0946954769231412,0.9747210759432454
