analysis,model,organ,organ_label,exposure,exposure_label,n,people,intervals,centers,adverse_events,hazard_ratio,conf_low,conf_high,p_value,adjustment_set
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2,HR,Heart,no2_prior_10ppb,NO2 per 10 ppb,74028,74028,NA,167,10010,1.0838453303630546,1.033636145005364,1.1364934419390906,8.779060056895024e-4,age + sex + race + zcta_svi_proxy + strata(listing_center)
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,HR,Heart,pm25_prior_5ug,PM2.5 per 5 ug/m3,74028,74028,NA,167,10010,1.1881476357694802,1.115457532309671,1.265574675408345,8.689008922434517e-8,age + sex + race + zcta_svi_proxy + strata(listing_center)
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,HR,Heart,no2_prior_10ppb,NO2 per 10 ppb,74028,74028,NA,167,10010,1.0871269985998528,1.0336037248290515,1.1434218769675883,0.00118253082258441,age + sex + race + zcta_svi_proxy + strata(listing_center)
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,HR,Heart,o3_prior_10ppb,O3 per 10 ppb,74028,74028,NA,167,10010,1.0129421209874174,0.941112243071685,1.0902543751014966,0.7318538913775493,age + sex + race + zcta_svi_proxy + strata(listing_center)
Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,KI,Kidney,pm25_prior_5ug,PM2.5 per 5 ug/m3,531379,531379,NA,277,114317,0.94500798258172,0.9313851479876101,0.958830070538179,2.263820071218963e-14,age + sex + race + zcta_svi_proxy + strata(listing_center)
Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,KI,Kidney,pm25_prior_5ug,PM2.5 per 5 ug/m3,564179,564179,NA,277,123299,0.9505252972939002,0.9373428678833797,0.9638931193191379,1.0713372479145991e-12,age + sex + race + zcta_svi_proxy + multi_organ_candidate + strata(listing_center)
Baseline cause-specific Cox,Single-pollutant model without listing center,KI,Kidney,pm25_prior_5ug,PM2.5 per 5 ug/m3,564179,564179,NA,277,123299,0.9360549755169452,0.9262905693686825,0.9459223122472314,4.805039193900831e-35,age + sex + race + zcta_svi_proxy
Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,KI,Kidney,o3_prior_10ppb,O3 per 10 ppb,531379,531379,NA,277,114317,1.0480968720414452,1.0302291484741442,1.0662744835069389,8.574003862613471e-8,age + sex + race + zcta_svi_proxy + strata(listing_center)
Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,KI,Kidney,o3_prior_10ppb,O3 per 10 ppb,564179,564179,NA,277,123299,1.049589786230008,1.032292192548066,1.0671772268655022,1.1400645026564085e-8,age + sex + race + zcta_svi_proxy + multi_organ_candidate + strata(listing_center)
Baseline cause-specific Cox,Single-pollutant model without listing center,KI,Kidney,o3_prior_10ppb,O3 per 10 ppb,564179,564179,NA,277,123299,1.0104363255989965,0.9988818410726443,1.022124465686177,0.07684303503055041,age + sex + race + zcta_svi_proxy
Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,KI,Kidney,no2_prior_10ppb,NO2 per 10 ppb,564425,564425,NA,278,114764,0.9115103608899956,0.9010841943224005,0.9220571654068301,3.944172860204433e-56,age + sex + race + zcta_svi_proxy + strata(listing_center)
Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,KI,Kidney,no2_prior_10ppb,NO2 per 10 ppb,600141,600141,NA,278,123941,0.920091215165039,0.9099744352922275,0.9303204698844235,2.5157263341106398e-49,age + sex + race + zcta_svi_proxy + multi_organ_candidate + strata(listing_center)
Baseline cause-specific Cox,Single-pollutant model without listing center,KI,Kidney,no2_prior_10ppb,NO2 per 10 ppb,600141,600141,NA,278,123941,0.8786938636836973,0.8710787867551981,0.8863755125428976,2.0329492081804696e-186,age + sex + race + zcta_svi_proxy
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2,KI,Kidney,pm25_prior_5ug,PM2.5 per 5 ug/m3,564179,564179,NA,277,123299,0.9901739602751373,0.9742406100935149,1.0063678945931422,0.23285304884845057,age + sex + race + zcta_svi_proxy + strata(listing_center)
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2,KI,Kidney,no2_prior_10ppb,NO2 per 10 ppb,564179,564179,NA,277,123299,0.907395267917615,0.8957496759886489,0.9191922635422917,3.3125242032422907e-49,age + sex + race + zcta_svi_proxy + strata(listing_center)
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,KI,Kidney,pm25_prior_5ug,PM2.5 per 5 ug/m3,564179,564179,NA,277,123299,0.9897680472860576,0.9730852597230654,1.0067368482256691,0.23569556268651834,age + sex + race + zcta_svi_proxy + strata(listing_center)
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,KI,Kidney,no2_prior_10ppb,NO2 per 10 ppb,564179,564179,NA,277,123299,0.9078455931109002,0.8949508376509426,0.9209261405846499,4.758035890154523e-40,age + sex + race + zcta_svi_proxy + strata(listing_center)
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,KI,Kidney,o3_prior_10ppb,O3 per 10 ppb,564179,564179,NA,277,123299,1.0014965512975789,0.9831100561498584,1.020226917613845,0.8743159910354856,age + sex + race + zcta_svi_proxy + strata(listing_center)
Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,LI,Liver,pm25_prior_5ug,PM2.5 per 5 ug/m3,182640,182640,NA,158,36336,1.0445102594633469,1.0194454113989355,1.0701913706463788,4.414164392713467e-4,age + sex + race + zcta_svi_proxy + strata(listing_center)
Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,LI,Liver,pm25_prior_5ug,PM2.5 per 5 ug/m3,208592,208592,NA,158,42101,1.0265630112074184,1.0036409900142866,1.0500085453507049,0.022881719647057434,age + sex + race + zcta_svi_proxy + multi_organ_candidate + strata(listing_center)
Baseline cause-specific Cox,Single-pollutant model without listing center,LI,Liver,pm25_prior_5ug,PM2.5 per 5 ug/m3,208592,208592,NA,158,42101,1.0401671304310343,1.0219920802666835,1.058665404673981,1.193925916868923e-5,age + sex + race + zcta_svi_proxy
Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,LI,Liver,o3_prior_10ppb,O3 per 10 ppb,182640,182640,NA,158,36336,1.032108879562573,1.001141149403368,1.064034516917766,0.04201807156631915,age + sex + race + zcta_svi_proxy + strata(listing_center)
Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,LI,Liver,o3_prior_10ppb,O3 per 10 ppb,208592,208592,NA,158,42101,1.0355978759753182,1.0066749104207768,1.0653518326748752,0.015508383085683048,age + sex + race + zcta_svi_proxy + multi_organ_candidate + strata(listing_center)
Baseline cause-specific Cox,Single-pollutant model without listing center,LI,Liver,o3_prior_10ppb,O3 per 10 ppb,208592,208592,NA,158,42101,0.9838547217870707,0.9642817440490277,1.0038249915612827,0.112376721621074,age + sex + race + zcta_svi_proxy
Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,LI,Liver,no2_prior_10ppb,NO2 per 10 ppb,195254,195254,NA,161,36974,1.0092054807226123,0.9903307208090522,1.0284399755755305,0.3414624592425042,age + sex + race + zcta_svi_proxy + strata(listing_center)
Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,LI,Liver,no2_prior_10ppb,NO2 per 10 ppb,222559,222559,NA,161,42847,0.997361485064552,0.9799356339884976,1.01509721392767,0.7689282445395262,age + sex + race + zcta_svi_proxy + multi_organ_candidate + strata(listing_center)
Baseline cause-specific Cox,Single-pollutant model without listing center,LI,Liver,no2_prior_10ppb,NO2 per 10 ppb,222559,222559,NA,161,42847,1.024467528632052,1.0093623856454497,1.0397987206055104,0.0014249116285604672,age + sex + race + zcta_svi_proxy
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2,LI,Liver,pm25_prior_5ug,PM2.5 per 5 ug/m3,208592,208592,NA,158,42101,1.044468641570454,1.0167156190746258,1.0729792311216155,0.001543209652129775,age + sex + race + zcta_svi_proxy + strata(listing_center)
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2,LI,Liver,no2_prior_10ppb,NO2 per 10 ppb,208592,208592,NA,158,42101,0.9736934792519352,0.953262779020188,0.9945620582314382,0.013741972345708542,age + sex + race + zcta_svi_proxy + strata(listing_center)
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,LI,Liver,pm25_prior_5ug,PM2.5 per 5 ug/m3,208592,208592,NA,158,42101,1.040044020184507,1.011901753661813,1.0689689587029438,0.005026747599271783,age + sex + race + zcta_svi_proxy + strata(listing_center)
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,LI,Liver,no2_prior_10ppb,NO2 per 10 ppb,208592,208592,NA,158,42101,0.9804523716537115,0.9582817631504086,1.003135914765924,0.09071045005421768,age + sex + race + zcta_svi_proxy + strata(listing_center)
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,LI,Liver,o3_prior_10ppb,O3 per 10 ppb,208592,208592,NA,158,42101,1.0249525787819398,0.9941084506852493,1.056753705320188,0.11389306766834213,age + sex + race + zcta_svi_proxy + strata(listing_center)
Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,LU,Lung,pm25_prior_5ug,PM2.5 per 5 ug/m3,44268,44268,NA,84,5238,1.1823335664005667,1.104528104834535,1.2656198209160998,1.4179280519967382e-6,age + sex + race + zcta_svi_proxy + strata(listing_center)
Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,LU,Lung,pm25_prior_5ug,PM2.5 per 5 ug/m3,46788,46788,NA,84,5582,1.1492334660880483,1.0754382294645146,1.2280924402644442,3.994607261858039e-5,age + sex + race + zcta_svi_proxy + multi_organ_candidate + strata(listing_center)
Baseline cause-specific Cox,Single-pollutant model without listing center,LU,Lung,pm25_prior_5ug,PM2.5 per 5 ug/m3,46788,46788,NA,84,5582,1.1046701405372676,1.0496734676544694,1.162548313354456,1.3313735864345008e-4,age + sex + race + zcta_svi_proxy
Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,LU,Lung,o3_prior_10ppb,O3 per 10 ppb,44268,44268,NA,84,5238,0.9600416504681916,0.8800173840178622,1.0473429131883847,0.358459670786253,age + sex + race + zcta_svi_proxy + strata(listing_center)
Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,LU,Lung,o3_prior_10ppb,O3 per 10 ppb,46788,46788,NA,84,5582,0.9701817667577157,0.8917865717961856,1.055468528364702,0.48132148606699965,age + sex + race + zcta_svi_proxy + multi_organ_candidate + strata(listing_center)
Baseline cause-specific Cox,Single-pollutant model without listing center,LU,Lung,o3_prior_10ppb,O3 per 10 ppb,46788,46788,NA,84,5582,0.9816663139680945,0.9230984649814985,1.0439501185813587,0.5554885069098766,age + sex + race + zcta_svi_proxy
Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,LU,Lung,no2_prior_10ppb,NO2 per 10 ppb,47740,47740,NA,84,5321,1.1617861427655707,1.103267494239938,1.223408691517708,1.2935200386284625e-8,age + sex + race + zcta_svi_proxy + strata(listing_center)
Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,LU,Lung,no2_prior_10ppb,NO2 per 10 ppb,50401,50401,NA,84,5675,1.1316879288692898,1.0761566365140869,1.1900847189838413,1.442314216452046e-6,age + sex + race + zcta_svi_proxy + multi_organ_candidate + strata(listing_center)
Baseline cause-specific Cox,Single-pollutant model without listing center,LU,Lung,no2_prior_10ppb,NO2 per 10 ppb,50401,50401,NA,84,5675,1.1400189626778794,1.0900922907029824,1.1922322966131884,9.731406310158696e-9,age + sex + race + zcta_svi_proxy
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2,LU,Lung,pm25_prior_5ug,PM2.5 per 5 ug/m3,46788,46788,NA,84,5582,1.0923281895114079,1.0103670903479436,1.1809379828378719,0.026477724288355528,age + sex + race + zcta_svi_proxy + strata(listing_center)
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2,LU,Lung,no2_prior_10ppb,NO2 per 10 ppb,46788,46788,NA,84,5582,1.0780674104526653,1.015606584031752,1.1443696405219241,0.013567639895150654,age + sex + race + zcta_svi_proxy + strata(listing_center)
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,LU,Lung,pm25_prior_5ug,PM2.5 per 5 ug/m3,46788,46788,NA,84,5582,1.092045821522682,1.0084706133273633,1.1825471764322266,0.03018852791724197,age + sex + race + zcta_svi_proxy + strata(listing_center)
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,LU,Lung,no2_prior_10ppb,NO2 per 10 ppb,46788,46788,NA,84,5582,1.078441070934491,1.0121741946482188,1.149046428596754,0.019598123703860798,age + sex + race + zcta_svi_proxy + strata(listing_center)
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,LU,Lung,o3_prior_10ppb,O3 per 10 ppb,46788,46788,NA,84,5582,1.001440538530566,0.9161298035424357,1.0946954769231412,0.9747210759432454,age + sex + race + zcta_svi_proxy + strata(listing_center)
Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,HR,Heart,pm25_interval_5ug,PM2.5 per 5 ug/m3,67211,67211,790985,167,8817,1.1744448010701036,1.1352287401073926,1.2150155664928917,1.6985381488168546e-20,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Time-varying cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,HR,Heart,pm25_interval_5ug,PM2.5 per 5 ug/m3,76760,76760,923609,167,10342,1.1437666481568944,1.1073603496936681,1.181369863746655,3.988261624132925e-16,multi_organ_candidate + age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Time-varying cause-specific Cox,Single-pollutant model without listing center,HR,Heart,pm25_interval_5ug,PM2.5 per 5 ug/m3,76760,76760,923609,167,10342,1.1315968178463514,1.099424334786487,1.164710765119338,4.427583248735444e-17,age + sex + race + zcta_svi_proxy + organ_score_tv
Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,KI,Kidney,pm25_interval_5ug,PM2.5 per 5 ug/m3,558474,558474,20069912,280,115163,0.9939756491369969,0.9838290120711506,1.0042269326835658,0.24840052553048744,age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center)
Time-varying cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,KI,Kidney,pm25_interval_5ug,PM2.5 per 5 ug/m3,592129,592129,20633921,280,123989,0.9944701630416366,0.9847273944945434,1.0043093253109854,0.26962824118365525,multi_organ_candidate + age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center)
Time-varying cause-specific Cox,Single-pollutant model without listing center,KI,Kidney,pm25_interval_5ug,PM2.5 per 5 ug/m3,592129,592129,20633921,280,123989,0.9571784098992521,0.9489554108584339,0.9654726638298697,2.735059659721682e-23,age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes
Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,LI,Liver,pm25_interval_5ug,PM2.5 per 5 ug/m3,191873,191873,2864244,160,38028,1.0372357898810523,1.0206162082843595,1.0541260025829606,9.160759020925839e-6,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Time-varying cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,LI,Liver,pm25_interval_5ug,PM2.5 per 5 ug/m3,218837,218837,3245102,160,43864,1.0306713635814915,1.015215182125537,1.046362858249271,8.901578247448714e-5,multi_organ_candidate + age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Time-varying cause-specific Cox,Single-pollutant model without listing center,LI,Liver,pm25_interval_5ug,PM2.5 per 5 ug/m3,218837,218837,3245102,160,43864,1.0114127915285875,0.9980772811745229,1.0249264803060647,0.09378411026171539,age + sex + race + zcta_svi_proxy + organ_score_tv
Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,LU,Lung,pm25_interval_5ug,PM2.5 per 5 ug/m3,45717,45717,395407,85,5437,1.141713113073391,1.093508980653606,1.1920421831237342,1.7286383685142442e-9,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Time-varying cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,LU,Lung,pm25_interval_5ug,PM2.5 per 5 ug/m3,48311,48311,424842,85,5776,1.141256744208365,1.0942756122475463,1.1902549427432858,7.253310090690986e-10,multi_organ_candidate + age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Time-varying cause-specific Cox,Single-pollutant model without listing center,LU,Lung,pm25_interval_5ug,PM2.5 per 5 ug/m3,48311,48311,424842,85,5776,1.1237288834207775,1.082821406596948,1.1661817874497742,7.022751976608772e-10,age + sex + race + zcta_svi_proxy + organ_score_tv
Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,HR,Heart,o3_interval_10ppb,O3 per 10 ppb,67211,67211,790985,167,8817,1.0070102146475675,0.984144344766104,1.0304073561948353,0.5510986857317497,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Time-varying cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,HR,Heart,o3_interval_10ppb,O3 per 10 ppb,76760,76760,923609,167,10342,1.0044600885569712,0.9833352756384421,1.026038721990129,0.6815472158584829,multi_organ_candidate + age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Time-varying cause-specific Cox,Single-pollutant model without listing center,HR,Heart,o3_interval_10ppb,O3 per 10 ppb,76760,76760,923609,167,10342,1.0076858006345644,0.9878082125816487,1.0279633838502749,0.4513238552436705,age + sex + race + zcta_svi_proxy + organ_score_tv
Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,KI,Kidney,o3_interval_10ppb,O3 per 10 ppb,558474,558474,20069912,280,115163,0.9835374244298848,0.9774333285968216,0.9896796404956524,1.7327934118912522e-7,age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center)
Time-varying cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,KI,Kidney,o3_interval_10ppb,O3 per 10 ppb,592129,592129,20633921,280,123989,0.9854218560429263,0.9795294706113247,0.9913496872749007,1.5933729720699495e-6,multi_organ_candidate + age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center)
Time-varying cause-specific Cox,Single-pollutant model without listing center,KI,Kidney,o3_interval_10ppb,O3 per 10 ppb,592129,592129,20633921,280,123989,0.9745314248093807,0.9691067486642467,0.979986466145264,1.323334848662002e-19,age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes
Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,LI,Liver,o3_interval_10ppb,O3 per 10 ppb,191873,191873,2864244,160,38028,0.9818343827205922,0.9715747606773019,0.9922023441822488,6.248564740994954e-4,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Time-varying cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,LI,Liver,o3_interval_10ppb,O3 per 10 ppb,218837,218837,3245102,160,43864,0.9868995348616725,0.9773015967997164,0.996591732889378,0.0081773179552863,multi_organ_candidate + age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Time-varying cause-specific Cox,Single-pollutant model without listing center,LI,Liver,o3_interval_10ppb,O3 per 10 ppb,218837,218837,3245102,160,43864,0.9791234295808999,0.9702064017818072,0.9881224125027622,6.191805505599364e-6,age + sex + race + zcta_svi_proxy + organ_score_tv
Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,LU,Lung,o3_interval_10ppb,O3 per 10 ppb,45717,45717,395407,85,5437,0.9640020207697179,0.9366289161645258,0.9921751079964108,0.012614876771181583,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Time-varying cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,LU,Lung,o3_interval_10ppb,O3 per 10 ppb,48311,48311,424842,85,5776,0.9647404896415511,0.9381045346241998,0.9921327293515998,0.011974842791368208,multi_organ_candidate + age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Time-varying cause-specific Cox,Single-pollutant model without listing center,LU,Lung,o3_interval_10ppb,O3 per 10 ppb,48311,48311,424842,85,5776,0.9684015668561331,0.9430578375188332,0.9944263833878432,0.017642015663776843,age + sex + race + zcta_svi_proxy + organ_score_tv
Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,HR,Heart,no2_interval_10ppb,NO2 per 10 ppb,71818,71818,830458,168,9137,1.3440122916190118,1.2879873267933042,1.4024742343702215,3.5070434333145556e-42,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Time-varying cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,HR,Heart,no2_interval_10ppb,NO2 per 10 ppb,82122,82122,969185,168,10772,1.284346190041732,1.2345825973448898,1.3361156551390299,2.2514714703660233e-35,multi_organ_candidate + age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Time-varying cause-specific Cox,Single-pollutant model without listing center,HR,Heart,no2_interval_10ppb,NO2 per 10 ppb,82122,82122,969185,168,10772,1.1303251420317735,1.0931126499125607,1.168804447383669,7.365652698566662e-13,age + sex + race + zcta_svi_proxy + organ_score_tv
Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,KI,Kidney,no2_interval_10ppb,NO2 per 10 ppb,591554,591554,20959050,281,122019,0.9069574173873461,0.8950956479543253,0.9189763784840776,6.82153005060154e-48,age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center)
Time-varying cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,KI,Kidney,no2_interval_10ppb,NO2 per 10 ppb,628132,628132,21563296,281,131452,0.9168409218260942,0.9054000123490396,0.9284264021092864,7.77415543934255e-42,multi_organ_candidate + age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center)
Time-varying cause-specific Cox,Single-pollutant model without listing center,KI,Kidney,no2_interval_10ppb,NO2 per 10 ppb,628132,628132,21563296,281,131452,0.8601897495485727,0.851507658150354,0.8689603647672475,3.915240426554413e-186,age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes
Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,LI,Liver,no2_interval_10ppb,NO2 per 10 ppb,204524,204524,2964741,163,39371,1.0201449980321609,1.0010191307590395,1.0396362916869655,0.038880455815541066,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Time-varying cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,LI,Liver,no2_interval_10ppb,NO2 per 10 ppb,232844,232844,3357717,163,45481,1.0053531931878186,0.9876562696199124,1.0233672119976644,0.555719292804516,multi_organ_candidate + age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Time-varying cause-specific Cox,Single-pollutant model without listing center,LI,Liver,no2_interval_10ppb,NO2 per 10 ppb,232844,232844,3357717,163,45481,1.0242649742626324,1.008864976167959,1.0399000483555003,0.0019233050250299587,age + sex + race + zcta_svi_proxy + organ_score_tv
Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,LU,Lung,no2_interval_10ppb,NO2 per 10 ppb,49197,49197,408927,85,5578,1.3793851341168775,1.3086444000040713,1.4539498646207605,4.846245765303478e-33,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Time-varying cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,LU,Lung,no2_interval_10ppb,NO2 per 10 ppb,51932,51932,439313,85,5939,1.3494846651165986,1.2818846264071975,1.4206495841119273,2.9334660056924963e-30,multi_organ_candidate + age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Time-varying cause-specific Cox,Single-pollutant model without listing center,LU,Lung,no2_interval_10ppb,NO2 per 10 ppb,51932,51932,439313,85,5939,1.313946281934444,1.2546440470730178,1.376051507068501,4.778393816789851e-31,age + sex + race + zcta_svi_proxy + organ_score_tv
Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2,HR,Heart,pm25_interval_5ug,PM2.5 per 5 ug/m3,76760,76760,923609,167,10342,1.0813569178471056,1.043658465273298,1.12041709302821,1.5584227711140236e-5,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
