organ,model,exposure_window,exposure_form,status,error,started_at,finished_at,elapsed_seconds,n_intervals,n_registrations,adverse_events,concordance
LI,single_pollutant_no2_lagged_annual_linear,lagged_annual,linear,done,NA,2026-05-28 21:50:13.360507,2026-05-28 21:54:39.31174,265.95054388046265,421374,216497,41324,0.794095717242904
LI,single_pollutant_no2_lagged_annual_spline,lagged_annual,spline,done,NA,2026-05-28 21:54:39.319899,2026-05-28 21:59:07.640943,268.3155629634857,421374,216497,41324,0.7941305527456406
LI,combined_pollutants_lagged_annual_linear,lagged_annual,linear,done,NA,2026-05-28 21:59:07.650023,2026-05-28 22:03:42.202914,274.5476059913635,421374,216497,41324,0.794100071680746
LI,combined_pollutants_lagged_annual_spline,lagged_annual,spline,done,NA,2026-05-28 22:03:42.209892,2026-05-28 22:08:26.177111,283.9620978832245,421374,216497,41324,0.7941121301240011
LU,single_pollutant_pm25_cumulative_linear,cumulative,linear,done,NA,2026-05-28 22:08:26.213602,2026-05-28 22:08:40.322554,14.108202934265137,60514,41045,4635,0.7973325086016934
LU,single_pollutant_pm25_cumulative_spline,cumulative,spline,done,NA,2026-05-28 22:08:40.326431,2026-05-28 22:08:54.67842,14.347310066223145,60514,41045,4635,0.7971546758418062
LU,single_pollutant_ozone_cumulative_linear,cumulative,linear,done,NA,2026-05-28 22:08:54.68201,2026-05-28 22:09:08.297013,13.613285064697266,60514,41045,4635,0.7971933351374338
LU,single_pollutant_ozone_cumulative_spline,cumulative,spline,done,NA,2026-05-28 22:09:08.300312,2026-05-28 22:09:22.862312,14.557329893112183,60514,41045,4635,0.7976495148258399
LU,single_pollutant_no2_cumulative_linear,cumulative,linear,done,NA,2026-05-28 22:09:22.865884,2026-05-28 22:09:36.480172,13.613554000854492,60514,41045,4635,0.7973943634746975
LU,single_pollutant_no2_cumulative_spline,cumulative,spline,done,NA,2026-05-28 22:09:36.484144,2026-05-28 22:09:50.608852,14.119765996932983,60514,41045,4635,0.797417559052074
LU,combined_pollutants_cumulative_linear,cumulative,linear,done,NA,2026-05-28 22:09:50.612428,2026-05-28 22:10:05.092416,14.475105047225952,60514,41045,4635,0.797371167897321
LU,combined_pollutants_cumulative_spline,cumulative,spline,done,NA,2026-05-28 22:10:05.096102,2026-05-28 22:10:20.478395,15.381614923477173,60514,41045,4635,0.7977036378397185
LU,single_pollutant_pm25_lagged_annual_linear,lagged_annual,linear,done,NA,2026-05-28 22:10:20.48185,2026-05-28 22:10:34.323326,13.830281019210815,60514,41045,4635,0.79734024046081875
LU,single_pollutant_pm25_lagged_annual_spline,lagged_annual,spline,done,NA,2026-05-28 22:10:34.327221,2026-05-28 22:10:48.485235,14.156488180160522,60514,41045,4635,0.7969845749410446
LU,single_pollutant_ozone_lagged_annual_linear,lagged_annual,linear,done,NA,2026-05-28 22:10:48.48875,2026-05-28 22:11:02.66763,14.174242973327637,60514,41045,4635,0.797123748405304
LU,single_pollutant_ozone_lagged_annual_spline,lagged_annual,spline,done,NA,2026-05-28 22:11:02.671081,2026-05-28 22:11:16.768513,14.08579397201538,60514,41045,4635,0.7974716820659528
LU,single_pollutant_no2_lagged_annual_linear,lagged_annual,linear,done,NA,2026-05-28 22:11:16.772001,2026-05-28 22:11:30.90638,14.129638910293579,60514,41045,4635,0.7974252909111996
LU,single_pollutant_no2_lagged_annual_spline,lagged_annual,spline,done,NA,2026-05-28 22:11:30.909883,2026-05-28 22:11:44.805185,13.891007900238037,60514,41045,4635,0.797417559052074
LU,combined_pollutants_lagged_annual_linear,lagged_annual,linear,done,NA,2026-05-28 22:11:44.808629,2026-05-28 22:11:59.394459,14.584697008132935,60514,41045,4635,0.797417559052074
LU,combined_pollutants_lagged_annual_spline,lagged_annual,spline,done,NA,2026-05-28 22:11:59.398328,2026-05-28 22:12:14.641634,15.242637872695923,60514,41045,4635,0.7976572466849654
