organ,pollutant,pollutant_term,stage,fold,n_train,n_test,adverse_test,cv_concordance
KI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,clinical_score,2,541996,135205,25634,0.6484273247265239
KI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,clinical_score,3,541517,135684,25847,0.6493207625047739
KI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,clinical_score,4,542034,135167,25392,0.6495436722768142
KI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,clinical_score,5,541915,135286,25467,0.6497965303480775
KI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,optn_region,1,541342,135859,25494,0.6498545660652968
KI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,optn_region,2,541996,135205,25634,0.6512503158497974
KI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,optn_region,3,541517,135684,25847,0.6513999386430884
KI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,optn_region,4,542034,135167,25392,0.6523098516684622
KI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,optn_region,5,541915,135286,25467,0.6531627244505313
KI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,community,1,541342,135859,25494,0.6523018420773767
KI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,community,2,541996,135205,25634,0.6534896525648282
KI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,community,3,541517,135684,25847,0.6528152856380607
KI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,community,4,542034,135167,25392,0.6541355295010636
KI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,community,5,541915,135286,25467,0.6547808821764264
KI,Ozone per 10 ppb,o3_prior_1y_10ppb,pollutant_only,1,541342,135859,25494,0.4923271713690304
KI,Ozone per 10 ppb,o3_prior_1y_10ppb,pollutant_only,2,541996,135205,25634,0.49238019107755926
KI,Ozone per 10 ppb,o3_prior_1y_10ppb,pollutant_only,3,541517,135684,25847,0.4956751391191046
KI,Ozone per 10 ppb,o3_prior_1y_10ppb,pollutant_only,4,542034,135167,25392,0.4887846676666171
KI,Ozone per 10 ppb,o3_prior_1y_10ppb,pollutant_only,5,541915,135286,25467,0.4979664332571022
KI,Ozone per 10 ppb,o3_prior_1y_10ppb,demographics_year,1,541342,135859,25494,0.6489123538545883
KI,Ozone per 10 ppb,o3_prior_1y_10ppb,demographics_year,2,541996,135205,25634,0.6488916895046679
KI,Ozone per 10 ppb,o3_prior_1y_10ppb,demographics_year,3,541517,135684,25847,0.6510228901871917
KI,Ozone per 10 ppb,o3_prior_1y_10ppb,demographics_year,4,542034,135167,25392,0.6501074468696738
KI,Ozone per 10 ppb,o3_prior_1y_10ppb,demographics_year,5,541915,135286,25467,0.6512363356175145
KI,Ozone per 10 ppb,o3_prior_1y_10ppb,clinical_score,1,541342,135859,25494,0.6483841305420894
KI,Ozone per 10 ppb,o3_prior_1y_10ppb,clinical_score,2,541996,135205,25634,0.6480938625863283
KI,Ozone per 10 ppb,o3_prior_1y_10ppb,clinical_score,3,541517,135684,25847,0.6497377981568678
KI,Ozone per 10 ppb,o3_prior_1y_10ppb,clinical_score,4,542034,135167,25392,0.6495664372746894
KI,Ozone per 10 ppb,o3_prior_1y_10ppb,clinical_score,5,541915,135286,25467,0.6499007700904114
KI,Ozone per 10 ppb,o3_prior_1y_10ppb,optn_region,1,541342,135859,25494,0.6499350546664852
KI,Ozone per 10 ppb,o3_prior_1y_10ppb,optn_region,2,541996,135205,25634,0.651101613557115
KI,Ozone per 10 ppb,o3_prior_1y_10ppb,optn_region,3,541517,135684,25847,0.6517342641041617
KI,Ozone per 10 ppb,o3_prior_1y_10ppb,optn_region,4,542034,135167,25392,0.6523869990350266
KI,Ozone per 10 ppb,o3_prior_1y_10ppb,optn_region,5,541915,135286,25467,0.653133701661209
KI,Ozone per 10 ppb,o3_prior_1y_10ppb,community,1,541342,135859,25494,0.6524125902679522
KI,Ozone per 10 ppb,o3_prior_1y_10ppb,community,2,541996,135205,25634,0.653471946231595
