organ,organ_score_name,pollutant,pollutant_term,stage,n,adverse_events,hazard_ratio,conf_low,conf_high,p_value,concordance,aic,mean_cv_concordance,sd_cv_concordance,total_test_adverse
KI,Dialysis + age,NO2 per 10-unit increase,no2_prior_1y_10unit,demographics_year,677201,127834,0.9090956175209862,0.9010293680916324,0.9172340781147711,1.5574675400897807e-97,0.6507458468403109,3097180.203596699,0.6507246291495253,9.41933052759639e-4,127834
KI,Dialysis + age,NO2 per 10-unit increase,no2_prior_1y_10unit,clinical_score,677201,127834,0.907924165575368,0.8998754891310254,0.9160448310818512,2.582506379289662e-100,0.649826074748562,3096811.8817501953,0.6497936197295467,7.067996066986199e-4,127834
KI,Dialysis + age,NO2 per 10-unit increase,no2_prior_1y_10unit,optn_region,677201,127834,0.9124542668269886,0.9034787160248839,0.9215189846573502,9.804894833242516e-74,0.6522391627780773,3095586.623516092,0.652146981839937,0.0012221733525308804,127834
KI,Dialysis + age,NO2 per 10-unit increase,no2_prior_1y_10unit,community,677201,127834,0.9335533418210233,0.9214155049227644,0.9458510708458872,7.243307794451587e-25,0.6538099466739642,3095019.123716207,0.6536666526808587,0.0010019178884704142,127834
KI,Dialysis + age,NO2 per 10-unit increase,no2_prior_1y_10unit,center_frailty_sensitivity,677201,127834,0.9864091684723834,0.9723553867214387,1.0006660742911333,0.06162014178879235,0.6644439827303615,3089101.9948275974,NA,NA,NA
KI,Dialysis + age,Ozone per 10 ppb,o3_prior_1y_10ppb,pollutant_only,677201,127834,0.9755094543498265,0.9643074667139543,0.9868415711523034,2.579194847953793e-5,0.49343126930869097,3131072.3385387664,0.4934267204978827,0.0035184252455857695,127834
KI,Dialysis + age,Ozone per 10 ppb,o3_prior_1y_10ppb,demographics_year,677201,127834,0.9430225875551942,0.9320581144551542,0.9541160436751737,8.229065638435542e-23,0.6500664582374807,3097556.5242202645,0.6500341432067273,0.0011171249284272935,127834
KI,Dialysis + age,Ozone per 10 ppb,o3_prior_1y_10ppb,clinical_score,677201,127834,0.9383597348268812,0.9274687283842132,0.9493786313187812,1.2453800230033138e-26,0.6491780468087684,3097184.4260932584,0.6491365997300773,8.342162238550121e-4,127834
KI,Dialysis + age,Ozone per 10 ppb,o3_prior_1y_10ppb,optn_region,677201,127834,0.9858388234761497,0.9721160925236024,0.9997552693010712,0.046131652880293625,0.6517608947792245,3095928.3408590537,0.6516583266047995,0.0012240360658801643,127834
KI,Dialysis + age,Ozone per 10 ppb,o3_prior_1y_10ppb,community,677201,127834,0.957994593822991,0.9437140060659737,0.9724912800858853,2.1419036129071893e-8,0.6536860884105447,3095097.45895428,0.6535345357318962,9.532994115824725e-4,127834
KI,Dialysis + age,Ozone per 10 ppb,o3_prior_1y_10ppb,center_frailty_sensitivity,677201,127834,1.0313084976153604,1.0127758539833192,1.05018026749991,8.619247192031732e-4,0.6645234313965132,3089178.8239596933,NA,NA,NA
KI,Dialysis + age,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,pollutant_only,677201,127834,0.9044649351436524,0.8940711209256605,0.9149795802121995,5.165969012283444e-65,0.4936444472005389,3130785.5206491817,0.49365542360705955,0.0015503713158064516,127834
KI,Dialysis + age,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,demographics_year,677201,127834,0.9090299570386802,0.8973065328266593,0.9209065492821675,5.079936113891774e-47,0.6500478252531092,3097446.206524348,0.6500230794946724,9.623144079328675e-4,127834
KI,Dialysis + age,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,clinical_score,677201,127834,0.9039634874823126,0.8923217268911184,0.9157571334143858,1.2746521700927043e-52,0.6491141243282728,3097065.957889064,0.6490796421518462,6.718222405535625e-4,127834
KI,Dialysis + age,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,optn_region,677201,127834,0.92998540918664,0.9164842542619783,0.9436854558908951,2.2838733651676642e-22,0.6516940364934848,3095836.324276629,0.6515954793354353,0.0012404372303055078,127834
KI,Dialysis + age,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,community,677201,127834,0.9724023113761032,0.9575911785887637,0.9874425290373944,3.5203201875112376e-4,0.6536544565568703,3095115.7471489,0.6535046383915512,9.936010967226093e-4,127834
KI,Dialysis + age,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,center_frailty_sensitivity,677201,127834,1.0135094007885412,0.9951403104690048,1.0322175623682988,0.15045040493402265,0.6644181225188619,3089176.3159700385,NA,NA,NA
LI,MELD,NO2 per 10-unit increase,no2_prior_1y_10unit,pollutant_only,217244,42684,1.0278921507304395,1.0132614230574646,1.0427341350321284,1.6916739339356278e-4,0.5143720789470816,952249.0188922465,0.5143668843413497,0.003281337147107338,42684
LI,MELD,NO2 per 10-unit increase,no2_prior_1y_10unit,demographics_year,217244,42684,1.0201450663881848,1.0042106627949738,1.0363323105727957,0.013025189493887158,0.5463114027399282,949802.7489661939,0.5461857022419627,0.004330685347502395,42684
LI,MELD,NO2 per 10-unit increase,no2_prior_1y_10unit,clinical_score,217244,42684,1.0035043615736825,0.9858048547445224,1.0215216519281396,0.7000166001706497,0.7557256586289991,922573.4830057796,0.755676660922227,0.0022922260043396108,42684
LI,MELD,NO2 per 10-unit increase,no2_prior_1y_10unit,optn_region,217244,42684,0.9973376061627657,0.9783613832489032,1.0166818904517416,0.7856230241981673,0.7560883427382148,922429.241488487,0.7559653220569454,0.0021538731901882616,42684
LI,MELD,NO2 per 10-unit increase,no2_prior_1y_10unit,community,217244,42684,0.9991478893533953,0.9745418508146022,1.0243752015009786,0.9465769051386123,0.7568494173556248,922153.15233032,0.7566904050343756,0.002167478384416422,42684
LI,MELD,NO2 per 10-unit increase,no2_prior_1y_10unit,center_frailty_sensitivity,217244,42684,0.9751667438261101,0.9516968632514732,0.9992154172028015,0.04306180827854793,0.761142550507253,921073.5121331717,NA,NA,NA
LI,MELD,Ozone per 10 ppb,o3_prior_1y_10ppb,pollutant_only,217244,42684,0.9794892144152474,0.9589262854108853,1.0004930887307053,0.05556585211723213,0.5049161839361145,952259.5256150628,0.5049047873200754,0.0029933836453822373,42684
LI,MELD,Ozone per 10 ppb,o3_prior_1y_10ppb,demographics_year,217244,42684,0.9855811178015063,0.9647184873046698,1.0068949155113436,0.18335307565429643,0.5460546189630435,949807.1008210478,0.5459319193899762,0.004275428281218644,42684
LI,MELD,Ozone per 10 ppb,o3_prior_1y_10ppb,clinical_score,217244,42684,1.0007984776417502,0.9762791525203804,1.025933607477228,0.9497133492086536,0.7557245170723446,922573.6637701931,0.7556799875373826,0.002301249265872625,42684
LI,MELD,Ozone per 10 ppb,o3_prior_1y_10ppb,optn_region,217244,42684,1.0418627624794774,1.0107032278692125,1.0739829317947243,0.008116669991652937,0.7560565246160689,922418.8680182946,0.7559482301728514,0.0021819979103210804,42684
LI,MELD,Ozone per 10 ppb,o3_prior_1y_10ppb,community,217244,42684,1.0290067423821212,0.9969782965539702,1.0620641186751705,0.07633116601158076,0.7568184830969646,922148.6190674979,0.7566626030667553,0.0021785836651760505,42684
LI,MELD,Ozone per 10 ppb,o3_prior_1y_10ppb,center_frailty_sensitivity,217244,42684,1.0152023018656096,0.9839686630715363,1.0474273748678347,0.34398425621190015,0.7611260159983675,921084.2019472356,NA,NA,NA
LI,MELD,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,pollutant_only,217244,42684,1.0479300465475831,1.0282727237798492,1.067963155164206,1.261941600684376e-6,0.5166683319585965,952239.7763576332,0.5167101154812882,0.00472118649978696,42684
LI,MELD,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,demographics_year,217244,42684,1.0444923090364393,1.0219666972121566,1.0675144176540543,9.1022983733614e-5,0.5463685271741769,949793.8379424245,0.5462389667031964,0.004354892523485317,42684
LI,MELD,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,clinical_score,217244,42684,1.0282130131000087,1.003856840450929,1.0531601297185944,0.022924978424736137,0.7557197632354662,922567.4337144828,0.755668034279512,0.0023413253747489597,42684
LI,MELD,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,optn_region,217244,42684,1.0356517237912117,1.008319905012693,1.0637244069660676,0.010254042279106843,0.756065286906314,922421.1720351485,0.7559465654614422,0.0021841733350083476,42684
LI,MELD,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,community,217244,42684,1.026959659500501,0.9985584125929025,1.0561687017415864,0.06300659588411466,0.756836106660532,922148.894097963,0.7566697026246556,0.002203942980687337,42684
LI,MELD,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,center_frailty_sensitivity,217244,42684,0.9705121331402946,0.9425419823628752,0.9993123045949366,0.04484869514788003,0.7611715585696848,921068.691283879,NA,NA,NA
LU,LAS/CAS component proxy,NO2 per 10-unit increase,no2_prior_1y_10unit,pollutant_only,46614,5708,1.1136295560427543,1.0668464586175765,1.1624641747407585,8.877418004039522e-7,0.52437084572428,109104.09338705323,0.5243212189341414,0.006147752509598088,5708
LU,LAS/CAS component proxy,NO2 per 10-unit increase,no2_prior_1y_10unit,demographics_year,46614,5708,1.0700824283550554,1.02022182364128,1.1223798363647557,0.005397382399651364,0.5525461329865822,109052.77508386242,0.5505991356031851,0.01380941488373293,5708
LU,LAS/CAS component proxy,NO2 per 10-unit increase,no2_prior_1y_10unit,clinical_score,46614,5708,1.0518886961234182,1.0002949828527117,1.106143535656568,0.04867149146292261,0.6811192049739816,107530.85119291194,0.6801415656982506,0.007580557653646974,5708
LU,LAS/CAS component proxy,NO2 per 10-unit increase,no2_prior_1y_10unit,optn_region,46614,5708,1.0401684236850512,0.9860083478725539,1.0973034376087163,0.14887892456343174,0.6861250051777152,107420.40708389308,0.6837599054572328,0.010706067756745038,5708
LU,LAS/CAS component proxy,NO2 per 10-unit increase,no2_prior_1y_10unit,community,46614,5708,0.9616476615640576,0.8995653787793755,1.028014468772064,0.2507507076870555,0.6872292328939498,107403.47295151556,0.6842662435364295,0.009598450362255897,5708
LU,LAS/CAS component proxy,NO2 per 10-unit increase,no2_prior_1y_10unit,center_frailty_sensitivity,46614,5708,0.9592514055056361,0.8970013934014155,1.0258214376627595,0.22426824216120425,0.6939371810514919,107265.98854902698,NA,NA,NA
LU,LAS/CAS component proxy,Ozone per 10 ppb,o3_prior_1y_10ppb,pollutant_only,46614,5708,0.9911085020352646,0.9309077597633959,1.055202357595828,0.7799784895941343,0.5005866305760672,109127.52975279714,0.49642233437822286,0.009026439878912577,5708
LU,LAS/CAS component proxy,Ozone per 10 ppb,o3_prior_1y_10ppb,demographics_year,46614,5708,0.9859151638257198,0.9256588678080105,1.0500938780647027,0.6593212829429128,0.5503527248999394,109060.47118559614,0.5477121627012596,0.013004939309358378,5708
LU,LAS/CAS component proxy,Ozone per 10 ppb,o3_prior_1y_10ppb,clinical_score,46614,5708,0.9706948795912717,0.910824340901649,1.0345008438531154,0.3598244157799786,0.6811690638395107,107534.32596581588,0.6799601118342683,0.007610450599277748,5708
LU,LAS/CAS component proxy,Ozone per 10 ppb,o3_prior_1y_10ppb,optn_region,46614,5708,0.9437777934944879,0.8689504012221277,1.0250487510456106,0.16976688822591418,0.6861185278434194,107420.63099779465,0.6835801278886916,0.011166734110451063,5708
LU,LAS/CAS component proxy,Ozone per 10 ppb,o3_prior_1y_10ppb,community,46614,5708,0.9617064629030047,0.8825014078166525,1.0480202213814034,0.3732519064891421,0.6872672083423282,107403.99963454122,0.6842196931905717,0.010006057823501207,5708
LU,LAS/CAS component proxy,Ozone per 10 ppb,o3_prior_1y_10ppb,center_frailty_sensitivity,46614,5708,0.9835518555724563,0.8995393512973512,1.0754107101649713,0.715814791709999,0.6938971129258793,107267.7374516341,NA,NA,NA
LU,LAS/CAS component proxy,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,pollutant_only,46614,5708,1.1106402592089948,1.054188936839094,1.1701145233741925,8.05613423629078e-5,0.5239590782613786,109112.73602074277,0.5236033032537158,0.014033723028366672,5708
LU,LAS/CAS component proxy,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,demographics_year,46614,5708,1.049509230956987,0.9864683136525768,1.1165788202416111,0.12628799621820075,0.5506940638087848,109058.37529876178,0.5487645709145464,0.01599051525514736,5708
LU,LAS/CAS component proxy,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,clinical_score,46614,5708,1.0495809060813275,0.9843815447341504,1.1190986709406587,0.1391723389957975,0.6810539084617138,107532.86529285238,0.6800170944236212,0.007765776586506183,5708
LU,LAS/CAS component proxy,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,optn_region,46614,5708,1.0408368612563887,0.9674659634664557,1.1197720774262803,0.2832018993777849,0.6861146746599408,107421.45316450903,0.6836650790287635,0.011077911589780722,5708
LU,LAS/CAS component proxy,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,community,46614,5708,0.9923275577870524,0.9198367319678706,1.0705312668226987,0.8422613049079173,0.6872206213610461,107404.82811006969,0.684184087574514,0.009868163523724065,5708
LU,LAS/CAS component proxy,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,center_frailty_sensitivity,46614,5708,0.9938948006290035,0.9188574993236177,1.0750599254449338,0.8784776472382563,0.6938955102008548,107267.66408518211,NA,NA,NA
