section,table,variable,old_2506,new_2603,variable_status
pubsaf,cand_kipa,CAN_MAX_AGE,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MAX_COLD_TM,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MAX_EXPAND_MM_A,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MAX_EXPAND_MM_AB,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MAX_EXPAND_MM_ABDR,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MAX_EXPAND_MM_ADR,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MAX_EXPAND_MM_B,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MAX_EXPAND_MM_BDR,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MAX_EXPAND_MM_DR,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MAX_MILE,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MAX_MM_A,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MAX_MM_AB,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MAX_MM_ABDR,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MAX_MM_ADR,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MAX_MM_B,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MAX_MM_BDR,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MAX_MM_DR,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MAX_PCT_SCLER_GE10,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MAX_PCT_SCLER_LT10,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MAX_WARM_TM,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MAX_WGT,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MED_COND,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MIN_AGE,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MIN_FINAL_CREAT,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MIN_PEAK_CREAT,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MIN_WGT,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MM_ACPT_CD,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MOST_RECENT_CREAT,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MOST_RECENT_HGT_CM,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MOST_RECENT_WGT_KG,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MOTOR_DEVELOP,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_NEW_PREV_PI_TX,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_ON_DIAL,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_ON_EXPAND_DON_LIST,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_PAIRED_LIVE_DONOR_ID,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_PEPTIC_ULCER,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_PERIPH_VASC,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_PERM_STATE,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_PGE,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_PHYSC_CAPACITY,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_PRELIM_XMATCH_REQUEST,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_PREV_BONE_MARROW_DT,TRUE,TRUE,present_in_both
