year,pollutant,tract_geoid,value,days,missing_values,nearest_fill_days
2015,o3,17031062000,32.7621922690166,365,0,365
2015,o3,17031430700,35.1257539480721,365,0,365
2015,o3,17031280400,34.8147950393288,365,0,365
2015,o3,17031420200,35.4284936786106,365,0,365
2015,o3,17031841700,31.8917812971424,365,0,365
2015,o3,17031051000,34.6860279141224,365,0,365
2015,o3,17031081700,31.9736991065822,365,0,0
2015,o3,17031081300,34.3471237994833,365,0,0
2015,o3,17031320400,34.6915073662588,365,0,0
2015,o3,17031837400,33.7320552971673,365,0,365
2015,o3,17031700402,34.0067128355066,365,0,0
2015,o3,17031827200,35.6816443673144,365,0,0
2015,o3,17031813802,32.0175347236738,365,0,0
2015,o3,17031620200,33.8071237914366,365,0,365
2015,o3,17031280800,33.7320552971673,365,0,0
2015,o3,17031770902,35.3691786092336,365,0,0
2015,o3,17031803614,35.4915073781797,365,0,365
2015,o3,17031081600,31.9736991065822,365,0,365
2015,o3,17031020902,34.5350690077633,365,0,365
2015,o3,17031839200,34.9326032602624,365,0,0
2015,o3,17031843400,33.6454799534115,365,0,0
2015,o3,17031841800,35.1710964145011,365,0,0
2015,o3,17031833300,33.4580826903451,365,0,365
2015,o3,17031600400,34.7380827094186,365,0,365
2015,o3,17031051100,34.6380827079285,365,0,0
2015,o3,17031160501,33.9808224241619,365,0,0
2015,o3,17031251900,34.6608224342947,365,0,365
2015,o3,17031261000,33.687945707469,365,0,0
2015,o3,17031815702,36.8086763475788,365,0,0
2015,o3,17031580100,33.9934251640758,365,0,0
2015,o3,17031836800,34.0394525620219,365,0,365
2015,o3,17031252000,34.68191832502,365,0,365
2015,o3,17031251500,34.5794525700685,365,0,0
2015,o3,17031840700,34.5978087347256,365,0,365
2015,o3,17031292200,34.8180827106107,365,0,365
2015,o3,17031283800,34.0049320135623,365,0,365
2015,o3,17031282700,34.6863018867292,365,0,0
2015,o3,17031808900,38.2361649533249,365,0,365
2015,o3,17031808500,37.8142471388187,365,0,0
2015,o3,17031807600,36.4006398118182,365,0,0
2015,o3,17031807100,38.1260279653824,365,0,365
2015,o3,17031806700,38.1001375540377,365,0,0
2015,o3,17031811401,35.1043840847399,365,0,0
2015,o3,17031810600,34.7989046281331,365,0,0
2015,o3,17031810501,36.3093156095441,365,0,0
2015,o3,17031805001,37.3658224746024,365,0,0
2015,o3,17031804810,36.1270325018051,365,0,0
2015,o3,17031804808,36.9016443854938,365,0,0
2015,o3,17031804712,36.4221009993526,365,0,0
2015,o3,17031806300,37.4247950782208,365,0,0
2015,o3,17031806102,36.1582197168817,365,0,0
2015,o3,17031806002,36.5930599060097,365,0,0
2015,o3,17031805902,37.7810964533932,365,0,0
2015,o3,17031805702,35.5336991596304,365,0,0
2015,o3,17031805701,36.6805484917882,365,0,0
2015,o3,17031805502,36.0530142358619,365,0,0
2015,o3,17031805109,36.8646580835728,365,0,0
2015,o3,17031803611,36.0926032775477,365,0,0
2015,o3,17031803607,37.2290416506464,365,0,0
2015,o3,17031803008,36.2053704025158,365,0,0
2015,o3,17031802702,36.0723293046429,365,0,0
2015,o3,17031804710,36.1350690316052,365,0,0
2015,o3,17031804716,36.3687676652245,365,0,0
2015,o3,17031804505,35.8663703974643,365,0,0
2015,o3,17031804404,36.4528087623673,365,0,0
2015,o3,17031804105,36.2372950605257,365,0,0
2015,o3,17031770500,34.8178635325252,365,0,0
2015,o3,17031380200,34.7764388743737,365,0,365
2015,o3,17031250600,34.4775347603306,365,0,365
2015,o3,17031801800,36.8845758920888,365,0,0
2015,o3,17031801608,36.710575889496,365,0,0
2015,o3,17031801601,36.5995134829704,365,0,0
2015,o3,17031800800,37.1040553474141,365,0,0
2015,o3,17031800300,37.0032882226248,365,0,0
2015,o3,17031230500,34.3609594161278,365,0,0
2015,o3,17031222700,34.3575347585425,365,0,365
2015,o3,17031221500,34.76986353181,365,0,0
2015,o3,17031221100,34.4334251706323,365,0,0
2015,o3,17031210601,34.5158909252858,365,0,365
2015,o3,17031842300,33.3771237850291,365,0,0
2015,o3,17031243100,34.8147950393288,365,0,365
2015,o3,17031242900,34.7063018870272,365,0,365
2015,o3,17031242600,33.2032881660004,365,0,365
2015,o3,17031242300,33.0312333689161,365,0,0
2015,o3,17031242000,33.3893155660327,365,0,365
2015,o3,17031241300,34.6616443521152,365,0,0
2015,o3,17031241200,34.6616443521152,365,0,365
2015,o3,17031171100,34.8394525739428,365,0,0
2015,o3,17031170800,34.9021923009051,365,0,0
2015,o3,17031170500,34.8080827104617,365,0,0
2015,o3,17031160200,34.55863065195,365,0,0
2015,o3,17031151100,34.7073977774545,365,0,0
2015,o3,17031150501,35.0238361383342,365,0,365
2015,o3,17031140100,34.0649320144564,365,0,365
2015,o3,17031120100,35.7718498481106,365,0,0
2015,o3,17031110502,34.8794525745389,365,0,0
2015,o3,17031100100,35.1638361404203,365,0,0
2015,o3,17031090300,34.8380827109087,365,0,0
2015,o3,17031081800,32.3726032221154,365,0,0
2015,o3,17031081201,31.9334251333794,365,0,365
2015,o3,17031824106,35.9172882064422,365,0,0
2015,o3,17031824300,36.1960735987243,365,0,0
2015,o3,17031821300,35.7078087512659,365,0,0
2015,o3,17031823304,36.1296580726204,365,0,0
2015,o3,17031830201,35.9062105807063,365,0,0
2015,o3,17031830202,36.7956169866536,365,0,0
2015,o3,17031240200,34.7054799692067,365,0,365
2015,o3,17031061800,32.7602744607689,365,0,365
2015,o3,17031061000,32.7602744607689,365,0,0
2015,o3,17031060200,34.910137506503,365,0,0
2015,o3,17031843700,34.1439731115246,365,0,0
2015,o3,17031050100,35.0002744941475,365,0,365
2015,o3,17031040401,34.9512333975263,365,0,365
2015,o3,17031040100,34.5200005143881,365,0,0
2015,o3,17031031200,35.1260279206789,365,0,365
2015,o3,17031030104,33.0495895335732,365,0,365
2015,o3,17031020801,35.1120553177309,365,0,0
2015,o3,17031831200,34.2635621544025,365,0,365
2015,o3,17031191200,34.4873977741762,365,0,0
2015,o3,17031190401,34.7517813397597,365,0,365
2015,o3,17031550100,35.223817876474,365,0,0
2015,o3,17031828100,35.9635621797344,365,0,0
2015,o3,17031750400,35.2117813466142,365,0,0
2015,o3,17031828504,35.8753038613939,365,0,0
2015,o3,17031824123,36.0575347838745,365,0,0
2015,o3,17031720500,35.1747950446932,365,0,0
2015,o3,17031826301,35.1900690175236,365,0,0
2015,o3,17031827804,36.1236991684221,365,0,0
2015,o3,17031829100,36.0779457430827,365,0,0
2015,o3,17031830005,36.1014160630672,365,0,0
2015,o3,17031828601,36.9830827428717,365,0,0
2015,o3,17031081000,31.9334251333794,365,0,0
2015,o3,17031071600,34.6427402422445,365,0,365
2015,o3,17031071500,30.7509593623346,365,0,365
2015,o3,17031071300,34.6427402422445,365,0,0
2015,o3,17031070500,34.6238361323737,365,0,0
2015,o3,17031828801,36.4733567078789,365,0,0
2015,o3,17031824503,35.6325783640926,365,0,0
2015,o3,17031826401,36.1393156070109,365,0,0
2015,o3,17031825504,36.2625347869292,365,0,0
2015,o3,17031829302,35.4048407102216,365,0,0
2015,o3,17031828900,35.8102745062174,365,0,0
2015,o3,17031827100,35.4382197061528,365,0,0
2015,o3,17031821500,35.7539731355154,365,0,0
2015,o3,17031823200,34.8293703820118,365,0,0
2015,o3,17031824900,36.7989594524568,365,0,0
2015,o3,17031822101,35.4832881999751,365,0,0
2015,o3,17031821002,35.2424662785783,365,0,0
2015,o3,17031820800,33.6104723425398,365,0,0
2015,o3,17031819500,36.5002745164992,365,0,0
2015,o3,17031819300,36.2145210875836,365,0,0
2015,o3,17031818500,36.1216443738709,365,0,0
2015,o3,17031750100,34.4290416089231,365,0,365
2015,o3,17031530503,35.1748863688955,365,0,0
2015,o3,17031815200,34.9463018906035,365,0,0
2015,o3,17031814100,33.7301374889196,365,0,0
2015,o3,17031818401,34.5445362833991,365,0,0
2015,o3,17031817600,35.0419183303845,365,0,0
2015,o3,17031817300,35.5178087484347,365,0,0
2015,o3,17031816900,34.5504114737454,365,0,0
2015,o3,17031815701,36.7219183554184,365,0,0
2015,o3,17031815400,34.7341101066197,365,0,0
2015,o3,17031711200,34.7901375047148,365,0,0
2015,o3,17031710500,34.6558909273719,365,0,0
2015,o3,17031700301,34.1301374948801,365,0,365
2015,o3,17031700100,34.65059412364,365,0,0
2015,o3,17031813801,33.9690416020686,365,0,0
2015,o3,17031813600,34.797534765099,365,0,365
