year,pollutant,tract_geoid,value,days,missing_values,nearest_fill_days
2008,pm25,17031830007,12.9371584699454,366,0,0
2008,pm25,17031803612,12.3142076502732,366,0,0
2008,pm25,17031240600,11.879781420765,366,0,366
2008,pm25,17031240700,11.7377049180328,366,0,366
2008,pm25,17031260400,13.5710382513661,366,0,366
2008,pm25,17031260200,13.0792349726776,366,0,366
2008,pm25,17031283200,12.5027322404372,366,0,366
2008,pm25,17031310500,12.7841530054645,366,0,0
2008,pm25,17031420100,12.4918032786885,366,0,0
2008,pm25,17031491000,11.4453551912568,366,0,0
2008,pm25,17031802607,13.8169398907104,366,0,0
2008,pm25,17031836700,12.6229508196721,366,0,0
2008,pm25,17031837100,13.3155737704918,366,0,0
2008,pm25,17031835500,12.9508196721311,366,0,0
2008,pm25,17031834000,12.3907103825137,366,0,0
2008,pm25,17031330103,12.4535519125683,366,0,0
2008,pm25,17031809402,11.7704918032787,366,0,366
2008,pm25,17031630600,13.4098360655738,366,0,366
2008,pm25,17031803615,11.4890710382514,366,0,0
2008,pm25,17031821001,12.5582877959927,366,0,0
2008,pm25,17031823702,13.0177595628415,366,0,0
2008,pm25,17031828602,12.1393442622951,366,0,0
2008,pm25,17031825801,11.6457194899818,366,0,0
2008,pm25,17031819801,13.5200364298725,366,0,0
2008,pm25,17031814400,13.2459016393443,366,0,0
2008,pm25,17031720700,12.1693989071038,366,0,0
2008,pm25,17031813400,13.5245901639344,366,0,0
2008,pm25,17031812802,12.9234972677596,366,0,0
2008,pm25,17031650301,12.2786885245902,366,0,0
2008,pm25,17031671400,12.5765027322404,366,0,0
2008,pm25,17031600600,13.4071038251366,366,0,366
2008,pm25,17031340500,13.1666666666667,366,0,0
2008,pm25,17031310600,12.3551912568306,366,0,366
2008,pm25,17031420500,11.8989071038251,366,0,366
2008,pm25,17031390500,12.4672131147541,366,0,366
2008,pm25,17031300500,12.0464480874317,366,0,366
2008,pm25,17031806501,12.6311475409836,366,0,366
2008,pm25,17031810301,12.8606557377049,366,0,0
2008,pm25,17031806103,13.1004098360656,366,0,0
2008,pm25,17031803800,12.7650273224044,366,0,0
2008,pm25,17031804511,13.042349726776,366,0,0
2008,pm25,17031770601,12.9159836065574,366,0,0
2008,pm25,17031230300,11.5300546448087,366,0,366
2008,pm25,17031241000,13.6366120218579,366,0,366
2008,pm25,17031062400,11.4016393442623,366,0,366
2008,pm25,17031030703,12.6174863387978,366,0,366
2008,pm25,17031190702,11.8579234972678,366,0,0
2008,pm25,17031151002,12.7131147540984,366,0,0
2008,pm25,17031100600,12.3196721311475,366,0,366
2008,pm25,17031071700,11.6475409836066,366,0,366
2008,pm25,17031061901,12.6748633879781,366,0,0
2008,pm25,17031030103,13.7950819672131,366,0,366
2008,pm25,17031030701,12.8497267759563,366,0,366
2008,pm25,17031080300,12.9617486338798,366,0,0
2008,pm25,17031430102,13.2377049180328,366,0,366
2008,pm25,17031240900,12.3825136612022,366,0,0
2008,pm25,17031610800,12.9508196721311,366,0,366
2008,pm25,17031690500,12.0355191256831,366,0,366
2008,pm25,17031835200,13.6912568306011,366,0,0
2008,pm25,17031810702,13.042349726776,366,0,0
2008,pm25,17031660302,11.7049180327869,366,0,0
2008,pm25,17031809700,12.7103825136612,366,0,0
2008,pm25,17031805112,12.8233151183971,366,0,0
2008,pm25,17031818900,12.8879781420765,366,0,0
2008,pm25,17031251400,12.2131147540984,366,0,366
2008,pm25,17031292400,12.4535519125683,366,0,366
2008,pm25,17031826600,11.8989071038251,366,0,0
2008,pm25,17031520500,11.6894353369763,366,0,0
2008,pm25,17031510200,11.7486338797814,366,0,366
2008,pm25,17031611500,11.3606557377049,366,0,0
2008,pm25,17031440101,11.7185792349727,366,0,366
2008,pm25,17031612200,12.7295081967213,366,0,0
2008,pm25,17031836500,13.1147540983607,366,0,0
2008,pm25,17031801901,12.8599726775956,366,0,0
2008,pm25,17031062700,11.6092896174863,366,0,0
2008,pm25,17031050500,12.1803278688525,366,0,366
2008,pm25,17031170400,13.1967213114754,366,0,366
2008,pm25,17031151001,12,366,0,0
2008,pm25,17031130100,12.4016393442623,366,0,0
2008,pm25,17031063200,13.3852459016393,366,0,366
2008,pm25,17031063100,12.6174863387978,366,0,366
2008,pm25,17031710300,12.3989071038251,366,0,366
2008,pm25,17031820203,13.0604128718883,366,0,0
2008,pm25,17031837000,12.4398907103825,366,0,366
2008,pm25,17031843500,13.4234972677596,366,0,0
2008,pm25,17031803016,12.8661202185792,366,0,0
2008,pm25,17031804316,12.459927140255,366,0,0
2008,pm25,17031740200,12.1598360655738,366,0,0
2008,pm25,17031830001,13.1427595628415,366,0,0
2008,pm25,17031826902,12.1065573770492,366,0,0
2008,pm25,17031711500,12.0601092896175,366,0,0
2008,pm25,17031812700,12.6338797814208,366,0,0
2008,pm25,17031834700,12.6748633879781,366,0,366
2008,pm25,17031611700,12.4207650273224,366,0,366
2008,pm25,17031310200,13.6147540983607,366,0,0
2008,pm25,17031390200,13.0218579234973,366,0,366
2008,pm25,17031291600,13.3360655737705,366,0,366
2008,pm25,17031806202,12.4808743169399,366,0,0
2008,pm25,17031803100,13.3319672131148,366,0,0
2008,pm25,17031800600,12.3128415300546,366,0,0
2008,pm25,17031062600,12.1693989071038,366,0,366
2008,pm25,17031190300,11.792349726776,366,0,0
2008,pm25,17031081900,12.6502732240437,366,0,366
2008,pm25,17031070200,11.2158469945355,366,0,366
2008,pm25,17031140602,11.4153005464481,366,0,366
2008,pm25,17031804610,13.0737704918033,366,0,0
2008,pm25,17031010702,12.5245901639344,366,0,366
2008,pm25,17031140301,11.4153005464481,366,0,366
2008,pm25,17031351500,12.2868852459016,366,0,366
2008,pm25,17031270500,13.4535519125683,366,0,366
2008,pm25,17031490600,12.3469945355191,366,0,0
2008,pm25,17031222500,11.7377049180328,366,0,366
2008,pm25,17031062800,11.6092896174863,366,0,366
2008,pm25,17031020802,11.5546448087432,366,0,0
2008,pm25,17031160700,12.0874316939891,366,0,366
2008,pm25,17031071000,11.6612021857924,366,0,0
2008,pm25,17031711400,12.3319672131148,366,0,0
2008,pm25,17031811200,13.3928961748634,366,0,0
2008,pm25,17031836000,12.0983606557377,366,0,0
2008,pm25,17031410800,12.568306010929,366,0,366
2008,pm25,17031843100,12.4371584699454,366,0,0
2008,pm25,17031820604,13.3360655737705,366,0,0
2008,pm25,17031825400,12.7400956284153,366,0,0
2008,pm25,17031680500,12.8497267759563,366,0,366
2008,pm25,17031611800,12.1338797814208,366,0,0
2008,pm25,17031806600,13.0628415300546,366,0,0
2008,pm25,17031804806,12.2486338797814,366,0,0
2008,pm25,17031822602,12.0409836065574,366,0,0
2008,pm25,17031818402,13.3647540983607,366,0,0
