time_days,years_since_listing,cumulative_incidence,quartile,event,pollutant,quartile_group,quartile_label,WL_ORG,organ
1704.5,4.666666666666667,0.19890924594218615,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
1734.9375,4.75,0.19890924594218615,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
1765.375,4.833333333333333,0.19890924594218615,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
1795.8125,4.916666666666667,0.19890924594218615,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
1826.25,5,0.21113150655503932,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
0,0,0,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
30.4375,0.08333333333333333,0.05156466545048313,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
60.875,0.16666666666666666,0.08189799671043835,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
91.3125,0.25,0.08635702634268475,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
121.75,0.3333333333333333,0.08635702634268475,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
152.1875,0.4166666666666667,0.10064290552517859,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
182.625,0.5,0.10553245894717131,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
213.0625,0.5833333333333334,0.11054055037617103,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
243.5,0.6666666666666666,0.12601312488528105,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
273.9375,0.75,0.12601312488528105,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
304.375,0.8333333333333334,0.12601312488528105,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
334.8125,0.9166666666666666,0.1312722908814584,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
365.25,1,0.1312722908814584,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
395.6875,1.0833333333333333,0.1312722908814584,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
426.125,1.1666666666666667,0.1312722908814584,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
456.5625,1.25,0.1312722908814584,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
487,1.3333333333333333,0.1430931506004442,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
517.4375,1.4166666666666667,0.1430931506004442,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
547.875,1.5,0.1430931506004442,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
578.3125,1.5833333333333333,0.1430931506004442,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
608.75,1.6666666666666667,0.1497818808509657,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
639.1875,1.75,0.1497818808509657,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
669.625,1.8333333333333333,0.1497818808509657,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
700.0625,1.9166666666666667,0.1497818808509657,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
730.5,2,0.1497818808509657,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
760.9375,2.0833333333333335,0.1497818808509657,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
791.375,2.1666666666666665,0.1497818808509657,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
821.8125,2.25,0.1497818808509657,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
852.25,2.3333333333333335,0.1497818808509657,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
882.6875,2.4166666666666665,0.1497818808509657,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
913.125,2.5,0.1497818808509657,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
943.5625,2.5833333333333335,0.1497818808509657,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
974,2.6666666666666665,0.1497818808509657,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
1004.4375,2.75,0.1497818808509657,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
1034.875,2.8333333333333335,0.1497818808509657,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
1065.3125,2.9166666666666665,0.1497818808509657,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
1095.75,3,0.1497818808509657,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
1126.1875,3.0833333333333335,0.1497818808509657,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
1156.625,3.1666666666666665,0.1497818808509657,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
1187.0625,3.25,0.15861425821724,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
1217.5,3.3333333333333335,0.15861425821724,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
1247.9375,3.4166666666666665,0.15861425821724,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
1278.375,3.5,0.15861425821724,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
1308.8125,3.5833333333333335,0.15861425821724,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
1339.25,3.6666666666666665,0.15861425821724,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
1369.6875,3.75,0.15861425821724,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
1400.125,3.8333333333333335,0.15861425821724,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
1430.5625,3.9166666666666665,0.15861425821724,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
1461,4,0.17159527373588895,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
1491.4375,4.083333333333333,0.17159527373588895,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
1521.875,4.166666666666667,0.17159527373588895,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
1552.3125,4.25,0.17159527373588895,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
1582.75,4.333333333333333,0.17159527373588895,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
1613.1875,4.416666666666667,0.17159527373588895,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
1643.625,4.5,0.17159527373588895,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
1674.0625,4.583333333333333,0.17159527373588895,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
1704.5,4.666666666666667,0.17159527373588895,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
1734.9375,4.75,0.17159527373588895,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
1765.375,4.833333333333333,0.17159527373588895,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
1795.8125,4.916666666666667,0.17159527373588895,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
1826.25,5,0.17159527373588895,2,Waitlist death,PM2.5,Q2,Q2 (7.2-8.5 ug/m3),HL,Heart-lung
0,0,0,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
30.4375,0.08333333333333333,0.06026825450002592,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
60.875,0.16666666666666666,0.08945100643758405,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
91.3125,0.25,0.10244307367607539,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
121.75,0.3333333333333333,0.10904381692449269,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
152.1875,0.4166666666666667,0.11567921400728093,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
182.625,0.5,0.12494674211669456,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
213.0625,0.5833333333333334,0.1298595830239632,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
243.5,0.6666666666666666,0.14038009294322806,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
273.9375,0.75,0.1622856708968447,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
304.375,0.8333333333333334,0.17353657965654345,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
334.8125,0.9166666666666666,0.17916203403639286,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
365.25,1,0.17916203403639286,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
395.6875,1.0833333333333333,0.17916203403639286,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
426.125,1.1666666666666667,0.17916203403639286,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
456.5625,1.25,0.17916203403639286,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
487,1.3333333333333333,0.18538927399644117,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
517.4375,1.4166666666666667,0.18538927399644117,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
547.875,1.5,0.19234024642133574,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
578.3125,1.5833333333333333,0.19234024642133574,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
608.75,1.6666666666666667,0.19234024642133574,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
639.1875,1.75,0.19972068396172718,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
669.625,1.8333333333333333,0.19972068396172718,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
700.0625,1.9166666666666667,0.20801558360964523,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
730.5,2,0.20801558360964523,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
760.9375,2.0833333333333335,0.20801558360964523,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
791.375,2.1666666666666665,0.20801558360964523,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
821.8125,2.25,0.20801558360964523,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
852.25,2.3333333333333335,0.20801558360964523,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
882.6875,2.4166666666666665,0.20801558360964523,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
913.125,2.5,0.20801558360964523,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
943.5625,2.5833333333333335,0.20801558360964523,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
974,2.6666666666666665,0.20801558360964523,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
1004.4375,2.75,0.20801558360964523,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
1034.875,2.8333333333333335,0.20801558360964523,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
1065.3125,2.9166666666666665,0.20801558360964523,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
1095.75,3,0.20801558360964523,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
1126.1875,3.0833333333333335,0.20801558360964523,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
1156.625,3.1666666666666665,0.20801558360964523,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
1187.0625,3.25,0.20801558360964523,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
1217.5,3.3333333333333335,0.20801558360964523,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
1247.9375,3.4166666666666665,0.20801558360964523,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
1278.375,3.5,0.20801558360964523,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
1308.8125,3.5833333333333335,0.20801558360964523,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
1339.25,3.6666666666666665,0.2179445629255396,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
1369.6875,3.75,0.2179445629255396,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
1400.125,3.8333333333333335,0.2179445629255396,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
1430.5625,3.9166666666666665,0.2179445629255396,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
1461,4,0.22968325768324724,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
1491.4375,4.083333333333333,0.22968325768324724,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
1521.875,4.166666666666667,0.22968325768324724,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
1552.3125,4.25,0.22968325768324724,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
1582.75,4.333333333333333,0.22968325768324724,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
1613.1875,4.416666666666667,0.22968325768324724,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
1643.625,4.5,0.22968325768324724,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
1674.0625,4.583333333333333,0.22968325768324724,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
1704.5,4.666666666666667,0.22968325768324724,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
1734.9375,4.75,0.22968325768324724,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
1765.375,4.833333333333333,0.22968325768324724,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
1795.8125,4.916666666666667,0.22968325768324724,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
1826.25,5,0.22968325768324724,3,Waitlist death,PM2.5,Q3,Q3 (8.5-10 ug/m3),HL,Heart-lung
0,0,0,4,Waitlist death,PM2.5,Q4,Q4 (10-20.3 ug/m3),HL,Heart-lung
30.4375,0.08333333333333333,0.07459243638351346,4,Waitlist death,PM2.5,Q4,Q4 (10-20.3 ug/m3),HL,Heart-lung
60.875,0.16666666666666666,0.09162055560845153,4,Waitlist death,PM2.5,Q4,Q4 (10-20.3 ug/m3),HL,Heart-lung
91.3125,0.25,0.11164223258009237,4,Waitlist death,PM2.5,Q4,Q4 (10-20.3 ug/m3),HL,Heart-lung
121.75,0.3333333333333333,0.13694197877455366,4,Waitlist death,PM2.5,Q4,Q4 (10-20.3 ug/m3),HL,Heart-lung
152.1875,0.4166666666666667,0.1541420786504214,4,Waitlist death,PM2.5,Q4,Q4 (10-20.3 ug/m3),HL,Heart-lung
182.625,0.5,0.15852565692423476,4,Waitlist death,PM2.5,Q4,Q4 (10-20.3 ug/m3),HL,Heart-lung
213.0625,0.5833333333333334,0.16754056340258497,4,Waitlist death,PM2.5,Q4,Q4 (10-20.3 ug/m3),HL,Heart-lung
243.5,0.6666666666666666,0.17709769408491727,4,Waitlist death,PM2.5,Q4,Q4 (10-20.3 ug/m3),HL,Heart-lung
273.9375,0.75,0.18209147256136626,4,Waitlist death,PM2.5,Q4,Q4 (10-20.3 ug/m3),HL,Heart-lung
304.375,0.8333333333333334,0.18209147256136626,4,Waitlist death,PM2.5,Q4,Q4 (10-20.3 ug/m3),HL,Heart-lung
334.8125,0.9166666666666666,0.18725098605168677,4,Waitlist death,PM2.5,Q4,Q4 (10-20.3 ug/m3),HL,Heart-lung
365.25,1,0.19248428163147333,4,Waitlist death,PM2.5,Q4,Q4 (10-20.3 ug/m3),HL,Heart-lung
395.6875,1.0833333333333333,0.19775577644906853,4,Waitlist death,PM2.5,Q4,Q4 (10-20.3 ug/m3),HL,Heart-lung
426.125,1.1666666666666667,0.19775577644906853,4,Waitlist death,PM2.5,Q4,Q4 (10-20.3 ug/m3),HL,Heart-lung
456.5625,1.25,0.2033749693897541,4,Waitlist death,PM2.5,Q4,Q4 (10-20.3 ug/m3),HL,Heart-lung
487,1.3333333333333333,0.2033749693897541,4,Waitlist death,PM2.5,Q4,Q4 (10-20.3 ug/m3),HL,Heart-lung
517.4375,1.4166666666666667,0.2033749693897541,4,Waitlist death,PM2.5,Q4,Q4 (10-20.3 ug/m3),HL,Heart-lung
547.875,1.5,0.2033749693897541,4,Waitlist death,PM2.5,Q4,Q4 (10-20.3 ug/m3),HL,Heart-lung
578.3125,1.5833333333333333,0.2033749693897541,4,Waitlist death,PM2.5,Q4,Q4 (10-20.3 ug/m3),HL,Heart-lung
608.75,1.6666666666666667,0.2033749693897541,4,Waitlist death,PM2.5,Q4,Q4 (10-20.3 ug/m3),HL,Heart-lung
639.1875,1.75,0.2033749693897541,4,Waitlist death,PM2.5,Q4,Q4 (10-20.3 ug/m3),HL,Heart-lung
