time_days,years_since_listing,stratum,n_risk,cumulative_death,standard_error,quartile,pollutant,quartile_group,quartile_label
852.25,2.3333333333333335,exposure_quartile=2,113376,0.06670445261848579,5.997340075917363e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
882.6875,2.4166666666666665,exposure_quartile=2,110349,0.06911395967924738,6.147068604179797e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
913.125,2.5,exposure_quartile=2,107508,0.07133211479812085,6.28446998054989e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
943.5625,2.5833333333333335,exposure_quartile=2,104840,0.07369816590528466,6.430720537111968e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
974,2.6666666666666665,exposure_quartile=2,102189,0.07630918689779564,6.591635182297474e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
1004.4375,2.75,exposure_quartile=2,99402,0.07878899118937577,6.743876686027694e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
1034.875,2.8333333333333335,exposure_quartile=2,96738,0.08121844921171584,6.892990544454866e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
1065.3125,2.9166666666666665,exposure_quartile=2,94000,0.08379296836694783,7.050805551601219e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
1095.75,3,exposure_quartile=2,91467,0.08625677391682784,7.201985008548153e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
1126.1875,3.0833333333333335,exposure_quartile=2,88871,0.08893940404142853,7.366976825310611e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
1156.625,3.1666666666666665,exposure_quartile=2,86441,0.09143024543937361,7.520253082560342e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
1187.0625,3.25,exposure_quartile=2,83965,0.09400258109720605,7.678615071853165e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
1217.5,3.3333333333333335,exposure_quartile=2,81661,0.09672022982266615,7.846359574549349e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
1247.9375,3.4166666666666665,exposure_quartile=2,79264,0.09952067505720208,8.019457243898574e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
1278.375,3.5,exposure_quartile=2,76856,0.10210035729606282,8.179630725825473e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
1308.8125,3.5833333333333335,exposure_quartile=2,74614,0.1046818089156053,8.34089032557361e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
1339.25,3.6666666666666665,exposure_quartile=2,72308,0.10770028911486218,8.530176504038628e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
1369.6875,3.75,exposure_quartile=2,70137,0.1103636673016759,8.697748564789165e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
1400.125,3.8333333333333335,exposure_quartile=2,67948,0.11304043351055426,8.867409912620753e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
1430.5625,3.9166666666666665,exposure_quartile=2,65860,0.11574075465056477,9.039729084849456e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
1461,4,exposure_quartile=2,63781,0.11836932600709194,9.208760259438762e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
1491.4375,4.083333333333333,exposure_quartile=2,61673,0.12121712275383101,9.393445375759431e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
1521.875,4.166666666666667,exposure_quartile=2,59705,0.12403686584352303,9.577899337381275e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
