model,organ,pollutant,subgroup,subgroup_level,n_before,people_before,adverse_events_before,hazard_ratio_before,conf_low_before,conf_high_before,p_value_before,n_after,people_after,adverse_events_after,hazard_ratio_after,conf_low_after,conf_high_after,p_value_after,n_change,people_change,adverse_events_change,hazard_ratio_change,conf_low_change,conf_high_change,p_value_change,hr_relative_change_percent,direction_changed,significance_changed
baseline_prior_year,KI,no2,sex,Female,231315,231315,45894,0.900365293192523,0.8842704312430261,0.9167531023808064,3.9772857128518866e-30,231315,231315,45894,0.8921696915861227,0.876128448153827,0.908504637946792,6.601734358759922e-35,0,0,0,-0.008195601606400316,-0.008141983089199112,-0.008248464434014391,-3.977219695508299e-30,-0.9102529460393027,FALSE,FALSE
baseline_prior_year,KI,no2,sex,Male,368826,368826,78047,0.9164713924079656,0.9038437317444172,0.9292754749553342,6.916369818188099e-35,368826,368826,78047,0.9098121650917588,0.8971910793972181,0.922610795801812,3.884889557667415e-40,0,0,0,-0.006659227316206828,-0.0066526523471991394,-0.006664679153522202,-6.916330969292522e-35,-0.7266159501945979,FALSE,FALSE
baseline_prior_year,KI,no2,race_group,White,373863,373863,75578,0.9031502792584916,0.8903455771924921,0.9161391349825754,2.0050038763760305e-44,373863,373863,75578,0.9003294693868771,0.8874420171004584,0.9134040735358786,3.2137110316891082e-46,0,0,0,-0.0028208098716144825,-0.00290356009203363,-0.0027350614466967738,-1.9728667660591394e-44,-0.3123300669220175,FALSE,FALSE
baseline_prior_year,KI,no2,race_group,Black,172177,172177,37939,0.9290351177226044,0.9105162679640212,0.9479306195064696,7.765061586140674e-13,172177,172177,37939,0.9118109324595216,0.8936489822182577,0.9303419945591656,2.3910993803641618e-19,0,0,0,-0.01722418526308278,-0.01686728574576346,-0.017588624947304066,-7.765059195041294e-13,-1.853986456971124,FALSE,FALSE
baseline_prior_year,KI,no2,race_group,Asian,40957,40957,7882,0.8649905030458299,0.8293138527735802,0.9022019442423982,1.4886938938197934e-11,40957,40957,7882,0.8560365700985447,0.8207385619817503,0.8928526613598727,4.65020598362624e-13,0,0,0,-0.008953932947285193,-0.008575290791829837,-0.009349282882525456,-1.442191833983531e-11,-1.0351481219454284,FALSE,FALSE
baseline_prior_year,LI,pm25,age_group,<18,10575,10575,911,1.2061626986211829,1.0480325349487645,1.388151996270094,0.00894150351458489,11850,11850,971,1.222223916661816,1.064314794234047,1.4035615313749463,0.00446840322527407,1275,1275,60,0.016061218040633207,0.016282259285282485,0.015409535104852434,-0.00447310028931082,1.3315963144104437,FALSE,FALSE
baseline_prior_year,LI,pm25,age_group,18-39,16616,16616,2237,1.1396815503083069,1.0348129832790884,1.2551775606808755,0.00793551253772386,20140,20140,2453,1.1692892109362938,1.0666911951175704,1.2817554556277402,8.442691911705885e-4,3524,3524,216,0.02960766062798692,0.03187821183848194,0.02657789494686469,-0.007091243346553272,2.59788891203665,FALSE,FALSE
baseline_prior_year,LI,pm25,age_group,40-59,90855,90855,19428,1.010907299526708,0.9781993562458994,1.0447088946759522,0.5179799825641115,102801,102801,20444,1.0098143971601627,0.9783633891108394,1.0422764466265384,0.5451898619054849,11946,11946,1016,-0.0010929023665453563,1.6403286494004465e-4,-0.0024324480494137823,0.027209879341373422,-0.108111037189762,FALSE,FALSE
baseline_prior_year,LI,pm25,age_group,60+,63513,63513,16782,1.000281028847259,0.9631656118871018,1.0388266818531438,0.9883789409466333,73801,73801,18233,1.0185455762511724,0.9822736537358944,1.056156893707921,0.3205957086034945,10288,10288,1451,0.018264547403913367,0.019108041848792556,0.017330211854777344,-0.6677832323431387,1.8259415981288551,FALSE,FALSE
baseline_prior_year,LI,pm25,sex,Female,67663,67663,15546,1.010634062304155,0.9735080575439804,1.04917591587911,0.5796203915905168,78893,78893,16746,1.0293322251895287,0.9932925802474432,1.0666794969410562,0.11186622402555552,11230,11230,1200,0.018698162885373737,0.01978452270346276,0.01750358106194616,-0.4677541675649613,1.8501417657290853,FALSE,FALSE
baseline_prior_year,LI,pm25,sex,Male,113896,113896,23812,1.0261465608421998,0.9955459568878084,1.0576877511712282,0.09472821192628827,129699,129699,25355,1.0257310244825129,0.9961140538394708,1.0562285819887656,0.08922372301097509,15803,15803,1543,-4.15536359686941e-4,5.68096951662378e-4,-0.001459169182462583,-0.005504488915313188,-0.04049483529389164,FALSE,FALSE
baseline_prior_year,LI,pm25,race_group,White,154628,154628,33783,1.0149629730667615,0.9895698863607576,1.0410076649411784,0.250598177000508,177692,177692,36113,1.0246791355712126,1.0000209676650174,1.0499453159732954,0.0498031198757372,23064,23064,2330,0.009716162504451065,0.010451081304259757,0.008937651032117078,-0.2007950571247708,0.9572923113730036,FALSE,TRUE
baseline_prior_year,LI,pm25,race_group,Black,16057,16057,3379,1.102944329501876,1.0096047566418678,1.2049132950072468,0.02986760564609551,17893,17893,3574,1.0876954971172572,0.9973048218955792,1.186278726899637,0.05756499873749139,1836,1836,195,-0.015248832384618716,-0.012299934746288543,-0.01863456810760966,0.027697393091395878,-1.3825568504899577,FALSE,TRUE
baseline_prior_year,LI,pm25,race_group,Asian,8016,8016,1600,1.009284126434008,0.8991364127143302,1.1329253642353612,0.8754535481441524,9038,9038,1707,0.9895244768749798,0.8883657644643178,1.1022021891232296,0.8482181203433636,1022,1022,107,-0.019759649559028203,-0.010770648250012393,-0.030723175112131518,-0.027235427800788803,-1.957788599018473,TRUE,FALSE
