analysis,model,organ,exposure,n_before,people_before,intervals_before,adverse_events_before,hazard_ratio_before,conf_low_before,conf_high_before,p_value_before,n_after,people_after,intervals_after,adverse_events_after,hazard_ratio_after,conf_low_after,conf_high_after,p_value_after,n_change,people_change,intervals_change,adverse_events_change,hazard_ratio_change,conf_low_change,conf_high_change,p_value_change,hr_relative_change_percent,direction_changed,significance_changed
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2,HR,no2_prior_10ppb,63342,63342,NA,9332,1.0269748162111407,0.9786167047038726,1.0777225322870914,0.27942348143269313,74028,74028,NA,10010,1.0838453303630546,1.033636145005364,1.1364934419390906,8.779060056895024e-4,10686,10686,NA,678,0.05687051415191391,0.05501944030149131,0.05877090965199927,-0.27854557542700364,5.537673685293343,FALSE,TRUE
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,HR,pm25_prior_5ug,63342,63342,NA,9332,1.2202252241349922,1.144959922993782,1.3004381792875894,8.935853611946267e-10,74028,74028,NA,10010,1.1881476357694802,1.115457532309671,1.265574675408345,8.689008922434518e-8,10686,10686,NA,678,-0.032077588365512,-0.02950239068411098,-0.03486350387924442,8.599650386315055e-8,-2.6288252144805124,FALSE,FALSE
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,HR,no2_prior_10ppb,63342,63342,NA,9332,1.0377641121157437,0.98510058113778,1.0932430383418383,0.16300839010059762,74028,74028,NA,10010,1.0871269985998528,1.0336037248290515,1.1434218769675883,0.00118253082258441,10686,10686,NA,678,0.049362886484109136,0.04850314369127151,0.05017883862575001,-0.1618258592780132,4.756657693959987,FALSE,TRUE
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,HR,o3_prior_10ppb,63342,63342,NA,9332,1.0412800296972224,0.9650182776820042,1.1235684601235485,0.2972376689080876,74028,74028,NA,10010,1.0129421209874174,0.941112243071685,1.0902543751014966,0.7318538913775493,10686,10686,NA,678,-0.028337908709805015,-0.02390603461031926,-0.03331408502205191,0.4346162224694617,-2.7214493605572154,FALSE,FALSE
Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,KI,pm25_prior_5ug,464906,464906,NA,109849,0.9385872981284272,0.924887262582978,0.9524902675681356,2.96023497170753e-17,531379,531379,NA,114317,0.94500798258172,0.93138514798761,0.958830070538179,2.263820071218963e-14,66473,66473,NA,4468,0.006420684453292802,0.00649788540463192,0.00633980297004344,2.2608598362472556e-14,0.6840796232908675,FALSE,FALSE
Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,KI,pm25_prior_5ug,492197,492197,NA,118004,0.9426258862024602,0.929356351349454,0.956084886113686,3.123608678270549e-16,564179,564179,NA,123299,0.9505252972939002,0.9373428678833796,0.963893119319138,1.0713372479145993e-12,71982,71982,NA,5295,0.00789941109143999,0.00798651653392557,0.0078082332054519865,1.0710248870467723e-12,0.8380218713559984,FALSE,FALSE
Baseline cause-specific Cox,Single-pollutant model without listing center,KI,pm25_prior_5ug,492197,492197,NA,118004,0.9351639909658834,0.925364586083644,0.9450671693634378,1.0591074412226364e-35,564179,564179,NA,123299,0.9360549755169452,0.9262905693686824,0.9459223122472314,4.8050391939008306e-35,71982,71982,NA,5295,8.909845510617354e-4,9.259832850383454e-4,8.551428837936248e-4,3.7459317526781944e-35,0.09527575480547945,FALSE,FALSE
Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,KI,o3_prior_10ppb,564425,564425,NA,114764,1.0487591275323245,1.0310399288631589,1.0667828439924,4.350946706204584e-8,531379,531379,NA,114317,1.0480968720414452,1.0302291484741442,1.0662744835069389,8.574003862613471e-8,-33046,-33046,NA,-447,-6.622554908792821e-4,-8.107803890147203e-4,-5.083604854612123e-4,4.223057156408887e-8,-0.06314657708271776,FALSE,FALSE
Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,KI,o3_prior_10ppb,600141,600141,NA,123941,1.0500442947120532,1.0329023351846387,1.0674707407455295,6.071225784078183e-9,564179,564179,NA,123299,1.049589786230008,1.032292192548066,1.0671772268655022,1.1400645026564085e-8,-35962,-35962,NA,-642,-4.5450848204509064e-4,-6.101426365727747e-4,-2.935138800272963e-4,5.329419242485902e-9,-0.04328469611557528,FALSE,FALSE
Baseline cause-specific Cox,Single-pollutant model without listing center,KI,o3_prior_10ppb,600141,600141,NA,123941,1.0141730263342066,1.0026680982001424,1.025809965620922,0.01561853361886349,564179,564179,NA,123299,1.0104363255989963,0.9988818410726444,1.022124465686177,0.07684303503055041,-35962,-35962,NA,-642,-0.0037367007352102632,-0.003786257127497916,-0.0036854999347450956,0.06122450141168692,-0.3684480496111031,FALSE,TRUE
Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,KI,no2_prior_10ppb,564425,564425,NA,114764,0.920594188101891,0.9101440039852629,0.9311643602067862,8.655613249362206e-46,564425,564425,NA,114764,0.9115103608899956,0.9010841943224004,0.92205716540683,3.944172860204433e-56,0,0,NA,0,-0.009083827211895379,-0.009059809662862461,-0.009107194799956142,-8.655613248967788e-46,-0.9867352335370172,FALSE,FALSE
Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,KI,no2_prior_10ppb,600141,600141,NA,123941,0.9262903247203466,0.9161679090875025,0.936524579348235,1.8206261181900247e-42,600141,600141,NA,123941,0.920091215165039,0.9099744352922275,0.9303204698844236,2.51572633411064e-49,0,0,NA,0,-0.006199109555307558,-0.006193473795274906,-0.006204109463811336,-1.8206258666173912e-42,-0.6692404519262452,FALSE,FALSE
Baseline cause-specific Cox,Single-pollutant model without listing center,KI,no2_prior_10ppb,600141,600141,NA,123941,0.8853107942696278,0.877794167782831,0.8928917862715028,1.57047664151395e-172,600141,600141,NA,123941,0.8786938636836973,0.8710787867551981,0.8863755125428976,2.0329492081804692e-186,0,0,NA,0,-0.006616930585930492,-0.006715381027632916,-0.006516273728605193,-1.5704766415139295e-172,-0.7474132958459445,FALSE,FALSE
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2,KI,pm25_prior_5ug,492197,492197,NA,118004,0.970376586229582,0.9546926488206148,0.986318183413088,2.9803905500018615e-4,564179,564179,NA,123299,0.9901739602751372,0.9742406100935148,1.0063678945931422,0.23285304884845057,71982,71982,NA,5295,0.01979737404555515,0.01954796127290004,0.020049711180054275,0.23255500979345037,2.040174332985334,FALSE,TRUE
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2,KI,no2_prior_10ppb,492197,492197,NA,118004,0.9229009092775962,0.911077590619678,0.9348776625776634,3.2593774080343392e-34,564179,564179,NA,123299,0.907395267917615,0.8957496759886489,0.9191922635422916,3.3125242032422907e-49,71982,71982,NA,5295,-0.015505641359981115,-0.015327914631029116,-0.015685399035371805,-3.259377408034336e-34,-1.6800981778334334,FALSE,FALSE
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,KI,pm25_prior_5ug,492197,492197,NA,118004,0.9678275841648512,0.9514171839245542,0.9845210371401596,1.7834565049356984e-4,564179,564179,NA,123299,0.9897680472860576,0.9730852597230654,1.0067368482256691,0.2356955626865183,71982,71982,NA,5295,0.021940463121206455,0.021668075798511155,0.022215811085509518,0.23551721703602474,2.2669805531673415,FALSE,TRUE
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,KI,no2_prior_10ppb,492197,492197,NA,118004,0.9259714706788118,0.9126681228362952,0.9394687324527902,2.0755963100313963e-25,564179,564179,NA,123299,0.9078455931109002,0.8949508376509426,0.92092614058465,4.758035890154523e-40,71982,71982,NA,5295,-0.01812587756791162,-0.017717285185352538,-0.018542591868140113,-2.0755963100313917e-25,-1.9574984912465898,FALSE,FALSE
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,KI,o3_prior_10ppb,492197,492197,NA,118004,1.0095628468259488,0.9907302053895916,1.0287534751103309,0.32187179177659275,564179,564179,NA,123299,1.0014965512975789,0.9831100561498584,1.020226917613845,0.8743159910354856,71982,71982,NA,5295,-0.008066295528369904,-0.007620149239733198,-0.008526557496485898,0.5524441992588929,-0.7989889439503628,FALSE,FALSE
Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,LI,pm25_prior_5ug,159097,159097,NA,34031,1.0333884648189868,1.0075875604871067,1.0598500429130766,0.01089932588847235,182640,182640,NA,36336,1.0445102594633469,1.0194454113989355,1.0701913706463788,4.414164392713467e-4,23543,23543,NA,2305,0.011121794644360028,0.011857850911828782,0.010341327733302208,-0.010457909449201002,1.0762452865494376,FALSE,FALSE
Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,LI,pm25_prior_5ug,181559,181559,NA,39358,1.0190643213748167,0.9954022146168324,1.0432889095980868,0.115140693748854,208592,208592,NA,42101,1.0265630112074184,1.0036409900142866,1.0500085453507049,0.02288171964705743,27033,27033,NA,2743,0.007498689832601713,0.008238775397454212,0.006719635752618025,-0.09225897410179656,0.7358406800549444,FALSE,TRUE
Baseline cause-specific Cox,Single-pollutant model without listing center,LI,pm25_prior_5ug,181559,181559,NA,39358,1.0358104074844914,1.0174155458489884,1.0545378480116478,1.1883499572047258e-4,208592,208592,NA,42101,1.0401671304310345,1.0219920802666835,1.058665404673981,1.193925916868923e-5,27033,27033,NA,2743,0.004356722946543101,0.004576534417695122,0.0041275566623331095,-1.0689573655178335e-4,0.4206100764254428,FALSE,FALSE
Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,LI,o3_prior_10ppb,195254,195254,NA,36974,1.017531351116456,0.9874518891405812,1.048527084601564,0.25630266209899993,182640,182640,NA,36336,1.032108879562573,1.001141149403368,1.064034516917766,0.04201807156631915,-12614,-12614,NA,-638,0.014577528446116927,0.013689260262786718,0.015507432316202108,-0.21428459053268079,1.4326367860923561,FALSE,TRUE
Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,LI,o3_prior_10ppb,222559,222559,NA,42847,1.0245443895579704,0.9963942835793812,1.0534897916152954,0.0880371288449124,208592,208592,NA,42101,1.0355978759753182,1.0066749104207768,1.0653518326748752,0.01550838308568304,-13967,-13967,NA,-746,0.011053486417347713,0.010280626841395635,0.011862041059579775,-0.07252874575922935,1.07886847363603,FALSE,TRUE
Baseline cause-specific Cox,Single-pollutant model without listing center,LI,o3_prior_10ppb,222559,222559,NA,42847,0.9781959014976565,0.9589534912042956,0.9978244309900132,0.02964339823445952,208592,208592,NA,42101,0.9838547217870708,0.9642817440490276,1.003824991561283,0.112376721621074,-13967,-13967,NA,-746,0.005658820289414335,0.005328252844731929,0.006000560571269742,0.08273332338661447,0.5784956040758793,FALSE,TRUE
Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,LI,no2_prior_10ppb,195254,195254,NA,36974,0.9990190055025184,0.9804570814225966,1.017932342236882,0.918305761562127,195254,195254,NA,36974,1.0092054807226123,0.9903307208090522,1.0284399755755305,0.3414624592425042,0,0,NA,0,0.01018647522009386,0.00987363938645558,0.010507633338648459,-0.5768433023196228,1.019647790881617,TRUE,FALSE
Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,LI,no2_prior_10ppb,222559,222559,NA,42847,0.986728170938634,0.9696000766997342,1.004158834885712,0.13480012133987296,222559,222559,NA,42847,0.997361485064552,0.9799356339884976,1.01509721392767,0.7689282445395262,0,0,NA,0,0.010633314125918059,0.010335557288763342,0.010938379041957935,0.6341281231996533,1.077633581273263,FALSE,FALSE
Baseline cause-specific Cox,Single-pollutant model without listing center,LI,no2_prior_10ppb,222559,222559,NA,42847,1.0177515341558294,1.0029316553754617,1.032790399749394,0.01871740594392534,222559,222559,NA,42847,1.024467528632052,1.0093623856454497,1.0397987206055104,0.00142491162856046,0,0,NA,0,0.006715994476222509,0.006430730269987972,0.007008320856116468,-0.01729249431536488,0.6598854681946653,FALSE,FALSE
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2,LI,pm25_prior_5ug,181559,181559,NA,39358,1.0560151242553106,1.027257987385073,1.0855772905642378,1.0924741097606792e-4,208592,208592,NA,42101,1.044468641570454,1.0167156190746258,1.0729792311216155,0.00154320965212977,27033,27033,NA,2743,-0.011546482684856585,-0.010542368310447081,-0.012598059442622267,0.001433962241153702,-1.0934012609903676,FALSE,FALSE
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2,LI,no2_prior_10ppb,181559,181559,NA,39358,0.9479608975952736,0.9279213660423216,0.968433205932507,9.470684678342202e-7,208592,208592,NA,42101,0.9736934792519352,0.953262779020188,0.9945620582314382,0.01374197234570854,27033,27033,NA,2743,0.02573258165666159,0.025341412977866407,0.026128852298931138,0.013741025277240705,2.714519314239472,FALSE,FALSE
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,LI,pm25_prior_5ug,181559,181559,NA,39358,1.0552564480492683,1.025896430955772,1.0854567162419204,1.8708764106806135e-4,208592,208592,NA,42101,1.040044020184507,1.011901753661813,1.0689689587029438,0.00502674759927178,27033,27033,NA,2743,-0.015212427864761402,-0.013994677293959201,-0.016487757538976577,0.004839659958203718,-1.441585871650708,FALSE,FALSE
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,LI,no2_prior_10ppb,181559,181559,NA,39358,0.9490661777055768,0.9271445167736092,0.9715061604410196,1.1627956521817902e-5,208592,208592,NA,42101,0.9804523716537116,0.9582817631504086,1.003135914765924,0.09071045005421768,27033,27033,NA,2743,0.0313861939481348,0.031137246376799377,0.03162975432490445,0.09069882209769586,3.307060633433667,FALSE,TRUE
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,LI,o3_prior_10ppb,181559,181559,NA,39358,1.0038624181106457,0.9729070800500724,1.035802673409559,0.8093795842142608,208592,208592,NA,42101,1.0249525787819398,0.9941084506852492,1.056753705320188,0.11389306766834212,27033,27033,NA,2743,0.0210901606712941,0.021201370635176797,0.020951031910629192,-0.6954865165459188,2.100901507099695,FALSE,FALSE
Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,LU,pm25_prior_5ug,38071,38071,NA,4965,1.127973744729692,1.0527215364088212,1.2086052434529286,6.297685262647152e-4,44268,44268,NA,5238,1.1823335664005667,1.104528104834535,1.2656198209160998,1.4179280519967382e-6,6197,6197,NA,273,0.05435982167087472,0.05180656842571385,0.05701457746317118,-6.283505982127185e-4,4.819245299357711,FALSE,FALSE
Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,LU,pm25_prior_5ug,40175,40175,NA,5267,1.0966058470713351,1.025326705526684,1.1728402053210194,0.0071590379804266,46788,46788,NA,5582,1.1492334660880483,1.0754382294645146,1.2280924402644442,3.994607261858039e-5,6613,6613,NA,315,0.0526276190167132,0.05011152393783069,0.055252234943424794,-0.00711909190780802,4.7991371883766565,FALSE,FALSE
Baseline cause-specific Cox,Single-pollutant model without listing center,LU,pm25_prior_5ug,40175,40175,NA,5267,1.064894720350004,1.0117068843956007,1.1208787672792917,0.01616428809057349,46788,46788,NA,5582,1.1046701405372676,1.0496734676544694,1.162548313354456,1.3313735864345008e-4,6613,6613,NA,315,0.039775420187263544,0.0379665832588687,0.041669546075164376,-0.01603115073193004,3.735150473296578,FALSE,FALSE
Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,LU,o3_prior_10ppb,47740,47740,NA,5321,0.9449425289658444,0.8670718590677957,1.0298066690900978,0.196840224867688,44268,44268,NA,5238,0.9600416504681916,0.8800173840178622,1.047342913188385,0.358459670786253,-3472,-3472,NA,-83,0.015099121502347157,0.012945524950066511,0.017536244098287135,0.161619445918565,1.597887812169052,FALSE,FALSE
Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,LU,o3_prior_10ppb,50401,50401,NA,5675,0.957477775856782,0.8808413671860913,1.0407818313396375,0.30731704230280205,46788,46788,NA,5582,0.9701817667577156,0.8917865717961856,1.055468528364702,0.4813214860669997,-3613,-3613,NA,-93,0.01270399090093366,0.010945204610094295,0.014686697025064532,0.17400444376419766,1.3268183576966797,FALSE,FALSE
Baseline cause-specific Cox,Single-pollutant model without listing center,LU,o3_prior_10ppb,50401,50401,NA,5675,0.9736291908467708,0.9157197217782488,1.0352008138779552,0.3929954944488243,46788,46788,NA,5582,0.9816663139680945,0.9230984649814984,1.0439501185813589,0.5554885069098766,-3613,-3613,NA,-93,0.008037123121323653,0.007378743203249605,0.008749304703403737,0.1624930124610523,0.8254809117148376,FALSE,FALSE
Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,LU,no2_prior_10ppb,47740,47740,NA,5321,1.142117195726048,1.0851779622170756,1.2020440279750144,3.527089978946867e-7,47740,47740,NA,5321,1.161786142765571,1.103267494239938,1.223408691517708,1.2935200386284625e-8,0,0,NA,0,0.01966894703952282,0.018089532022862453,0.021364663542693618,-3.397737975084021e-7,1.7221478770415688,FALSE,FALSE
Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,LU,no2_prior_10ppb,50401,50401,NA,5675,1.1166095211293572,1.062449440149926,1.1735304999556402,1.3743468933927434e-5,50401,50401,NA,5675,1.1316879288692898,1.0761566365140869,1.1900847189838413,1.442314216452046e-6,0,0,NA,0,0.015078407739932631,0.013707196364160845,0.01655421902820109,-1.2301154717475388e-5,1.350374276289723,FALSE,FALSE
Baseline cause-specific Cox,Single-pollutant model without listing center,LU,no2_prior_10ppb,50401,50401,NA,5675,1.124539471476678,1.0760923864261156,1.1751677075877838,1.751568969268481e-7,50401,50401,NA,5675,1.1400189626778794,1.0900922907029824,1.1922322966131884,9.731406310158696e-9,0,0,NA,0,0.01547949120120129,0.013999904276866815,0.017064589025404642,-1.654254906166894e-7,1.3765182631495065,FALSE,FALSE
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2,LU,pm25_prior_5ug,40175,40175,NA,5267,1.066078990715383,0.9858194323941142,1.1528728051998531,0.10908411298008797,46788,46788,NA,5582,1.092328189511408,1.0103670903479436,1.180937982837872,0.02647772428835552,6613,6613,NA,315,0.026249198796025164,0.024547657953829405,0.028065177638018968,-0.08260638869173245,2.462218937305094,FALSE,TRUE
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2,LU,no2_prior_10ppb,40175,40175,NA,5267,1.0445632056403953,0.983742426044568,1.1091442858318958,0.15431933507670906,46788,46788,NA,5582,1.0780674104526653,1.015606584031752,1.144369640521924,0.01356763989515065,6613,6613,NA,315,0.03350420481227001,0.031864157987184116,0.03522535469002808,-0.14075169518155842,3.2074846817650826,FALSE,TRUE
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,LU,pm25_prior_5ug,40175,40175,NA,5267,1.0658737193536862,0.9838800071638932,1.15470055020603,0.11827776897191691,46788,46788,NA,5582,1.092045821522682,1.008470613327363,1.1825471764322266,0.03018852791724197,6613,6613,NA,315,0.026172102168995792,0.024590606163469864,0.027846626226196713,-0.08808924105467494,2.4554599380558706,FALSE,TRUE
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,LU,no2_prior_10ppb,40175,40175,NA,5267,1.044834867546214,0.9799357576446622,1.114032110701049,0.18008602365938747,46788,46788,NA,5582,1.078441070934491,1.0121741946482188,1.149046428596754,0.01959812370386079,6613,6613,NA,315,0.03360620338827691,0.03223843700355655,0.035014317895705194,-0.16048789995552667,3.216412892804854,FALSE,TRUE
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,LU,o3_prior_10ppb,40175,40175,NA,5267,1.0010376482945444,0.9145302321706996,1.0957279902322916,0.9820569939612268,46788,46788,NA,5582,1.001440538530566,0.9161298035424356,1.0946954769231412,0.9747210759432454,6613,6613,NA,315,4.0289023602158025e-4,0.0015995713717359417,-0.0010325133091504402,-0.007335918017981391,0.040247261100323506,FALSE,FALSE
Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,HR,pm25_interval_5ug,54472,54472,667226,7858,1.165341178903731,1.1233429059208675,1.2089096357763451,3.0682609743941367e-16,67211,67211,790985,8817,1.1744448010701036,1.1352287401073926,1.2150155664928917,1.6985381488168546e-20,12739,12739,123759,959,0.009103622166372727,0.011885834186525113,0.006105930716546526,-3.068091120579255e-16,0.7811980157550691,FALSE,FALSE
Time-varying cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,HR,pm25_interval_5ug,61449,61449,775904,9050,1.1401209423657317,1.1006651711239357,1.1809910927712617,2.929651843178199e-13,76760,76760,923609,10342,1.1437666481568944,1.107360349693668,1.181369863746655,3.988261624132925e-16,15311,15311,147705,1292,0.0036457057911627455,0.00669517856973223,3.787709753932944e-4,-2.925663581554066e-13,0.319764829825675,FALSE,FALSE
Time-varying cause-specific Cox,Single-pollutant model without listing center,HR,pm25_interval_5ug,61449,61449,775904,9050,1.1282960714517014,1.0941504738889554,1.1635072645250657,1.3743231720988471e-14,76760,76760,923609,10342,1.1315968178463514,1.099424334786487,1.164710765119338,4.4275832487354437e-17,15311,15311,147705,1292,0.003300746394649945,0.005273860897531568,0.001203500594272322,-1.3698955888501117e-14,0.29254257620547897,FALSE,FALSE
Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,KI,pm25_interval_5ug,460918,460918,16968279,93539,1.0064335427915785,0.9950604152833002,1.017936660426419,0.2687380186514141,558474,558474,20069912,115163,0.9939756491369968,0.9838290120711506,1.0042269326835658,0.24840052553048744,97556,97556,3101633,21624,-0.01245789365458172,-0.01123140321214966,-0.013709727742853284,-0.02033749312092667,-1.237825760459732,TRUE,FALSE
Time-varying cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,KI,pm25_interval_5ug,486543,486543,17405373,100486,1.004021813133611,0.9930889844671656,1.0150750003424622,0.4724422927716705,592129,592129,20633921,123989,0.9944701630416366,0.9847273944945434,1.0043093253109854,0.26962824118365525,105586,105586,3228548,23503,-0.00955165009197434,-0.008361589972622263,-0.010765675031476851,-0.20281405158801524,-0.9513389019072283,TRUE,FALSE
Time-varying cause-specific Cox,Single-pollutant model without listing center,KI,pm25_interval_5ug,486543,486543,17405373,100486,0.9654856182765568,0.9565320258406774,0.9745230205748792,1.480468899399096e-13,592129,592129,20633921,123989,0.957178409899252,0.948955410858434,0.9654726638298696,2.7350596597216823e-23,105586,105586,3228548,23503,-0.008307208377304809,-0.007576614982243379,-0.009050356745009536,-1.48046889912559e-13,-0.8604176199054736,FALSE,FALSE
Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,LI,pm25_interval_5ug,157804,157804,2487833,33209,1.0281930673289852,1.0103362163570606,1.0463655232663374,0.00186862106418443,191873,191873,2864244,38028,1.0372357898810525,1.0206162082843595,1.0541260025829606,9.16075902092584e-6,34069,34069,376411,4819,0.009042722552067284,0.010279991927298893,0.00776047931662327,-0.0018594603051635041,0.8794770981638944,FALSE,FALSE
