model_tier,model_type,organ,term,n_before,people_before,adverse_events_before,hazard_ratio_before,coefficient_before,std_error_before,hr_conf_low_before,hr_conf_high_before,conf_low_before,conf_high_before,p_value_before,n_after,people_after,adverse_events_after,hazard_ratio_after,coefficient_after,std_error_after,hr_conf_low_after,hr_conf_high_after,conf_low_after,conf_high_after,p_value_after,n_change,people_change,adverse_events_change,hazard_ratio_change,coefficient_change,std_error_change,hr_conf_low_change,hr_conf_high_change,conf_low_change,conf_high_change,p_value_change,hr_relative_change_percent,direction_changed,significance_changed
Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,LI,raceBLACK,181559,181559,39358,1.250754177499492,0.223746711376196,0.03146858565916736,1.1759405358966075,1.3303274823668267,0.16206828348422797,0.28542513926816404,1.1590763987614809e-12,208592,208592,42101,1.2554635848698228,0.22750489471045407,0.03049517656671949,1.1826224036646285,1.3327912679905285,0.16773434863968387,0.28727544078122424,8.628855878898836e-14,27033,27033,2743,0.004709407370330876,0.003758183334258064,-9.734090924478703e-4,0.006681867768020933,0.002463785623701753,0.005666065155455896,0.001850301513060204,-1.0727878399724926e-12,0.376525416029061,FALSE,FALSE
Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,LI,raceMissing,181559,181559,39358,1.1316511809808685,0.12367778828503706,1.0026879138087414,0.158565024151561,8.0763989553669,-1.841590522780096,2.0889460993501703,0.901832922806516,208592,208592,42101,1.515785647833453,0.41593388397351094,0.13493537690915913,1.1635323940028617,1.974681703767184,0.15146054523155905,0.6804072227154628,0.002052922993463,27033,27033,2743,0.38413446685258457,0.2922560956884739,-0.8677525368995823,1.0049673698513006,-6.101717251599716,1.9930510680116549,-1.4085388766347076,-0.8997799998130529,33.94460000648192,FALSE,TRUE
Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,LI,raceMULTI,181559,181559,39358,1.146769542251684,0.13694889577281785,0.08365754288913127,0.9733418832263104,1.3510981143409502,-0.02701988828987944,0.30091767983551515,0.10162672799267564,208592,208592,42101,1.1239899004432452,0.11688476606035236,0.0802457408919634,0.960408190851604,1.3154336961434987,-0.04039688608789592,0.2741664182086006,0.1452308896236156,27033,27033,2743,-0.022779641808438722,-0.02006412971246549,-0.003411801997167868,-0.01293369237470643,-0.035664418197451475,-0.013376997798016481,-0.026751261626914546,0.04360416163093997,-1.9864184536773521,FALSE,FALSE
Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,LI,raceNATIVE,181559,181559,39358,1.3207226229001676,0.27817902839783326,0.05902749874458406,1.176430825802166,1.4827121224496278,0.1624851308584485,0.393872925937218,2.444532118360857e-6,208592,208592,42101,1.3333188983023043,0.2876712461199048,0.05653099824228697,1.193476515454992,1.4895469341450254,0.17687048956502233,0.3984720026747873,3.604606822017126e-7,27033,27033,2743,0.012596275402136703,0.009492217722071539,-0.0024965005022970915,0.017045689652825935,0.006834811695397569,0.014385358706573814,0.004599076737569263,-2.0840714361591446e-6,0.9537411704568788,FALSE,FALSE
Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,LI,racePACIFIC,181559,181559,39358,1.3332194860572453,0.28759668334916916,0.13296870629023289,1.027345220460877,1.7301625223947146,0.02697801902031271,0.5482153476780256,0.03054964213177941,208592,208592,42101,1.3049160873670158,0.2661387378390802,0.12865980950996636,1.014063484502218,1.6791907223689375,0.01396551119954614,0.5183119644786143,0.03858870717503825,27033,27033,2743,-0.028303398690229464,-0.02145794551008895,-0.0043088967802665246,-0.013281735958659002,-0.05097180002577706,-0.013012507820766569,-0.029903383199411326,0.008039065043258839,-2.1229361696423754,FALSE,FALSE
Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,LI,raceWHITE,181559,181559,39358,1.169171098111936,0.1562950345788606,0.02633535756604908,1.110352723482337,1.2311052404799323,0.1046777337494044,0.2079123354083168,2.942070114356229e-9,208592,208592,42101,1.1647232342128218,0.15248349159481214,0.02547176385786989,1.108002488690786,1.2243476221051717,0.10255883443338716,0.2024081487562371,2.145713552545907e-9,27033,27033,2743,-0.004447863899114335,-0.003811542984048455,-8.635937081791882e-4,-0.0023502347915509425,-0.006757618374760632,-0.0021188993160172337,-0.00550418665207969,-7.963565618103219e-10,-0.380428827422874,FALSE,FALSE
Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,LI,zcta_svi_proxy,181559,181559,39358,1.462300840693428,0.38001111354726463,0.02967861864368099,1.3796654207001469,1.549885730706767,0.3218410210056499,0.4381812060888794,1.553084622964094e-37,208592,208592,42101,1.423432829580312,0.3530714398156765,0.0287223722287429,1.3455133192545403,1.505864707046954,0.2967755902473404,0.4093672893840126,9.931229532798596e-35,27033,27033,2743,-0.038868011113115886,-0.02693967373158812,-9.562464149380917e-4,-0.03415210144560654,-0.044021023659813086,-0.02506543075830947,-0.02881391670486677,9.915698686568954e-35,-2.65800374529529,FALSE,FALSE
Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,LI,pm25_prior_5ug,181558,181558,39358,1.0311450535294997,0.03066988721379036,0.01201663694055603,1.0071426668346075,1.055719468980617,0.00711727881030054,0.05422249561728019,0.01070188096668856,208591,208591,42101,1.0420908772675694,0.04122915379653282,0.01152665546081914,1.0188116602023267,1.065902010062029,0.0186369090933273,0.06382139849973834,3.47755414072045e-4,27033,27033,2743,0.010945823738069738,0.010559266582742463,-4.899814797368895e-4,0.011668993367719205,0.010182541081411811,0.011519630283026761,0.009598902882458148,-0.010354125552616514,1.0615212380259642,FALSE,FALSE
Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,LI,age,181558,181558,39358,1.0383394646740498,0.03762276853690601,5.299385461108416e-4,1.0372615226208388,1.0394185269453011,0.03658408898652875,0.03866144808728326,0,208591,208591,42101,1.038220745252345,0.03750842615351023,5.085920188385242e-4,1.0371863205778715,1.039256201597201,0.03651158579658672,0.03850526651043374,0,27033,27033,2743,-1.1871942170471605e-4,-1.1434238339577685e-4,-2.134652727231749e-5,-7.520204296729283e-5,-1.6232534810023402e-4,-7.250318994202892e-5,-1.5618157684951783e-4,0,-0.011433584655473616,FALSE,FALSE
Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,LI,sexM,181558,181558,39358,0.9356952347076264,-0.06646545946986247,0.01045468400447978,0.9167168435049872,0.9550665273118188,-0.08695664011864285,-0.0459742788210821,2.050884480797737e-10,208591,208591,42101,0.937857002127518,-0.06415779135500138,0.01009196402895605,0.9194882250374772,0.956592735490185,-0.08393804085175524,-0.04437754185824752,2.0531109294706268e-10,27033,27033,2743,0.0021617674198916026,0.0023076681148610917,-3.6271997552373043e-4,0.0027713815324900137,0.0015262081783661285,0.003018599266887606,0.0015967369628345773,2.226448672889734e-13,0.23103328302906956,FALSE,FALSE
