model,subgroup,exposures,status,formula
Race subgroup,Asian,pm25_interval_5ug,"exp overflow due to covariates
","Surv(tstart, tstop, tv_adverse_event) ~ pm25_interval_5ug + age_interval +      sex + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
listing_era,Pre-CAS,pm25_interval_5ug,OK,"Surv(tstart, tstop, tv_adverse_event) ~ pm25_interval_5ug + age +      sex + race + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
listing_era,Post-CAS,pm25_interval_5ug,"exp overflow due to covariates
","Surv(tstart, tstop, tv_adverse_event) ~ pm25_interval_5ug + age +      sex + race + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
calendar_era,Pre-CAS,pm25_interval_5ug,OK,"Surv(tstart, tstop, tv_adverse_event) ~ pm25_interval_5ug + age +      sex + race + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
calendar_era,Post-CAS,pm25_interval_5ug,"Loglik converged before variable  5,7,14 ; beta may be infinite. ","Surv(tstart, tstop, tv_adverse_event) ~ pm25_interval_5ug + age +      sex + race + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
Single pollutant,All,no2_interval_10ppb,OK,"Surv(tstart, tstop, tv_adverse_event) ~ no2_interval_10ppb +      age + sex + race + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
No center strata,All,no2_interval_10ppb,OK,"Surv(tstart, tstop, tv_adverse_event) ~ no2_interval_10ppb +      age + sex + race + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure"
Exclude multi-organ,All,no2_interval_10ppb,OK,"Surv(tstart, tstop, tv_adverse_event) ~ no2_interval_10ppb +      age + sex + race + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
Adjust multi-organ,All,no2_interval_10ppb,OK,"Surv(tstart, tstop, tv_adverse_event) ~ no2_interval_10ppb +      age + sex + race + zcta_svi_proxy + multi_organ_candidate +      lung_composite + missing_diagnosis + missing_functional_dependence +      missing_low_BMI + missing_pulmonary_pressure + strata(listing_center)"
Age subgroup,<18,no2_interval_10ppb,OK,"Surv(tstart, tstop, tv_adverse_event) ~ no2_interval_10ppb +      sex + race_group + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_pulmonary_pressure +      strata(listing_center)"
Age subgroup,18-39,no2_interval_10ppb,OK,"Surv(tstart, tstop, tv_adverse_event) ~ no2_interval_10ppb +      sex + race_group + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
Age subgroup,40-59,no2_interval_10ppb,OK,"Surv(tstart, tstop, tv_adverse_event) ~ no2_interval_10ppb +      sex + race_group + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
Age subgroup,60+,no2_interval_10ppb,OK,"Surv(tstart, tstop, tv_adverse_event) ~ no2_interval_10ppb +      sex + race_group + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
Sex subgroup,Female,no2_interval_10ppb,OK,"Surv(tstart, tstop, tv_adverse_event) ~ no2_interval_10ppb +      age_interval + race_group + zcta_svi_proxy + lung_composite +      missing_diagnosis + missing_functional_dependence + missing_low_BMI +      missing_pulmonary_pressure + strata(listing_center)"
Sex subgroup,Male,no2_interval_10ppb,OK,"Surv(tstart, tstop, tv_adverse_event) ~ no2_interval_10ppb +      age_interval + race_group + zcta_svi_proxy + lung_composite +      missing_diagnosis + missing_functional_dependence + missing_low_BMI +      missing_pulmonary_pressure + strata(listing_center)"
Race subgroup,White,no2_interval_10ppb,OK,"Surv(tstart, tstop, tv_adverse_event) ~ no2_interval_10ppb +      age_interval + sex + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
Race subgroup,Black,no2_interval_10ppb,Loglik converged before variable  8 ; beta may be infinite. ,"Surv(tstart, tstop, tv_adverse_event) ~ no2_interval_10ppb +      age_interval + sex + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
Race subgroup,Asian,no2_interval_10ppb,"exp overflow due to covariates
","Surv(tstart, tstop, tv_adverse_event) ~ no2_interval_10ppb +      age_interval + sex + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
listing_era,Pre-CAS,no2_interval_10ppb,OK,"Surv(tstart, tstop, tv_adverse_event) ~ no2_interval_10ppb +      age + sex + race + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
listing_era,Post-CAS,no2_interval_10ppb,"Loglik converged before variable  5,7,14 ; beta may be infinite. ","Surv(tstart, tstop, tv_adverse_event) ~ no2_interval_10ppb +      age + sex + race + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
calendar_era,Pre-CAS,no2_interval_10ppb,OK,"Surv(tstart, tstop, tv_adverse_event) ~ no2_interval_10ppb +      age + sex + race + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
calendar_era,Post-CAS,no2_interval_10ppb,"Loglik converged before variable  5,7,14 ; beta may be infinite. ","Surv(tstart, tstop, tv_adverse_event) ~ no2_interval_10ppb +      age + sex + race + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
Single pollutant,All,o3_interval_10ppb,OK,"Surv(tstart, tstop, tv_adverse_event) ~ o3_interval_10ppb + age +      sex + race + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
No center strata,All,o3_interval_10ppb,OK,"Surv(tstart, tstop, tv_adverse_event) ~ o3_interval_10ppb + age +      sex + race + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure"
Exclude multi-organ,All,o3_interval_10ppb,OK,"Surv(tstart, tstop, tv_adverse_event) ~ o3_interval_10ppb + age +      sex + race + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
Adjust multi-organ,All,o3_interval_10ppb,OK,"Surv(tstart, tstop, tv_adverse_event) ~ o3_interval_10ppb + age +      sex + race + zcta_svi_proxy + multi_organ_candidate + lung_composite +      missing_diagnosis + missing_functional_dependence + missing_low_BMI +      missing_pulmonary_pressure + strata(listing_center)"
Age subgroup,<18,o3_interval_10ppb,OK,"Surv(tstart, tstop, tv_adverse_event) ~ o3_interval_10ppb + sex +      race_group + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_pulmonary_pressure +      strata(listing_center)"
Age subgroup,18-39,o3_interval_10ppb,OK,"Surv(tstart, tstop, tv_adverse_event) ~ o3_interval_10ppb + sex +      race_group + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
Age subgroup,40-59,o3_interval_10ppb,OK,"Surv(tstart, tstop, tv_adverse_event) ~ o3_interval_10ppb + sex +      race_group + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
Age subgroup,60+,o3_interval_10ppb,OK,"Surv(tstart, tstop, tv_adverse_event) ~ o3_interval_10ppb + sex +      race_group + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
Sex subgroup,Female,o3_interval_10ppb,OK,"Surv(tstart, tstop, tv_adverse_event) ~ o3_interval_10ppb + age_interval +      race_group + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
Sex subgroup,Male,o3_interval_10ppb,OK,"Surv(tstart, tstop, tv_adverse_event) ~ o3_interval_10ppb + age_interval +      race_group + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
Race subgroup,White,o3_interval_10ppb,OK,"Surv(tstart, tstop, tv_adverse_event) ~ o3_interval_10ppb + age_interval +      sex + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
Race subgroup,Black,o3_interval_10ppb,Loglik converged before variable  8 ; beta may be infinite. ,"Surv(tstart, tstop, tv_adverse_event) ~ o3_interval_10ppb + age_interval +      sex + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
Race subgroup,Asian,o3_interval_10ppb,"exp overflow due to covariates
","Surv(tstart, tstop, tv_adverse_event) ~ o3_interval_10ppb + age_interval +      sex + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
listing_era,Pre-CAS,o3_interval_10ppb,OK,"Surv(tstart, tstop, tv_adverse_event) ~ o3_interval_10ppb + age +      sex + race + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
listing_era,Post-CAS,o3_interval_10ppb,"exp overflow due to covariates
","Surv(tstart, tstop, tv_adverse_event) ~ o3_interval_10ppb + age +      sex + race + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
calendar_era,Pre-CAS,o3_interval_10ppb,OK,"Surv(tstart, tstop, tv_adverse_event) ~ o3_interval_10ppb + age +      sex + race + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
calendar_era,Post-CAS,o3_interval_10ppb,"Loglik converged before variable  5,7,14 ; beta may be infinite. ","Surv(tstart, tstop, tv_adverse_event) ~ o3_interval_10ppb + age +      sex + race + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
PM2.5 + NO2,All,pm25_interval_5ug+no2_interval_10ppb,OK,"Surv(tstart, tstop, tv_adverse_event) ~ pm25_interval_5ug + no2_interval_10ppb +      age + sex + race + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
PM2.5 + NO2 + O3,All,pm25_interval_5ug+no2_interval_10ppb+o3_interval_10ppb,OK,"Surv(tstart, tstop, tv_adverse_event) ~ pm25_interval_5ug + no2_interval_10ppb +      o3_interval_10ppb + age + sex + race + zcta_svi_proxy + lung_composite +      missing_diagnosis + missing_functional_dependence + missing_low_BMI +      missing_pulmonary_pressure + strata(listing_center)"
