time,cif_adverse,cif_transplant_or_improvement,n_risk,strata,quartile,pollutant,pollutant_label,subgroup,cif_adverse_percent,cif_transplant_or_improvement_percent
1,0.1078174083435473,0.6376399869878913,3361,quartile=Q1 lowest,Q1 lowest,o3,O[3],No durable LVAD,10.78174083435473,63.76399869878912
3,0.13517053952375405,0.758726047808443,1168,quartile=Q1 lowest,Q1 lowest,o3,O[3],No durable LVAD,13.517053952375404,75.8726047808443
5,0.14604734606210898,0.7946685936630768,551,quartile=Q1 lowest,Q1 lowest,o3,O[3],No durable LVAD,14.604734606210897,79.46685936630769
10,0.15430394505940237,0.827784572414467,107,quartile=Q1 lowest,Q1 lowest,o3,O[3],No durable LVAD,15.430394505940237,82.7784572414467
1,0.1061658670219387,0.6011595897980248,3881,quartile=Q2,Q2,o3,O[3],No durable LVAD,10.61658670219387,60.11595897980248
3,0.13744514643416222,0.728477959615689,1490,quartile=Q2,Q2,o3,O[3],No durable LVAD,13.744514643416222,72.84779596156889
5,0.15192069096321134,0.7704337448086949,702,quartile=Q2,Q2,o3,O[3],No durable LVAD,15.192069096321134,77.04337448086949
10,0.16398420509648576,0.8114307723178619,124,quartile=Q2,Q2,o3,O[3],No durable LVAD,16.398420509648577,81.1430772317862
1,0.10585670279394772,0.6255833403957305,3526,quartile=Q3,Q3,o3,O[3],No durable LVAD,10.585670279394773,62.55833403957305
3,0.13524984667235104,0.7460269828787586,1216,quartile=Q3,Q3,o3,O[3],No durable LVAD,13.524984667235104,74.60269828787585
5,0.14917766603420307,0.7812011832752703,616,quartile=Q3,Q3,o3,O[3],No durable LVAD,14.917766603420308,78.12011832752704
10,0.1579081248692476,0.8121767854765859,191,quartile=Q3,Q3,o3,O[3],No durable LVAD,15.79081248692476,81.2176785476586
1,0.10846547456286237,0.6767419331602113,2950,quartile=Q4 highest,Q4 highest,o3,O[3],No durable LVAD,10.846547456286238,67.67419331602113
3,0.13445102486194624,0.7840547636745074,911,quartile=Q4 highest,Q4 highest,o3,O[3],No durable LVAD,13.445102486194624,78.40547636745075
5,0.14330179690043435,0.8128548123706435,415,quartile=Q4 highest,Q4 highest,o3,O[3],No durable LVAD,14.330179690043435,81.28548123706435
10,0.14946972215120125,0.8355254754275989,97,quartile=Q4 highest,Q4 highest,o3,O[3],No durable LVAD,14.946972215120125,83.5525475427599
1,0.09513932578436878,0.6434461108930426,3465,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],No durable LVAD,9.513932578436878,64.34461108930427
3,0.12153765213115035,0.7711413961099841,1188,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],No durable LVAD,12.153765213115035,77.11413961099841
5,0.13264284477489272,0.8078636649317942,535,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],No durable LVAD,13.264284477489271,80.78636649317941
10,0.14130074394946196,0.8393678735069326,94,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],No durable LVAD,14.130074394946195,83.93678735069327
1,0.0970451519206602,0.6265639438585162,3646,quartile=Q2,Q2,pm25,PM[2.5],No durable LVAD,9.704515192066019,62.65639438585162
3,0.12530793549067618,0.7508970845028594,1311,quartile=Q2,Q2,pm25,PM[2.5],No durable LVAD,12.530793549067617,75.08970845028594
5,0.13594416147579616,0.7899866161331249,651,quartile=Q2,Q2,pm25,PM[2.5],No durable LVAD,13.594416147579617,78.99866161331249
10,0.1448214228451346,0.8268387439296213,152,quartile=Q2,Q2,pm25,PM[2.5],No durable LVAD,14.482142284513461,82.68387439296212
1,0.10799383399137372,0.6116189189240673,3644,quartile=Q3,Q3,pm25,PM[2.5],No durable LVAD,10.799383399137371,61.16189189240673
3,0.13912875285246973,0.733310351322773,1342,quartile=Q3,Q3,pm25,PM[2.5],No durable LVAD,13.912875285246972,73.3310351322773
5,0.15385780012724098,0.7722092559653528,665,quartile=Q3,Q3,pm25,PM[2.5],No durable LVAD,15.385780012724098,77.22092559653528
10,0.16331449722977004,0.8084654859332067,183,quartile=Q3,Q3,pm25,PM[2.5],No durable LVAD,16.331449722977005,80.84654859332066
1,0.12663840243463084,0.661070257201148,2963,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],No durable LVAD,12.663840243463085,66.10702572011479
3,0.15467708568976535,0.7631107699162574,944,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],No durable LVAD,15.467708568976535,76.31107699162574
5,0.1660966181140747,0.7904732573517831,433,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],No durable LVAD,16.60966181140747,79.0473257351783
10,0.17416708099093423,0.8134557262668209,90,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],No durable LVAD,17.416708099093423,81.3455726266821
1,0.04852597729377124,0.5210605573070861,1082,quartile=Q1 lowest,Q1 lowest,no2,NO[2],Durable LVAD,4.852597729377124,52.10605573070861
3,0.10059958938679832,0.7051134697982766,261,quartile=Q1 lowest,Q1 lowest,no2,NO[2],Durable LVAD,10.059958938679832,70.51134697982766
5,0.13035887977328703,0.7637041172862371,84,quartile=Q1 lowest,Q1 lowest,no2,NO[2],Durable LVAD,13.035887977328702,76.37041172862371
10,0.15469182128796222,0.8247838684315247,7,quartile=Q1 lowest,Q1 lowest,no2,NO[2],Durable LVAD,15.469182128796222,82.47838684315248
1,0.06586098087094183,0.56127613835333,1230,quartile=Q2,Q2,no2,NO[2],Durable LVAD,6.586098087094183,56.127613835333
3,0.1100254078963814,0.735959647264687,369,quartile=Q2,Q2,no2,NO[2],Durable LVAD,11.002540789638141,73.5959647264687
5,0.13378853720530148,0.7940792761522377,115,quartile=Q2,Q2,no2,NO[2],Durable LVAD,13.378853720530149,79.40792761522377
10,0.14682651463618815,0.8351294786733949,13,quartile=Q2,Q2,no2,NO[2],Durable LVAD,14.682651463618814,83.51294786733949
1,0.07126644292167834,0.5920946111612507,1124,quartile=Q3,Q3,no2,NO[2],Durable LVAD,7.126644292167835,59.20946111612507
3,0.11651598018757643,0.7522613396570355,357,quartile=Q3,Q3,no2,NO[2],Durable LVAD,11.651598018757642,75.22613396570354
5,0.13792280962143205,0.8005213928227628,123,quartile=Q3,Q3,no2,NO[2],Durable LVAD,13.792280962143206,80.05213928227629
10,0.14732595591030767,0.8377741437900251,12,quartile=Q3,Q3,no2,NO[2],Durable LVAD,14.732595591030767,83.77741437900251
1,0.08069477179662395,0.5822360906916761,1025,quartile=Q4 highest,Q4 highest,no2,NO[2],Durable LVAD,8.069477179662394,58.223609069167615
3,0.12287866737370962,0.7614510226731314,291,quartile=Q4 highest,Q4 highest,no2,NO[2],Durable LVAD,12.287866737370962,76.14510226731313
5,0.14399650900806435,0.8089938559088414,94,quartile=Q4 highest,Q4 highest,no2,NO[2],Durable LVAD,14.399650900806435,80.89938559088414
