time,cif_adverse,cif_transplant_or_improvement,n_risk,strata,quartile,pollutant,pollutant_label,subgroup,cif_adverse_percent,cif_transplant_or_improvement_percent
1,0.03923553455514797,0.3516624732957888,19332,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],Not on dialysis,3.923553455514797,35.16624732957888
3,0.10136464672508456,0.6162895338617399,7017,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],Not on dialysis,10.136464672508456,61.62895338617399
5,0.1464357542069016,0.7383308227344777,2281,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],Not on dialysis,14.64357542069016,73.83308227344777
10,0.18187352268453122,0.8036477906758739,125,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],Not on dialysis,18.18735226845312,80.36477906758739
1,0.009540093408841648,0.08488944634360764,83221,quartile=Q1 lowest,Q1 lowest,no2,NO[2],Dialysis <1 y,0.9540093408841648,8.488944634360763
3,0.06406768930245758,0.2885271154657904,47045,quartile=Q1 lowest,Q1 lowest,no2,NO[2],Dialysis <1 y,6.406768930245758,28.85271154657904
5,0.14149909289688858,0.45672353678316346,21984,quartile=Q1 lowest,Q1 lowest,no2,NO[2],Dialysis <1 y,14.149909289688859,45.67235367831635
10,0.24530467304562997,0.6777997118191135,1971,quartile=Q1 lowest,Q1 lowest,no2,NO[2],Dialysis <1 y,24.530467304562997,67.77997118191135
1,0.01261500706490711,0.09283722238572228,90677,quartile=Q2,Q2,no2,NO[2],Dialysis <1 y,1.261500706490711,9.283722238572228
3,0.06760546941410699,0.28997625997320986,57901,quartile=Q2,Q2,no2,NO[2],Dialysis <1 y,6.7605469414106985,28.997625997320988
5,0.13997819803373507,0.459449434820229,29693,quartile=Q2,Q2,no2,NO[2],Dialysis <1 y,13.997819803373506,45.9449434820229
10,0.2443369889155334,0.6802238371485481,3058,quartile=Q2,Q2,no2,NO[2],Dialysis <1 y,24.43369889155334,68.02238371485481
1,0.013133719653420734,0.08944010666088442,92388,quartile=Q3,Q3,no2,NO[2],Dialysis <1 y,1.3133719653420735,8.944010666088442
3,0.06142950573953467,0.27090828358366326,64317,quartile=Q3,Q3,no2,NO[2],Dialysis <1 y,6.142950573953467,27.090828358366327
5,0.12883950604309075,0.43652581137193436,36517,quartile=Q3,Q3,no2,NO[2],Dialysis <1 y,12.883950604309074,43.65258113719344
10,0.23549103676720895,0.6790531513175466,4103,quartile=Q3,Q3,no2,NO[2],Dialysis <1 y,23.549103676720897,67.90531513175466
1,0.018284998790444137,0.10246175159059641,85246,quartile=Q4 highest,Q4 highest,no2,NO[2],Dialysis <1 y,1.8284998790444138,10.246175159059641
3,0.06575101646946356,0.2490726389630816,63736,quartile=Q4 highest,Q4 highest,no2,NO[2],Dialysis <1 y,6.575101646946356,24.90726389630816
5,0.12916991235603711,0.3841702341795457,41526,quartile=Q4 highest,Q4 highest,no2,NO[2],Dialysis <1 y,12.916991235603712,38.417023417954574
10,0.25637685415905576,0.6426800023490363,5577,quartile=Q4 highest,Q4 highest,no2,NO[2],Dialysis <1 y,25.637685415905576,64.26800023490364
1,0.014995966919117948,0.09021193901182348,80979,quartile=Q1 lowest,Q1 lowest,o3,O[3],Dialysis <1 y,1.499596691911795,9.021193901182349
3,0.0642257733022133,0.2532372188051705,55797,quartile=Q1 lowest,Q1 lowest,o3,O[3],Dialysis <1 y,6.42257733022133,25.323721880517052
5,0.1355970097419111,0.4021955962169338,31973,quartile=Q1 lowest,Q1 lowest,o3,O[3],Dialysis <1 y,13.559700974191111,40.21955962169338
10,0.26040533775960606,0.645201956558288,3450,quartile=Q1 lowest,Q1 lowest,o3,O[3],Dialysis <1 y,26.040533775960604,64.5201956558288
1,0.01073062220746001,0.07893623249171734,86850,quartile=Q2,Q2,o3,O[3],Dialysis <1 y,1.073062220746001,7.893623249171735
3,0.06218223366015882,0.26362527664396823,57544,quartile=Q2,Q2,o3,O[3],Dialysis <1 y,6.218223366015882,26.362527664396822
5,0.13529901639411482,0.4417569028275289,29208,quartile=Q2,Q2,o3,O[3],Dialysis <1 y,13.529901639411483,44.17569028275289
