organ,model,endpoint,term,exposure,n,adverse_events,hazard_ratio,conf_low,conf_high,p_value,concordance
KI,combined_environment,death_or_deterioration_delist_cause_specific,rhmean_waitlist_10pct,Mean relative humidity per 10 pct,678254,117219,1.114224617499363,1.0863536172891326,1.1428106635660773,5.842140518311408e-17,0.656101541625792
KI,combined_environment,death_or_deterioration_delist_cause_specific,pm25_waitlist_5ug,PM2.5 per 5 ug/m3,678254,117219,1.651070300647738,1.5921713687721673,1.712148070960002,3.337918263091558e-161,0.656101541625792
KI,combined_environment,death_or_deterioration_delist_cause_specific,o3_waitlist_10ppb,Ozone per 10 ppb,678254,117219,1.0660200678992513,1.0167701165304235,1.1176555709974207,0.008070963436663602,0.656101541625792
KI,combined_environment,death_or_deterioration_delist_cause_specific,no2_waitlist_10unit,NO2 per 10 units,678254,117219,1.3658657168704567,1.327978814872942,1.4048335226646989,1.2262158339588427e-104,0.656101541625792
LI,temperature_humidity,death_or_deterioration_delist_cause_specific,tmean_waitlist_5c,Mean temperature per 5 C,217632,41645,0.9775880798756019,0.9624059461615119,0.9930097145871991,0.004534493739399177,0.7494086500024469
LI,temperature_humidity,death_or_deterioration_delist_cause_specific,temp_range_waitlist_5c,Diurnal temperature range per 5 C,217632,41645,1.1189456163315754,1.073900806469197,1.1658798324438744,8.281873564997744e-8,0.7494086500024469
LI,temperature_humidity,death_or_deterioration_delist_cause_specific,rhmean_waitlist_10pct,Mean relative humidity per 10 pct,217632,41645,0.9724249817711157,0.9511263299399183,0.994200576102533,0.01333416360292252,0.7494086500024469
LI,pollution,death_or_deterioration_delist_cause_specific,pm25_waitlist_5ug,PM2.5 per 5 ug/m3,217632,41645,1.1047957394884755,1.0657029418968176,1.1453225641091123,5.8946972119125234e-8,0.7496151231502184
LI,pollution,death_or_deterioration_delist_cause_specific,o3_waitlist_10ppb,Ozone per 10 ppb,217632,41645,1.0272667409673257,0.9998206969407202,1.0554662054172284,0.051536426263811504,0.7496151231502184
LI,pollution,death_or_deterioration_delist_cause_specific,no2_waitlist_10unit,NO2 per 10 units,217632,41645,1.0999370404941022,1.0676215883321416,1.1332306374030823,3.831810102221495e-10,0.7496151231502184
LI,combined_environment,death_or_deterioration_delist_cause_specific,tmean_waitlist_5c,Mean temperature per 5 C,217632,41645,0.954844709656942,0.9373527210757017,0.9726631171599466,9.671798241927514e-7,0.7503460677899896
LI,combined_environment,death_or_deterioration_delist_cause_specific,temp_range_waitlist_5c,Diurnal temperature range per 5 C,217632,41645,1.2632479241778658,1.2040362420071464,1.3253714981863605,1.4189690073836166e-21,0.7503460677899896
LI,combined_environment,death_or_deterioration_delist_cause_specific,rhmean_waitlist_10pct,Mean relative humidity per 10 pct,217632,41645,1.0202393948531163,0.9949931528477188,1.0461262168801662,0.11703541086020741,0.7503460677899896
LI,combined_environment,death_or_deterioration_delist_cause_specific,pm25_waitlist_5ug,PM2.5 per 5 ug/m3,217632,41645,1.122237370946739,1.0829300923690919,1.1629713918044908,2.3036610694587544e-10,0.7503460677899896
LI,combined_environment,death_or_deterioration_delist_cause_specific,o3_waitlist_10ppb,Ozone per 10 ppb,217632,41645,1.000903991357118,0.965212077570656,1.0379157318835712,0.9611003531954033,0.7503460677899896
LI,combined_environment,death_or_deterioration_delist_cause_specific,no2_waitlist_10unit,NO2 per 10 units,217632,41645,1.1574996142668317,1.1199786038687898,1.1962776363760144,3.3357113538663924e-18,0.7503460677899896
LU,temperature_humidity,death_or_deterioration_delist_cause_specific,tmean_waitlist_5c,Mean temperature per 5 C,46695,5638,0.9689826668149459,0.9358400383408917,1.0032990362887084,0.07598429258179704,0.6776061047374528
LU,temperature_humidity,death_or_deterioration_delist_cause_specific,temp_range_waitlist_5c,Diurnal temperature range per 5 C,46695,5638,0.9890231641064675,0.8903862707571474,1.0985870416750432,0.8368629975618971,0.6776061047374528
LU,temperature_humidity,death_or_deterioration_delist_cause_specific,rhmean_waitlist_10pct,Mean relative humidity per 10 pct,46695,5638,0.9619496292658885,0.9085610161839054,1.018475449377499,0.1829983455087359,0.6776061047374528
LU,pollution,death_or_deterioration_delist_cause_specific,pm25_waitlist_5ug,PM2.5 per 5 ug/m3,46695,5638,1.162671500252725,1.0681449285987394,1.2655632969893946,4.945465960167766e-4,0.6782071090009183
LU,pollution,death_or_deterioration_delist_cause_specific,o3_waitlist_10ppb,Ozone per 10 ppb,46695,5638,0.9455873538831165,0.8867273924961866,1.0083543729337532,0.08796266892182125,0.6782071090009183
LU,pollution,death_or_deterioration_delist_cause_specific,no2_waitlist_10unit,NO2 per 10 units,46695,5638,1.0523152745204927,0.9776284735209859,1.1327078404344053,0.17459178578800766,0.6782071090009183
LU,combined_environment,death_or_deterioration_delist_cause_specific,tmean_waitlist_5c,Mean temperature per 5 C,46695,5638,0.9638225338548351,0.9231948234188778,1.0062381776862108,0.09355267671428616,0.6784068329787164
LU,combined_environment,death_or_deterioration_delist_cause_specific,temp_range_waitlist_5c,Diurnal temperature range per 5 C,46695,5638,1.1079980471775717,0.9796595831902462,1.2531492506319981,0.1025145016577266,0.6784068329787164
LU,combined_environment,death_or_deterioration_delist_cause_specific,rhmean_waitlist_10pct,Mean relative humidity per 10 pct,46695,5638,0.9866681611773003,0.9246137160442847,1.052887322984908,0.6855025412052972,0.6784068329787164
LU,combined_environment,death_or_deterioration_delist_cause_specific,pm25_waitlist_5ug,PM2.5 per 5 ug/m3,46695,5638,1.1747122295796941,1.0799191309768421,1.2778260730281366,1.76117153600271e-4,0.6784068329787164
LU,combined_environment,death_or_deterioration_delist_cause_specific,o3_waitlist_10ppb,Ozone per 10 ppb,46695,5638,0.9468736016882587,0.8649767451525092,1.0365245338659546,0.2369140246501093,0.6784068329787164
LU,combined_environment,death_or_deterioration_delist_cause_specific,no2_waitlist_10unit,NO2 per 10 units,46695,5638,1.0810224385265446,0.9947670597904852,1.1747569454541509,0.06631356974713817,0.6784068329787164
