time,cif_adverse,cif_transplant_or_improvement,n_risk,strata,quartile,pollutant,pollutant_label,unit_label,organ,cif_adverse_percent,cif_transplant_or_improvement_percent
1,0.09620352044498046,0.6292362010794511,4517,quartile=Q2,Q2,pm25,PM[2.5],ug/m3,Heart,9.620352044498045,62.92362010794511
3,0.1308721967785988,0.7673819362470022,1214,quartile=Q2,Q2,pm25,PM[2.5],ug/m3,Heart,13.08721967785988,76.73819362470023
5,0.1438272454523393,0.8099214826263275,381,quartile=Q2,Q2,pm25,PM[2.5],ug/m3,Heart,14.38272454523393,80.99214826263275
10,0.15192243038626732,0.8403503414884383,22,quartile=Q2,Q2,pm25,PM[2.5],ug/m3,Heart,15.192243038626732,84.03503414884383
1,0.1062754525916931,0.6184493025057134,4127,quartile=Q3,Q3,pm25,PM[2.5],ug/m3,Heart,10.62754525916931,61.84493025057134
3,0.14135032958401567,0.756566319500233,1114,quartile=Q3,Q3,pm25,PM[2.5],ug/m3,Heart,14.135032958401567,75.6566319500233
5,0.15726743571698448,0.7965961187277305,360,quartile=Q3,Q3,pm25,PM[2.5],ug/m3,Heart,15.726743571698448,79.65961187277306
10,0.16597583812023925,0.8242957917338181,31,quartile=Q3,Q3,pm25,PM[2.5],ug/m3,Heart,16.597583812023924,82.42957917338181
1,0.12301751083323341,0.6768428296310272,3078,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],ug/m3,Heart,12.30175108332334,67.68428296310272
3,0.1517700335417442,0.7853597238053505,717,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],ug/m3,Heart,15.17700335417442,78.53597238053504
5,0.1637235404633783,0.811208662698997,223,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],ug/m3,Heart,16.37235404633783,81.12086626989971
10,0.16927972965956514,0.8275098888982169,13,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],ug/m3,Heart,16.927972965956513,82.75098888982168
1,0.02087037193581326,0.15563422815440112,111524,quartile=Q1 lowest,Q1 lowest,no2,NO[2],ppb,Kidney,2.0870371935813257,15.563422815440111
3,0.08676308013855806,0.35695055630402983,56889,quartile=Q1 lowest,Q1 lowest,no2,NO[2],ppb,Kidney,8.676308013855806,35.69505563040298
5,0.16155696185263738,0.4998958174217484,25505,quartile=Q1 lowest,Q1 lowest,no2,NO[2],ppb,Kidney,16.15569618526374,49.989581742174835
10,0.2548300502085589,0.6793137140181521,2303,quartile=Q1 lowest,Q1 lowest,no2,NO[2],ppb,Kidney,25.48300502085589,67.93137140181521
1,0.024123332395166026,0.17134499274697318,128380,quartile=Q2,Q2,no2,NO[2],ppb,Kidney,2.4123332395166024,17.13449927469732
3,0.09033299531459028,0.37605634090374584,74841,quartile=Q2,Q2,no2,NO[2],ppb,Kidney,9.03329953145903,37.605634090374586
5,0.159853421075146,0.5200342654906991,36674,quartile=Q2,Q2,no2,NO[2],ppb,Kidney,15.9853421075146,52.00342654906991
10,0.2484097756496066,0.69055900190602,3761,quartile=Q2,Q2,no2,NO[2],ppb,Kidney,24.84097756496066,69.055900190602
1,0.025769900992757597,0.16611984527496723,132078,quartile=Q3,Q3,no2,NO[2],ppb,Kidney,2.5769900992757595,16.611984527496723
3,0.08736687454836076,0.36295826065711057,84098,quartile=Q3,Q3,no2,NO[2],ppb,Kidney,8.736687454836076,36.295826065711054
5,0.15393608866583927,0.5063092626173086,45521,quartile=Q3,Q3,no2,NO[2],ppb,Kidney,15.393608866583927,50.630926261730856
10,0.24229675769762113,0.6907866216349113,5267,quartile=Q3,Q3,no2,NO[2],ppb,Kidney,24.229675769762114,69.07866216349113
1,0.03371209081037372,0.17958495193692572,130644,quartile=Q4 highest,Q4 highest,no2,NO[2],ppb,Kidney,3.371209081037372,17.958495193692574
3,0.10434195768851444,0.36167034310112406,84751,quartile=Q4 highest,Q4 highest,no2,NO[2],ppb,Kidney,10.434195768851444,36.167034310112406
5,0.17042238878736118,0.4871587992710836,50099,quartile=Q4 highest,Q4 highest,no2,NO[2],ppb,Kidney,17.042238878736118,48.71587992710836
10,0.2679930529947237,0.6632311408692925,6985,quartile=Q4 highest,Q4 highest,no2,NO[2],ppb,Kidney,26.79930529947237,66.32311408692925
1,0.02913632262035873,0.16190979923048507,118487,quartile=Q1 lowest,Q1 lowest,o3,O[3],ppb,Kidney,2.9136322620358728,16.190979923048506
3,0.09575272727944491,0.34354120576668135,74057,quartile=Q1 lowest,Q1 lowest,o3,O[3],ppb,Kidney,9.57527272794449,34.35412057666814
5,0.1675020674135441,0.47446815291346883,40149,quartile=Q1 lowest,Q1 lowest,o3,O[3],ppb,Kidney,16.750206741354408,47.44681529134688
10,0.27165230613497743,0.6533718833704573,4517,quartile=Q1 lowest,Q1 lowest,o3,O[3],ppb,Kidney,27.165230613497744,65.33718833704573
1,0.022548870046351942,0.1530370009378686,121376,quartile=Q2,Q2,o3,O[3],ppb,Kidney,2.254887004635194,15.30370009378686
3,0.08524184336276712,0.3463362148554307,74362,quartile=Q2,Q2,o3,O[3],ppb,Kidney,8.524184336276711,34.63362148554307
5,0.15530658304956313,0.4954816127908795,36418,quartile=Q2,Q2,o3,O[3],ppb,Kidney,15.530658304956313,49.54816127908795
10,0.24595694421573164,0.6788015646904727,3598,quartile=Q2,Q2,o3,O[3],ppb,Kidney,24.595694421573164,67.88015646904726
1,0.023591826248634432,0.15393294819469056,117276,quartile=Q3,Q3,o3,O[3],ppb,Kidney,2.3591826248634433,15.393294819469055
3,0.09091277127018714,0.33680711919083073,65801,quartile=Q3,Q3,o3,O[3],ppb,Kidney,9.091277127018714,33.68071191908307
5,0.16219937141087087,0.47152302836619586,34370,quartile=Q3,Q3,o3,O[3],ppb,Kidney,16.219937141087087,47.15230283661958
10,0.26110267364244183,0.6532681211233541,4389,quartile=Q3,Q3,o3,O[3],ppb,Kidney,26.110267364244184,65.3268121123354
