time_days,event,cumulative_incidence,quartile,organ,pollutant,ps_n,full_n,min_value,max_value,quartile_label,years_since_listing
1217.5,Transplant,0.7646754535105529,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),3.3333333333333335
1247.9375,Death/delisted too sick,0.1371536989032059,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),3.4166666666666665
1247.9375,Transplant,0.7664750967665735,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),3.4166666666666665
1278.375,Death/delisted too sick,0.13844443678956198,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),3.5
1278.375,Transplant,0.7684776942484837,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),3.5
1308.8125,Death/delisted too sick,0.13903346435011196,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),3.5833333333333335
1308.8125,Transplant,0.7703978875716583,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),3.5833333333333335
1339.25,Death/delisted too sick,0.13925546917096257,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),3.6666666666666665
1339.25,Transplant,0.7731329063806777,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),3.6666666666666665
1369.6875,Death/delisted too sick,0.1402662458450346,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),3.75
1369.6875,Transplant,0.7757520695592184,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),3.75
1400.125,Death/delisted too sick,0.14141851283674456,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),3.8333333333333335
1400.125,Transplant,0.7772281751478299,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),3.8333333333333335
1430.5625,Death/delisted too sick,0.14245362123510105,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),3.9166666666666665
1430.5625,Transplant,0.777884783187561,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),3.9166666666666665
1461,Death/delisted too sick,0.14273030929591815,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),4
1461,Transplant,0.7792438971986281,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),4
1491.4375,Death/delisted too sick,0.14332108437744484,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),4.083333333333333
1491.4375,Transplant,0.7819771348242817,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),4.083333333333333
1521.875,Death/delisted too sick,0.1436006879059754,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),4.166666666666667
1521.875,Transplant,0.7825013895773086,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),4.166666666666667
1552.3125,Death/delisted too sick,0.14384759626651383,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),4.25
1552.3125,Transplant,0.7836520372177541,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),4.25
1582.75,Death/delisted too sick,0.14416220474976357,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),4.333333333333333
1582.75,Transplant,0.7859195214702542,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),4.333333333333333
1613.1875,Death/delisted too sick,0.14514515468450262,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),4.416666666666667
1613.1875,Transplant,0.7876821020456907,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),4.416666666666667
