step_file,step_dir,organ,pollutant,model,exposure_window,exposure_form,contrast,p25,p75,hazard_ratio,conf_low,conf_high,n_intervals,n_registrations,adverse_events,concordance,wald_chisq,df,p_value
li_combined_pollutants_cumulative_spline_contrast.csv,timevarying_steps_li_lu_seq,LI,NO2,combined_pollutants_cumulative_spline,cumulative,spline,p75_vs_p25,0.508116940406361,1.2983450415254638,0.9849986599526088,0.8643430740105784,1.1224968294204911,421374,216497,41324,0.7941188292591426,1.5307363337586066,3,0.6751947842410719
li_combined_pollutants_lagged_annual_linear_contrast.csv,timevarying_steps_li_lu_seq,LI,PM2.5,combined_pollutants_lagged_annual_linear,lagged_annual,linear,p75_vs_p25,1.3979009508151583,1.9507275202335443,0.9993643269711292,0.850305923773638,1.1745526287646235,421374,216497,41324,0.794100071680746,0.00226521648910642,1,0.9620395823881324
li_combined_pollutants_lagged_annual_linear_contrast.csv,timevarying_steps_li_lu_seq,LI,Ozone,combined_pollutants_lagged_annual_linear,lagged_annual,linear,p75_vs_p25,3.637355819465481,4.083297200472483,1.0144134416308734,0.7537580139612556,1.365205558682508,421374,216497,41324,0.794100071680746,2.124033738448074,1,0.1450042008499729
li_combined_pollutants_lagged_annual_linear_contrast.csv,timevarying_steps_li_lu_seq,LI,NO2,combined_pollutants_lagged_annual_linear,lagged_annual,linear,p75_vs_p25,0.49071150749528625,1.24663695335388,0.9869987398730726,0.6844962164338269,1.4231875781379286,421374,216497,41324,0.794100071680746,0.7663276716086026,1,0.3813555195171966
li_combined_pollutants_lagged_annual_spline_contrast.csv,timevarying_steps_li_lu_seq,LI,PM2.5,combined_pollutants_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,1.3979009508151583,1.9507275202335443,0.9809740088289396,0.8315651609801088,1.1572274202345267,421374,216497,41324,0.7941121301240011,1.0649506635814368,3,0.785541148425316
li_combined_pollutants_lagged_annual_spline_contrast.csv,timevarying_steps_li_lu_seq,LI,Ozone,combined_pollutants_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,3.637355819465481,4.083297200472483,1.053984957793946,0.7821850984436888,1.4202319802131604,421374,216497,41324,0.7941121301240011,12.702153590530903,3,0.00532705618681409
li_combined_pollutants_lagged_annual_spline_contrast.csv,timevarying_steps_li_lu_seq,LI,NO2,combined_pollutants_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,0.49071150749528625,1.24663695335388,0.9893572047932588,0.6858902795349856,1.4270907576353875,421374,216497,41324,0.7941121301240011,1.147971509711559,3,0.7655079796024404
li_single_pollutant_no2_cumulative_linear_contrast.csv,timevarying_steps_li_lu_seq,LI,NO2,single_pollutant_no2_cumulative_linear,cumulative,linear,p75_vs_p25,0.508116940406361,1.2983450415254638,0.9775998873597358,0.8600869486873463,1.111168517583423,421374,216497,41324,0.7940903579347907,3.2596900339561454,1,0.07100254661063021
li_single_pollutant_no2_cumulative_spline_contrast.csv,timevarying_steps_li_lu_seq,LI,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,p75_vs_p25,0.508116940406361,1.2983450415254638,0.9732884886253286,0.8553711282170682,1.107461370674393,421374,216497,41324,0.7941422762321384,4.906737525664338,3,0.17875505460273966
li_single_pollutant_no2_lagged_annual_linear_contrast.csv,timevarying_steps_li_lu_seq,LI,NO2,single_pollutant_no2_lagged_annual_linear,lagged_annual,linear,p75_vs_p25,0.49071150749528625,1.24663695335388,0.9810255136323432,0.6807738874401285,1.4137014890751718,421374,216497,41324,0.794095717242904,2.3760513420814537,1,0.12320862526097934
