organ,exposure_window,model_family,pollutant,term,hazard_ratio,conf_low,conf_high,p_value,n_intervals,adverse_events,concordance
KI,lagged_annual,combined,Ozone,o3_waitlist_10ppb,1.0662560774670231,1.0382861383317168,1.0949794866394913,2.2430322970311743e-6,2781314,116044,0.7445997922839067
KI,lagged_annual,single,Ozone,o3_waitlist_10ppb,1.0800265572718304,1.0529327496264276,1.1078175361401688,2.8667953030717867e-9,2781314,116044,0.7446050801627024
KI,lagged_annual,combined,PM2.5,pm25_waitlist_5ug,1.0214026323491812,0.9914623834663634,1.0522470189160038,0.162985143869513,2781314,116044,0.7445997922839067
KI,lagged_annual,single,PM2.5,pm25_waitlist_5ug,1.0059640355551986,0.9794224219861936,1.0332249069592632,0.662930081537539,2781314,116044,0.7443834513009465
LI,cumulative,combined,NO2,no2_waitlist_cum_10unit,0.9795367246056093,0.9429475040186288,1.0175457178283485,0.2871170556819155,421374,41324,0.7941134699510293
LI,cumulative,single,NO2,no2_waitlist_cum_10unit,0.97173835614546,0.9419616521559014,1.0024563427216853,0.0710025466106302,421374,41324,0.7940903579347907
LI,cumulative,combined,Ozone,o3_waitlist_cum_10ppb,1.0240556041649405,0.9799829220369644,1.0701103629865758,0.2895631711175577,421374,41324,0.7941134699510293
LI,cumulative,single,Ozone,o3_waitlist_cum_10ppb,1.0330998656955366,0.9910224687315832,1.0769638087683069,0.12480906971351892,421374,41324,0.7941037562050739
LI,cumulative,combined,PM2.5,pm25_waitlist_cum_5ug,0.9939405960160558,0.9458146055639136,1.0445153866277377,0.8103156947923766,421374,41324,0.7941134699510293
LI,cumulative,single,PM2.5,pm25_waitlist_cum_5ug,0.978003053766614,0.9370778846741084,1.020715555046383,0.30780444198253865,421374,41324,0.7940927026320902
LI,lagged_annual,combined,NO2,no2_waitlist_10unit,0.98283707622178,0.9454709591620968,1.0216799458888146,0.3813555195171966,421374,41324,0.794100071680746
LI,lagged_annual,single,NO2,no2_waitlist_10unit,0.9749762204727273,0.9440604443498006,1.0069044161065055,0.12320862526097934,421374,41324,0.794095717242904
LI,lagged_annual,combined,Ozone,o3_waitlist_10ppb,1.0326111226665633,0.9889951773281476,1.0781505866746082,0.1450042008499727,421374,41324,0.794100071680746
LI,lagged_annual,single,Ozone,o3_waitlist_10ppb,1.039028836134806,0.9972953111762192,1.0825087716961006,0.06717856678448074,421374,41324,0.7941014115077744
LI,lagged_annual,combined,PM2.5,pm25_waitlist_5ug,0.9988504358688834,0.9526408980584627,1.0473014493381851,0.9620395823881324,421374,41324,0.794100071680746
LI,lagged_annual,single,PM2.5,pm25_waitlist_5ug,0.9865336042592024,0.9465731853787944,1.0281809873403327,0.5204515857454206,421374,41324,0.7940772946212644
LU,cumulative,combined,NO2,no2_waitlist_cum_10unit,0.8931728608197947,0.7962394711690497,1.0019068235008968,0.05392198595701567,60514,4635,0.797371167897321
LU,cumulative,single,NO2,no2_waitlist_cum_10unit,0.9145416625634204,0.8323021670337198,1.0049072148221134,0.06314887404576253,60514,4635,0.7973943634746975
LU,cumulative,combined,Ozone,o3_waitlist_cum_10ppb,0.9565385565053106,0.8384926459357506,1.091203380871837,0.5084877304040984,60514,4635,0.797371167897321
LU,cumulative,single,Ozone,o3_waitlist_cum_10ppb,0.9964882254548642,0.8792230829871245,1.1293934414193785,0.9560803093447507,60514,4635,0.7971933351374338
LU,cumulative,combined,PM2.5,pm25_waitlist_cum_5ug,1.0400291668817272,0.9004150884049498,1.2012911399350483,0.5935766004586075,60514,4635,0.797371167897321
LU,cumulative,single,PM2.5,pm25_waitlist_cum_5ug,0.9653135514470156,0.8527826271470819,1.0926937568189163,0.5766895670991989,60514,4635,0.7973325086016934
LU,lagged_annual,combined,NO2,no2_waitlist_10unit,0.8951161319775843,0.7967929047405936,1.0055723199334512,0.06199052899496807,60514,4635,0.797417559052074
LU,lagged_annual,single,NO2,no2_waitlist_10unit,0.9178457930184488,0.8333815436971221,1.010870598386849,0.08177931891743039,60514,4635,0.7974252909111996
LU,lagged_annual,combined,Ozone,o3_waitlist_10ppb,0.9511523850064028,0.8363670019969042,1.0816912400218257,0.445324407095106,60514,4635,0.797417559052074
LU,lagged_annual,single,Ozone,o3_waitlist_10ppb,0.987484112457797,0.8734158935852679,1.116449654189131,0.8406155652963789,60514,4635,0.797123748405304
LU,lagged_annual,combined,PM2.5,pm25_waitlist_5ug,1.0401778740793537,0.9031850775944296,1.1979493866373383,0.5845767604725279,60514,4635,0.797417559052074
LU,lagged_annual,single,PM2.5,pm25_waitlist_5ug,0.9711299431466704,0.8592050354669211,1.0976348223605863,0.6391465700563733,60514,4635,0.79734024046081875
