organ,model,n,adverse_events,concordance,term,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high
HR,clinical_center_community_plus_prior_pollution,72946,9929,0.7563904818699081,functional_status2100,9.648449423634476,0.20660515021504114,0.18428311704620814,12.300623395594057,8.987777929719634e-35,6.723500647476114,13.845849232628218
HR,clinical_center_community_plus_prior_pollution,72946,9929,0.7563904818699081,functional_status4010,26.839060408456714,0.09174514704644482,0.09105916574690436,36.128799087598416,8.009501546731981e-286,22.45213295997203,32.083150625065876
HR,clinical_center_community_plus_prior_pollution,72946,9929,0.7563904818699081,functional_status4020,19.15594698314107,0.186938358000804,0.19294134243686506,15.303165083996758,7.282707224863091e-53,13.12416427985004,27.95989877879709
HR,clinical_center_community_plus_prior_pollution,72946,9929,0.7563904818699081,functional_status4030,24.668663874043588,0.16775416034713916,0.17131462919421164,18.711383751652654,3.9985698931523866e-78,17.63284341002232,34.511902770295904
HR,clinical_center_community_plus_prior_pollution,72946,9929,0.7563904818699081,functional_status4040,26.913259962758097,0.11935200345947622,0.11835438052770787,27.82000197958642,2.4852573235175484e-170,21.34139848703097,33.939835867043335
HR,clinical_center_community_plus_prior_pollution,72946,9929,0.7563904818699081,functional_status4050,21.71026848462547,0.15729144366224398,0.14313368560472609,21.502872211211173,1.4634457630668507e-102,16.39946122109686,28.740929431765622
HR,clinical_center_community_plus_prior_pollution,72946,9929,0.7563904818699081,functional_status4060,14.055106708323112,0.12007034057608576,0.11346088194062191,23.294246892152973,5.0703495782370316e-120,11.252682607991796,17.555460459006433
HR,clinical_center_community_plus_prior_pollution,72946,9929,0.7563904818699081,functional_status4070,11.340304239180735,0.14345524297265272,0.13910818238526676,17.456651975123705,3.063843137089896e-68,8.634070818330418,14.894770142972789
HR,clinical_center_community_plus_prior_pollution,72946,9929,0.7563904818699081,functional_status4080,10.465130979024698,0.13197975348365396,0.12290597913602223,19.104431600789326,2.3193943448001717e-81,8.224829600241325,13.315651719389914
HR,clinical_center_community_plus_prior_pollution,72946,9929,0.7563904818699081,functional_status4090,7.209929639567701,0.23226293134094134,0.22613055290563572,8.735923417412444,2.4167367103834567e-18,4.628586144113011,11.230877807823216
HR,clinical_center_community_plus_prior_pollution,72946,9929,0.7563904818699081,functional_status4100,12.533256228361582,0.19848858183385842,0.17247106904100273,14.659766555487042,1.1667340050170046e-48,8.938327811716478,17.5740378955288
HR,clinical_center_community_plus_prior_pollution,72946,9929,0.7563904818699081,functional_status996,26.06675258751695,0.051298858177385505,0.0497269118147487,65.57134831177942,0,23.646088233175277,28.73522181590792
