sensitivity,organ_label,exposure,exposure_window,n,adverse_events,hazard_ratio_ci,p_value_display,adjustment_set
no_listing_center,Kidney,o3,observed_waitlist_period_mean,554775,116267,0.98 (0.97 to 1.00),0.015,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes
no_listing_center,Kidney,no2,observed_waitlist_period_mean,627755,131497,1.12 (1.11 to 1.13),<.001,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes
no_listing_center,Liver,pm25,observed_waitlist_period_mean,204884,41945,1.32 (1.29 to 1.35),<.001,age + sex + race + listing_year + baseline_organ_score
no_listing_center,Liver,o3,observed_waitlist_period_mean,204884,41945,1.01 (0.99 to 1.04),0.207,age + sex + race + listing_year + baseline_organ_score
no_listing_center,Liver,no2,observed_waitlist_period_mean,232782,45382,1.20 (1.18 to 1.22),<.001,age + sex + race + listing_year + baseline_organ_score
no_listing_center,Lung,pm25,observed_waitlist_period_mean,44849,5596,1.30 (1.22 to 1.40),<.001,age + sex + race + listing_year + baseline_organ_score
no_listing_center,Lung,o3,observed_waitlist_period_mean,44849,5596,0.94 (0.88 to 1.01),0.100,age + sex + race + listing_year + baseline_organ_score
no_listing_center,Lung,no2,observed_waitlist_period_mean,51958,5935,1.22 (1.16 to 1.28),<.001,age + sex + race + listing_year + baseline_organ_score
primary_plus_svi,Heart,pm25,observed_waitlist_period_mean,71228,9885,1.69 (1.56 to 1.82),<.001,age + sex + race + listing_year + baseline_organ_score + zcta_svi_proxy + strata(listing_center)
primary_plus_svi,Heart,o3,observed_waitlist_period_mean,71228,9885,1.02 (0.94 to 1.11),0.579,age + sex + race + listing_year + baseline_organ_score + zcta_svi_proxy + strata(listing_center)
primary_plus_svi,Heart,no2,observed_waitlist_period_mean,82054,10741,1.29 (1.23 to 1.35),<.001,age + sex + race + listing_year + baseline_organ_score + zcta_svi_proxy + strata(listing_center)
primary_plus_svi,Kidney,pm25,observed_waitlist_period_mean,554209,116141,2.01 (1.97 to 2.06),<.001,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes + zcta_svi_proxy + strata(listing_center)
primary_plus_svi,Kidney,o3,observed_waitlist_period_mean,554209,116141,1.10 (1.08 to 1.12),<.001,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes + zcta_svi_proxy + strata(listing_center)
primary_plus_svi,Kidney,no2,observed_waitlist_period_mean,627156,131365,1.50 (1.47 to 1.52),<.001,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes + zcta_svi_proxy + strata(listing_center)
primary_plus_svi,Liver,pm25,observed_waitlist_period_mean,204654,41903,1.47 (1.42 to 1.52),<.001,age + sex + race + listing_year + baseline_organ_score + zcta_svi_proxy + strata(listing_center)
primary_plus_svi,Liver,o3,observed_waitlist_period_mean,204654,41903,1.09 (1.06 to 1.13),<.001,age + sex + race + listing_year + baseline_organ_score + zcta_svi_proxy + strata(listing_center)
primary_plus_svi,Liver,no2,observed_waitlist_period_mean,232541,45340,1.22 (1.19 to 1.24),<.001,age + sex + race + listing_year + baseline_organ_score + zcta_svi_proxy + strata(listing_center)
primary_plus_svi,Lung,pm25,observed_waitlist_period_mean,44792,5590,1.43 (1.31 to 1.57),<.001,age + sex + race + listing_year + baseline_organ_score + zcta_svi_proxy + strata(listing_center)
primary_plus_svi,Lung,o3,observed_waitlist_period_mean,44792,5590,0.94 (0.86 to 1.04),0.241,age + sex + race + listing_year + baseline_organ_score + zcta_svi_proxy + strata(listing_center)
primary_plus_svi,Lung,no2,observed_waitlist_period_mean,51898,5929,1.21 (1.14 to 1.28),<.001,age + sex + race + listing_year + baseline_organ_score + zcta_svi_proxy + strata(listing_center)
single_organ_candidates,Heart,pm25,observed_waitlist_period_mean,62636,8488,1.73 (1.59 to 1.87),<.001,age + sex + race + listing_year + baseline_organ_score + strata(listing_center)
single_organ_candidates,Heart,o3,observed_waitlist_period_mean,62636,8488,0.99 (0.90 to 1.09),0.857,age + sex + race + listing_year + baseline_organ_score + strata(listing_center)
single_organ_candidates,Heart,no2,observed_waitlist_period_mean,71826,9114,1.28 (1.22 to 1.34),<.001,age + sex + race + listing_year + baseline_organ_score + strata(listing_center)
single_organ_candidates,Kidney,pm25,observed_waitlist_period_mean,524093,108102,2.04 (1.99 to 2.10),<.001,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes + strata(listing_center)
single_organ_candidates,Kidney,o3,observed_waitlist_period_mean,524093,108102,1.09 (1.07 to 1.11),<.001,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes + strata(listing_center)
single_organ_candidates,Kidney,no2,observed_waitlist_period_mean,591284,122077,1.47 (1.44 to 1.49),<.001,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes + strata(listing_center)
single_organ_candidates,Liver,pm25,observed_waitlist_period_mean,179679,36432,1.50 (1.45 to 1.56),<.001,age + sex + race + listing_year + baseline_organ_score + strata(listing_center)
single_organ_candidates,Liver,o3,observed_waitlist_period_mean,179679,36432,1.05 (1.01 to 1.09),0.007,age + sex + race + listing_year + baseline_organ_score + strata(listing_center)
single_organ_candidates,Liver,no2,observed_waitlist_period_mean,204452,39275,1.25 (1.22 to 1.27),<.001,age + sex + race + listing_year + baseline_organ_score + strata(listing_center)
single_organ_candidates,Lung,pm25,observed_waitlist_period_mean,42478,5286,1.45 (1.32 to 1.58),<.001,age + sex + race + listing_year + baseline_organ_score + strata(listing_center)
single_organ_candidates,Lung,o3,observed_waitlist_period_mean,42478,5286,0.92 (0.83 to 1.01),0.094,age + sex + race + listing_year + baseline_organ_score + strata(listing_center)
single_organ_candidates,Lung,no2,observed_waitlist_period_mean,49225,5575,1.22 (1.15 to 1.29),<.001,age + sex + race + listing_year + baseline_organ_score + strata(listing_center)
primary_plus_multi_organ,Heart,pm25,observed_waitlist_period_mean,71308,9893,1.69 (1.57 to 1.83),<.001,age + sex + race + listing_year + baseline_organ_score + multi_organ_candidate + strata(listing_center)
primary_plus_multi_organ,Heart,o3,observed_waitlist_period_mean,71308,9893,1.01 (0.93 to 1.09),0.871,age + sex + race + listing_year + baseline_organ_score + multi_organ_candidate + strata(listing_center)
primary_plus_multi_organ,Heart,no2,observed_waitlist_period_mean,82140,10749,1.29 (1.23 to 1.35),<.001,age + sex + race + listing_year + baseline_organ_score + multi_organ_candidate + strata(listing_center)
primary_plus_multi_organ,Kidney,pm25,observed_waitlist_period_mean,554775,116267,2.00 (1.95 to 2.05),<.001,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes + multi_organ_candidate + strata(listing_center)
primary_plus_multi_organ,Kidney,o3,observed_waitlist_period_mean,554775,116267,1.09 (1.07 to 1.12),<.001,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes + multi_organ_candidate + strata(listing_center)
primary_plus_multi_organ,Kidney,no2,observed_waitlist_period_mean,627755,131497,1.47 (1.45 to 1.49),<.001,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes + multi_organ_candidate + strata(listing_center)
primary_plus_multi_organ,Liver,pm25,observed_waitlist_period_mean,204884,41945,1.50 (1.46 to 1.55),<.001,age + sex + race + listing_year + baseline_organ_score + multi_organ_candidate + strata(listing_center)
primary_plus_multi_organ,Liver,o3,observed_waitlist_period_mean,204884,41945,1.06 (1.02 to 1.09),<.001,age + sex + race + listing_year + baseline_organ_score + multi_organ_candidate + strata(listing_center)
primary_plus_multi_organ,Liver,no2,observed_waitlist_period_mean,232782,45382,1.24 (1.22 to 1.27),<.001,age + sex + race + listing_year + baseline_organ_score + multi_organ_candidate + strata(listing_center)
primary_plus_multi_organ,Lung,pm25,observed_waitlist_period_mean,44849,5596,1.45 (1.33 to 1.58),<.001,age + sex + race + listing_year + baseline_organ_score + multi_organ_candidate + strata(listing_center)
primary_plus_multi_organ,Lung,o3,observed_waitlist_period_mean,44849,5596,0.93 (0.84 to 1.02),0.135,age + sex + race + listing_year + baseline_organ_score + multi_organ_candidate + strata(listing_center)
primary_plus_multi_organ,Lung,no2,observed_waitlist_period_mean,51958,5935,1.22 (1.15 to 1.30),<.001,age + sex + race + listing_year + baseline_organ_score + multi_organ_candidate + strata(listing_center)
prior_1y_no_score_no_center,Heart,pm25,one_year_prior_listing,74108,10017,1.07 (1.01 to 1.13),0.024,age + sex + race + listing_year
prior_1y_no_score_no_center,Heart,o3,one_year_prior_listing,74108,10017,1.02 (0.97 to 1.08),0.352,age + sex + race + listing_year
prior_1y_no_score_no_center,Heart,no2,one_year_prior_listing,79463,10249,0.95 (0.92 to 0.98),0.005,age + sex + race + listing_year
prior_1y_no_score_no_center,Kidney,pm25,one_year_prior_listing,564724,123423,0.97 (0.96 to 0.98),<.001,age + sex + race + listing_year
prior_1y_no_score_no_center,Kidney,o3,one_year_prior_listing,564724,123423,1.03 (1.02 to 1.05),<.001,age + sex + race + listing_year
prior_1y_no_score_no_center,Kidney,no2,one_year_prior_listing,600708,124065,0.92 (0.91 to 0.93),<.001,age + sex + race + listing_year
prior_1y_no_score_no_center,Liver,pm25,one_year_prior_listing,208789,42137,1.06 (1.04 to 1.08),<.001,age + sex + race + listing_year
prior_1y_no_score_no_center,Liver,o3,one_year_prior_listing,208789,42137,0.99 (0.97 to 1.01),0.501,age + sex + race + listing_year
prior_1y_no_score_no_center,Liver,no2,one_year_prior_listing,222766,42883,1.03 (1.01 to 1.04),<.001,age + sex + race + listing_year
prior_1y_no_score_no_center,Lung,pm25,one_year_prior_listing,46843,5588,1.07 (1.01 to 1.15),0.034,age + sex + race + listing_year
prior_1y_no_score_no_center,Lung,o3,one_year_prior_listing,46843,5588,0.96 (0.90 to 1.02),0.195,age + sex + race + listing_year
prior_1y_no_score_no_center,Lung,no2,one_year_prior_listing,50458,5681,1.08 (1.03 to 1.13),0.001,age + sex + race + listing_year
multipollutant_pm25_no2,Heart,pm25,observed_waitlist_period_mean_multipollutant,71308,9893,1.56 (1.42 to 1.70),<.001,age + sex + race + listing_year + baseline_organ_score + strata(listing_center)
multipollutant_pm25_no2,Heart,no2,observed_waitlist_period_mean_multipollutant,71308,9893,1.10 (1.05 to 1.17),<.001,age + sex + race + listing_year + baseline_organ_score + strata(listing_center)
multipollutant_pm25_no2,Kidney,pm25,observed_waitlist_period_mean_multipollutant,554775,116267,1.71 (1.66 to 1.75),<.001,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes + strata(listing_center)
multipollutant_pm25_no2,Kidney,no2,observed_waitlist_period_mean_multipollutant,554775,116267,1.21 (1.19 to 1.23),<.001,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes + strata(listing_center)
multipollutant_pm25_no2,Liver,pm25,observed_waitlist_period_mean_multipollutant,204884,41945,1.39 (1.34 to 1.45),<.001,age + sex + race + listing_year + baseline_organ_score + strata(listing_center)
multipollutant_pm25_no2,Liver,no2,observed_waitlist_period_mean_multipollutant,204884,41945,1.10 (1.07 to 1.13),<.001,age + sex + race + listing_year + baseline_organ_score + strata(listing_center)
multipollutant_pm25_no2,Lung,pm25,observed_waitlist_period_mean_multipollutant,44849,5596,1.36 (1.22 to 1.51),<.001,age + sex + race + listing_year + baseline_organ_score + strata(listing_center)
multipollutant_pm25_no2,Lung,no2,observed_waitlist_period_mean_multipollutant,44849,5596,1.09 (1.01 to 1.16),0.022,age + sex + race + listing_year + baseline_organ_score + strata(listing_center)
multipollutant_pm25_no2_o3,Heart,pm25,observed_waitlist_period_mean_multipollutant,71308,9893,1.51 (1.38 to 1.66),<.001,age + sex + race + listing_year + baseline_organ_score + strata(listing_center)
multipollutant_pm25_no2_o3,Heart,no2,observed_waitlist_period_mean_multipollutant,71308,9893,1.16 (1.09 to 1.24),<.001,age + sex + race + listing_year + baseline_organ_score + strata(listing_center)
multipollutant_pm25_no2_o3,Heart,o3,observed_waitlist_period_mean_multipollutant,71308,9893,1.17 (1.07 to 1.29),<.001,age + sex + race + listing_year + baseline_organ_score + strata(listing_center)
multipollutant_pm25_no2_o3,Kidney,pm25,observed_waitlist_period_mean_multipollutant,554775,116267,1.53 (1.49 to 1.58),<.001,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes + strata(listing_center)
multipollutant_pm25_no2_o3,Kidney,no2,observed_waitlist_period_mean_multipollutant,554775,116267,1.35 (1.32 to 1.38),<.001,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes + strata(listing_center)
multipollutant_pm25_no2_o3,Kidney,o3,observed_waitlist_period_mean_multipollutant,554775,116267,1.28 (1.25 to 1.31),<.001,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes + strata(listing_center)
multipollutant_pm25_no2_o3,Liver,pm25,observed_waitlist_period_mean_multipollutant,204884,41945,1.33 (1.28 to 1.39),<.001,age + sex + race + listing_year + baseline_organ_score + strata(listing_center)
multipollutant_pm25_no2_o3,Liver,no2,observed_waitlist_period_mean_multipollutant,204884,41945,1.18 (1.15 to 1.21),<.001,age + sex + race + listing_year + baseline_organ_score + strata(listing_center)
multipollutant_pm25_no2_o3,Liver,o3,observed_waitlist_period_mean_multipollutant,204884,41945,1.22 (1.18 to 1.27),<.001,age + sex + race + listing_year + baseline_organ_score + strata(listing_center)
multipollutant_pm25_no2_o3,Lung,pm25,observed_waitlist_period_mean_multipollutant,44849,5596,1.36 (1.22 to 1.51),<.001,age + sex + race + listing_year + baseline_organ_score + strata(listing_center)
multipollutant_pm25_no2_o3,Lung,no2,observed_waitlist_period_mean_multipollutant,44849,5596,1.08 (1.00 to 1.17),0.042,age + sex + race + listing_year + baseline_organ_score + strata(listing_center)
multipollutant_pm25_no2_o3,Lung,o3,observed_waitlist_period_mean_multipollutant,44849,5596,1.00 (0.90 to 1.11),0.962,age + sex + race + listing_year + baseline_organ_score + strata(listing_center)
