model,term,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high
single_pollutant_no2_per_10unit,"ns(age, df = 4)2",1.7908476654424808,0.021177408148769335,0.023909183574113736,24.37093103021486,3.4786645924604233e-131,1.708862466983144,1.8767662247756642
single_pollutant_no2_per_10unit,"ns(age, df = 4)3",0.38176447668215485,0.06343032309385074,0.0743615884828884,-12.949581004880017,2.362399204451413e-38,0.329988508132011,0.4416642157674624
single_pollutant_no2_per_10unit,"ns(age, df = 4)4",1.8482607878730644,0.06545768045780616,0.06914905478447998,8.882913644395034,6.513152388026584e-19,1.6139997666991446,2.1165231931696606
single_pollutant_no2_per_10unit,sexM,1.0111124015862543,0.006256532002335318,0.0068080189705402765,1.623249366326485,0.10453610868078395,0.9977102659410606,1.024694566690885
single_pollutant_no2_per_10unit,race_srtrBLACK,0.8940577134820934,0.014097480699516064,0.015146068095664924,-7.393664726536391,1.4283630158475306e-13,0.8679070134695742,0.9209963540234154
single_pollutant_no2_per_10unit,race_srtrMULTI,0.8968607569124213,0.04772303173045726,0.0491891047554855,-2.2129831696647377,0.02689880600338937,0.8144326568557079,0.9876313413007316
single_pollutant_no2_per_10unit,race_srtrNATIVE,1.2151658486326422,0.03295631837852201,0.03440739237876611,5.663915656961844,1.4795715299395196e-8,1.1359204807907803,1.299939621350187
single_pollutant_no2_per_10unit,race_srtrPACIFIC,1.0999325084368792,0.05222964619859877,0.054578031015149395,1.74518611580287,0.08095247724347375,0.9883462835865259,1.224117035909639
single_pollutant_no2_per_10unit,race_srtrWHITE,1.2896470438451306,0.013694840553364916,0.014692639879532848,17.312652702231887,3.7760991335572853e-67,1.2530386563951788,1.3273249705505923
single_pollutant_no2_per_10unit,ethnicity_srtrNLATIN,1.2254736652001565,0.008875678884188578,0.00967241288558844,21.021376685989967,4.181285410949146e-98,1.2024604754765487,1.2489272909397964
single_pollutant_no2_per_10unit,CAN_BMI,1.0000019935113689,1.8060787126808095e-6,1.7024263550478502e-6,1.1709812738643837,0.24160630432272748,0.9999986568159417,1.0000053302179297
single_pollutant_no2_per_10unit,no2_10unit,0.9953840449063562,0.005000845752813569,0.005468407536428382,-0.8460674303387018,0.3975151287352441,0.9847726040086001,1.0061098296409212
three_pollutant_model,"ns(age, df = 4)1",0.9138397863107068,0.02567079697043596,0.03038816191440525,-2.9649707556159037,0.0030271170428126533,0.8610009128780308,0.9699213352201158
three_pollutant_model,"ns(age, df = 4)2",1.7905487919450747,0.021175823367948654,0.023906983590731307,24.3661923442705,3.9052322345448936e-131,1.7085846431566194,1.8764449213430503
three_pollutant_model,"ns(age, df = 4)3",0.3822588752131644,0.06342020815495608,0.07434436756968715,-12.93517246204334,2.849828668524371e-38,0.3304270074545559,0.4422212603167129
three_pollutant_model,"ns(age, df = 4)4",1.8577460410138589,0.06546429645982524,0.06915374534407923,8.956332645562563,3.3565629998550903e-19,1.6222678808600701,2.127404723733388
three_pollutant_model,sexM,1.0109591873486774,0.006256519688793943,0.006808217366945145,1.6009433952067147,0.10938945693345505,0.997558694633491,1.0245396927347734
three_pollutant_model,race_srtrBLACK,0.8927237232040893,0.014100423985919267,0.015146567800948257,-7.492002675160193,6.783053974324398e-14,0.8666111929157209,0.919623070283696
three_pollutant_model,race_srtrMULTI,0.9012393837251842,0.0477259485424192,0.049193366230103064,-2.1137884621771343,0.034533338854522554,0.8184020200613272,0.9924614148881072
three_pollutant_model,race_srtrNATIVE,1.262136695527423,0.033190162256468606,0.034647259287495465,6.7193215170115925,1.8257266239388126e-11,1.1792736457174957,1.3508222149980074
three_pollutant_model,race_srtrPACIFIC,1.1042506110636945,0.05223556982642228,0.05455351868561211,1.8177915422880293,0.06909599982198072,0.9922739932264799,1.2288636206917394
three_pollutant_model,race_srtrWHITE,1.295847536221846,0.013706613375306249,0.014698155286709898,17.63248136587246,1.387421253986509e-69,1.2590495289543293,1.3337210320287096
three_pollutant_model,ethnicity_srtrNLATIN,1.224855577634314,0.008955510244934494,0.009743086028049259,20.817114890888284,3.028815069292286e-96,1.2016875295303167,1.2484702963076222
three_pollutant_model,CAN_BMI,1.000002009116401,1.8064293182478073e-6,1.7036664782852623e-6,1.1792885569675071,0.23828329325384473,0.999998669990328,1.0000053482536237
three_pollutant_model,pm25_5ug,1.0891043052935554,0.009123029686578665,0.009766106784580486,8.739984320165778,2.3314278355248956e-18,1.068455772304978,1.110151883264276
