center_code,organ,n_candidates,organ_label,center_type,optn_region,center_name,city,state,zip,country,lon,lat,location_source
COCH,HR,331,Heart,TX1,8,Children's Hospital Colorado,Aurora,CO,80045,USA,-104.8379779247519,39.7456035,zip_zcta
COCH,KI,359,Kidney,TX1,8,Children's Hospital Colorado,Aurora,CO,80045,USA,-104.8379779247519,39.7456035,zip_zcta
COCH,LI,264,Liver,TX1,8,Children's Hospital Colorado,Aurora,CO,80045,USA,-104.8379779247519,39.7456035,zip_zcta
COPM,KI,2386,Kidney,TX1,8,AdventHealth Porter,Denver,CO,80210,USA,-104.9644722917617,39.676618500000004,zip_zcta
COPM,LI,502,Liver,TX1,8,AdventHealth Porter,Denver,CO,80210,USA,-104.9644722917617,39.676618500000004,zip_zcta
COSL,KI,1953,Kidney,TX1,8,Presbyterian/St Luke's Medical Center,Denver,CO,80218,USA,-104.9711885426719,39.7312595,zip_zcta
COSL,LI,515,Liver,TX1,8,Presbyterian/St Luke's Medical Center,Denver,CO,80218,USA,-104.9711885426719,39.7312595,zip_zcta
COUC,HR,700,Heart,TX1,8,University of Colorado Hospital/Health Science Center,Aurora,CO,80045,USA,-104.8379779247519,39.7456035,zip_zcta
COUC,KI,5461,Kidney,TX1,8,University of Colorado Hospital/Health Science Center,Aurora,CO,80045,USA,-104.8379779247519,39.7456035,zip_zcta
COUC,LI,2841,Liver,TX1,8,University of Colorado Hospital/Health Science Center,Aurora,CO,80045,USA,-104.8379779247519,39.7456035,zip_zcta
COUC,LU,700,Lung,TX1,8,University of Colorado Hospital/Health Science Center,Aurora,CO,80045,USA,-104.8379779247519,39.7456035,zip_zcta
CTHH,HR,406,Heart,TX1,1,Hartford Hospital,Hartford,CT,06102,USA,-72.68,41.77,city_state
CTHH,KI,2439,Kidney,TX1,1,Hartford Hospital,Hartford,CT,06102,USA,-72.68,41.77,city_state
CTHH,LI,673,Liver,TX1,1,Hartford Hospital,Hartford,CT,06102,USA,-72.68,41.77,city_state
CTYN,HR,529,Heart,TX1,1,Yale New Haven Hospital,New Haven,CT,06510,USA,-72.92381238263536,41.307567,zip_zcta
CTYN,KI,4258,Kidney,TX1,1,Yale New Haven Hospital,New Haven,CT,06510,USA,-72.92381238263536,41.307567,zip_zcta
CTYN,LI,1333,Liver,TX1,1,Yale New Haven Hospital,New Haven,CT,06510,USA,-72.92381238263536,41.307567,zip_zcta
DCCH,HR,122,Heart,TX1,2,Children's National Medical Center,Washington,DC,20010,USA,-77.03372789075587,38.9320695,zip_zcta
