year,month,rows,zips,missing_values,zonal_mean_values,nearest_fill_values,mean,p01,p50,p99,output
2023,5,33300,33300,0,32281,1019,2.89318331474909,1.12829970741973,2.31599343022272,10.4096099257469,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2023_05.csv.gz
2023,6,33300,33300,0,32281,1019,2.72004361278299,1.0187299976848,2.23483247317449,10.0341684309642,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2023_06.csv.gz
2023,7,33300,33300,0,32281,1019,2.64421250363504,1.09590117005853,2.12144171096965,9.74611590385444,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2023_07.csv.gz
2023,8,33300,33300,0,32281,1019,2.47207421464472,1.00811493366325,1.94291772298753,9.12206684970856,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2023_08.csv.gz
2023,9,33300,33300,0,32281,1019,2.89987482491098,1.17138227270159,2.29060969459297,10.7967379045487,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2023_09.csv.gz
2023,10,33300,33300,0,32281,1019,3.2851331574861,1.12496534273855,2.50934734751308,12.777111490423,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2023_10.csv.gz
2023,11,33300,33300,0,32281,1019,3.96608303920411,1.18012374187723,3.31635963170981,13.2662897109985,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2023_11.csv.gz
2023,12,33300,33300,0,32281,1019,3.27067902284216,0.979954428168739,2.4302630384175,13.6909515053034,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2023_12.csv.gz
2024,1,33300,33300,0,32281,1019,3.35744594682156,1.01278774934309,2.69292889210658,12.9297082364219,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2024_01.csv.gz
2024,2,33300,33300,0,32281,1019,3.6483624236371,1.04437936416435,3.01286292883939,12.8871858131185,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2024_02.csv.gz
2024,3,33300,33300,0,32281,1019,2.99082910063453,1.01753727244557,2.34464297648608,11.4916468540827,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2024_03.csv.gz
2024,4,33300,33300,0,32281,1019,2.71378513593433,0.978381672505181,2.01172166872105,11.5111283728994,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2024_04.csv.gz
2024,5,33300,33300,0,32281,1019,2.55063297245396,0.986799143915196,1.95193767413157,10.2981769537926,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2024_05.csv.gz
2024,6,33300,33300,0,32281,1019,2.62204321063573,1.08801188099771,2.11239007518152,9.42869064211846,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2024_06.csv.gz
2024,7,33300,33300,0,32281,1019,2.49473035053815,1.05901931952851,1.9742371055527,9.23303491462361,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2024_07.csv.gz
2024,8,33300,33300,0,32281,1019,2.43241954500652,1.00707882783971,1.88738255417935,9.74510853987475,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2024_08.csv.gz
2024,9,33300,33300,0,32281,1019,2.81604260333746,1.12408750837317,2.16514624523109,10.547345986423,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2024_09.csv.gz
2024,10,33300,33300,0,32281,1019,3.36406347922107,1.24330419102549,2.58735574557318,12.4419381570816,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2024_10.csv.gz
2024,11,33300,33300,0,32281,1019,3.67387692110223,1.19701758887879,3.02278055260716,12.8055546271801,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2024_11.csv.gz
2024,12,33300,33300,0,32281,1019,3.62347861932195,1.0136720168289,2.823755026257,14.3769988918304,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2024_12.csv.gz
2025,1,33300,33300,0,32281,1019,3.42508708445931,0.978153902194675,2.80175653852598,12.872574968338,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2025_01.csv.gz
2025,2,33300,33300,0,32281,1019,3.3308690950166,0.978908939665678,2.71843354769807,12.5301676639915,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2025_02.csv.gz
2025,3,33300,33300,0,32281,1019,3.36459074060396,1.05606327677661,2.74283731079102,11.7477728785001,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2025_03.csv.gz
2025,4,33300,33300,0,32281,1019,2.85751021401996,1.03734907669459,2.18787568670097,11.2027306008339,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2025_04.csv.gz
2025,5,33300,33300,0,32281,1019,2.75178492389614,1.04633001134345,2.25769817654411,9.75775059681673,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2025_05.csv.gz
2025,6,33300,33300,0,32281,1019,2.51862687181185,1.05171293442697,1.99528242549497,9.66656897366048,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2025_06.csv.gz
2025,7,33300,33300,0,32281,1019,2.6313489320137,1.08166553052008,2.13967545411952,9.1215147324971,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2025_07.csv.gz
2025,8,33300,33300,0,32281,1019,2.41613641766493,1.05213849581664,1.84115707700351,9.2799076239268,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2025_08.csv.gz
2025,9,33300,33300,0,32281,1019,2.83926273565592,1.20276089983446,2.20981695907366,9.9334872674942,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2025_09.csv.gz
2025,10,33300,33300,0,32281,1019,3.16769430710049,1.2249828081179,2.47884150821576,11.468166318621,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2025_10.csv.gz
2025,11,33300,33300,0,32281,1019,3.79055768308877,1.15774062317101,3.26238474013007,12.0600446160635,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2025_11.csv.gz
2025,12,33300,33300,0,32281,1019,3.58794151317156,1.01170926772428,2.84689500003037,13.8574814282931,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2025_12.csv.gz
