Analysis,Model tier,Model type,Organ,Pollutant,N candidates,Adverse events,HR (95% CI),P value,Adjustment set
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Kidney,Prior-year PM2.5 per 5 ug/m3,564179,123299,0.96 (0.94-0.97),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Kidney,Prior-year NO2 per 10 ppb,564179,123299,0.90 (0.89-0.91),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Kidney,Prior-year PM2.5 per 5 ug/m3,564179,123299,0.96 (0.95-0.98),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Kidney,Prior-year NO2 per 10 ppb,564179,123299,0.90 (0.89-0.91),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Kidney,Prior-year O3 per 10 ppb,564179,123299,0.99 (0.97-1.01),0.272,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Unadjusted,Single-pollutant PM2.5,Liver,Prior-year PM2.5 per 5 ug/m3,208792,42137,1.04 (1.02-1.06),<.001,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Single-pollutant O3,Liver,Prior-year O3 per 10 ppb,208792,42137,0.97 (0.95-0.99),0.003,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Single-pollutant NO2,Liver,Prior-year NO2 per 10 ppb,222766,42883,1.03 (1.01-1.04),<.001,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2,Liver,Prior-year PM2.5 per 5 ug/m3,208792,42137,1.03 (1.01-1.06),0.001,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2,Liver,Prior-year NO2 per 10 ppb,208792,42137,1.01 (0.99-1.02),0.457,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2 + O3,Liver,Prior-year PM2.5 per 5 ug/m3,208792,42137,1.05 (1.03-1.07),<.001,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2 + O3,Liver,Prior-year NO2 per 10 ppb,208792,42137,0.99 (0.98-1.01),0.505,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2 + O3,Liver,Prior-year O3 per 10 ppb,208792,42137,0.96 (0.94-0.98),<.001,None
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,Liver,Prior-year PM2.5 per 5 ug/m3,208592,42101,1.03 (1.00-1.05),0.030,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Liver,Prior-year O3 per 10 ppb,208592,42101,1.03 (1.01-1.06),0.020,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Liver,Prior-year NO2 per 10 ppb,222559,42847,1.00 (0.98-1.01),0.728,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Liver,Prior-year PM2.5 per 5 ug/m3,208592,42101,1.04 (1.02-1.07),0.002,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Liver,Prior-year NO2 per 10 ppb,208592,42101,0.97 (0.95-0.99),0.014,age + sex + race + zcta_svi_proxy + strata(listing_center)
