Analysis,Model tier,Model type,Organ,Term,Term type,Exposure label,N candidates,Adverse events,Coefficient (95% CI),HR (95% CI),P value,Adjustment set
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Heart,age,covariate,,74028,10010,0.0032 (0.0017 to 0.0047),1.00 (1.00-1.00),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Heart,sexM,covariate,,74028,10010,-0.0138 (-0.0594 to 0.0317),0.99 (0.94-1.03),0.551,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Heart,raceBLACK,covariate,,74028,10010,-0.1338 (-0.2654 to -0.0021),0.87 (0.77-1.00),0.046,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Heart,raceMULTI,covariate,,74028,10010,-0.0700 (-0.3368 to 0.1967),0.93 (0.71-1.22),0.607,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Heart,raceMissing,covariate,,74028,10010,-0.1081 (-0.7142 to 0.4981),0.90 (0.49-1.65),0.727,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Heart,raceNATIVE,covariate,,74028,10010,0.2186 (-0.0899 to 0.5271),1.24 (0.91-1.69),0.165,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Heart,racePACIFIC,covariate,,74028,10010,0.0829 (-0.3245 to 0.4903),1.09 (0.72-1.63),0.690,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Heart,raceWHITE,covariate,,74028,10010,-0.0586 (-0.1841 to 0.0669),0.94 (0.83-1.07),0.360,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Heart,zcta_svi_proxy,covariate,,74028,10010,0.1009 (-0.0144 to 0.2161),1.11 (0.99-1.24),0.086,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Heart,organ_score,organ_severity,,74028,10010,0.1780 (0.1611 to 0.1950),1.19 (1.17-1.22),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Heart,o3_prior_10ppb,pollutant,Prior-year O3 per 10 ppb,74028,10010,0.0131 (-0.0567 to 0.0830),1.01 (0.94-1.09),0.712,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Heart,age,covariate,,74028,10010,0.0031 (0.0017 to 0.0046),1.00 (1.00-1.00),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Heart,sexM,covariate,,74028,10010,-0.0149 (-0.0604 to 0.0307),0.99 (0.94-1.03),0.522,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Heart,raceBLACK,covariate,,74028,10010,-0.1423 (-0.2739 to -0.0107),0.87 (0.76-0.99),0.034,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Heart,raceMULTI,covariate,,74028,10010,-0.0832 (-0.3501 to 0.1836),0.92 (0.70-1.20),0.541,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Heart,raceMissing,covariate,,74028,10010,-0.1726 (-0.7786 to 0.4334),0.84 (0.46-1.54),0.577,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Heart,raceNATIVE,covariate,,74028,10010,0.1748 (-0.1339 to 0.4835),1.19 (0.87-1.62),0.267,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Heart,racePACIFIC,covariate,,74028,10010,0.0754 (-0.3320 to 0.4827),1.08 (0.72-1.62),0.717,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Heart,raceWHITE,covariate,,74028,10010,-0.0664 (-0.1920 to 0.0592),0.94 (0.83-1.06),0.300,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
