Analysis,Model tier,Model type,Organ,Term,Term type,Exposure label,N candidates,Adverse events,Coefficient (95% CI),HR (95% CI),P value,Adjustment set
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Kidney,zcta_svi_proxy,covariate,,564179,123299,0.0500 (0.0169 to 0.0831),1.05 (1.02-1.09),0.003,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Kidney,kidney_no_dialysis_time,organ_severity,,564179,123299,-0.4342 (-0.4482 to -0.4201),0.65 (0.64-0.66),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Kidney,kidney_dialysis_years,organ_severity,,564179,123299,0.0614 (0.0589 to 0.0639),1.06 (1.06-1.07),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Kidney,kidney_diabetes,organ_severity,,564179,123299,0.5613 (0.5491 to 0.5735),1.75 (1.73-1.77),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Kidney,o3_prior_10ppb,pollutant,Prior-year O3 per 10 ppb,564179,123299,0.0404 (0.0238 to 0.0570),1.04 (1.02-1.06),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Kidney,age,covariate,,564179,123299,0.0463 (0.0457 to 0.0468),1.05 (1.05-1.05),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Kidney,sexM,covariate,,564179,123299,0.0143 (0.0026 to 0.0260),1.01 (1.00-1.03),0.017,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Kidney,raceBLACK,covariate,,564179,123299,0.0202 (-0.0061 to 0.0465),1.02 (0.99-1.05),0.132,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Kidney,raceMULTI,covariate,,564179,123299,0.1233 (0.0373 to 0.2094),1.13 (1.04-1.23),0.005,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Kidney,raceMissing,covariate,,564179,123299,0.4539 (0.0753 to 0.8324),1.57 (1.08-2.30),0.019,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Kidney,raceNATIVE,covariate,,564179,123299,0.1823 (0.1215 to 0.2430),1.20 (1.13-1.28),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Kidney,racePACIFIC,covariate,,564179,123299,0.1603 (0.0718 to 0.2489),1.17 (1.07-1.28),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Kidney,raceWHITE,covariate,,564179,123299,0.2603 (0.2362 to 0.2845),1.30 (1.27-1.33),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Kidney,zcta_svi_proxy,covariate,,564179,123299,0.0259 (-0.0070 to 0.0589),1.03 (0.99-1.06),0.123,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Kidney,kidney_no_dialysis_time,organ_severity,,564179,123299,-0.4283 (-0.4423 to -0.4142),0.65 (0.64-0.66),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Kidney,kidney_dialysis_years,organ_severity,,564179,123299,0.0604 (0.0579 to 0.0629),1.06 (1.06-1.06),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Kidney,kidney_diabetes,organ_severity,,564179,123299,0.5644 (0.5522 to 0.5766),1.76 (1.74-1.78),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Kidney,no2_prior_10ppb,pollutant,Prior-year NO2 per 10 ppb,600141,123941,-0.1185 (-0.1296 to -0.1074),0.89 (0.88-0.90),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Kidney,age,covariate,,600141,123941,0.0460 (0.0455 to 0.0466),1.05 (1.05-1.05),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Kidney,sexM,covariate,,600141,123941,0.0121 (0.0004 to 0.0238),1.01 (1.00-1.02),0.042,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Kidney,raceBLACK,covariate,,600141,123941,0.0190 (-0.0072 to 0.0453),1.02 (0.99-1.05),0.155,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Kidney,raceMULTI,covariate,,600141,123941,0.0990 (0.0131 to 0.1848),1.10 (1.01-1.20),0.024,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Kidney,raceMissing,covariate,,600141,123941,0.4251 (0.1012 to 0.7489),1.53 (1.11-2.11),0.010,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Kidney,raceNATIVE,covariate,,600141,123941,0.1368 (0.0761 to 0.1976),1.15 (1.08-1.22),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Kidney,racePACIFIC,covariate,,600141,123941,0.1498 (0.0613 to 0.2384),1.16 (1.06-1.27),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Kidney,raceWHITE,covariate,,600141,123941,0.2488 (0.2247 to 0.2728),1.28 (1.25-1.31),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Kidney,zcta_svi_proxy,covariate,,600141,123941,0.0975 (0.0639 to 0.1311),1.10 (1.07-1.14),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Kidney,kidney_no_dialysis_time,organ_severity,,600141,123941,-0.4337 (-0.4478 to -0.4197),0.65 (0.64-0.66),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Kidney,kidney_dialysis_years,organ_severity,,600141,123941,0.0614 (0.0589 to 0.0639),1.06 (1.06-1.07),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Kidney,kidney_diabetes,organ_severity,,600141,123941,0.5587 (0.5466 to 0.5709),1.75 (1.73-1.77),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Kidney,pm25_prior_5ug,pollutant,Prior-year PM2.5 per 5 ug/m3,564179,123299,-0.0420 (-0.0584 to -0.0257),0.96 (0.94-0.97),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Kidney,no2_prior_10ppb,pollutant,Prior-year NO2 per 10 ppb,564179,123299,-0.1022 (-0.1152 to -0.0893),0.90 (0.89-0.91),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Kidney,age,covariate,,564179,123299,0.0461 (0.0455 to 0.0466),1.05 (1.05-1.05),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Kidney,sexM,covariate,,564179,123299,0.0126 (0.0008 to 0.0243),1.01 (1.00-1.02),0.036,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Kidney,raceBLACK,covariate,,564179,123299,0.0187 (-0.0076 to 0.0451),1.02 (0.99-1.05),0.163,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Kidney,raceMULTI,covariate,,564179,123299,0.1017 (0.0157 to 0.1878),1.11 (1.02-1.21),0.021,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Kidney,raceMissing,covariate,,564179,123299,0.4024 (0.0238 to 0.7810),1.50 (1.02-2.18),0.037,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Kidney,raceNATIVE,covariate,,564179,123299,0.1344 (0.0735 to 0.1953),1.14 (1.08-1.22),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Kidney,racePACIFIC,covariate,,564179,123299,0.1534 (0.0648 to 0.2420),1.17 (1.07-1.27),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Kidney,raceWHITE,covariate,,564179,123299,0.2505 (0.2263 to 0.2746),1.28 (1.25-1.32),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Kidney,zcta_svi_proxy,covariate,,564179,123299,0.0990 (0.0653 to 0.1327),1.10 (1.07-1.14),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Kidney,kidney_no_dialysis_time,organ_severity,,564179,123299,-0.4358 (-0.4499 to -0.4217),0.65 (0.64-0.66),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Kidney,kidney_dialysis_years,organ_severity,,564179,123299,0.0617 (0.0592 to 0.0642),1.06 (1.06-1.07),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Kidney,kidney_diabetes,organ_severity,,564179,123299,0.5595 (0.5473 to 0.5716),1.75 (1.73-1.77),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Kidney,pm25_prior_5ug,pollutant,Prior-year PM2.5 per 5 ug/m3,564179,123299,-0.0392 (-0.0563 to -0.0221),0.96 (0.95-0.98),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Kidney,no2_prior_10ppb,pollutant,Prior-year NO2 per 10 ppb,564179,123299,-0.1057 (-0.1200 to -0.0913),0.90 (0.89-0.91),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Kidney,o3_prior_10ppb,pollutant,Prior-year O3 per 10 ppb,564179,123299,-0.0104 (-0.0290 to 0.0082),0.99 (0.97-1.01),0.272,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Kidney,age,covariate,,564179,123299,0.0461 (0.0455 to 0.0466),1.05 (1.05-1.05),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Kidney,sexM,covariate,,564179,123299,0.0126 (0.0008 to 0.0243),1.01 (1.00-1.02),0.036,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Kidney,raceBLACK,covariate,,564179,123299,0.0193 (-0.0070 to 0.0456),1.02 (0.99-1.05),0.151,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Kidney,raceMULTI,covariate,,564179,123299,0.1022 (0.0161 to 0.1883),1.11 (1.02-1.21),0.020,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Kidney,raceMissing,covariate,,564179,123299,0.4034 (0.0248 to 0.7820),1.50 (1.03-2.19),0.037,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Kidney,raceNATIVE,covariate,,564179,123299,0.1356 (0.0746 to 0.1966),1.15 (1.08-1.22),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Kidney,racePACIFIC,covariate,,564179,123299,0.1526 (0.0640 to 0.2411),1.16 (1.07-1.27),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Kidney,raceWHITE,covariate,,564179,123299,0.2513 (0.2271 to 0.2755),1.29 (1.25-1.32),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Kidney,zcta_svi_proxy,covariate,,564179,123299,0.0986 (0.0648 to 0.1323),1.10 (1.07-1.14),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Kidney,kidney_no_dialysis_time,organ_severity,,564179,123299,-0.4359 (-0.4500 to -0.4218),0.65 (0.64-0.66),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Kidney,kidney_dialysis_years,organ_severity,,564179,123299,0.0617 (0.0592 to 0.0642),1.06 (1.06-1.07),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Kidney,kidney_diabetes,organ_severity,,564179,123299,0.5594 (0.5472 to 0.5715),1.75 (1.73-1.77),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Unadjusted,Single-pollutant PM2.5,Liver,pm25_prior_5ug,pollutant,Prior-year PM2.5 per 5 ug/m3,208792,42137,0.0380 (0.0207 to 0.0553),1.04 (1.02-1.06),<.001,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Single-pollutant O3,Liver,o3_prior_10ppb,pollutant,Prior-year O3 per 10 ppb,208792,42137,-0.0300 (-0.0501 to -0.0100),0.97 (0.95-0.99),0.003,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Single-pollutant NO2,Liver,no2_prior_10ppb,pollutant,Prior-year NO2 per 10 ppb,222766,42883,0.0253 (0.0110 to 0.0396),1.03 (1.01-1.04),<.001,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2,Liver,pm25_prior_5ug,pollutant,Prior-year PM2.5 per 5 ug/m3,208792,42137,0.0339 (0.0134 to 0.0543),1.03 (1.01-1.06),0.001,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2,Liver,no2_prior_10ppb,pollutant,Prior-year NO2 per 10 ppb,208792,42137,0.0065 (-0.0106 to 0.0235),1.01 (0.99-1.02),0.457,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2 + O3,Liver,pm25_prior_5ug,pollutant,Prior-year PM2.5 per 5 ug/m3,208792,42137,0.0487 (0.0268 to 0.0706),1.05 (1.03-1.07),<.001,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2 + O3,Liver,no2_prior_10ppb,pollutant,Prior-year NO2 per 10 ppb,208792,42137,-0.0062 (-0.0245 to 0.0121),0.99 (0.98-1.01),0.505,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2 + O3,Liver,o3_prior_10ppb,pollutant,Prior-year O3 per 10 ppb,208792,42137,-0.0420 (-0.0639 to -0.0201),0.96 (0.94-0.98),<.001,None
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,Liver,pm25_prior_5ug,pollutant,Prior-year PM2.5 per 5 ug/m3,208592,42101,0.0249 (0.0023 to 0.0475),1.03 (1.00-1.05),0.030,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,Liver,age,covariate,,208592,42101,0.0236 (0.0227 to 0.0245),1.02 (1.02-1.02),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,Liver,sexM,covariate,,208592,42101,-0.0962 (-0.1159 to -0.0764),0.91 (0.89-0.93),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,Liver,raceBLACK,covariate,,208592,42101,0.2299 (0.1702 to 0.2896),1.26 (1.19-1.34),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,Liver,raceMULTI,covariate,,208592,42101,0.1255 (-0.0317 to 0.2827),1.13 (0.97-1.33),0.118,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,Liver,raceMissing,covariate,,208592,42101,0.4306 (0.1663 to 0.6949),1.54 (1.18-2.00),0.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,Liver,raceNATIVE,covariate,,208592,42101,0.3005 (0.1901 to 0.4110),1.35 (1.21-1.51),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,Liver,racePACIFIC,covariate,,208592,42101,0.2685 (0.0164 to 0.5207),1.31 (1.02-1.68),0.037,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,Liver,raceWHITE,covariate,,208592,42101,0.1598 (0.1101 to 0.2095),1.17 (1.12-1.23),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,Liver,zcta_svi_proxy,covariate,,208592,42101,0.3381 (0.2828 to 0.3934),1.40 (1.33-1.48),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Liver,o3_prior_10ppb,pollutant,Prior-year O3 per 10 ppb,208592,42101,0.0336 (0.0053 to 0.0619),1.03 (1.01-1.06),0.020,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Liver,age,covariate,,208592,42101,0.0235 (0.0226 to 0.0245),1.02 (1.02-1.02),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Liver,sexM,covariate,,208592,42101,-0.0958 (-0.1155 to -0.0760),0.91 (0.89-0.93),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Liver,raceBLACK,covariate,,208592,42101,0.2265 (0.1668 to 0.2863),1.25 (1.18-1.33),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Liver,raceMULTI,covariate,,208592,42101,0.1188 (-0.0384 to 0.2760),1.13 (0.96-1.32),0.139,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Liver,raceMissing,covariate,,208592,42101,0.4168 (0.1525 to 0.6811),1.52 (1.16-1.98),0.002,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Liver,raceNATIVE,covariate,,208592,42101,0.2871 (0.1765 to 0.3976),1.33 (1.19-1.49),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Liver,racePACIFIC,covariate,,208592,42101,0.2658 (0.0136 to 0.5179),1.30 (1.01-1.68),0.039,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Liver,raceWHITE,covariate,,208592,42101,0.1534 (0.1035 to 0.2032),1.17 (1.11-1.23),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Liver,zcta_svi_proxy,covariate,,208592,42101,0.3529 (0.2977 to 0.4082),1.42 (1.35-1.50),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
