organ,organ_label,model,endpoint,term,exposure,source_n,source_adverse_events,n,adverse_events,sampled,finegray_max_n,subdistribution_hazard_ratio,conf_low,conf_high,p_value,elapsed_seconds,center_adjustment,variance_estimator,error
LI,Liver,heat_humidity,death_or_deterioration_delist_subdistribution,tmax_5c,Tmax per 5 C,217632,41645,998,191,TRUE,1000,0.9189690043193114,0.8279157021210913,1.0200362533722171,0.11243365245954398,0.5600000000000005,top_20_listing_center_fixed_effect_dummies_plus_other,cmprsk_crr_model_based,NA
LI,Liver,heat_humidity,death_or_deterioration_delist_subdistribution,rmax_10pct,Maximum relative humidity per 10 pct,217632,41645,998,191,TRUE,1000,0.9250981484909035,0.797932455785394,1.0725301097057638,0.30210776164056363,0.5600000000000005,top_20_listing_center_fixed_effect_dummies_plus_other,cmprsk_crr_model_based,NA
LI,Liver,pm25,death_or_deterioration_delist_subdistribution,pm25_5ug,PM2.5 per 5 ug/m3,217632,41645,998,191,TRUE,1000,0.6957744522313329,0.4774343637763239,1.0139657408585931,0.05905032146387857,0.5,top_20_listing_center_fixed_effect_dummies_plus_other,cmprsk_crr_model_based,NA
LI,Liver,o3,death_or_deterioration_delist_subdistribution,o3_10ppb,Ozone per 10 ppb,217632,41645,998,191,TRUE,1000,0.9666510807628622,0.7789392330341096,1.199598469703851,0.7581526914792046,0.5700000000000003,top_20_listing_center_fixed_effect_dummies_plus_other,cmprsk_crr_model_based,NA
LI,Liver,no2,death_or_deterioration_delist_subdistribution,no2_10unit,NO2 per 10 units,217632,41645,998,191,TRUE,1000,0.923765567903038,0.6640337707933871,1.2850894969146658,0.6377856623052194,0.35999999999999943,top_20_listing_center_fixed_effect_dummies_plus_other,cmprsk_crr_model_based,NA
LU,Lung,heat_humidity,death_or_deterioration_delist_subdistribution,tmax_5c,Tmax per 5 C,46695,5638,998,120,TRUE,1000,0.915773706562855,0.8080275919762497,1.0378871835066248,0.16829202083324735,0.35999999999999943,top_20_listing_center_fixed_effect_dummies_plus_other,cmprsk_crr_model_based,NA
LU,Lung,heat_humidity,death_or_deterioration_delist_subdistribution,rmax_10pct,Maximum relative humidity per 10 pct,46695,5638,998,120,TRUE,1000,0.9926670517222338,0.785448397366543,1.2545545689299609,0.950872954024364,0.35999999999999943,top_20_listing_center_fixed_effect_dummies_plus_other,cmprsk_crr_model_based,NA
LU,Lung,pm25,death_or_deterioration_delist_subdistribution,pm25_5ug,PM2.5 per 5 ug/m3,46695,5638,998,120,TRUE,1000,0.8108063381350409,0.5092444606186811,1.290945643593787,0.3767963610794072,0.3100000000000023,top_20_listing_center_fixed_effect_dummies_plus_other,cmprsk_crr_model_based,NA
LU,Lung,o3,death_or_deterioration_delist_subdistribution,o3_10ppb,Ozone per 10 ppb,46695,5638,998,120,TRUE,1000,0.9265054926745174,0.7104870136668187,1.2082028403669047,0.573029726640867,0.35999999999999943,top_20_listing_center_fixed_effect_dummies_plus_other,cmprsk_crr_model_based,NA
LU,Lung,no2,death_or_deterioration_delist_subdistribution,no2_10unit,NO2 per 10 units,46695,5638,998,120,TRUE,1000,0.8077650626823655,0.5296362801137183,1.2319480764235993,0.32151592534755663,0.35999999999999943,top_20_listing_center_fixed_effect_dummies_plus_other,cmprsk_crr_model_based,NA
