year,file,path,rows,size_bytes,size_mb,sha256
2015,gridmet_zcta_daily_2015.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/gridmet_zcta_daily_parquet/gridmet_zcta_daily_2015.parquet,12154500,441569913,421.1,5877ee4b3d8ecef019c4548c290d07692da65ef25152218945be8171cd4af409
2016,gridmet_zcta_daily_2016.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/gridmet_zcta_daily_parquet/gridmet_zcta_daily_2016.parquet,12187800,438588668,418.3,f3f282de876965cce6b40fd2f653a3d79993a209a61acc13a4c2a8adcc1e08d9
2017,gridmet_zcta_daily_2017.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/gridmet_zcta_daily_parquet/gridmet_zcta_daily_2017.parquet,12154500,441506354,421.1,ab52ea0f0cb31412df00307491b6d31bafcf3eabf714cc886fda84200042cf6c
2018,gridmet_zcta_daily_2018.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/gridmet_zcta_daily_parquet/gridmet_zcta_daily_2018.parquet,12154500,442408119,421.9,628c751a1780486ece055f2412af4bb03bc1a1579e647d016749ff8c9ffaee54
2019,gridmet_zcta_daily_2019.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/gridmet_zcta_daily_parquet/gridmet_zcta_daily_2019.parquet,12154500,440922008,420.5,6e074b3d6585ead833f34015542f413512113e1032044c6bc4a90103cfb67a1d
2020,gridmet_zcta_daily_2020.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/gridmet_zcta_daily_parquet/gridmet_zcta_daily_2020.parquet,12187800,438989084,418.7,d943e0f9106e63d437e03828661220fe48a3976893dd56ab34911cfa57547448
2021,gridmet_zcta_daily_2021.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/gridmet_zcta_daily_parquet/gridmet_zcta_daily_2021.parquet,12154500,441224694,420.8,ba35e3a78303eb0ae78127f337379cedbbb1090f85f266496070367198c1da89
2022,gridmet_zcta_daily_2022.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/gridmet_zcta_daily_parquet/gridmet_zcta_daily_2022.parquet,12154500,444034859,423.5,281546816395cec4cc07c7af1c86151710c2fce4d2bd37e48e3b91198bc9fde1
2023,gridmet_zcta_daily_2023.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/gridmet_zcta_daily_parquet/gridmet_zcta_daily_2023.parquet,12154500,441168248,420.7,8f2dbfda235dcd13743ec1eec73dca33976aec426457aa91750004668824002f
2024,gridmet_zcta_daily_2024.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/gridmet_zcta_daily_parquet/gridmet_zcta_daily_2024.parquet,12187800,439926750,419.5,9bce1439849e988049363bf96ff8c8633322124c10d26ac2df34a5a2701b159b
2025,gridmet_zcta_daily_2025.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/gridmet_zcta_daily_parquet/gridmet_zcta_daily_2025.parquet,12154500,441600638,421.1,ddce9e2d50faafde9f482acbf447839d9a60c97b5daa590605072d149d0fd915
